"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.41 (6.25 to 120.21)",".",".",".","."
"19.61 (3.26 to   117.79)","15.83 (0.59 to   424.26)","2.61 (0.48 to    14.26)","3.86 (0.11 to   141.15)","2.03 (0.46 to     8.94)","2.18 (0.32 to    14.65)","2.11 (0.27 to    16.63)","2.08 (0.20 to    22.12)","2.43 (0.05 to   111.75)","1.81 (0.20 to    16.10)","1.32 (0.18 to     9.82)","1.34 (0.08 to    21.94)","1.16 (0.29 to     4.63)","1.08 (0.21 to     5.46)","1.05 (0.25 to     4.48)","Gefitinib + chemotherapy",".",".",".",".",".",".","1.40 (0.51 to   3.85)",".",".",".","."
"20.66 (2.93 to   145.75)","16.69 (0.57 to   489.34)","2.75 (0.49 to    15.44)","4.07 (0.11 to   149.43)","2.14 (0.48 to     9.54)","2.30 (0.58 to     9.07)","2.22 (0.28 to    17.66)","2.20 (0.20 to    24.04)","2.56 (0.06 to   118.27)","1.91 (0.27 to    13.67)","1.39 (0.24 to     8.16)","1.41 (0.09 to    23.26)","1.22 (0.31 to     4.90)","1.14 (0.22 to     5.81)","1.11 (0.25 to     4.97)","1.05 (0.21 to     5.38)","Lazertinib",".",".",".",".","1.49 (0.34 to   6.63)","1.15 (0.22 to   5.93)",".",".",".","."
"23.58 (3.38 to   164.55)","19.04 (0.65 to   554.98)","3.13 (0.73 to    13.46)","4.64 (0.14 to   148.98)","2.44 (0.79 to     7.58)","2.62 (0.41 to    16.58)","2.54 (0.41 to    15.77)","2.51 (0.26 to    24.25)","2.92 (0.07 to   118.90)","2.17 (0.27 to    17.45)","1.59 (0.24 to    10.54)","1.61 (0.12 to    22.26)","1.40 (0.43 to     4.56)","1.30 (0.35 to     4.79)","1.27 (0.35 to     4.61)","1.20 (0.24 to     6.06)","1.14 (0.22 to     5.84)","Dacomitinib","1.14 (0.22 to   5.97)",".","0.86 (0.24 to   3.07)",".","4.98 (0.18 to 136.24)",".",".",".","."
"25.87 (4.46 to   150.23)","20.89 (0.79 to   549.59)","3.44 (0.95 to    12.41)","5.09 (0.17 to   153.02)","2.68 (1.08 to     6.66)","2.87 (0.58 to    14.29)","2.78 (0.51 to    15.22)","2.75 (0.33 to    22.80)","3.20 (0.08 to   122.66)","2.39 (0.37 to    15.32)","1.74 (0.34 to     9.02)","1.77 (0.14 to    22.37)","1.53 (0.62 to     3.77)","1.42 (0.46 to     4.36)","1.39 (0.51 to     3.76)","1.32 (0.33 to     5.31)","1.25 (0.32 to     4.93)","1.10 (0.37 to     3.21)","Placebo",".","1.67 (0.60 to   4.61)","1.02 (0.26 to   4.01)","0.60 (0.12 to   2.93)",".",".",".","."
"27.83 (3.27 to   236.66)","22.47 (0.69 to   736.70)","3.70 (0.71 to    19.28)","5.48 (0.16 to   190.90)","2.88 (0.74 to    11.29)","3.09 (0.40 to    23.90)","2.99 (0.41 to    21.67)","2.96 (0.26 to    33.09)","3.45 (0.08 to   151.57)","2.57 (0.27 to    24.57)","1.88 (0.23 to    15.09)","1.90 (0.12 to    29.26)","1.65 (0.42 to     6.51)","1.53 (0.34 to     6.94)","1.50 (0.32 to     6.93)","1.42 (0.22 to     9.03)","1.35 (0.21 to     8.64)","1.18 (0.24 to     5.91)","1.08 (0.25 to     4.60)","Erlotinib + chemotherapy","1.02 (0.26 to   4.02)",".",".",".",".",".","."
"25.70 (4.41 to   149.71)","20.75 (0.79 to   546.86)","3.42 (1.18 to     9.92)","5.06 (0.18 to   139.57)","2.66 (1.60 to     4.43)","2.85 (0.55 to    14.82)","2.77 (0.60 to    12.65)","2.73 (0.34 to    21.91)","3.18 (0.09 to   112.52)","2.37 (0.35 to    15.95)","1.73 (0.32 to     9.45)","1.75 (0.16 to    19.80)","1.52 (0.74 to     3.13)","1.41 (0.62 to     3.23)","1.38 (0.55 to     3.48)","1.31 (0.32 to     5.29)","1.24 (0.30 to     5.08)","1.09 (0.40 to     3.00)","0.99 (0.47 to     2.12)","0.92 (0.26 to     3.28)","Erlotinib",".",".","3.00 (0.09 to  97.20)","3.08 (0.09 to 100.47)","2.02 (0.28 to  14.86)","9.38 (0.38 to 233.88)"
"27.37 (4.16 to   180.13)","22.10 (0.78 to   623.00)","3.64 (0.80 to    16.57)","5.39 (0.16 to   178.52)","2.84 (0.83 to     9.66)","3.04 (0.79 to    11.77)","2.95 (0.45 to    19.44)","2.91 (0.30 to    27.76)","3.39 (0.08 to   142.19)","2.52 (0.54 to    11.84)","1.85 (0.52 to     6.61)","1.87 (0.13 to    26.95)","1.62 (0.55 to     4.80)","1.51 (0.38 to     6.04)","1.47 (0.41 to     5.22)","1.40 (0.30 to     6.56)","1.32 (0.39 to     4.50)","1.16 (0.29 to     4.69)","1.06 (0.38 to     2.98)","0.98 (0.19 to     5.11)","1.07 (0.35 to     3.26)","Osimertinib",".",".",".",".","."
"27.41 (6.25 to   120.21)","22.13 (0.97 to   505.16)","3.64 (0.93 to    14.25)","5.39 (0.17 to   170.52)","2.84 (0.96 to     8.36)","3.04 (0.61 to    15.29)","2.95 (0.49 to    17.81)","2.91 (0.34 to    24.59)","3.39 (0.08 to   136.23)","2.53 (0.36 to    17.53)","1.85 (0.33 to    10.42)","1.87 (0.14 to    25.35)","1.62 (0.64 to     4.15)","1.51 (0.43 to     5.34)","1.47 (0.52 to     4.14)","1.40 (0.51 to     3.85)","1.33 (0.37 to     4.75)","1.16 (0.33 to     4.10)","1.06 (0.41 to     2.75)","0.98 (0.21 to     4.63)","1.07 (0.41 to     2.78)","1.00 (0.31 to     3.22)","Gefitinib",".",".",".","."
"77.09 (1.56 to  3805.28)","62.25 (0.53 to  7377.81)","10.25 (0.27 to   389.47)","15.17 (0.12 to  1856.12)","7.99 (0.24 to   268.61)","8.56 (0.18 to   401.76)","8.30 (0.19 to   369.41)","8.19 (0.14 to   472.01)","9.55 (0.07 to  1390.25)","7.11 (0.13 to   375.35)","5.20 (0.11 to   249.10)","5.26 (0.08 to   364.99)","4.57 (0.13 to   159.38)","4.24 (0.12 to   151.38)","4.14 (0.11 to   151.45)","3.93 (0.09 to   166.82)","3.73 (0.09 to   158.97)","3.27 (0.09 to   122.36)","2.98 (0.08 to   104.74)","2.77 (0.07 to   112.24)","3.00 (0.09 to    97.20)","2.82 (0.07 to   108.70)","2.81 (0.08 to   103.77)","Rociletinib",".",".","."
"79.14 (1.59 to  3930.35)","63.91 (0.54 to  7611.91)","10.52 (0.27 to   402.44)","15.58 (0.13 to  1914.96)","8.20 (0.24 to   277.62)","8.79 (0.19 to   415.00)","8.52 (0.19 to   381.61)","8.41 (0.15 to   487.42)","9.80 (0.07 to  1434.07)","7.30 (0.14 to   387.64)","5.34 (0.11 to   257.30)","5.40 (0.08 to   376.81)","4.69 (0.13 to   164.71)","4.36 (0.12 to   156.44)","4.25 (0.12 to   156.51)","4.04 (0.09 to   172.35)","3.83 (0.09 to   164.24)","3.36 (0.09 to   126.44)","3.06 (0.09 to   108.24)","2.84 (0.07 to   115.97)","3.08 (0.09 to   100.47)","2.89 (0.07 to   112.32)","2.89 (0.08 to   107.24)","1.03 (0.01 to   141.18)","Erlotinib + Autophagy inhibitor",".","."
"51.95 (3.63 to   743.87)","41.95 (0.91 to  1935.65)","6.91 (0.72 to    66.27)","10.23 (0.21 to   490.74)","5.38 (0.69 to    42.17)","5.77 (0.43 to    76.66)","5.59 (0.46 to    68.67)","5.52 (0.31 to    98.68)","6.43 (0.11 to   382.63)","4.79 (0.30 to    75.64)","3.50 (0.26 to    48.02)","3.55 (0.15 to    81.84)","3.08 (0.37 to    25.67)","2.86 (0.33 to    24.75)","2.79 (0.31 to    25.15)","2.65 (0.23 to    30.23)","2.51 (0.22 to    28.88)","2.20 (0.24 to    20.63)","2.01 (0.24 to    16.95)","1.87 (0.18 to    19.83)","2.02 (0.28 to    14.86)","1.90 (0.19 to    18.67)","1.90 (0.21 to    17.33)","0.67 (0.01 to    37.15)","0.66 (0.01 to    36.39)","Erlotinib + HER3 inhibitor","."
"241.11 (6.16 to  9436.86)","194.69 (1.98 to 19129.55)","32.05 (1.08 to   948.76)","47.46 (0.47 to  4818.82)","24.98 (0.96 to   648.23)","26.78 (0.72 to   993.09)","25.95 (0.74 to   909.98)","25.62 (0.56 to  1181.60)","29.85 (0.25 to  3633.85)","22.23 (0.53 to   934.74)","16.26 (0.43 to   616.58)","16.46 (0.29 to   923.12)","14.29 (0.53 to   385.73)","13.27 (0.48 to   367.02)","12.96 (0.46 to   367.86)","12.30 (0.37 to   409.60)","11.67 (0.35 to   390.44)","10.22 (0.35 to   297.75)","9.32 (0.34 to   253.65)","8.66 (0.27 to   274.69)","9.38 (0.38 to   233.88)","8.81 (0.29 to   265.11)","8.80 (0.31 to   252.23)","3.13 (0.03 to   356.87)","3.05 (0.03 to   349.33)","4.64 (0.11 to   204.18)","Erlotinib + MMP inhibitor"
