"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.11 (0.00 to   2.67)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to     2.11)","0.23 (0.01 to     8.32)","0.41 (0.05 to     3.55)","0.38 (0.01 to    13.87)","0.51 (0.05 to     4.92)","0.66 (0.19 to     2.37)","0.66 (0.16 to     2.69)","0.71 (0.31 to     1.63)","0.66 (0.14 to     3.00)","0.70 (0.23 to     2.17)","0.77 (0.21 to     2.88)","0.88 (0.17 to     4.55)","0.93 (0.18 to     4.75)","0.98 (0.28 to     3.40)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to     1.90)","0.21 (0.01 to     7.53)","0.38 (0.05 to     2.74)","0.36 (0.01 to    12.55)","0.47 (0.05 to     4.40)","0.61 (0.24 to     1.58)","0.62 (0.21 to     1.83)","0.66 (0.32 to     1.35)","0.61 (0.15 to     2.41)","0.65 (0.26 to     1.61)","0.72 (0.22 to     2.35)","0.82 (0.20 to     3.30)","0.86 (0.21 to     3.46)","0.91 (0.35 to     2.36)","0.93 (0.31 to     2.79)","Chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to     3.44)","0.19 (0.00 to    13.03)","0.33 (0.01 to     7.64)","0.31 (0.00 to    21.72)","0.41 (0.02 to    10.24)","0.53 (0.04 to     7.30)","0.53 (0.04 to     7.79)","0.57 (0.05 to     6.49)","0.53 (0.03 to     8.20)","0.57 (0.04 to     7.23)","0.62 (0.04 to     8.68)","0.71 (0.04 to    11.82)","0.75 (0.05 to    12.39)","0.79 (0.06 to    10.63)","0.80 (0.06 to    10.51)","0.87 (0.07 to    10.98)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to     2.35)","0.19 (0.00 to     9.11)","0.33 (0.04 to     2.68)","0.31 (0.01 to    15.17)","0.41 (0.03 to     6.24)","0.54 (0.09 to     3.07)","0.54 (0.15 to     1.95)","0.58 (0.10 to     3.17)","0.53 (0.07 to     4.33)","0.57 (0.11 to     2.98)","0.63 (0.09 to     4.21)","0.72 (0.12 to     4.24)","0.76 (0.10 to     5.68)","0.80 (0.13 to     4.85)","0.81 (0.12 to     5.42)","0.88 (0.16 to     4.73)","1.01 (0.05 to    19.71)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","."
"0.05 (0.00 to     1.91)","0.14 (0.00 to     7.36)","0.24 (0.03 to     2.35)","0.23 (0.00 to    12.26)","0.30 (0.02 to     5.25)","0.40 (0.06 to     2.77)","0.40 (0.08 to     1.87)","0.42 (0.06 to     2.87)","0.39 (0.04 to     3.79)","0.42 (0.06 to     2.72)","0.46 (0.06 to     3.74)","0.52 (0.07 to     3.81)","0.55 (0.06 to     4.99)","0.58 (0.08 to     4.35)","0.60 (0.07 to     4.82)","0.64 (0.10 to     4.29)","0.74 (0.03 to    16.39)","0.73 (0.10 to     5.49)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".","."
"0.04 (0.00 to     1.71)","0.13 (0.00 to     6.63)","0.24 (0.02 to     3.36)","0.22 (0.00 to    11.04)","0.30 (0.02 to     4.57)","0.39 (0.05 to     2.82)","0.39 (0.05 to     3.07)","0.41 (0.07 to     2.34)","0.38 (0.04 to     3.29)","0.41 (0.06 to     2.73)","0.45 (0.06 to     3.37)","0.51 (0.05 to     4.83)","0.54 (0.06 to     5.05)","0.57 (0.08 to     4.08)","0.58 (0.09 to     4.00)","0.63 (0.10 to     4.13)","0.73 (0.04 to    14.40)","0.72 (0.06 to     8.17)","0.98 (0.07 to    13.01)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".","."
"0.03 (0.00 to     4.11)","0.10 (0.00 to    15.05)","0.18 (0.00 to    10.84)","0.17 (0.00 to    25.08)","0.22 (0.00 to    14.27)","0.29 (0.01 to    11.89)","0.29 (0.01 to    12.46)","0.31 (0.01 to    11.18)","0.29 (0.01 to    12.87)","0.31 (0.01 to    12.01)","0.34 (0.01 to    14.04)","0.39 (0.01 to    18.20)","0.41 (0.01 to    19.11)","0.43 (0.01 to    17.37)","0.44 (0.01 to    17.35)","0.48 (0.01 to    18.30)","0.55 (0.01 to    41.47)","0.55 (0.01 to    28.53)","0.74 (0.01 to    42.88)","0.76 (0.01 to    40.17)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".","."
"0.04 (0.00 to     1.82)","0.12 (0.00 to     6.98)","0.21 (0.01 to     3.50)","0.20 (0.00 to    11.62)","0.26 (0.01 to     5.15)","0.34 (0.04 to     2.93)","0.34 (0.04 to     3.33)","0.37 (0.05 to     2.98)","0.34 (0.03 to     3.84)","0.36 (0.04 to     3.05)","0.40 (0.04 to     3.92)","0.46 (0.04 to     5.06)","0.48 (0.04 to     5.17)","0.51 (0.08 to     3.30)","0.52 (0.05 to     4.92)","0.56 (0.07 to     4.59)","0.64 (0.03 to    15.93)","0.64 (0.05 to     8.62)","0.87 (0.06 to    13.59)","0.88 (0.06 to    13.41)","1.17 (0.02 to    73.27)","Afatinib + Cetuximab",".",".",".",".",".",".","."
"0.04 (0.00 to     1.40)","0.11 (0.00 to     5.44)","0.20 (0.02 to     1.72)","0.19 (0.00 to     9.06)","0.25 (0.02 to     3.70)","0.33 (0.06 to     1.67)","0.33 (0.08 to     1.29)","0.35 (0.07 to     1.85)","0.32 (0.04 to     2.54)","0.35 (0.07 to     1.75)","0.38 (0.06 to     2.45)","0.44 (0.11 to     1.74)","0.46 (0.07 to     3.14)","0.48 (0.08 to     2.80)","0.49 (0.08 to     3.17)","0.53 (0.10 to     2.76)","0.62 (0.03 to    11.69)","0.61 (0.09 to     3.96)","0.83 (0.10 to     6.58)","0.85 (0.08 to     9.34)","1.12 (0.02 to    57.30)","0.96 (0.07 to    12.48)","Lazertinib + Amivantamab",".",".",".",".",".","."
"0.04 (0.00 to     1.04)","0.12 (0.00 to     4.15)","0.22 (0.03 to     1.70)","0.20 (0.01 to     6.92)","0.27 (0.03 to     2.37)","0.35 (0.12 to     1.04)","0.35 (0.10 to     1.21)","0.38 (0.22 to     0.63)","0.35 (0.09 to     1.37)","0.37 (0.15 to     0.93)","0.41 (0.13 to     1.28)","0.47 (0.10 to     2.10)","0.49 (0.11 to     2.18)","0.52 (0.18 to     1.49)","0.53 (0.20 to     1.41)","0.57 (0.24 to     1.38)","0.66 (0.05 to     7.91)","0.65 (0.11 to     3.86)","0.89 (0.12 to     6.46)","0.91 (0.15 to     5.52)","1.19 (0.03 to    44.06)","1.02 (0.12 to     8.84)","1.07 (0.19 to     6.07)","Erlotinib + antiangiogenesis",".",".","0.16 (0.03 to   0.98)",".","."
"0.02 (0.00 to     2.19)","0.06 (0.00 to     8.09)","0.12 (0.00 to     5.60)","0.11 (0.00 to    13.48)","0.14 (0.00 to     7.40)","0.19 (0.01 to     6.00)","0.19 (0.01 to     6.31)","0.20 (0.01 to     5.59)","0.18 (0.01 to     6.54)","0.20 (0.01 to     6.05)","0.22 (0.01 to     7.10)","0.25 (0.01 to     9.27)","0.26 (0.01 to     9.74)","0.28 (0.01 to     8.76)","0.28 (0.01 to     8.74)","0.30 (0.01 to     9.21)","0.35 (0.01 to    21.69)","0.35 (0.01 to    14.64)","0.47 (0.01 to    22.12)","0.48 (0.01 to    20.63)","0.64 (0.00 to    84.07)","0.55 (0.01 to    27.90)","0.57 (0.01 to    23.57)","0.53 (0.02 to    15.50)","Erlotinib + IGF-1R inhibitor(16mg/kg)",".",".",".","."
"0.02 (0.00 to     2.16)","0.06 (0.00 to     7.96)","0.11 (0.00 to     5.50)","0.11 (0.00 to    13.26)","0.14 (0.00 to     7.27)","0.19 (0.01 to     5.89)","0.19 (0.01 to     6.19)","0.20 (0.01 to     5.49)","0.18 (0.01 to     6.42)","0.20 (0.01 to     5.93)","0.22 (0.01 to     6.97)","0.25 (0.01 to     9.10)","0.26 (0.01 to     9.56)","0.27 (0.01 to     8.60)","0.28 (0.01 to     8.58)","0.30 (0.01 to     9.03)","0.35 (0.01 to    21.31)","0.34 (0.01 to    14.37)","0.47 (0.01 to    21.72)","0.48 (0.01 to    20.26)","0.63 (0.00 to    82.68)","0.54 (0.01 to    27.41)","0.56 (0.01 to    23.15)","0.53 (0.02 to    15.20)","0.99 (0.01 to   109.29)","Erlotinib + ER inhibitor",".",".","."
"0.03 (0.00 to     0.93)","0.09 (0.00 to     3.64)","0.17 (0.02 to     1.59)","0.16 (0.00 to     6.07)","0.21 (0.02 to     2.23)","0.27 (0.07 to     1.07)","0.27 (0.06 to     1.26)","0.29 (0.10 to     0.85)","0.27 (0.05 to     1.42)","0.29 (0.08 to     1.05)","0.32 (0.07 to     1.37)","0.36 (0.06 to     2.06)","0.38 (0.07 to     2.11)","0.40 (0.10 to     1.62)","0.41 (0.11 to     1.60)","0.44 (0.12 to     1.58)","0.51 (0.04 to     7.28)","0.50 (0.07 to     3.70)","0.69 (0.08 to     6.08)","0.70 (0.09 to     5.39)","0.93 (0.02 to    38.55)","0.79 (0.08 to     8.22)","0.83 (0.12 to     5.82)","0.78 (0.25 to     2.37)","1.45 (0.04 to    48.17)","1.47 (0.04 to    48.38)","Antiangiogenesis",".","."
"0.01 (0.00 to     0.51)","0.02 (0.00 to     1.88)","0.03 (0.00 to     1.16)","0.03 (0.00 to     3.14)","0.03 (0.00 to     1.71)","0.05 (0.00 to     1.04)","0.05 (0.00 to     1.29)","0.05 (0.00 to     1.28)","0.04 (0.00 to     1.48)","0.05 (0.00 to     1.27)","0.05 (0.00 to     1.55)","0.06 (0.00 to     1.77)","0.06 (0.00 to     1.71)","0.07 (0.00 to     1.81)","0.07 (0.00 to     2.01)","0.07 (0.00 to     1.94)","0.08 (0.00 to     5.02)","0.08 (0.00 to     3.02)","0.11 (0.00 to     4.58)","0.12 (0.00 to     4.75)","0.15 (0.00 to    19.58)","0.13 (0.00 to     5.87)","0.14 (0.00 to     4.70)","0.13 (0.00 to     3.54)","0.24 (0.00 to    25.86)","0.24 (0.00 to    26.02)","0.17 (0.01 to     5.08)","Almonertinib","."
"0.00 (0.00 to     0.16)","0.01 (0.00 to     0.63)","0.02 (0.00 to     0.28)","0.02 (0.00 to     1.06)","0.03 (0.00 to     0.44)","0.04 (0.01 to     0.16)","0.04 (0.01 to     0.24)","0.04 (0.01 to     0.23)","0.04 (0.00 to     0.31)","0.04 (0.01 to     0.23)","0.04 (0.01 to     0.30)","0.05 (0.01 to     0.35)","0.05 (0.01 to     0.31)","0.05 (0.01 to     0.33)","0.06 (0.01 to     0.39)","0.06 (0.01 to     0.35)","0.07 (0.00 to     1.39)","0.07 (0.01 to     0.67)","0.09 (0.01 to     1.07)","0.09 (0.01 to     1.12)","0.12 (0.00 to     6.69)","0.11 (0.01 to     1.45)","0.11 (0.01 to     1.01)","0.10 (0.02 to     0.66)","0.19 (0.00 to     8.49)","0.20 (0.00 to     8.53)","0.13 (0.02 to     1.01)","0.81 (0.03 to    25.95)","Gefitinib + antiangiogenesis"
