"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.39 (6.19 to 121.26)",".",".",".",".","."
"18.17 (2.57 to   128.75)","14.68 (0.50 to   432.47)","2.44 (0.63 to     9.47)","3.58 (0.12 to   110.23)","3.54 (0.11 to   109.77)","1.89 (0.71 to     5.01)","2.02 (0.32 to    12.94)","1.93 (0.20 to    18.40)","2.26 (0.06 to    88.22)","1.71 (0.25 to    11.69)","1.68 (0.21 to    13.57)","1.23 (0.18 to     8.19)","1.24 (0.10 to    16.24)","1.08 (0.36 to     3.25)","Erlotinib + MET inhibitor",".",".",".",".",".",".","1.41 (0.61 to   3.24)",".",".",".",".",".",".","."
"18.59 (3.03 to   114.13)","15.02 (0.55 to   407.98)","2.49 (0.62 to    10.03)","3.67 (0.12 to   115.60)","3.62 (0.11 to   115.11)","1.93 (0.67 to     5.57)","2.07 (0.36 to    11.93)","1.98 (0.30 to    12.92)","2.31 (0.06 to    92.37)","1.75 (0.24 to    12.50)","1.72 (0.23 to    12.82)","1.26 (0.21 to     7.67)","1.27 (0.09 to    17.17)","1.10 (0.42 to     2.87)","1.02 (0.29 to     3.56)","Afatinib",".",".",".","3.19 (0.49 to  21.04)",".","1.23 (0.27 to   5.48)",".","1.48 (0.28 to   7.85)",".",".",".",".","."
"19.57 (3.22 to   118.99)","15.81 (0.59 to   427.29)","2.62 (0.47 to    14.51)","3.86 (0.10 to   142.45)","3.82 (0.10 to   141.80)","2.03 (0.46 to     9.03)","2.18 (0.32 to    14.86)","2.08 (0.19 to    22.41)","2.43 (0.05 to   112.72)","1.84 (0.20 to    17.15)","1.81 (0.20 to    16.31)","1.32 (0.18 to     9.95)","1.34 (0.08 to    22.20)","1.16 (0.29 to     4.67)","1.08 (0.21 to     5.51)","1.05 (0.25 to     4.52)","Gefitinib + chemotherapy",".",".",".",".",".",".","1.40 (0.50 to   3.89)",".",".",".",".","."
"20.65 (2.89 to   147.58)","16.69 (0.56 to   493.90)","2.77 (0.49 to    15.75)","4.07 (0.11 to   151.05)","4.03 (0.11 to   150.36)","2.15 (0.48 to     9.65)","2.30 (0.57 to     9.19)","2.20 (0.20 to    24.41)","2.56 (0.05 to   119.49)","1.94 (0.21 to    18.24)","1.91 (0.26 to    13.87)","1.40 (0.24 to     8.27)","1.41 (0.08 to    23.58)","1.23 (0.30 to     4.96)","1.14 (0.22 to     5.88)","1.11 (0.25 to     5.02)","1.06 (0.20 to     5.45)","Lazertinib",".",".",".",".","1.49 (0.33 to   6.72)","1.15 (0.22 to   6.00)",".",".",".",".","."
"23.54 (3.33 to   166.10)","19.01 (0.65 to   558.80)","3.15 (0.73 to    13.67)","4.64 (0.14 to   150.10)","4.59 (0.14 to   149.46)","2.44 (0.78 to     7.64)","2.62 (0.41 to    16.80)","2.50 (0.26 to    24.55)","2.92 (0.07 to   119.74)","2.22 (0.30 to    16.54)","2.17 (0.27 to    17.65)","1.59 (0.24 to    10.66)","1.61 (0.12 to    22.48)","1.40 (0.43 to     4.59)","1.29 (0.35 to     4.82)","1.27 (0.35 to     4.65)","1.20 (0.24 to     6.12)","1.14 (0.22 to     5.90)","Dacomitinib","1.14 (0.22 to   6.04)",".","0.85 (0.24 to   3.09)",".","4.98 (0.18 to 137.05)",".",".",".",".","."
"25.85 (4.41 to   151.71)","20.89 (0.79 to   553.64)","3.46 (0.95 to    12.61)","5.10 (0.17 to   154.28)","5.04 (0.17 to   153.64)","2.69 (1.07 to     6.71)","2.87 (0.57 to    14.48)","2.75 (0.33 to    23.09)","3.21 (0.08 to   123.61)","2.43 (0.37 to    16.16)","2.39 (0.37 to    15.50)","1.75 (0.34 to     9.12)","1.77 (0.14 to    22.61)","1.54 (0.62 to     3.79)","1.42 (0.46 to     4.39)","1.39 (0.51 to     3.79)","1.32 (0.33 to     5.36)","1.25 (0.31 to     4.98)","1.10 (0.37 to     3.24)","Placebo",".","1.67 (0.60 to   4.64)","1.02 (0.26 to   4.04)","0.60 (0.12 to   2.95)",".",".",".",".","."
"27.73 (3.22 to   238.60)","22.41 (0.68 to   741.13)","3.72 (0.71 to    19.56)","5.47 (0.16 to   192.10)","5.41 (0.15 to   191.25)","2.88 (0.73 to    11.35)","3.08 (0.39 to    24.17)","2.95 (0.26 to    33.45)","3.44 (0.08 to   152.46)","2.61 (0.30 to    22.41)","2.56 (0.26 to    24.83)","1.88 (0.23 to    15.25)","1.90 (0.12 to    29.51)","1.65 (0.41 to     6.54)","1.53 (0.33 to     6.97)","1.49 (0.32 to     6.97)","1.42 (0.22 to     9.11)","1.34 (0.21 to     8.71)","1.18 (0.23 to     5.95)","1.07 (0.25 to     4.62)","Erlotinib + chemotherapy","1.02 (0.26 to   4.05)",".",".",".",".",".",".","."
"25.64 (4.36 to   150.96)","20.72 (0.78 to   550.09)","3.44 (1.17 to    10.06)","5.06 (0.18 to   140.39)","5.00 (0.18 to   139.84)","2.66 (1.60 to     4.45)","2.85 (0.54 to    15.00)","2.73 (0.34 to    22.15)","3.18 (0.09 to   113.14)","2.41 (0.43 to    13.66)","2.37 (0.35 to    16.12)","1.73 (0.32 to     9.54)","1.75 (0.15 to    19.96)","1.52 (0.74 to     3.14)","1.41 (0.61 to     3.24)","1.38 (0.54 to     3.49)","1.31 (0.32 to     5.34)","1.24 (0.30 to     5.12)","1.09 (0.39 to     3.02)","0.99 (0.46 to     2.12)","0.92 (0.26 to     3.30)","Erlotinib",".",".","1.40 (0.17 to  11.64)","1.85 (0.06 to  60.65)",".","3.08 (0.09 to 101.04)","9.38 (0.37 to 235.31)"
"27.34 (4.11 to   182.08)","22.09 (0.78 to   627.99)","3.66 (0.80 to    16.86)","5.39 (0.16 to   180.12)","5.33 (0.16 to   179.34)","2.84 (0.83 to     9.75)","3.04 (0.78 to    11.92)","2.91 (0.30 to    28.13)","3.39 (0.08 to   143.40)","2.57 (0.33 to    20.31)","2.53 (0.53 to    11.95)","1.85 (0.51 to     6.67)","1.87 (0.13 to    27.25)","1.62 (0.55 to     4.84)","1.50 (0.37 to     6.09)","1.47 (0.41 to     5.27)","1.40 (0.29 to     6.63)","1.32 (0.39 to     4.54)","1.16 (0.29 to     4.73)","1.06 (0.37 to     3.00)","0.99 (0.19 to     5.17)","1.07 (0.35 to     3.28)","Osimertinib",".",".",".","1.63 (0.31 to   8.48)",".","."
"27.39 (6.19 to   121.26)","22.13 (0.96 to   508.33)","3.67 (0.93 to    14.47)","5.40 (0.17 to   171.97)","5.34 (0.17 to   171.24)","2.85 (0.96 to     8.42)","3.04 (0.60 to    15.50)","2.91 (0.34 to    24.90)","3.40 (0.08 to   137.33)","2.58 (0.35 to    18.73)","2.53 (0.36 to    17.75)","1.85 (0.33 to    10.55)","1.87 (0.14 to    25.63)","1.63 (0.63 to     4.18)","1.51 (0.42 to     5.38)","1.47 (0.52 to     4.17)","1.40 (0.50 to     3.89)","1.33 (0.37 to     4.80)","1.16 (0.33 to     4.13)","1.06 (0.41 to     2.76)","0.99 (0.21 to     4.68)","1.07 (0.41 to     2.80)","1.00 (0.31 to     3.24)","Gefitinib",".",".",".",".","."
"35.90 (2.27 to   568.17)","29.00 (0.59 to  1437.83)","4.81 (0.45 to    51.69)","7.08 (0.14 to   364.39)","7.00 (0.14 to   362.52)","3.73 (0.42 to    32.95)","3.99 (0.27 to    58.86)","3.82 (0.19 to    75.06)","4.45 (0.07 to   283.09)","3.38 (0.22 to    52.14)","3.32 (0.19 to    57.72)","2.43 (0.16 to    36.82)","2.46 (0.10 to    61.74)","2.13 (0.23 to    19.98)","1.98 (0.20 to    19.21)","1.93 (0.19 to    19.51)","1.83 (0.14 to    23.29)","1.74 (0.14 to    22.22)","1.53 (0.15 to    15.99)","1.39 (0.15 to    13.18)","1.29 (0.11 to    15.31)","1.40 (0.17 to    11.64)","1.31 (0.12 to    14.44)","1.31 (0.13 to    13.43)","Erlotinib + HER3 inhibitor(18 mg)",".",".",".","."
"47.40 (0.95 to  2377.36)","38.30 (0.32 to  4604.13)","6.35 (0.16 to   244.93)","9.35 (0.08 to  1158.84)","9.24 (0.07 to  1151.56)","4.92 (0.14 to   167.71)","5.27 (0.11 to   251.52)","5.04 (0.09 to   295.49)","5.88 (0.04 to   867.58)","4.46 (0.09 to   219.82)","4.38 (0.08 to   234.97)","3.21 (0.07 to   156.06)","3.24 (0.05 to   228.28)","2.82 (0.08 to    99.47)","2.61 (0.07 to    94.35)","2.55 (0.07 to    94.50)","2.42 (0.06 to   104.31)","2.30 (0.05 to    99.33)","2.01 (0.05 to    76.44)","1.83 (0.05 to    65.31)","1.71 (0.04 to    70.20)","1.85 (0.06 to    60.65)","1.73 (0.04 to    67.86)","1.73 (0.05 to    64.71)","1.32 (0.02 to    78.32)","Rociletinib(625mg)",".",".","."
"44.50 (3.60 to   549.49)","35.95 (0.86 to  1501.41)","5.96 (0.63 to    56.45)","8.78 (0.18 to   423.82)","8.68 (0.18 to   421.69)","4.62 (0.59 to    36.27)","4.95 (0.58 to    42.14)","4.73 (0.29 to    78.30)","5.52 (0.09 to   330.34)","4.19 (0.30 to    58.93)","4.11 (0.43 to    39.65)","3.01 (0.37 to    24.33)","3.04 (0.13 to    70.78)","2.64 (0.37 to    19.11)","2.45 (0.28 to    21.29)","2.39 (0.30 to    19.28)","2.27 (0.24 to    21.99)","2.15 (0.27 to    16.91)","1.89 (0.22 to    16.51)","1.72 (0.24 to    12.11)","1.60 (0.15 to    16.63)","1.74 (0.24 to    12.78)","1.63 (0.31 to     8.48)","1.62 (0.21 to    12.32)","1.24 (0.07 to    22.77)","0.94 (0.02 to    52.37)","Gefitinib/Erlotinib",".","."
"78.98 (1.58 to  3960.55)","63.81 (0.53 to  7670.46)","10.58 (0.27 to   408.04)","15.58 (0.13 to  1930.62)","15.40 (0.12 to  1918.50)","8.20 (0.24 to   279.40)","8.78 (0.18 to   419.02)","8.40 (0.14 to   492.28)","9.80 (0.07 to  1445.39)","7.43 (0.15 to   366.21)","7.29 (0.14 to   391.45)","5.34 (0.11 to   259.98)","5.40 (0.08 to   380.30)","4.69 (0.13 to   165.71)","4.35 (0.12 to   157.17)","4.25 (0.11 to   157.43)","4.04 (0.09 to   173.77)","3.82 (0.09 to   165.47)","3.36 (0.09 to   127.35)","3.05 (0.09 to   108.80)","2.85 (0.07 to   116.95)","3.08 (0.09 to   101.04)","2.89 (0.07 to   113.05)","2.88 (0.08 to   107.79)","2.20 (0.04 to   130.47)","1.67 (0.01 to   232.09)","1.77 (0.03 to    98.99)","Erlotinib + Autophagy inhibitor","."
"240.61 (6.08 to  9515.33)","194.40 (1.96 to 19284.10)","32.25 (1.08 to   962.51)","47.46 (0.46 to  4859.88)","46.91 (0.46 to  4830.40)","24.99 (0.96 to   652.70)","26.75 (0.71 to  1003.46)","25.59 (0.55 to  1194.17)","29.85 (0.24 to  3663.64)","22.65 (0.58 to   878.82)","22.22 (0.52 to   944.52)","16.28 (0.43 to   623.38)","16.46 (0.29 to   932.15)","14.29 (0.53 to   388.27)","13.24 (0.48 to   368.94)","12.95 (0.45 to   370.23)","12.29 (0.37 to   413.22)","11.65 (0.34 to   393.62)","10.22 (0.35 to   300.04)","9.31 (0.34 to   255.07)","8.68 (0.27 to   277.16)","9.38 (0.37 to   235.31)","8.80 (0.29 to   266.97)","8.78 (0.30 to   253.68)","6.70 (0.14 to   316.72)","5.08 (0.04 to   586.97)","5.41 (0.12 to   239.43)","3.05 (0.03 to   352.22)","Erlotinib + MMP inhibitor"
