"Rociletinib(625mg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.47 (2.36 to  17.68)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.16 (0.29 to    4.56)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","2.93 (1.54 to   5.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.76 (1.34 to   16.90)","4.11 (1.24 to   13.64)","8.25 (0.40 to  168.90)","3.88 (1.37 to   10.98)","5.65 (0.24 to  134.72)","5.03 (0.22 to  115.39)","2.18 (0.73 to    6.52)","2.42 (0.46 to   12.72)","1.88 (0.56 to    6.31)","2.06 (0.38 to   11.06)","1.57 (0.46 to    5.36)","2.16 (0.07 to   62.44)","1.40 (0.51 to    3.86)","1.23 (0.24 to    6.17)","Erlotinib + chemotherapy",".","1.03 (0.17 to   6.09)",".",".",".",".",".","1.45 (0.64 to   3.31)",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.91 (0.87 to   27.79)","4.24 (0.82 to   21.97)","8.51 (0.33 to  217.79)","4.00 (0.83 to   19.26)","5.82 (0.20 to  166.82)","5.19 (0.19 to  143.20)","2.25 (0.47 to   10.82)","2.49 (0.32 to   19.16)","1.94 (0.37 to   10.11)","2.12 (0.27 to   16.59)","1.62 (0.31 to    8.53)","2.23 (0.06 to   76.55)","1.45 (0.32 to    6.57)","1.27 (0.17 to    9.37)","1.03 (0.21 to    5.12)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".","1.35 (0.37 to   4.98)",".",".",".",".",".",".",".",".",".",".",".","."
"5.45 (1.84 to   16.16)","4.71 (1.80 to   12.28)","9.45 (0.50 to  180.11)","4.44 (1.98 to    9.96)","6.46 (0.30 to  141.22)","5.76 (0.27 to  120.82)","2.50 (1.09 to    5.70)","2.77 (0.60 to   12.76)","2.16 (0.82 to    5.68)","2.36 (0.50 to   11.11)","1.80 (0.67 to    4.84)","2.47 (0.09 to   65.79)","1.61 (0.79 to    3.27)","1.40 (0.32 to    6.16)","1.14 (0.49 to    2.65)","1.11 (0.26 to    4.70)","Chemotherapy",".",".",".",".",".","1.20 (0.75 to   1.91)","2.70 (0.57 to  12.69)","0.87 (0.31 to   2.47)",".",".",".",".",".",".",".",".",".",".","."
"5.82 (1.44 to   23.57)","5.02 (1.46 to   17.33)","10.09 (0.47 to  218.71)","4.74 (1.46 to   15.37)","6.90 (0.31 to  152.50)","6.15 (0.29 to  130.49)","2.67 (0.86 to    8.31)","2.96 (0.51 to   17.24)","2.30 (0.68 to    7.85)","2.51 (0.42 to   14.97)","1.92 (0.57 to    6.47)","2.64 (0.10 to   71.00)","1.71 (0.60 to    4.93)","1.50 (0.27 to    8.38)","1.22 (0.36 to    4.17)","1.19 (0.23 to    6.14)","1.07 (0.40 to    2.84)","Furmonertinib",".",".",".",".",".",".","1.15 (0.56 to   2.36)",".",".",".",".",".",".",".",".",".",".","."
"5.89 (1.22 to   28.50)","5.08 (1.21 to   21.38)","10.20 (0.43 to  240.87)","4.79 (1.20 to   19.14)","6.98 (0.29 to  167.87)","6.22 (0.27 to  143.80)","2.70 (0.70 to   10.41)","2.99 (0.44 to   20.15)","2.33 (0.56 to    9.70)","2.54 (0.37 to   17.47)","1.94 (0.47 to    8.01)","2.67 (0.09 to   77.77)","1.73 (0.48 to    6.26)","1.52 (0.23 to    9.83)","1.24 (0.30 to    5.16)","1.20 (0.20 to    7.25)","1.08 (0.32 to    3.66)","1.01 (0.29 to    3.53)","Gefitinib + chemotherapy",".",".",".",".",".","1.14 (0.41 to   3.16)",".",".",".",".",".",".",".",".",".",".","."
"6.01 (1.63 to   22.17)","5.19 (1.67 to   16.08)","10.41 (0.50 to  216.66)","4.89 (1.69 to   14.18)","7.12 (0.34 to  151.12)","6.35 (0.31 to  129.24)","2.75 (0.99 to    7.64)","3.05 (0.56 to   16.54)","2.38 (0.78 to    7.28)","2.60 (0.47 to   14.37)","1.98 (0.66 to    5.99)","2.72 (0.11 to   70.53)","1.77 (0.70 to    4.49)","1.55 (0.30 to    8.03)","1.26 (0.41 to    3.87)","1.22 (0.26 to    5.86)","1.10 (0.48 to    2.55)","1.03 (0.43 to    2.49)","1.02 (0.33 to    3.20)","Almonertinib",".",".",".",".","1.11 (0.67 to   1.86)",".",".",".",".",".",".",".",".",".",".","."
"6.37 (2.22 to   18.25)","5.49 (2.06 to   14.66)","11.03 (0.59 to  207.76)","5.18 (2.45 to   10.98)","7.55 (0.34 to  167.06)","6.72 (0.32 to  142.95)","2.92 (1.25 to    6.83)","3.23 (0.72 to   14.55)","2.52 (0.93 to    6.79)","2.75 (0.60 to   12.67)","2.10 (0.76 to    5.80)","2.88 (0.11 to   77.77)","1.87 (0.89 to    3.93)","1.64 (0.38 to    7.02)","1.34 (0.58 to    3.06)","1.30 (0.31 to    5.50)","1.17 (0.70 to    1.96)","1.09 (0.39 to    3.03)","1.08 (0.31 to    3.79)","1.06 (0.44 to    2.57)","Erlotinib + antiangiogenesis",".","1.03 (0.75 to   1.41)",".",".",".",".",".",".",".",".",".",".",".",".","."
"6.45 (1.53 to   27.20)","5.57 (1.47 to   21.09)","11.18 (0.51 to  246.92)","5.25 (1.52 to   18.15)","7.65 (0.31 to  190.11)","6.81 (0.28 to  162.92)","2.95 (0.86 to   10.20)","3.28 (0.54 to   19.73)","2.55 (0.67 to    9.72)","2.79 (0.45 to   17.12)","2.13 (0.55 to    8.22)","2.92 (0.10 to   87.91)","1.90 (0.59 to    6.09)","1.66 (0.29 to    9.60)","1.35 (0.38 to    4.87)","1.31 (0.27 to    6.34)","1.18 (0.41 to    3.45)","1.11 (0.29 to    4.19)","1.10 (0.24 to    5.00)","1.07 (0.31 to    3.68)","1.01 (0.35 to    2.97)","Afatinib + Cetuximab",".","1.03 (0.43 to   2.47)",".",".",".",".",".",".",".",".",".",".",".","."
"6.47 (2.36 to   17.68)","5.58 (2.20 to   14.15)","11.20 (0.60 to  207.51)","5.26 (2.61 to   10.62)","7.66 (0.35 to  167.04)","6.83 (0.33 to  142.91)","2.96 (1.34 to    6.53)","3.28 (0.75 to   14.30)","2.56 (1.00 to    6.56)","2.79 (0.63 to   12.46)","2.13 (0.81 to    5.61)","2.93 (0.11 to   77.83)","1.90 (0.97 to    3.72)","1.67 (0.40 to    6.90)","1.36 (0.63 to    2.93)","1.32 (0.32 to    5.40)","1.19 (0.79 to    1.79)","1.11 (0.42 to    2.93)","1.10 (0.33 to    3.70)","1.08 (0.47 to    2.47)","1.02 (0.74 to    1.39)","1.00 (0.36 to    2.80)","Erlotinib","1.06 (0.53 to   2.10)",".",".","1.11 (0.61 to   2.00)","1.25 (0.30 to   5.18)","1.14 (0.63 to   2.06)",".",".","1.38 (0.65 to   2.93)","3.11 (0.12 to  78.18)","1.49 (0.80 to   2.77)",".","9.00 (0.27 to 299.86)"
"6.63 (2.12 to   20.72)","5.72 (2.10 to   15.56)","11.49 (0.59 to  223.37)","5.40 (2.25 to   12.95)","7.86 (0.36 to  172.82)","7.00 (0.33 to  147.87)","3.04 (1.27 to    7.27)","3.37 (0.70 to   16.11)","2.62 (0.96 to    7.19)","2.86 (0.58 to   14.02)","2.19 (0.78 to    6.11)","3.00 (0.11 to   80.48)","1.95 (0.91 to    4.20)","1.71 (0.37 to    7.79)","1.39 (0.55 to    3.53)","1.35 (0.37 to    4.98)","1.22 (0.66 to    2.24)","1.14 (0.42 to    3.09)","1.13 (0.33 to    3.88)","1.10 (0.46 to    2.62)","1.04 (0.56 to    1.93)","1.03 (0.43 to    2.47)","1.03 (0.60 to    1.75)","Afatinib","0.99 (0.33 to   3.01)",".",".",".",".",".",".","2.27 (0.70 to   7.34)",".",".",".","."
