"Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","26.60 (1.57 to 452.28)",".",".",".",".",".","."
"18.20 (0.85 to  390.23)","3.19 (0.89 to   11.39)","4.06 (0.17 to   99.72)","2.16 (0.46 to   10.27)","2.38 (0.36 to   15.73)","1.86 (0.37 to    9.41)","2.55 (0.08 to   81.07)","1.61 (0.31 to    8.26)","1.31 (0.36 to    4.76)","1.29 (0.41 to    4.05)","1.21 (0.42 to    3.48)","1.16 (0.38 to    3.50)","1.15 (0.41 to    3.22)","1.02 (0.34 to    3.09)","Erlotinib + chemotherapy",".",".",".",".","1.25 (0.47 to   3.29)",".",".",".",".",".",".",".","."
"21.78 (0.54 to  876.62)","3.82 (0.34 to   43.13)","4.86 (0.11 to  219.03)","2.59 (0.20 to   34.34)","2.85 (0.17 to   46.70)","2.23 (0.16 to   30.71)","3.06 (0.05 to  171.35)","1.93 (0.14 to   26.81)","1.57 (0.14 to   17.85)","1.54 (0.15 to   16.32)","1.45 (0.14 to   14.73)","1.39 (0.13 to   14.42)","1.37 (0.14 to   13.78)","1.22 (0.12 to   12.68)","1.20 (0.10 to   14.27)","DHFR inhibitor",".",".",".","1.04 (0.11 to  10.19)",".",".",".",".",".",".",".","."
"22.23 (0.55 to  904.09)","3.90 (0.34 to   44.73)","4.96 (0.11 to  225.82)","2.64 (0.20 to   35.57)","2.91 (0.18 to   48.33)","2.27 (0.16 to   31.81)","3.12 (0.06 to  176.56)","1.97 (0.14 to   27.77)","1.60 (0.14 to   18.51)","1.57 (0.15 to   16.93)","1.48 (0.14 to   15.29)","1.42 (0.13 to   14.97)","1.40 (0.14 to   14.30)","1.24 (0.12 to   13.16)","1.22 (0.10 to   14.80)","1.02 (0.04 to   25.98)","Rociletinib",".",".","1.02 (0.10 to  10.15)",".",".",".",".",".",".",".","."
"21.20 (1.13 to  396.11)","3.72 (2.20 to    6.28)","4.73 (0.21 to  107.81)","2.52 (0.92 to    6.89)","2.77 (0.50 to   15.25)","2.17 (0.50 to    9.41)","2.97 (0.10 to   88.14)","1.88 (0.48 to    7.30)","1.52 (0.79 to    2.93)","1.50 (0.60 to    3.75)","1.42 (0.64 to    3.14)","1.35 (0.69 to    2.64)","1.34 (0.62 to    2.88)","1.19 (0.56 to    2.53)","1.17 (0.35 to    3.83)","0.97 (0.09 to   10.53)","0.95 (0.09 to   10.49)","Osimertinib","1.02 (0.46 to   2.28)",".",".",".",".","1.82 (0.38 to   8.85)",".",".",".","3.08 (1.05 to   9.07)"
"22.81 (1.24 to  418.07)","4.00 (1.83 to    8.73)","5.09 (0.23 to  111.57)","2.71 (0.83 to    8.87)","2.99 (0.58 to   15.49)","2.33 (0.59 to    9.30)","3.20 (0.11 to   91.50)","2.02 (0.54 to    7.53)","1.64 (0.72 to    3.72)","1.61 (0.74 to    3.50)","1.52 (0.81 to    2.85)","1.45 (0.79 to    2.69)","1.44 (0.79 to    2.60)","1.28 (0.69 to    2.36)","1.25 (0.42 to    3.70)","1.05 (0.10 to   10.76)","1.03 (0.10 to   10.73)","1.08 (0.57 to    2.02)","Placebo","1.58 (0.84 to   2.95)","0.66 (0.22 to   1.93)","0.58 (0.17 to   2.03)",".",".",".",".",".","."
"22.68 (1.24 to  415.34)","3.98 (1.75 to    9.05)","5.06 (0.24 to  106.89)","2.70 (0.80 to    9.11)","2.97 (0.59 to   14.98)","2.32 (0.63 to    8.49)","3.18 (0.12 to   87.92)","2.01 (0.54 to    7.47)","1.63 (0.70 to    3.81)","1.60 (0.87 to    2.95)","1.51 (1.01 to    2.27)","1.45 (0.85 to    2.45)","1.43 (1.01 to    2.02)","1.27 (0.74 to    2.17)","1.25 (0.47 to    3.29)","1.04 (0.11 to   10.19)","1.02 (0.10 to   10.15)","1.07 (0.54 to    2.12)","0.99 (0.62 to    1.61)","Erlotinib","1.37 (0.66 to   2.85)",".","1.56 (0.37 to   6.50)",".","1.83 (0.38 to   8.87)","3.08 (0.12 to  78.02)","3.11 (0.12 to  78.18)","."
"23.79 (1.25 to  453.09)","4.17 (1.60 to   10.89)","5.30 (0.24 to  118.95)","2.83 (0.76 to   10.53)","3.11 (0.56 to   17.19)","2.43 (0.58 to   10.18)","3.34 (0.11 to   97.38)","2.11 (0.52 to    8.53)","1.71 (0.64 to    4.57)","1.68 (0.71 to    3.97)","1.59 (0.77 to    3.29)","1.52 (0.71 to    3.25)","1.50 (0.75 to    3.01)","1.33 (0.62 to    2.87)","1.31 (0.42 to    4.10)","1.09 (0.10 to   11.56)","1.07 (0.10 to   11.52)","1.12 (0.48 to    2.62)","1.04 (0.54 to    2.03)","1.05 (0.57 to    1.92)","Dacomitinib","1.65 (0.22 to  12.61)",".",".",".",".",".","."
"26.60 (1.57 to  452.28)","4.67 (2.04 to   10.70)","5.93 (0.26 to  134.32)","3.16 (0.91 to   11.01)","3.48 (0.66 to   18.24)","2.72 (0.64 to   11.63)","3.73 (0.13 to  109.88)","2.36 (0.75 to    7.36)","1.91 (0.86 to    4.27)","1.88 (0.77 to    4.60)","1.78 (0.82 to    3.83)","1.70 (0.88 to    3.25)","1.68 (0.80 to    3.51)","1.49 (0.78 to    2.83)","1.46 (0.45 to    4.71)","1.22 (0.11 to   13.09)","1.20 (0.11 to   13.04)","1.25 (0.60 to    2.62)","1.17 (0.60 to    2.25)","1.17 (0.61 to    2.25)","1.12 (0.50 to    2.52)","Gefitinib",".",".",".",".",".","."
"35.42 (1.39 to  903.00)","6.21 (1.20 to   32.23)","7.90 (0.27 to  229.14)","4.21 (0.65 to   27.46)","4.64 (0.54 to   40.09)","3.62 (0.53 to   24.91)","4.97 (0.13 to  184.11)","3.14 (0.45 to   21.81)","2.55 (0.48 to   13.40)","2.50 (0.53 to   11.82)","2.36 (0.54 to   10.41)","2.26 (0.49 to   10.33)","2.23 (0.51 to    9.69)","1.98 (0.43 to    9.10)","1.95 (0.35 to   10.93)","1.63 (0.11 to   23.95)","1.59 (0.11 to   23.82)","1.67 (0.34 to    8.13)","1.55 (0.34 to    6.99)","1.56 (0.37 to    6.50)","1.49 (0.32 to    7.01)","1.33 (0.28 to    6.39)","Erlotinib + HER3 inhibitor",".",".",".",".","."
"38.68 (1.39 to 1076.84)","6.79 (1.28 to   35.83)","8.62 (0.26 to  286.52)","4.60 (0.71 to   29.90)","5.06 (0.50 to   51.68)","3.96 (0.46 to   34.16)","5.43 (0.13 to  228.18)","3.43 (0.43 to   27.49)","2.78 (0.50 to   15.37)","2.73 (0.44 to   16.99)","2.58 (0.44 to   15.14)","2.47 (0.44 to   13.70)","2.44 (0.42 to   14.11)","2.16 (0.38 to   12.47)","2.13 (0.29 to   15.35)","1.78 (0.10 to   30.93)","1.74 (0.10 to   30.73)","1.82 (0.38 to    8.85)","1.70 (0.31 to    9.28)","1.71 (0.30 to    9.54)","1.63 (0.27 to    9.76)","1.45 (0.25 to    8.31)","1.09 (0.12 to   10.22)","Osimertinib + antiangiogenesis",".",".",".","."
"41.41 (1.51 to 1133.27)","7.26 (1.22 to   43.13)","9.23 (0.30 to  286.81)","4.92 (0.67 to   36.19)","5.42 (0.56 to   52.05)","4.24 (0.55 to   32.73)","5.81 (0.15 to  229.40)","3.67 (0.47 to   28.64)","2.98 (0.49 to   17.91)","2.93 (0.54 to   15.93)","2.76 (0.54 to   14.13)","2.64 (0.50 to   13.97)","2.61 (0.52 to   13.16)","2.32 (0.44 to   12.30)","2.28 (0.36 to   14.55)","1.90 (0.12 to   30.48)","1.86 (0.11 to   30.30)","1.95 (0.35 to   10.94)","1.82 (0.35 to    9.47)","1.83 (0.38 to    8.87)","1.74 (0.32 to    9.46)","1.56 (0.28 to    8.61)","1.17 (0.14 to    9.83)","1.07 (0.10 to   11.08)","Erlotinib + MMP inhibitor",".",".","."
"69.87 (0.90 to 5398.82)","12.26 (0.44 to  344.07)","15.58 (0.18 to 1326.63)","8.30 (0.26 to  262.56)","9.14 (0.25 to  339.58)","7.15 (0.22 to  232.57)","9.80 (0.10 to 1007.32)","6.19 (0.19 to  202.66)","5.02 (0.18 to  141.99)","4.94 (0.18 to  132.44)","4.66 (0.18 to  121.14)","4.45 (0.17 to  117.75)","4.40 (0.17 to  113.57)","3.91 (0.15 to  103.48)","3.84 (0.13 to  112.19)","3.21 (0.06 to  167.51)","3.14 (0.06 to  165.80)","3.30 (0.12 to   89.71)","3.06 (0.12 to   80.38)","3.08 (0.12 to   78.02)","2.94 (0.11 to   78.69)","2.63 (0.10 to   71.01)","1.97 (0.06 to   67.51)","1.81 (0.05 to   70.34)","1.69 (0.05 to   61.62)","Erlotinib + Autophagy inhibitor",".","."
"70.65 (0.92 to 5422.25)","12.39 (0.45 to  344.85)","15.75 (0.19 to 1332.59)","8.40 (0.27 to  263.24)","9.25 (0.25 to  340.58)","7.22 (0.22 to  233.19)","9.91 (0.10 to 1012.11)","6.26 (0.19 to  203.20)","5.08 (0.18 to  142.31)","4.99 (0.19 to  132.73)","4.72 (0.18 to  121.39)","4.50 (0.17 to  118.00)","4.45 (0.17 to  113.80)","3.95 (0.15 to  103.70)","3.88 (0.13 to  112.46)","3.24 (0.06 to  168.13)","3.18 (0.06 to  166.41)","3.33 (0.12 to   89.91)","3.10 (0.12 to   80.55)","3.11 (0.12 to   78.18)","2.97 (0.11 to   78.86)","2.66 (0.10 to   71.16)","1.99 (0.06 to   67.70)","1.83 (0.05 to   70.56)","1.71 (0.05 to   61.80)","1.01 (0.01 to   97.07)","Erlotinib + COX2 inhibitor","."
"65.27 (2.88 to 1479.01)","11.45 (3.45 to   38.04)","14.55 (0.53 to  397.89)","7.76 (1.77 to   33.94)","8.54 (1.14 to   64.24)","6.68 (1.08 to   41.29)","9.16 (0.26 to  321.00)","5.78 (1.02 to   32.77)","4.69 (1.33 to   16.59)","4.61 (1.12 to   19.05)","4.36 (1.14 to   16.67)","4.16 (1.17 to   14.82)","4.11 (1.09 to   15.48)","3.65 (0.98 to   13.65)","3.59 (0.72 to   17.88)","3.00 (0.22 to   40.95)","2.94 (0.21 to   40.74)","3.08 (1.05 to    9.07)","2.86 (0.82 to    9.98)","2.88 (0.80 to   10.34)","2.74 (0.70 to   10.83)","2.45 (0.66 to    9.07)","1.84 (0.27 to   12.53)","1.69 (0.25 to   11.43)","1.58 (0.21 to   12.05)","0.93 (0.03 to   30.21)","0.92 (0.03 to   29.62)","Gefitinib/Erlotinib"
