"Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    3.70)","0.16 (0.01 to    3.26)","0.60 (0.35 to    1.04)","0.32 (0.01 to    8.06)","0.75 (0.45 to    1.27)","0.47 (0.02 to   11.59)","0.78 (0.33 to    1.88)","0.80 (0.19 to    3.34)","0.91 (0.51 to    1.62)","0.89 (0.31 to    2.55)","0.95 (0.54 to    1.69)","0.97 (0.52 to    1.80)","0.98 (0.57 to    1.66)","Erlotinib","0.98 (0.72 to   1.34)",".","1.14 (0.02 to  57.91)",".",".",".","1.01 (0.02 to  51.54)",".","0.84 (0.53 to   1.33)",".","0.69 (0.30 to   1.57)","0.60 (0.15 to   2.49)",".",".","0.45 (0.11 to   1.84)",".","0.36 (0.08 to   1.60)",".",".",".",".","0.19 (0.08 to   0.46)","0.22 (0.10 to   0.47)","."
"0.11 (0.00 to    3.73)","0.16 (0.01 to    3.29)","0.59 (0.32 to    1.12)","0.32 (0.01 to    8.13)","0.75 (0.41 to    1.37)","0.47 (0.02 to   11.68)","0.78 (0.31 to    1.96)","0.80 (0.19 to    3.43)","0.90 (0.47 to    1.74)","0.88 (0.29 to    2.64)","0.94 (0.49 to    1.81)","0.96 (0.48 to    1.93)","0.97 (0.52 to    1.79)","0.99 (0.73 to    1.35)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.17 (0.03 to   1.07)","."
"0.11 (0.00 to    4.28)","0.16 (0.01 to    3.77)","0.60 (0.19 to    1.88)","0.32 (0.01 to    9.44)","0.75 (0.25 to    2.23)","0.47 (0.02 to   13.28)","0.78 (0.21 to    2.85)","0.80 (0.14 to    4.64)","0.90 (0.28 to    2.95)","0.89 (0.21 to    3.67)","0.95 (0.29 to    3.08)","0.96 (0.32 to    2.93)","0.97 (0.40 to    2.34)","1.00 (0.36 to    2.79)","1.00 (0.34 to    2.94)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.00 to   15.81)","0.17 (0.00 to   16.13)","0.64 (0.02 to   20.17)","0.34 (0.00 to   37.47)","0.80 (0.03 to   25.04)","0.50 (0.00 to   53.54)","0.83 (0.02 to   27.84)","0.85 (0.02 to   34.63)","0.97 (0.03 to   30.92)","0.94 (0.03 to   33.15)","1.01 (0.03 to   32.35)","1.03 (0.03 to   31.34)","1.04 (0.03 to   32.49)","1.06 (0.03 to   32.45)","1.07 (0.03 to   33.12)","1.07 (0.03 to   37.28)","Gefitinib + ER inhibitor",".",".",".","0.89 (0.02 to  45.30)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    3.77)","0.15 (0.01 to    3.23)","0.56 (0.22 to    1.41)","0.30 (0.01 to    8.28)","0.70 (0.31 to    1.61)","0.44 (0.02 to   11.44)","0.73 (0.25 to    2.13)","0.75 (0.14 to    3.84)","0.84 (0.31 to    2.28)","0.83 (0.24 to    2.81)","0.88 (0.33 to    2.38)","0.90 (0.54 to    1.50)","0.91 (0.39 to    2.12)","0.93 (0.41 to    2.09)","0.94 (0.39 to    2.22)","0.93 (0.27 to    3.17)","0.87 (0.03 to   27.68)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    4.10)","0.15 (0.01 to    3.57)","0.55 (0.16 to    1.93)","0.29 (0.01 to    9.07)","0.69 (0.21 to    2.26)","0.43 (0.01 to   12.56)","0.72 (0.18 to    2.82)","0.73 (0.12 to    4.65)","0.83 (0.22 to    3.07)","0.81 (0.18 to    3.61)","0.87 (0.24 to    3.21)","0.88 (0.33 to    2.38)","0.89 (0.27 to    2.97)","0.92 (0.28 to    2.95)","0.92 (0.27 to    3.09)","0.92 (0.21 to    4.07)","0.86 (0.02 to   30.22)","0.99 (0.32 to    3.00)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    3.78)","0.15 (0.01 to    3.26)","0.54 (0.19 to    1.55)","0.29 (0.01 to    8.33)","0.68 (0.26 to    1.79)","0.43 (0.02 to   11.51)","0.71 (0.22 to    2.31)","0.72 (0.13 to    4.01)","0.82 (0.27 to    2.49)","0.80 (0.21 to    3.00)","0.86 (0.28 to    2.60)","0.87 (0.42 to    1.78)","0.88 (0.33 to    2.36)","0.90 (0.35 to    2.33)","0.91 (0.33 to    2.46)","0.90 (0.24 to    3.39)","0.85 (0.03 to   27.81)","0.97 (0.40 to    2.34)","0.98 (0.29 to    3.34)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to   14.07)","0.16 (0.00 to   14.35)","0.57 (0.02 to   17.95)","0.30 (0.00 to   33.35)","0.71 (0.02 to   22.29)","0.45 (0.00 to   47.65)","0.74 (0.02 to   24.78)","0.76 (0.02 to   30.82)","0.86 (0.03 to   27.52)","0.84 (0.02 to   29.50)","0.90 (0.03 to   28.79)","0.91 (0.03 to   27.90)","0.92 (0.03 to   28.91)","0.95 (0.03 to   28.88)","0.95 (0.03 to   29.48)","0.95 (0.03 to   33.18)","0.89 (0.02 to   45.30)","1.02 (0.03 to   32.28)","1.03 (0.03 to   36.29)","1.05 (0.03 to   34.56)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    8.62)","0.14 (0.00 to    8.38)","0.50 (0.03 to    9.21)","0.27 (0.00 to   20.10)","0.63 (0.03 to   11.26)","0.39 (0.01 to   28.21)","0.65 (0.03 to   12.64)","0.66 (0.03 to   16.59)","0.75 (0.04 to   14.24)","0.74 (0.04 to   15.19)","0.79 (0.04 to   14.90)","0.80 (0.05 to   13.36)","0.81 (0.04 to   14.64)","0.83 (0.05 to   14.82)","0.83 (0.05 to   15.16)","0.83 (0.04 to   17.13)","0.78 (0.01 to   65.23)","0.89 (0.05 to   15.59)","0.90 (0.05 to   17.89)","0.92 (0.05 to   16.82)","0.88 (0.01 to   73.38)","Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    3.21)","0.14 (0.01 to    2.79)","0.51 (0.26 to    0.99)","0.27 (0.01 to    7.01)","0.64 (0.35 to    1.16)","0.40 (0.02 to    9.90)","0.66 (0.27 to    1.64)","0.68 (0.15 to    2.99)","0.77 (0.38 to    1.56)","0.75 (0.26 to    2.21)","0.81 (0.40 to    1.63)","0.82 (0.44 to    1.54)","0.83 (0.45 to    1.52)","0.85 (0.57 to    1.27)","0.85 (0.51 to    1.42)","0.85 (0.29 to    2.47)","0.80 (0.03 to   24.62)","0.91 (0.40 to    2.06)","0.93 (0.29 to    2.99)","0.94 (0.36 to    2.45)","0.90 (0.03 to   27.70)","1.02 (0.06 to   18.34)","Chemotherapy",".","0.97 (0.16 to   5.79)",".",".","0.59 (0.14 to   2.47)",".",".",".",".",".",".",".",".",".","."
