"Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".","2.85 (1.51 to   5.39)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.04 (0.33 to    3.28)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)","4.63 (2.13 to  10.07)",".","29.90 (1.74 to 513.78)",".",".",".",".",".",".",".",".",".",".","."
"4.02 (1.22 to   13.24)","3.88 (1.37 to   10.97)","3.94 (1.21 to   12.85)","5.65 (0.24 to  134.05)","5.04 (0.22 to  114.81)","2.18 (0.73 to    6.50)","1.89 (0.57 to    6.32)","2.06 (0.38 to   11.07)","1.58 (0.46 to    5.37)","1.64 (0.33 to    8.15)","1.41 (0.51 to    3.86)","2.16 (0.08 to   62.15)","1.23 (0.24 to    6.18)","Erlotinib + chemotherapy",".","1.03 (0.17 to   6.09)",".",".",".",".",".",".",".",".","1.45 (0.64 to   3.31)",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.14 (0.80 to   21.35)","3.99 (0.83 to   19.22)","4.05 (0.76 to   21.59)","5.82 (0.20 to  166.23)","5.19 (0.19 to  142.69)","2.25 (0.47 to   10.79)","1.95 (0.37 to   10.14)","2.12 (0.27 to   16.57)","1.62 (0.31 to    8.55)","1.69 (0.23 to   12.38)","1.45 (0.32 to    6.59)","2.22 (0.06 to   76.29)","1.26 (0.17 to    9.36)","1.03 (0.21 to    5.11)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".","1.35 (0.37 to   4.98)",".",".",".",".",".",".",".",".",".",".",".","."
"4.62 (1.79 to   11.93)","4.46 (2.00 to    9.96)","4.53 (1.69 to   12.13)","6.50 (0.30 to  140.96)","5.79 (0.28 to  120.59)","2.51 (1.11 to    5.68)","2.18 (0.83 to    5.70)","2.37 (0.50 to   11.15)","1.81 (0.68 to    4.85)","1.88 (0.43 to    8.16)","1.62 (0.80 to    3.27)","2.48 (0.09 to   65.70)","1.41 (0.32 to    6.19)","1.15 (0.50 to    2.65)","1.12 (0.26 to    4.71)","Chemotherapy",".",".",".",".",".",".",".",".","1.19 (0.75 to   1.89)","2.70 (0.57 to  12.69)","0.90 (0.35 to   2.34)",".",".",".",".",".",".",".",".",".",".","."
"4.51 (0.23 to   89.22)","4.36 (0.23 to   84.08)","4.42 (0.22 to   90.71)","6.35 (0.10 to  391.88)","5.66 (0.09 to  338.75)","2.45 (0.13 to   46.59)","2.12 (0.11 to   41.94)","2.31 (0.09 to   59.60)","1.77 (0.09 to   34.82)","1.84 (0.07 to   45.57)","1.58 (0.09 to   29.21)","2.43 (0.03 to  174.04)","1.38 (0.06 to   34.36)","1.12 (0.06 to   22.12)","1.09 (0.05 to   26.16)","0.98 (0.05 to   17.49)","Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".","1.25 (0.07 to  20.88)",".",".",".",".",".",".",".",".",".",".","."
"5.15 (0.15 to  174.47)","4.97 (0.15 to  162.52)","5.05 (0.15 to  173.18)","7.25 (0.08 to  690.24)","6.46 (0.07 to  598.39)","2.80 (0.09 to   91.65)","2.43 (0.07 to   82.30)","2.64 (0.06 to  110.28)","2.02 (0.06 to   68.72)","2.10 (0.05 to   84.76)","1.81 (0.06 to   57.74)","2.77 (0.03 to  302.34)","1.58 (0.04 to   63.86)","1.28 (0.04 to   42.57)","1.25 (0.03 to   49.58)","1.12 (0.04 to   34.48)","1.14 (0.01 to   95.76)","Erlotinib + ER inhibitor",".",".",".","1.12 (0.02 to  57.26)",".",".","0.99 (0.02 to  50.38)",".","1.17 (0.02 to  59.55)",".",".",".",".",".",".",".",".",".",".","."
"4.90 (1.44 to   16.65)","4.73 (1.48 to   15.13)","4.81 (1.30 to   17.79)","6.90 (0.31 to  152.50)","6.15 (0.29 to  130.49)","2.66 (0.86 to    8.19)","2.31 (0.68 to    7.80)","2.51 (0.43 to   14.80)","1.93 (0.58 to    6.44)","2.00 (0.36 to   10.95)","1.72 (0.61 to    4.88)","2.64 (0.10 to   71.00)","1.50 (0.27 to    8.29)","1.22 (0.36 to    4.10)","1.19 (0.23 to    6.10)","1.06 (0.41 to    2.76)","1.09 (0.06 to   19.86)","0.95 (0.03 to   31.28)","Furmonertinib",".",".",".",".",".",".",".","1.15 (0.56 to   2.36)",".",".",".",".",".",".",".",".",".",".","."
"4.99 (1.23 to   20.22)","4.82 (1.25 to   18.53)","4.89 (1.12 to   21.39)","7.02 (0.29 to  167.11)","6.26 (0.27 to  143.13)","2.71 (0.73 to   10.08)","2.35 (0.58 to    9.48)","2.56 (0.38 to   17.09)","1.96 (0.49 to    7.84)","2.03 (0.33 to   12.70)","1.75 (0.50 to    6.09)","2.68 (0.09 to   77.46)","1.53 (0.24 to    9.61)","1.24 (0.31 to    4.99)","1.21 (0.20 to    7.11)","1.08 (0.33 to    3.49)","1.11 (0.06 to   21.87)","0.97 (0.03 to   34.00)","1.02 (0.30 to    3.45)","Gefitinib + chemotherapy",".",".",".",".",".",".","1.13 (0.42 to   3.04)",".",".",".",".",".",".",".",".",".",".","."
"5.06 (1.66 to   15.43)","4.89 (1.71 to   13.94)","4.96 (1.48 to   16.61)","7.12 (0.34 to  151.12)","6.35 (0.31 to  129.24)","2.75 (1.00 to    7.51)","2.38 (0.79 to    7.23)","2.60 (0.47 to   14.21)","1.99 (0.66 to    5.96)","2.06 (0.41 to   10.47)","1.77 (0.71 to    4.43)","2.72 (0.11 to   70.53)","1.55 (0.30 to    7.94)","1.26 (0.42 to    3.80)","1.22 (0.26 to    5.82)","1.10 (0.49 to    2.47)","1.12 (0.06 to   19.63)","0.98 (0.03 to   31.14)","1.03 (0.43 to    2.49)","1.01 (0.33 to    3.09)","Almonertinib",".",".",".",".",".","1.11 (0.67 to   1.86)",".",".",".",".",".",".",".",".",".",".","."
"5.79 (0.17 to  196.02)","5.59 (0.17 to  182.59)","5.68 (0.17 to  194.57)","8.15 (0.09 to  775.62)","7.27 (0.08 to  672.41)","3.15 (0.10 to  102.97)","2.73 (0.08 to   92.46)","2.97 (0.07 to  123.91)","2.28 (0.07 to   77.21)","2.36 (0.06 to   95.23)","2.03 (0.06 to   64.87)","3.12 (0.03 to  339.74)","1.77 (0.04 to   71.75)","1.44 (0.04 to   47.83)","1.40 (0.04 to   55.70)","1.25 (0.04 to   38.74)","1.28 (0.02 to  107.60)","1.12 (0.02 to   57.26)","1.18 (0.04 to   38.83)","1.16 (0.03 to   40.77)","1.14 (0.04 to   36.27)","Gefitinib + ER inhibitor",".",".","0.88 (0.02 to  44.79)",".","1.04 (0.02 to  52.93)",".",".",".",".",".",".",".",".",".",".","."
"5.43 (1.44 to   20.49)","5.24 (1.52 to   18.12)","5.33 (1.36 to   20.86)","7.65 (0.31 to  189.41)","6.81 (0.29 to  162.31)","2.95 (0.86 to   10.16)","2.56 (0.67 to    9.74)","2.79 (0.45 to   17.11)","2.13 (0.55 to    8.24)","2.21 (0.39 to   12.67)","1.90 (0.59 to    6.11)","2.92 (0.10 to   87.60)","1.66 (0.29 to    9.60)","1.35 (0.38 to    4.86)","1.31 (0.27 to    6.34)","1.18 (0.40 to    3.42)","1.20 (0.06 to   24.85)","1.05 (0.03 to   36.87)","1.11 (0.30 to    4.16)","1.09 (0.25 to    4.82)","1.07 (0.32 to    3.65)","0.94 (0.03 to   32.78)","Afatinib + Cetuximab",".",".","1.03 (0.43 to   2.47)",".",".",".",".",".",".",".",".",".",".",".","."
