"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.21 (0.04 to  1.13)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.02 to   1.10)","0.20 (0.04 to   1.03)","0.45 (0.12 to   1.72)","0.38 (0.04 to   4.13)","0.71 (0.32 to   1.58)","0.73 (0.28 to   1.88)","0.74 (0.26 to   2.13)","0.76 (0.30 to   1.94)","0.76 (0.33 to   1.77)","0.58 (0.03 to   9.69)","0.87 (0.20 to   3.80)","0.89 (0.24 to   3.34)","0.91 (0.32 to   2.56)","0.95 (0.34 to   2.68)","Lazertinib",".",".",".",".",".",".",".",".",".","0.23 (0.09 to  0.59)",".",".","."
"0.16 (0.03 to   0.94)","0.19 (0.04 to   0.85)","0.43 (0.10 to   1.93)","0.37 (0.03 to   4.37)","0.69 (0.24 to   1.93)","0.71 (0.30 to   1.66)","0.72 (0.27 to   1.87)","0.74 (0.39 to   1.39)","0.74 (0.31 to   1.79)","0.56 (0.04 to   8.63)","0.84 (0.21 to   3.43)","0.86 (0.27 to   2.73)","0.88 (0.35 to   2.24)","0.93 (0.32 to   2.70)","0.97 (0.31 to   2.99)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.02 to   1.24)","0.19 (0.03 to   1.18)","0.41 (0.10 to   1.78)","0.35 (0.03 to   4.08)","0.65 (0.24 to   1.76)","0.67 (0.19 to   2.41)","0.68 (0.17 to   2.76)","0.70 (0.19 to   2.54)","0.71 (0.19 to   2.56)","0.53 (0.03 to  10.23)","0.80 (0.14 to   4.49)","0.82 (0.17 to   4.02)","0.84 (0.22 to   3.29)","0.88 (0.21 to   3.65)","0.92 (0.26 to   3.31)","0.95 (0.23 to   3.98)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.01 to   1.96)","0.15 (0.01 to   2.01)","0.33 (0.02 to   4.50)","0.29 (0.01 to   7.44)","0.53 (0.05 to   5.65)","0.55 (0.06 to   5.41)","0.55 (0.05 to   5.72)","0.57 (0.06 to   5.25)","0.57 (0.06 to   5.74)","0.43 (0.01 to  13.84)","0.65 (0.05 to   8.32)","0.67 (0.06 to   7.50)","0.68 (0.07 to   6.96)","0.71 (0.07 to   7.74)","0.75 (0.07 to   8.33)","0.77 (0.08 to   7.76)","0.81 (0.06 to  10.54)","DHFR inhibitor",".",".",".",".",".",".",".",".",".","."
"0.12 (0.02 to   0.70)","0.15 (0.04 to   0.63)","0.33 (0.09 to   1.25)","0.28 (0.03 to   3.03)","0.52 (0.24 to   1.15)","0.54 (0.27 to   1.08)","0.55 (0.24 to   1.26)","0.56 (0.33 to   0.97)","0.56 (0.29 to   1.10)","0.43 (0.03 to   6.45)","0.64 (0.18 to   2.27)","0.66 (0.23 to   1.90)","0.67 (0.34 to   1.35)","0.70 (0.29 to   1.73)","0.74 (0.29 to   1.88)","0.76 (0.33 to   1.75)","0.80 (0.23 to   2.83)","0.99 (0.10 to   9.71)","Chemotherapy",".",".",".",".",".",".",".",".","."
"0.10 (0.01 to   0.80)","0.12 (0.02 to   0.76)","0.27 (0.05 to   1.55)","0.23 (0.02 to   3.19)","0.42 (0.11 to   1.70)","0.44 (0.12 to   1.62)","0.44 (0.11 to   1.70)","0.46 (0.13 to   1.64)","0.46 (0.15 to   1.40)","0.34 (0.02 to   6.61)","0.52 (0.09 to   2.87)","0.53 (0.11 to   2.61)","0.54 (0.14 to   2.09)","0.57 (0.16 to   2.03)","0.60 (0.15 to   2.42)","0.62 (0.15 to   2.56)","0.65 (0.12 to   3.57)","0.80 (0.06 to  10.36)","0.81 (0.22 to   2.98)","Almonertinib",".",".",".",".",".",".",".","."
"0.09 (0.01 to   0.67)","0.11 (0.02 to   0.64)","0.24 (0.04 to   1.36)","0.20 (0.01 to   2.81)","0.38 (0.10 to   1.48)","0.39 (0.11 to   1.38)","0.39 (0.11 to   1.47)","0.41 (0.12 to   1.33)","0.41 (0.13 to   1.30)","0.31 (0.02 to   5.68)","0.46 (0.09 to   2.48)","0.48 (0.10 to   2.17)","0.49 (0.13 to   1.79)","0.51 (0.14 to   1.88)","0.53 (0.13 to   2.16)","0.55 (0.14 to   2.11)","0.58 (0.11 to   3.12)","0.71 (0.06 to   8.84)","0.72 (0.21 to   2.53)","0.89 (0.18 to   4.48)","Erlotinib + ER inhibitor",".","0.63 (0.20 to  2.02)",".",".",".",".","."
"0.08 (0.01 to   0.55)","0.10 (0.02 to   0.51)","0.21 (0.04 to   1.16)","0.18 (0.01 to   2.44)","0.34 (0.09 to   1.24)","0.35 (0.11 to   1.12)","0.36 (0.10 to   1.23)","0.37 (0.13 to   1.00)","0.37 (0.11 to   1.20)","0.28 (0.02 to   4.78)","0.42 (0.08 to   2.08)","0.43 (0.11 to   1.72)","0.44 (0.13 to   1.48)","0.46 (0.12 to   1.73)","0.48 (0.12 to   1.90)","0.50 (0.15 to   1.62)","0.52 (0.10 to   2.66)","0.64 (0.06 to   7.35)","0.65 (0.21 to   2.05)","0.80 (0.16 to   4.09)","0.90 (0.19 to   4.25)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".","."
"0.06 (0.01 to   0.41)","0.07 (0.01 to   0.39)","0.15 (0.03 to   0.83)","0.13 (0.01 to   1.74)","0.24 (0.06 to   0.89)","0.25 (0.07 to   0.83)","0.25 (0.07 to   0.89)","0.26 (0.08 to   0.80)","0.26 (0.09 to   0.78)","0.20 (0.01 to   3.53)","0.29 (0.06 to   1.51)","0.30 (0.07 to   1.32)","0.31 (0.09 to   1.08)","0.32 (0.09 to   1.14)","0.34 (0.09 to   1.31)","0.35 (0.10 to   1.27)","0.37 (0.07 to   1.91)","0.45 (0.04 to   5.47)","0.46 (0.14 to   1.53)","0.57 (0.12 to   2.73)","0.63 (0.20 to   2.02)","0.70 (0.16 to   3.20)","Gefitinib + ER inhibitor",".",".",".",".","."
"0.05 (0.01 to   0.27)","0.06 (0.02 to   0.24)","0.14 (0.03 to   0.55)","0.12 (0.01 to   1.29)","0.22 (0.09 to   0.52)","0.22 (0.11 to   0.43)","0.23 (0.10 to   0.50)","0.23 (0.17 to   0.32)","0.23 (0.12 to   0.47)","0.18 (0.01 to   2.57)","0.26 (0.07 to   0.97)","0.27 (0.10 to   0.75)","0.28 (0.13 to   0.59)","0.29 (0.12 to   0.73)","0.30 (0.11 to   0.82)","0.31 (0.15 to   0.64)","0.33 (0.09 to   1.24)","0.41 (0.04 to   3.84)","0.41 (0.22 to   0.78)","0.51 (0.14 to   1.91)","0.57 (0.17 to   1.95)","0.63 (0.22 to   1.83)","0.90 (0.28 to   2.92)","Erlotinib + antiangiogenesis",".","0.58 (0.17 to  2.00)",".","."
"0.04 (0.01 to   0.28)","0.05 (0.01 to   0.26)","0.10 (0.03 to   0.41)","0.09 (0.01 to   0.97)","0.16 (0.07 to   0.39)","0.17 (0.05 to   0.51)","0.17 (0.05 to   0.58)","0.17 (0.06 to   0.53)","0.17 (0.06 to   0.52)","0.13 (0.01 to   2.37)","0.20 (0.04 to   0.98)","0.20 (0.05 to   0.87)","0.21 (0.06 to   0.70)","0.22 (0.06 to   0.75)","0.23 (0.09 to   0.57)","0.24 (0.07 to   0.85)","0.25 (0.07 to   0.94)","0.31 (0.03 to   3.67)","0.31 (0.10 to   0.94)","0.38 (0.08 to   1.82)","0.43 (0.09 to   2.01)","0.48 (0.11 to   2.14)","0.67 (0.15 to   3.04)","0.75 (0.23 to   2.40)","Lazertinib + Amivantamab",".",".","."
"0.04 (0.01 to   0.23)","0.05 (0.01 to   0.21)","0.11 (0.02 to   0.47)","0.09 (0.01 to   1.07)","0.17 (0.06 to   0.48)","0.17 (0.07 to   0.42)","0.17 (0.07 to   0.46)","0.18 (0.09 to   0.36)","0.18 (0.08 to   0.43)","0.14 (0.01 to   2.14)","0.20 (0.05 to   0.85)","0.21 (0.06 to   0.69)","0.22 (0.08 to   0.56)","0.23 (0.08 to   0.65)","0.24 (0.08 to   0.73)","0.24 (0.10 to   0.62)","0.26 (0.06 to   1.08)","0.32 (0.03 to   3.23)","0.32 (0.14 to   0.76)","0.40 (0.10 to   1.64)","0.44 (0.12 to   1.71)","0.49 (0.15 to   1.66)","0.70 (0.19 to   2.57)","0.78 (0.37 to   1.61)","1.04 (0.29 to   3.77)","Antiangiogenesis",".","."
"0.03 (0.00 to   0.23)","0.04 (0.01 to   0.22)","0.08 (0.02 to   0.32)","0.07 (0.01 to   0.77)","0.13 (0.06 to   0.29)","0.14 (0.04 to   0.42)","0.14 (0.04 to   0.49)","0.14 (0.05 to   0.45)","0.14 (0.05 to   0.45)","0.11 (0.01 to   1.96)","0.16 (0.03 to   0.82)","0.17 (0.04 to   0.73)","0.17 (0.05 to   0.58)","0.18 (0.05 to   0.65)","0.19 (0.06 to   0.58)","0.19 (0.05 to   0.71)","0.20 (0.06 to   0.72)","0.25 (0.02 to   3.05)","0.26 (0.08 to   0.77)","0.32 (0.06 to   1.56)","0.35 (0.07 to   1.70)","0.39 (0.09 to   1.78)","0.56 (0.12 to   2.58)","0.62 (0.19 to   2.01)","0.83 (0.25 to   2.70)","0.80 (0.22 to   2.94)","Osimertinib + antiangiogenesis","."
"0.02 (0.00 to   0.14)","0.02 (0.00 to   0.13)","0.05 (0.01 to   0.27)","0.04 (0.00 to   0.57)","0.08 (0.02 to   0.29)","0.08 (0.02 to   0.27)","0.08 (0.02 to   0.29)","0.09 (0.03 to   0.27)","0.09 (0.03 to   0.23)","0.07 (0.00 to   1.19)","0.10 (0.02 to   0.49)","0.10 (0.02 to   0.45)","0.10 (0.03 to   0.35)","0.11 (0.03 to   0.34)","0.11 (0.03 to   0.41)","0.12 (0.03 to   0.43)","0.12 (0.02 to   0.62)","0.15 (0.01 to   1.84)","0.15 (0.05 to   0.50)","0.19 (0.04 to   0.83)","0.21 (0.05 to   0.96)","0.23 (0.05 to   1.09)","0.33 (0.08 to   1.46)","0.37 (0.11 to   1.23)","0.49 (0.11 to   2.13)","0.48 (0.13 to   1.76)","0.60 (0.13 to   2.68)","Gefitinib + antiangiogenesis"
