"Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.47 (0.19 to   1.15)",".",".",".","0.41 (0.12 to   1.43)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.59 (0.02 to    21.60)","0.30 (0.00 to    33.47)","0.68 (0.02 to    21.94)","0.33 (0.00 to    35.79)","0.88 (0.03 to    27.46)","0.47 (0.00 to   100.17)","0.88 (0.03 to    28.42)","0.81 (0.02 to    33.09)","1.02 (0.03 to    31.00)","1.03 (0.03 to    32.29)","1.08 (0.04 to    32.89)","1.06 (0.02 to    65.83)","Gefitinib + ER inhibitor",".",".","0.89 (0.02 to  45.30)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.58 (0.01 to    35.94)","0.29 (0.00 to    49.46)","0.67 (0.01 to    36.63)","0.32 (0.00 to    52.37)","0.87 (0.02 to    46.42)","0.47 (0.00 to   140.10)","0.87 (0.02 to    47.06)","0.80 (0.01 to    53.24)","1.00 (0.02 to    51.69)","1.02 (0.02 to    54.50)","1.06 (0.02 to    57.87)","1.04 (0.01 to   102.55)","0.99 (0.01 to   182.31)","Erlotinib + Autophagy inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.51 (0.15 to     1.70)","0.25 (0.01 to     6.90)","0.59 (0.27 to     1.29)","0.28 (0.01 to     7.30)","0.75 (0.39 to     1.45)","0.41 (0.01 to    25.79)","0.76 (0.34 to     1.66)","0.70 (0.15 to     3.18)","0.87 (0.52 to     1.46)","0.88 (0.46 to     1.70)","0.92 (0.48 to     1.78)","0.90 (0.08 to     9.73)","0.86 (0.03 to    26.67)","0.87 (0.02 to    46.47)","Chemotherapy",".",".","0.59 (0.14 to   2.47)",".",".",".",".",".",".","0.97 (0.16 to   5.79)",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.53 (0.01 to    19.23)","0.26 (0.00 to    29.79)","0.61 (0.02 to    19.53)","0.29 (0.00 to    31.85)","0.78 (0.03 to    24.45)","0.42 (0.00 to    89.14)","0.79 (0.02 to    25.29)","0.72 (0.02 to    29.45)","0.90 (0.03 to    27.60)","0.92 (0.03 to    28.74)","0.96 (0.03 to    29.27)","0.94 (0.02 to    58.58)","0.89 (0.02 to    45.30)","0.90 (0.00 to   167.17)","1.04 (0.03 to    32.39)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.49 (0.13 to     1.76)","0.24 (0.01 to     6.73)","0.56 (0.26 to     1.24)","0.27 (0.01 to     6.98)","0.73 (0.36 to     1.48)","0.39 (0.01 to    24.71)","0.73 (0.34 to     1.55)","0.67 (0.15 to     3.01)","0.84 (0.52 to     1.34)","0.85 (0.42 to     1.74)","0.89 (0.40 to     1.98)","0.87 (0.08 to     9.54)","0.83 (0.03 to    26.01)","0.84 (0.02 to    44.50)","0.96 (0.48 to     1.94)","0.93 (0.03 to    29.27)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.47 (0.19 to     1.15)","0.24 (0.01 to     6.79)","0.55 (0.21 to     1.43)","0.26 (0.01 to     7.24)","0.70 (0.35 to     1.43)","0.38 (0.01 to    25.25)","0.71 (0.26 to     1.92)","0.65 (0.13 to     3.35)","0.81 (0.36 to     1.82)","0.83 (0.34 to     1.99)","0.86 (0.37 to     2.03)","0.85 (0.07 to     9.77)","0.80 (0.02 to    26.21)","0.81 (0.01 to    45.59)","0.94 (0.41 to     2.13)","0.90 (0.03 to    29.49)","0.97 (0.38 to     2.46)","Osimertinib","0.99 (0.02 to  50.38)",".",".",".",".",".",".","0.71 (0.01 to  38.48)",".","0.79 (0.33 to   1.88)","0.71 (0.35 to   1.45)",".",".",".","0.47 (0.18 to   1.23)",".","0.29 (0.07 to   1.24)",".",".","."
"0.47 (0.01 to    26.32)","0.23 (0.00 to    41.18)","0.54 (0.01 to    30.97)","0.26 (0.00 to    44.34)","0.69 (0.01 to    37.81)","0.37 (0.00 to   117.92)","0.70 (0.01 to    40.43)","0.64 (0.01 to    45.59)","0.80 (0.01 to    44.44)","0.82 (0.01 to    45.85)","0.85 (0.02 to    47.64)","0.83 (0.01 to    85.74)","0.79 (0.00 to   151.64)","0.80 (0.00 to   223.24)","0.92 (0.02 to    51.35)","0.89 (0.00 to   170.57)","0.96 (0.02 to    54.52)","0.99 (0.02 to    50.38)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.44 (0.02 to     9.49)","0.22 (0.00 to    16.99)","0.51 (0.03 to     9.59)","0.24 (0.00 to    18.38)","0.65 (0.04 to    11.81)","0.35 (0.00 to    53.99)","0.66 (0.03 to    12.56)","0.61 (0.02 to    15.19)","0.75 (0.04 to    13.58)","0.77 (0.04 to    13.91)","0.80 (0.05 to    13.36)","0.79 (0.02 to    31.44)","0.74 (0.01 to    62.31)","0.75 (0.01 to   100.37)","0.87 (0.05 to    15.64)","0.84 (0.01 to    70.10)","0.90 (0.05 to    16.83)","0.93 (0.05 to    17.60)","0.94 (0.01 to   127.86)","Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.10 to     1.95)","0.22 (0.01 to     6.53)","0.50 (0.16 to     1.52)","0.24 (0.01 to     6.78)","0.64 (0.22 to     1.85)","0.35 (0.01 to    23.53)","0.65 (0.22 to     1.92)","0.59 (0.11 to     3.23)","0.74 (0.30 to     1.85)","0.75 (0.26 to     2.18)","0.79 (0.26 to     2.42)","0.77 (0.06 to     9.57)","0.73 (0.02 to    25.14)","0.74 (0.01 to    42.52)","0.85 (0.30 to     2.44)","0.82 (0.02 to    28.28)","0.88 (0.32 to     2.47)","0.91 (0.27 to     3.08)","0.92 (0.02 to    56.73)","0.98 (0.05 to    20.37)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.41 (0.12 to     1.43)","0.20 (0.01 to     8.17)","0.47 (0.08 to     2.89)","0.22 (0.01 to     8.72)","0.60 (0.11 to     3.30)","0.33 (0.00 to    28.50)","0.61 (0.10 to     3.81)","0.56 (0.06 to     5.30)","0.70 (0.12 to     3.97)","0.71 (0.12 to     4.18)","0.74 (0.13 to     4.31)","0.73 (0.04 to    13.08)","0.69 (0.02 to    31.13)","0.70 (0.01 to    52.01)","0.80 (0.14 to     4.61)","0.77 (0.02 to    35.03)","0.83 (0.14 to     5.04)","0.86 (0.18 to     4.01)","0.87 (0.01 to    59.45)","0.93 (0.03 to    25.64)","0.94 (0.13 to     6.72)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
