"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9.65 (0.51 to 182.48)",".",".",".",".",".",".",".","."
"6.55 (0.26 to   162.98)","2.79 (0.63 to    12.46)","5.10 (0.21 to   121.81)","2.89 (0.38 to    22.03)","5.04 (0.03 to   784.84)","1.76 (0.32 to     9.68)","1.62 (0.25 to    10.57)","2.19 (0.07 to    65.73)","1.51 (0.22 to    10.24)","1.17 (0.25 to     5.45)","1.05 (0.23 to     4.79)","1.11 (0.18 to     7.07)","1.17 (0.02 to    80.27)","0.97 (0.21 to     4.61)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".",".","1.39 (0.45 to   4.25)",".",".",".",".",".",".",".",".",".","."
"6.61 (0.22 to   194.48)","2.82 (0.45 to    17.71)","5.14 (0.16 to   165.12)","2.92 (0.27 to    30.93)","5.08 (0.03 to   957.91)","1.78 (0.22 to    14.32)","1.63 (0.16 to    16.98)","2.20 (0.06 to    87.47)","1.52 (0.17 to    13.54)","1.18 (0.17 to     8.43)","1.06 (0.15 to     7.58)","1.12 (0.11 to    11.43)","1.18 (0.01 to    95.78)","0.98 (0.15 to     6.53)","1.01 (0.12 to     8.37)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".","1.46 (0.27 to   7.77)",".",".",".",".",".",".",".","."
"6.73 (0.22 to   204.84)","2.87 (0.43 to    19.10)","5.23 (0.17 to   165.42)","2.97 (0.36 to    24.83)","5.18 (0.03 to   965.14)","1.81 (0.30 to    11.09)","1.66 (0.16 to    16.87)","2.25 (0.06 to    87.71)","1.55 (0.17 to    14.52)","1.21 (0.22 to     6.56)","1.08 (0.19 to     6.13)","1.14 (0.12 to    11.35)","1.20 (0.02 to    86.27)","1.00 (0.14 to     6.96)","1.03 (0.13 to     8.29)","1.02 (0.09 to    11.37)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.46 (0.70 to   8.68)"
"7.15 (0.33 to   155.37)","3.05 (0.92 to    10.04)","5.56 (0.23 to   133.03)","3.15 (0.47 to    21.14)","5.50 (0.04 to   856.58)","1.92 (0.41 to     9.04)","1.76 (0.27 to    11.55)","2.38 (0.08 to    71.77)","1.64 (0.31 to     8.83)","1.28 (0.32 to     5.08)","1.15 (0.29 to     4.57)","1.21 (0.19 to     7.73)","1.28 (0.02 to    82.44)","1.06 (0.30 to     3.81)","1.09 (0.22 to     5.33)","1.08 (0.16 to     7.28)","1.06 (0.15 to     7.57)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".","1.35 (0.54 to   3.37)",".",".",".",".",".",".",".","."
"7.28 (0.12 to   449.27)","3.10 (0.16 to    61.36)","5.66 (0.09 to   338.75)","3.21 (0.12 to    85.81)","5.60 (0.02 to  1623.75)","1.96 (0.09 to    43.16)","1.79 (0.07 to    43.73)","2.43 (0.03 to   174.04)","1.67 (0.07 to    41.73)","1.30 (0.06 to    26.31)","1.17 (0.06 to    23.36)","1.24 (0.05 to    29.63)","1.30 (0.01 to   184.27)","1.08 (0.05 to    22.05)","1.11 (0.05 to    22.98)","1.10 (0.04 to    31.06)","1.08 (0.04 to    29.95)","1.02 (0.05 to    21.12)","Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".","1.25 (0.07 to  20.88)",".",".",".",".",".",".",".",".",".","."
"7.74 (0.05 to  1121.29)","3.30 (0.06 to   196.17)","6.02 (0.04 to   894.82)","3.41 (0.05 to   226.79)","5.95 (0.01 to  3435.34)","2.08 (0.04 to   119.10)","1.91 (0.03 to   140.33)","2.58 (0.01 to   445.36)","1.78 (0.03 to   125.44)","1.39 (0.03 to    75.36)","1.24 (0.02 to    68.78)","1.32 (0.02 to    95.51)","1.38 (0.01 to   373.57)","1.15 (0.02 to    69.81)","1.18 (0.02 to    77.03)","1.17 (0.02 to    90.66)","1.15 (0.02 to    78.54)","1.08 (0.02 to    66.51)","1.06 (0.01 to   144.57)","Chemotherapy + antiangiogenesis","1.01 (0.02 to  51.78)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7.84 (0.37 to   165.32)","3.34 (1.11 to    10.09)","6.10 (0.28 to   134.10)","3.46 (0.80 to    14.92)","6.03 (0.04 to   891.60)","2.11 (0.81 to     5.49)","1.93 (0.34 to    10.94)","2.62 (0.09 to    72.78)","1.80 (0.36 to     9.15)","1.41 (0.70 to     2.83)","1.26 (0.57 to     2.79)","1.33 (0.24 to     7.30)","1.40 (0.03 to    75.42)","1.17 (0.36 to     3.79)","1.20 (0.29 to     4.90)","1.19 (0.19 to     7.59)","1.17 (0.25 to     5.44)","1.10 (0.32 to     3.71)","1.08 (0.06 to    20.45)","1.01 (0.02 to    51.78)","Osimertinib",".",".","1.68 (0.41 to   7.00)",".",".",".",".",".",".",".",".",".","1.22 (0.52 to   2.85)",".",".",".","2.11 (0.87 to   5.14)"
"8.08 (0.41 to   158.58)","3.44 (1.41 to     8.44)","6.28 (0.29 to   136.21)","3.57 (0.63 to    20.16)","6.21 (0.04 to   910.47)","2.17 (0.57 to     8.25)","1.99 (0.36 to    10.99)","2.69 (0.10 to    74.00)","1.86 (0.42 to     8.21)","1.45 (0.47 to     4.48)","1.30 (0.42 to     4.03)","1.37 (0.26 to     7.33)","1.44 (0.02 to    86.47)","1.20 (0.44 to     3.28)","1.23 (0.31 to     4.89)","1.22 (0.22 to     6.94)","1.20 (0.20 to     7.26)","1.13 (0.40 to     3.16)","1.11 (0.06 to    20.76)","1.04 (0.02 to    59.45)","1.03 (0.41 to     2.61)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".","1.19 (0.75 to   1.90)",".",".",".",".",".",".",".","."
"8.71 (0.10 to   791.84)","3.71 (0.11 to   123.22)","6.77 (0.07 to   627.71)","3.84 (0.09 to   168.82)","6.70 (0.02 to  2684.72)","2.34 (0.06 to    87.17)","2.15 (0.05 to    90.14)","2.91 (0.03 to   317.14)","2.00 (0.05 to    80.98)","1.56 (0.05 to    54.02)","1.40 (0.04 to    48.27)","1.48 (0.04 to    61.23)","1.55 (0.01 to   310.68)","1.29 (0.04 to    44.16)","1.33 (0.04 to    48.57)","1.32 (0.03 to    59.33)","1.29 (0.03 to    58.65)","1.22 (0.04 to    42.02)","1.20 (0.01 to   100.45)","1.13 (0.01 to   216.16)","1.11 (0.03 to    36.36)","1.08 (0.03 to    34.01)","Erlotinib + ER inhibitor",".",".","1.12 (0.02 to  57.26)",".","1.17 (0.02 to  59.55)",".","0.99 (0.02 to  50.38)",".",".",".",".",".",".",".","."
"8.38 (0.42 to   165.95)","3.57 (1.43 to     8.96)","6.52 (0.31 to   136.44)","3.70 (0.69 to    19.80)","6.45 (0.04 to   924.46)","2.25 (0.64 to     7.96)","2.07 (0.40 to    10.69)","2.80 (0.11 to    74.31)","1.93 (0.43 to     8.66)","1.50 (0.53 to     4.26)","1.35 (0.47 to     3.83)","1.42 (0.28 to     7.13)","1.50 (0.03 to    87.69)","1.25 (0.47 to     3.29)","1.28 (0.35 to     4.69)","1.27 (0.22 to     7.31)","1.25 (0.22 to     7.15)","1.17 (0.41 to     3.36)","1.15 (0.06 to    20.75)","1.08 (0.02 to    60.27)","1.07 (0.47 to     2.44)","1.04 (0.52 to     2.09)","0.96 (0.03 to    30.01)","Chemotherapy",".",".",".","0.90 (0.35 to   2.34)","2.70 (0.57 to  12.69)","1.19 (0.62 to   2.28)",".",".",".",".",".",".",".","."
