"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_HER3i","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Furmonertinib","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Gefitinib_PARPi","Icotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib","Zorifertinib"
"Erlotinib_antiangio","-0.283202918238664 (-1.24101105879463, 0.636891651550599)","-0.284959056270673 (-4.14697987149242, 3.6598917824065)","-21.953251908054 (-67.2907549912464, -0.67439446859438)","0.726553244538751 (-1.40770642643384, 3.11390720779613)","1.38187509185039 (0.249831575746566, 2.744001861142)","-0.17713712174782 (-1.06561023584109, 0.710501043193773)","-0.770706824494665 (-1.85653669341443, 0.255739273101031)","-0.573157111866881 (-2.49435408246009, 1.34220211966017)","-0.281299950445715 (-0.865700754789944, 0.335347799664815)","Erlotinib_antiangio","0.228746783017578 (-0.986962287987385, 1.5428854077547)","-23.9451227591551 (-72.2570809423476, -0.812316526429871)","0.844443662467391 (-0.87950164532003, 3.04655547643494)","0.330126342612198 (-0.865949742738977, 1.74713210196739)","-0.47542832237503 (-1.50433487454488, 0.515346139781164)","18.802574631051 (2.30152546907221, 52.0567456230717)","0.058146056482211 (-1.71773749902794, 1.84990084037101)","-0.323991559162287 (-1.39625127495029, 0.715086143460434)","1.10641802812848 (-1.51718413797031, 4.72627295604508)","-0.841532719272379 (-2.48914203511456, 0.837690120463653)","18.0498338889176 (-0.142047022177041, 64.7980285057015)","20.231272737165 (1.55888069055079, 78.2713200079047)","0.17485468781074 (-1.27329297807728, 1.6328721492068)","0.342914161645552 (-1.12928582243523, 1.87385702093436)","-0.0196773400236745 (-1.15208958760136, 1.17644792558904)","2.33596043699311 (0.00916391113643771, 5.78683808893409)","0.928420948113899 (-0.75481216087348, 2.7660087858269)","-0.556141667446081 (-1.47100188144822, 0.318161098269906)","0.233543178897881 (-1.88850017820589, 2.64192404292199)","0.252492129467041 (-1.98199075863766, 2.66232655062771)"
"Erlotinib_chemo","-0.516541191632317 (-1.91488988274439, 0.753021118392218)","-0.534376131094195 (-4.4730233710537, 3.58269380321357)","-22.1777794552293 (-67.6127475097391, -0.81275464026651)","0.498222974267604 (-1.86258926751158, 2.99703723584948)","1.15675952882643 (-0.348333559524406, 2.72700395044217)","-0.417083741838797 (-1.68359477279452, 0.806475240955441)","-1.00830590612949 (-2.4860239140193, 0.350112946691286)","-0.80217364714424 (-2.96298852004374, 1.28972530866186)","-0.511727741460633 (-1.66040091521719, 0.571744983686653)","-0.228746783017578 (-1.5428854077547, 0.986962287987385)","Erlotinib_chemo","-24.2265238135106 (-72.5049754255059, -1.06679086374101)","0.611867059620823 (-1.39949196001555, 2.97548763007142)","0.10959378757857 (-1.44549550615767, 1.71453036941999)","-0.706805711205724 (-2.15340152718846, 0.631934921316638)","18.6062718856753 (1.97436459208217, 52.040722853467)","-0.174267816378 (-2.24705451006562, 1.81694755823123)","-0.547584176313933 (-2.03226106594678, 0.812286357931397)","0.883167020091793 (-1.95264102218214, 4.55766007048573)","-1.07604605530311 (-3.00599722360663, 0.785791370612737)","17.7911707868847 (-0.412642621341191, 64.6420722164413)","19.9991640514872 (1.21098965870392, 77.9036679522132)","-0.0539731935028651 (-1.79972831779356, 1.62439637528818)","0.113622907482579 (-1.65597949210196, 1.82732204000771)","-0.258730352203305 (-1.73235870106411, 1.19697811438239)","2.10960722957206 (-0.42485743996402, 5.61516680481937)","0.701435329584015 (-1.26306254187931, 2.71319069370219)","-0.7927532194336 (-2.15417611707151, 0.46231943036333)","0.0126978810132128 (-2.35566898380946, 2.56044569964299)","0.0203736754157672 (-2.44384280948463, 2.51668611530962)"
"Erlotinib_COX2i","23.7086307624277 (0.51549673645489, 72.0429460315373)","23.6613600367286 (-0.0169804694509107, 72.0493153439984)","1.70237441625582 (-50.2480466688081, 50.6843525828619)","24.7832734148177 (1.31994810852012, 73.048111719694)","25.4002759175805 (2.22055040286949, 73.6181261676487)","23.7207946449119 (0.612138495335424, 72.1545697796844)","23.1520787035304 (0.00651494743036806, 71.5738622211476)","23.4952309658517 (0.129449826176044, 71.8946334293166)","23.6615085166562 (0.544362857395359, 71.9998594953683)","23.9451227591551 (0.812316526429871, 72.2570809423476)","24.2265238135106 (1.06679086374101, 72.5049754255059)","Erlotinib_COX2i","24.8447210504598 (1.56978163613855, 73.3955549290473)","24.2831733789673 (1.14468236233673, 72.5303394774593)","23.4840363517174 (0.35542618755815, 71.9024444227715)","45.74820321723 (11.0049565711352, 93.9527507522087)","23.9418316007341 (0.822392470762341, 72.518630415745)","23.6062243293849 (0.452227966138952, 71.9947537311232)","25.1598215651632 (1.66390648089843, 73.4974652822932)","23.0944229159748 (-0.110016232821628, 71.505984690125)","47.9528283206828 (7.54640175971842, 105.046754801916)","48.0835789177752 (9.93643802796651, 115.710362747857)","24.0247292644915 (0.94194343729793, 72.3389714616654)","24.1994333581791 (1.12518321609247, 72.5224203581079)","23.8450796287246 (0.754721103661609, 72.2701837608507)","26.3411828044218 (2.95416949901348, 74.3316296332274)","24.8978584750811 (1.58316769285811, 73.2511923193457)","23.3979096876715 (0.221228108121903, 71.8081771588567)","24.2023679538228 (1.01426448220793, 72.3926744904538)","24.3497863280872 (0.903060438078977, 72.6428055804986)"
"Erlotinib_HER3i","-1.13067044814063 (-3.39065783190272, 0.629923783376003)","-1.15313688944024 (-5.46432916277794, 3.05781462830026)","-22.8914774945721 (-68.4597118547038, -1.43797929326044)","-0.132195562619292 (-3.04801636323819, 2.66354298327487)","0.534432388951676 (-1.7655597282722, 2.58171758763517)","-1.02498151610755 (-3.22650374516376, 0.725632712792756)","-1.62398793975624 (-3.92459113018545, 0.207256838115862)","-1.44535793523624 (-4.18021499692728, 1.00365281128035)","-1.12044617787521 (-3.24087720798245, 0.514524129942984)","-0.844443662467391 (-3.04655547643494, 0.87950164532003)","-0.611867059620823 (-2.97548763007142, 1.39949196001555)","-24.8447210504598 (-73.3955549290473, -1.56978163613855)","Erlotinib_HER3i","-0.523949903947014 (-2.84771252945485, 1.58569479211685)","-1.32927000365846 (-3.59142136820382, 0.480016330609039)","17.8813012577127 (1.18778948060222, 51.2139987685318)","-0.801114317286869 (-3.49516229248238, 1.55935282787675)","-1.16395787358004 (-3.47531932883805, 0.667789693218257)","0.234181886643185 (-3.08693856781233, 4.20443767637223)","-1.70128908567897 (-4.29675571592233, 0.584810889158837)","17.1359251045643 (-1.2112821612279, 63.9316082682076)","19.3131651288925 (0.503809025394447, 77.3587342877826)","-0.674398759415864 (-3.13782298489763, 1.41699077954216)","-0.502253844253935 (-3.01030662295536, 1.63598367638136)","-0.865522660180154 (-3.17703728073371, 1.0588283969112)","1.47875064778236 (-1.61630860531148, 5.30463354369498)","0.0673714003089359 (-2.5364820895191, 2.45627092956267)","-1.40337403726928 (-3.65735677038629, 0.326042017194713)","-0.624727384869354 (-3.58278572972189, 2.22508582894807)","-0.632977250642651 (-3.59293631021457, 2.2625041715883)"
"Erlotinib_IGF_1Ri","-0.613207120180869 (-2.12411313307825, 0.633922958631862)","-0.641426184085373 (-4.66701383509561, 3.42124296460232)","-22.3391224299151 (-67.7500818026383, -0.982754832654421)","0.389435292952165 (-2.04265233481951, 2.92533506610388)","1.05454192008483 (-0.514944837653738, 2.60102852414827)","-0.507064293286315 (-1.92535351999571, 0.711957029269063)","-1.10388494964433 (-2.70174939744954, 0.228442688984436)","-0.906998334952866 (-3.12079372704633, 1.13086661284784)","-0.61086569729401 (-1.856259470923, 0.429073075166862)","-0.330126342612198 (-1.74713210196739, 0.865949742738977)","-0.10959378757857 (-1.71453036941999, 1.44549550615767)","-24.2831733789673 (-72.5303394774593, -1.14468236233673)","0.523949903947014 (-1.58569479211685, 2.84771252945485)","Erlotinib_IGF_1Ri","-0.805454251198416 (-2.34960723943062, 0.483228649742861)","18.4823031066875 (1.85230180600532, 51.8278509654954)","-0.272033365014289 (-2.41142530221024, 1.67628848586976)","-0.649760921339708 (-2.24638387862762, 0.69007085724394)","0.767709245263858 (-2.11786941532805, 4.51184582368727)","-1.17389279490787 (-3.16058022719071, 0.661569532872682)","17.7032118479553 (-0.536308133729007, 64.4967167246073)","19.9104401241995 (1.18351027306701, 77.9677912771782)","-0.160723313159306 (-1.98604602451702, 1.50390154310956)","0.016693967332749 (-1.8521036822668, 1.71235281761637)","-0.357022465553999 (-1.91416359103653, 1.08587954489522)","2.00175585469515 (-0.573076175365987, 5.53848526033818)","0.599397020096877 (-1.45247604534134, 2.58803483701824)","-0.883255647009048 (-2.35206399855535, 0.321266631468824)","-0.0998877577119019 (-2.50907102523094, 2.38794526048301)","-0.0866559505604499 (-2.60413667024369, 2.39908109477252)"
"Erlotinib_METi","0.191856475257647 (-0.915970061496173, 1.284169569151)","0.198202057577696 (-3.69053119194794, 4.17928679810058)","-21.4536618448553 (-66.837536716838, -0.177964943208028)","1.20325481232633 (-0.98337898106976, 3.66919107112739)","1.85704161245234 (0.608518156075484, 3.36353496665684)","0.294820901200392 (-0.728060347306519, 1.37736699425677)","-0.302591458691154 (-1.50699774137383, 0.893300533841755)","-0.0967009575059911 (-2.05846487379109, 1.8954642342361)","0.194183004866778 (-0.587254410800126, 1.05623849012622)","0.47542832237503 (-0.515346139781164, 1.50433487454488)","0.706805711205724 (-0.631934921316638, 2.15340152718846)","-23.4840363517174 (-71.9024444227715, -0.35542618755815)","1.32927000365846 (-0.480016330609039, 3.59142136820382)","0.805454251198416 (-0.483228649742861, 2.34960723943062)","Erlotinib_METi","19.2987222942192 (2.76688955573654, 52.3509830580519)","0.541628484573746 (-1.32700171493491, 2.41949554712246)","0.156101863080463 (-1.05031251184814, 1.34949371359134)","1.57601542380441 (-1.07514748619478, 5.25328553881926)","-0.362540030392418 (-2.06652713099466, 1.39929162451883)","18.513152198935 (0.312375386393636, 65.3172991025257)","20.6810626262794 (2.03098678474142, 78.7020140080268)","0.649496462636252 (-0.871216925635748, 2.22379282814066)","0.819277493313271 (-0.724783906410904, 2.46083405040279)","0.452661943174895 (-0.788457675631764, 1.79065137057338)","2.81625447947624 (0.410441245402456, 6.3385417886608)","1.4020983792404 (-0.357919211616125, 3.33633691359678)","-0.0797355972634018 (-1.1343514242664, 0.968584019031544)","0.72129449624488 (-1.48808136767181, 3.17647717973799)","0.722263104236631 (-1.56156893325097, 3.20387706824303)"
"Erlotinib_MMPi","-19.0992972509361 (-52.4672187054479, -2.54793410575755)","-19.2385256858947 (-52.4395648474494, -1.90345617553461)","-43.90782173131 (-92.1284362877947, -9.08979909735363)","-18.0503825643426 (-51.26035169768, -1.26482494797548)","-17.402621878252 (-50.6200680013664, -0.861152299355295)","-18.9729375189285 (-52.2620622361605, -2.43470790007096)","-19.6076043540269 (-52.8550169570483, -3.03658517109065)","-19.3998519438814 (-52.6546874624719, -2.7386437902289)","-19.0801955452689 (-52.3309502462084, -2.57733597569403)","-18.802574631051 (-52.0567456230717, -2.30152546907221)","-18.6062718856753 (-52.040722853467, -1.97436459208217)","-45.74820321723 (-93.9527507522087, -11.0049565711352)","-17.8813012577127 (-51.2139987685318, -1.18778948060222)","-18.4823031066875 (-51.8278509654954, -1.85230180600532)","-19.2987222942192 (-52.3509830580519, -2.76688955573654)","Erlotinib_MMPi","-18.806757865035 (-51.9854564278018, -2.04664578928657)","-19.1357295903167 (-52.3652837475699, -2.55456002050033)","-17.6725805602629 (-50.629989138794, -0.656252111234194)","-19.7080471857507 (-52.8087016453129, -2.93218045035851)","0.475360723851422 (-42.688590248404, 53.1012102477303)","0.455029892330092 (-34.124830946868, 64.2977815071811)","-18.6648121754672 (-51.9702402893005, -1.96478613811652)","-18.49402422993 (-51.7508859440295, -1.79129704812257)","-18.8280874549509 (-52.1217141177313, -2.22883812732027)","-16.4273832070507 (-49.6138220494394, 0.645068308880438)","-17.9101346818665 (-51.2290604602125, -1.14988811936347)","-19.3607136959513 (-52.6270696558579, -2.81967083303667)","-18.5834894360358 (-51.7374579607543, -1.79139133947384)","-18.6704200512657 (-51.8555423535807, -1.6878122464508)"
"Furmonertinib","-0.340939338212012 (-2.06758324777817, 1.31955369640109)","-0.362427648575629 (-4.41373629247295, 3.88493200938848)","-22.0162671670441 (-67.500442925803, -0.624909499096458)","0.665686942962987 (-1.66055082725691, 3.21204738271434)","1.33102882763472 (-0.588098416216955, 3.44499558640259)","-0.238124773889057 (-1.91885137777829, 1.43830777052876)","-0.837553679228363 (-2.67273010814326, 0.966536089324509)","-0.637606960197542 (-3.11512540725296, 1.84052834562299)","-0.343423883225824 (-2.01761120508539, 1.35887248231234)","-0.058146056482211 (-1.84990084037101, 1.71773749902794)","0.174267816378 (-1.81694755823123, 2.24705451006562)","-23.9418316007341 (-72.518630415745, -0.822392470762341)","0.801114317286869 (-1.55935282787675, 3.49516229248238)","0.272033365014289 (-1.67628848586976, 2.41142530221024)","-0.541628484573746 (-2.41949554712246, 1.32700171493491)","18.806757865035 (2.04664578928657, 51.9854564278018)","Furmonertinib","-0.38075718284313 (-1.83382711780188, 1.01191123970415)","1.06033671518216 (-1.76093285157635, 4.80601463988777)","-0.899993947539877 (-3.03912112418855, 1.25392343892626)","17.9847969018396 (-0.177520274408827, 64.7113671299017)","20.140015354894 (1.44416437947915, 77.9780941375509)","0.116153032049703 (-1.80764081171106, 2.03472773139255)","0.281444952012685 (-1.68373861641982, 2.3053264225841)","-0.0811264726882928 (-1.8477606332855, 1.73424310546148)","2.27148140365567 (-0.436635257979772, 6.01627842364079)","0.868633025204128 (-1.29072585607876, 3.1688064675695)","-0.616230015123917 (-2.31289346443057, 1.04161183023712)","0.190096014612419 (-2.48855294823281, 3.04961911941078)","0.186460303293039 (-2.4179581690025, 2.92042904933191)"
"Gefitinib","0.0371679626952079 (-0.860330684536132, 0.940294935405582)","0.0321296478234794 (-3.7831502812541, 3.98616369818554)","-21.6162695557036 (-66.9492535834693, -0.327247811256812)","1.03791839269612 (-0.760158801890471, 3.20204872012529)","1.70849273782575 (0.40425876580879, 3.25430861777372)","0.142862103606588 (-0.712727517882629, 1.05496925123516)","-0.453424095408044 (-1.57694138605213, 0.668151713117513)","-0.252262347026332 (-2.27737960115943, 1.78975747040082)","0.0381595612974448 (-0.811044142149297, 0.958995949787025)","0.323991559162287 (-0.715086143460434, 1.39625127495029)","0.547584176313933 (-0.812286357931397, 2.03226106594678)","-23.6062243293849 (-71.9947537311232, -0.452227966138952)","1.16395787358004 (-0.667789693218257, 3.47531932883805)","0.649760921339708 (-0.69007085724394, 2.24638387862762)","-0.156101863080463 (-1.34949371359134, 1.05031251184814)","19.1357295903167 (2.55456002050033, 52.3652837475699)","0.38075718284313 (-1.01191123970415, 1.83382711780188)","Gefitinib","1.41340838926917 (-0.9411462626508, 4.87499903685785)","-0.518536659731712 (-2.08915589587905, 1.12789001908314)","18.3706161171352 (0.285779509741836, 65.1070526107612)","20.582914298249 (1.91733405889861, 78.5375681917345)","0.498185274698509 (-0.78055088789008, 1.82297302057824)","0.661974177654777 (-0.680218821323974, 2.10732181393596)","0.297174413657475 (-0.734042723956827, 1.42961586157725)","2.64463175580191 (0.362986111100178, 6.14255488872125)","1.24538645442304 (-0.375153505917192, 3.06123446283569)","-0.232289235610353 (-1.09514274095855, 0.624166872889053)","0.554972055896102 (-1.66621869443772, 3.04156040673272)","0.567139364092384 (-1.6036158318003, 2.93939939552073)"
"Gefitinib_chemo","-1.38315142736682 (-4.99114556271792, 1.14100913678486)","-1.43559771234221 (-6.55314145789495, 3.21146543881293)","-23.1281977244135 (-68.7966100806004, -1.3398951795849)","-0.392345763780915 (-4.23733266719705, 2.82998831463488)","0.287341062425389 (-3.40640757873641, 3.13646441861678)","-1.26918032616031 (-4.87946020686733, 1.27973450874002)","-1.87548771678484 (-5.51577753496909, 0.745411995166735)","-1.69251139350489 (-5.66762190022498, 1.46227416444225)","-1.38250002666778 (-4.93832886704071, 1.1691631629155)","-1.10641802812848 (-4.72627295604508, 1.51718413797031)","-0.883167020091793 (-4.55766007048573, 1.95264102218214)","-25.1598215651632 (-73.4974652822932, -1.66390648089843)","-0.234181886643185 (-4.20443767637223, 3.08693856781233)","-0.767709245263858 (-4.51184582368727, 2.11786941532805)","-1.57601542380441 (-5.25328553881926, 1.07514748619478)","17.6725805602629 (0.656252111234194, 50.629989138794)","-1.06033671518216 (-4.80601463988777, 1.76093285157635)","-1.41340838926917 (-4.87499903685785, 0.9411462626508)","Gefitinib_chemo","-1.9524376280851 (-5.74401777029714, 0.954086295943361)","16.8743221481424 (-1.83984235889992, 63.5996420119838)","19.043171179999 (-0.00559147062467591, 76.8487594891494)","-0.926774281427702 (-4.68482477117791, 1.81849616215035)","-0.751240116330958 (-4.52951992947102, 2.0561028229454)","-1.10532666950625 (-4.81887464728, 1.51794366377087)","1.23757915613097 (-2.95164099681074, 5.44139240847652)","-0.173722799216005 (-4.00012720100684, 2.84095562461915)","-1.64857405269754 (-5.23984956333987, 0.866436696009037)","-0.884082413069955 (-4.9299534604513, 2.57594523944997)","-0.878827334940237 (-4.90573471675515, 2.49638925666593)"
"Gefitinib_Erlotinib","0.553302444530599 (-1.08353036728335, 2.1459462541473)","0.548916741625091 (-3.54294858702922, 4.73726840015883)","-21.0713964723022 (-66.6088542333487, 0.260901150739842)","1.57685207106848 (-0.892049110300204, 4.22527765815481)","2.2270491056388 (0.414521016019386, 4.17713889617159)","0.666898035016638 (-0.900586428286115, 2.20926214160286)","0.0662535778050298 (-1.67711168741192, 1.73283164255838)","0.267286790042434 (-2.12144313702009, 2.60402451848122)","0.556652172644312 (-0.989771227445123, 2.09953987452821)","0.841532719272379 (-0.837690120463653, 2.48914203511456)","1.07604605530311 (-0.785791370612737, 3.00599722360663)","-23.0944229159748 (-71.505984690125, 0.110016232821628)","1.70128908567897 (-0.584810889158837, 4.29675571592233)","1.17389279490787 (-0.661569532872682, 3.16058022719071)","0.362540030392418 (-1.39929162451883, 2.06652713099466)","19.7080471857507 (2.93218045035851, 52.8087016453129)","0.899993947539877 (-1.25392343892626, 3.03912112418855)","0.518536659731712 (-1.12789001908314, 2.08915589587905)","1.9524376280851 (-0.954086295943361, 5.74401777029714)","Gefitinib_Erlotinib","18.8762639696602 (0.632382814609727, 65.6249567540337)","21.0178822551929 (2.29562111016992, 79.0096708351131)","1.01521083105186 (-0.573121300667648, 2.58595842821129)","1.18446887188375 (-0.361098099413174, 2.77176348029541)","0.815514212933823 (-0.334698640252312, 2.04840422271921)","3.16476797220092 (0.817106459701031, 6.67787669226859)","1.77318334110662 (0.0553809703110068, 3.62187673951274)","0.283609991939238 (-1.2348516334083, 1.73232615968181)","1.0862110291664 (-1.49707539456853, 3.84722799532662)","1.0760497183717 (-0.421108887634197, 2.81883315074992)"
"Gefitinib_PARPi","-18.3633370264882 (-65.1128219478182, -0.176234716402069)","-18.2846432330547 (-65.1306427474327, 0.342238490200623)","-44.9821605790101 (-102.977017165952, -7.74394482332383)","-17.4295363313894 (-64.2378759631808, 1.00811516606271)","-16.6674383177217 (-63.4595981765714, 1.56984915815503)","-18.2325738460113 (-64.9996913277145, -0.0749006174001108)","-18.8275624502653 (-65.6284728508861, -0.656948779067443)","-18.6256384079918 (-65.4674396749184, -0.237256337074712)","-18.3328586811134 (-65.1390579277565, -0.169441451575512)","-18.0498338889176 (-64.7980285057015, 0.142047022177041)","-17.7911707868847 (-64.6420722164413, 0.412642621341191)","-47.9528283206828 (-105.046754801916, -7.54640175971842)","-17.1359251045643 (-63.9316082682076, 1.2112821612279)","-17.7032118479553 (-64.4967167246073, 0.536308133729007)","-18.513152198935 (-65.3172991025257, -0.312375386393636)","-0.475360723851422 (-53.1012102477303, 42.688590248404)","-17.9847969018396 (-64.7113671299017, 0.177520274408827)","-18.3706161171352 (-65.1070526107612, -0.285779509741836)","-16.8743221481424 (-63.5996420119838, 1.83984235889992)","-18.8762639696602 (-65.6249567540337, -0.632382814609727)","Gefitinib_PARPi","-0.243985107951084 (-51.8817987556663, 63.8384709892326)","-17.8517851803739 (-64.6600075544461, 0.267182742623822)","-17.6720753720222 (-64.408562021866, 0.497167056472523)","-18.0066577328252 (-64.8039144000115, 0.0809468749783247)","-15.5649183264466 (-62.3321259719382, 2.99835508756491)","-17.0722154290361 (-63.8141569468647, 1.18772378368219)","-18.6154487739532 (-65.333863364596, -0.469686424953417)","-17.7473207183394 (-64.5898193665139, 0.581085958589012)","-17.8471367617786 (-64.5088792462807, 0.671384814417298)"
"Icotinib","-20.5314741814253 (-78.5852866814989, -1.84188612817223)","-20.5111831869212 (-78.6540383028814, -1.48319908191379)","-45.4560304506764 (-107.45224284268, -8.77458984838803)","-19.4687915505334 (-77.1718963524891, -0.722730682384045)","-18.8458397368787 (-76.706324878527, -0.156311544229382)","-20.4258481101484 (-78.4504072464411, -1.73739813908813)","-20.9979472237046 (-79.1737760819984, -2.31795606462158)","-20.7770411880068 (-78.9802861158949, -2.01547858384863)","-20.5228122745959 (-78.4800203085934, -1.84250192683707)","-20.231272737165 (-78.2713200079047, -1.55888069055079)","-19.9991640514872 (-77.9036679522132, -1.21098965870392)","-48.0835789177752 (-115.710362747857, -9.93643802796651)","-19.3131651288925 (-77.3587342877826, -0.503809025394447)","-19.9104401241995 (-77.9677912771782, -1.18351027306701)","-20.6810626262794 (-78.7020140080268, -2.03098678474142)","-0.455029892330092 (-64.2977815071811, 34.124830946868)","-20.140015354894 (-77.9780941375509, -1.44416437947915)","-20.582914298249 (-78.5375681917345, -1.91733405889861)","-19.043171179999 (-76.8487594891494, 0.00559147062467591)","-21.0178822551929 (-79.0096708351131, -2.29562111016992)","0.243985107951084 (-63.8384709892326, 51.8817987556663)","Icotinib","-20.051614709759 (-77.9537422001092, -1.32881659588568)","-19.9095098965448 (-77.9035912872272, -1.16156051317573)","-20.2739294421923 (-78.195020056905, -1.53224480675834)","-17.6865369358158 (-75.8267112967859, 1.21560367975287)","-19.3146930102199 (-77.3436928676304, -0.514333779165748)","-20.8287446965244 (-78.7866083596417, -2.12460531562896)","-19.9648198146461 (-78.1141081270703, -1.08173391581906)","-19.852124860217 (-78.1672300349325, -1.12568751474697)"
"Lazertinib","-0.464950116435985 (-1.86134107665651, 0.888140831994966)","-0.469300973253315 (-4.44332364433607, 3.61854232960896)","-22.13636878083 (-67.6763547854399, -0.743008658271637)","0.559097682862307 (-1.69093887227421, 3.03895098209787)","1.2133058036644 (-0.437326253606395, 3.00587123343396)","-0.354267402905607 (-1.67727726687495, 0.970120434325385)","-0.949349993081506 (-2.48564734033515, 0.514665268266277)","-0.740862537111414 (-3.02224017912703, 1.45653224418963)","-0.457250779275155 (-1.76512610025995, 0.866430884157891)","-0.17485468781074 (-1.6328721492068, 1.27329297807728)","0.0539731935028651 (-1.62439637528818, 1.79972831779356)","-24.0247292644915 (-72.3389714616654, -0.94194343729793)","0.674398759415864 (-1.41699077954216, 3.13782298489763)","0.160723313159306 (-1.50390154310956, 1.98604602451702)","-0.649496462636252 (-2.22379282814066, 0.871216925635748)","18.6648121754672 (1.96478613811652, 51.9702402893005)","-0.116153032049703 (-2.03472773139255, 1.80764081171106)","-0.498185274698509 (-1.82297302057824, 0.78055088789008)","0.926774281427702 (-1.81849616215035, 4.68482477117791)","-1.01521083105186 (-2.58595842821129, 0.573121300667648)","17.8517851803739 (-0.267182742623822, 64.6600075544461)","20.051614709759 (1.32881659588568, 77.9537422001092)","Lazertinib","0.165417092468354 (-0.89691436386148, 1.29562815881067)","-0.201376537901465 (-1.20960972317875, 0.888063625901254)","2.14261720830887 (-0.111292706573528, 5.59467629631021)","0.752616379285875 (-0.877234201257252, 2.49855107901142)","-0.737025250069811 (-2.01521269808513, 0.509883682631285)","0.0618376367511342 (-2.3809320734122, 2.73043218088052)","0.0676575923966053 (-2.09715814877867, 2.42666951857565)"
"Lazertinib_Amivantamab","-0.631293801995435 (-2.12083796096099, 0.770686731847013)","-0.655872315111024 (-4.63095691138405, 3.47774210629422)","-22.3129078432445 (-67.8011587006064, -0.931533233720276)","0.388856059937055 (-1.94061306381208, 2.90954996942837)","1.04157093517829 (-0.646631243571249, 2.86012858051217)","-0.519309439992016 (-1.92173817066103, 0.824030146649672)","-1.11488186097111 (-2.72201790313592, 0.369466346739776)","-0.911286648983095 (-3.24895968376739, 1.30903995185232)","-0.621953716152843 (-2.00364731887679, 0.731522439240115)","-0.342914161645552 (-1.87385702093436, 1.12928582243523)","-0.113622907482579 (-1.82732204000771, 1.65597949210196)","-24.1994333581791 (-72.5224203581079, -1.12518321609247)","0.502253844253935 (-1.63598367638136, 3.01030662295536)","-0.016693967332749 (-1.71235281761637, 1.8521036822668)","-0.819277493313271 (-2.46083405040279, 0.724783906410904)","18.49402422993 (1.79129704812257, 51.7508859440295)","-0.281444952012685 (-2.3053264225841, 1.68373861641982)","-0.661974177654777 (-2.10732181393596, 0.680218821323974)","0.751240116330958 (-2.0561028229454, 4.52951992947102)","-1.18446887188375 (-2.77176348029541, 0.361098099413174)","17.6720753720222 (-0.497167056472523, 64.408562021866)","19.9095098965448 (1.16156051317573, 77.9035912872272)","-0.165417092468354 (-1.29562815881067, 0.89691436386148)","Lazertinib_Amivantamab","-0.363339977019669 (-1.38447148211698, 0.65787316639991)","1.97300315674087 (-0.254337532471191, 5.41074010352918)","0.587264836399256 (-1.03761972789699, 2.29229065716309)","-0.895175469598738 (-2.26956503672451, 0.357288208158966)","-0.113219954953364 (-2.59149902595001, 2.56772975967588)","-0.0997192934861497 (-2.29424670357172, 2.23628695436263)"
"Osimertinib","-0.265127959456115 (-1.40583397288552, 0.777249715494451)","-0.281322562959528 (-4.15774695104384, 3.71341106356115)","-21.910391883635 (-67.4798871889528, -0.619196035037432)","0.742485451189311 (-1.40726024481209, 3.14042455223993)","1.40611513026229 (-0.00354396812630311, 2.91989901848304)","-0.151017352172105 (-1.19766823294757, 0.811592121941691)","-0.745950709191437 (-2.03582256575116, 0.42284229329546)","-0.547528940801921 (-2.66909608074774, 1.48094698284788)","-0.258881513320749 (-1.28064447681772, 0.702415466627536)","0.0196773400236745 (-1.17644792558904, 1.15208958760136)","0.258730352203305 (-1.19697811438239, 1.73235870106411)","-23.8450796287246 (-72.2701837608507, -0.754721103661609)","0.865522660180154 (-1.0588283969112, 3.17703728073371)","0.357022465553999 (-1.08587954489522, 1.91416359103653)","-0.452661943174895 (-1.79065137057338, 0.788457675631764)","18.8280874549509 (2.22883812732027, 52.1217141177313)","0.0811264726882928 (-1.73424310546148, 1.8477606332855)","-0.297174413657475 (-1.42961586157725, 0.734042723956827)","1.10532666950625 (-1.51794366377087, 4.81887464728)","-0.815514212933823 (-2.04840422271921, 0.334698640252312)","18.0066577328252 (-0.0809468749783247, 64.8039144000115)","20.2739294421923 (1.53224480675834, 78.195020056905)","0.201376537901465 (-0.888063625901254, 1.20960972317875)","0.363339977019669 (-0.65787316639991, 1.38447148211698)","Osimertinib","2.32133381063022 (0.33843884431543, 5.63169302336879)","0.943188910402837 (-0.309955442477666, 2.32247302086572)","-0.530515471907681 (-1.47717989896028, 0.289512141303234)","0.253729224131961 (-2.03247324821609, 2.73502620531719)","0.257052158752018 (-1.66641984691662, 2.37169309031417)"
