"Erlotinib_Autophagyi","37.2948670992902 (1.83283951105091, 123.546816372913)","38.1589544537844 (2.49256626905458, 124.131225526259)","85.1005622129017 (18.0121746088305, 200.689833312472)","38.9700369756133 (3.48645180614411, 125.234663617711)","37.5857139398857 (2.12947037334576, 123.807833583393)","37.2115474984013 (1.70559698391261, 123.388449529254)","38.1380458456596 (2.32016032593564, 124.228648921064)","37.0644777366157 (1.62225612051526, 123.275168992286)","38.2749220757804 (2.8241651263983, 124.530888158111)","Erlotinib_Autophagyi","36.9546344941398 (1.46763752211411, 123.2794998515)","70.6989812107156 (14.0870758496205, 177.578674135676)","36.3110794342569 (0.731572759337295, 122.562712492117)","72.0761655987163 (14.4150299271639, 166.664261488188)","39.0818426900694 (3.56043601753038, 125.344853273224)","37.2942668536711 (1.82113889414986, 123.547131853671)","-4.83315705173787 (-109.01723142492, 94.682457373416)","36.6225171665281 (1.12833305490195, 122.874385892153)","40.6291978809693 (5.02825178876143, 126.846929741955)","37.1285410851676 (1.56846160401197, 123.3625537897)","36.3762436899521 (0.792811450533912, 122.541082553496)","37.0781034227436 (1.53207753627028, 123.283195311032)","38.0319770272484 (2.41681619736826, 124.233377102163)","36.9381151572386 (1.43204346159446, 123.107886441321)","38.1294856452241 (2.52571173632536, 124.221369923669)","38.356691197826 (2.71052668291571, 124.599065234561)","36.8361259510322 (1.40430742616799, 122.912651388331)","-0.953415059090592 (-91.8090267316024, 92.0674557813186)"
"Erlotinib_chemo","0.329783258994828 (-1.90059648339977, 2.53459819687904)","1.16612666113992 (-2.29206286629959, 4.6746982628168)","39.2479415215186 (3.87726418746295, 134.901435519394)","1.96978238110708 (-0.341138230174758, 4.4398111898462)","0.597756527303664 (-1.35410353127195, 2.61170856078108)","0.208086312589778 (-2.08307570909181, 2.54014710438822)","1.05085357250363 (-2.82901720029453, 5.45886797848405)","0.0634070432353796 (-1.75381850073684, 1.90318327581634)","1.29083217371013 (-0.640092682167362, 3.27568361325099)","-36.9546344941398 (-123.2794998515, -1.46763752211411)","Erlotinib_chemo","29.0698997526041 (1.95759220368074, 94.3850434765351)","-0.651297537643995 (-3.98213074690766, 2.67353206103856)","28.3436912249274 (1.16685865571665, 92.2236928851982)","2.07816931788674 (-0.739618380320294, 5.26683828321726)","0.313699601065334 (-1.95626620583423, 2.49571975341171)","-41.0467401938607 (-142.819299803504, -3.36461981796323)","-0.336044398455507 (-2.60713867252338, 1.86073186498436)","3.62313224086599 (0.481290477629174, 6.8112110826911)","0.134713827162309 (-2.59918301191051, 2.79253318366028)","-0.617032116974061 (-4.07488966927539, 2.7451790812721)","0.0847049315950477 (-2.71373176467059, 2.78012043269994)","1.03022996517417 (-2.0918961336614, 4.06580199098026)","-0.063135630786726 (-2.4696802721639, 2.31174926051425)","1.09069018848376 (-1.82520500486639, 4.01837596127653)","1.30291412809977 (-1.98363564670915, 4.65054321550937)","-0.157522728527984 (-2.27918075866617, 1.93642703097363)","-39.1909365113484 (-120.227448986941, -1.32999301059163)"
"Erlotinib_ERi","-28.7464635016891 (-94.0205851557711, -1.66736481680863)","-27.8970260271726 (-93.2685826261874, -0.564144838008969)","10.2682379343481 (-65.9477014138268, 103.512207465372)","-27.0868718042451 (-92.335014519112, 0.0454519294570169)","-28.4652983129342 (-93.7455156819126, -1.41671184389632)","-28.8518982513547 (-94.2095733131426, -1.7770487203069)","-27.9985856471059 (-93.4525663053432, -0.471805340303432)","-28.9893004013883 (-94.2684461286275, -2.00370365551918)","-27.7717356844621 (-92.9578327265974, -0.758790226503835)","-70.6989812107156 (-177.578674135676, -14.0870758496205)","-29.0698997526041 (-94.3850434765351, -1.95759220368074)","Erlotinib_ERi","-29.6890437922356 (-95.1105222629739, -2.41715687680581)","0.639124493381823 (-72.6201154350482, 67.7904452862276)","-26.9470344529003 (-92.256615545651, 0.255834330037564)","-28.7534493580697 (-94.1195923328649, -1.69271005083898)","-77.2916861923532 (-187.010693170073, -16.2945170474219)","-29.4516942002615 (-94.6395042486237, -2.34474328800655)","-25.4581775599481 (-90.7479049598628, 1.80327103120104)","-28.9682906013937 (-94.1889825811509, -1.79918890379016)","-29.7147145087601 (-95.1101737085378, -2.4155803585982)","-29.0007472327848 (-94.3143755747206, -1.84032365181199)","-28.0452773900039 (-93.4004363435838, -0.855515998992607)","-29.1740816232487 (-94.4787493208884, -2.06620449750814)","-27.9552818839947 (-93.2479100369369, -0.798793813048711)","-27.7940745457774 (-93.0591556602968, -0.480480522585039)","-29.2124095766481 (-94.5030139345042, -2.15193439587399)","-74.2678220120353 (-166.56796295354, -14.8755025402357)"
"Erlotinib_HER3i","0.98183476127073 (-2.16142769099339, 4.09352746037488)","1.82815909061549 (-2.28518978675823, 5.9142516267071)","39.8710208238127 (4.3289633559035, 135.569443245567)","2.61354204099165 (-0.497457094494226, 5.91076581752981)","1.25033679989678 (-1.70622288082384, 4.23943284530888)","0.852587939663049 (-2.28217922715715, 4.01112660087528)","1.70521761847446 (-2.71516895325566, 6.58516937462525)","0.714694586813457 (-2.09730877345473, 3.52113418210187)","1.94470412643247 (-0.934963838639301, 4.85155247569252)","-36.3110794342569 (-122.562712492117, -0.731572759337295)","0.651297537643995 (-2.67353206103856, 3.98213074690766)","29.6890437922356 (2.41715687680581, 95.1105222629739)","Erlotinib_HER3i","28.9844484700189 (1.63657845014077, 92.7459155416617)","2.73536980489 (-0.809840453128568, 6.57896537947129)","0.966425665868047 (-2.1458073830057, 4.00033274214656)","-40.3369807253427 (-142.362133881862, -2.56136581552585)","0.324550553695372 (-2.85203500542213, 3.39123997523969)","4.27639421957426 (0.476924183090903, 8.14229607432247)","0.782823814823571 (-2.69630408790558, 4.21228074652983)","0.024827807133943 (-4.02837966460108, 4.01739593925309)","0.735824030874242 (-2.78343507993345, 4.18438445450276)","1.67129091402708 (-2.1064660452079, 5.42351123080619)","0.588526305159621 (-2.67719925980461, 3.79705060009733)","1.73039879431189 (-1.89740409542475, 5.39783037065336)","1.94786205609708 (-1.9636868796815, 5.95894663827016)","0.500621810476179 (-2.53824822788185, 3.47252475615238)","-38.5253553639557 (-119.78050293812, -0.568710777387989)"
"Erlotinib_HGFi","-28.0008965552006 (-91.812245533673, -0.847969937164179)","-27.1731770916462 (-90.9863403786372, 0.279887452357843)","10.7074251703248 (-65.7374470766385, 103.515014632163)","-26.3392754925248 (-90.1601128487406, 0.79071880740585)","-27.7450781168317 (-91.433992346942, -0.618706700018781)","-28.0940621207392 (-91.9900932445825, -0.978637214572049)","-27.2295685155833 (-91.2064728593421, 0.314081399218106)","-28.2749689905977 (-92.0372937270826, -1.20580745673059)","-27.0462388988515 (-90.8278988063506, 0.0362044415619661)","-72.0761655987163 (-166.664261488188, -14.4150299271639)","-28.3436912249274 (-92.2236928851982, -1.16685865571665)","-0.639124493381823 (-67.7904452862276, 72.6201154350482)","-28.9844484700189 (-92.7459155416617, -1.63657845014077)","Erlotinib_HGFi","-26.2029142798971 (-90.1466316406073, 1.01787228815211)","-28.0100653252994 (-91.8195881508225, -0.91167903849497)","-74.425223412458 (-199.147160758627, -15.7417008419561)","-28.6391417667983 (-92.3566803431109, -1.53394102468903)","-24.6993757762314 (-88.422080916931, 2.63409623226934)","-28.1598391825192 (-91.9640298088633, -0.982233117633682)","-29.0040178710506 (-92.7169566407226, -1.60747826334339)","-28.2712761116844 (-91.9832621267937, -1.02974822049848)","-27.3046467036223 (-91.1178984110208, -0.0212248803481167)","-28.4111002797838 (-92.0558951235058, -1.2834953144597)","-27.2277953810516 (-90.8884419509949, -0.00400852347115202)","-27.0383350068635 (-90.8576288188339, 0.254531892780743)","-28.4828481835092 (-92.2166888434808, -1.38506256578917)","-73.3851678457407 (-168.957957634192, -13.1137591284238)"
"Erlotinib_IGF_1Ri","-1.73368034615167 (-4.71926017976272, 0.787554797671647)","-0.905180951556513 (-4.90849317627383, 2.78588622655881)","37.1841782691273 (1.69005743646767, 132.93064287496)","-0.102409031408579 (-3.07270081636037, 2.6351813466685)","-1.46617777276889 (-4.25600109560414, 0.896240322440539)","-1.84939713009718 (-4.8520435644338, 0.73492049540802)","-1.03694702990098 (-5.36047294017408, 3.49998493535836)","-1.98990639193095 (-4.6297011056164, 0.136604142489621)","-0.762211814444588 (-3.49395553312936, 1.49228153898359)","-39.0818426900694 (-125.344853273224, -3.56043601753038)","-2.07816931788674 (-5.26683828321726, 0.739618380320294)","26.9470344529003 (-0.255834330037564, 92.256615545651)","-2.73536980489 (-6.57896537947129, 0.809840453128568)","26.2029142798971 (-1.01787228815211, 90.1466316406073)","Erlotinib_IGF_1Ri","-1.75429846974948 (-4.71978975982178, 0.711359649825315)","-43.1875084674225 (-145.080179944356, -5.36530358120263)","-2.40553234136387 (-5.41660560902812, 0.1046766534533)","1.53328318023921 (-2.125924019651, 4.96324990447715)","-1.94435121519319 (-5.29000121349787, 0.98678858143234)","-2.70784626082208 (-6.65179444551533, 0.872644199013752)","-1.99835494762886 (-5.38823517599199, 0.984975252543665)","-1.05740850382486 (-4.72115112717187, 2.24724207286376)","-2.14609737784918 (-5.21500571536971, 0.52779253250605)","-0.996248719037175 (-4.45535785503249, 2.17394852546018)","-0.788235036336455 (-4.59203408840597, 2.78129582118203)","-2.21547986986124 (-5.08462482990793, 0.169260386116769)","-41.2613779353766 (-122.432328034212, -3.41524444908085)"
"Erlotinib_METi","0.0192280682320618 (-1.80988225044396, 1.86113061286492)","0.857784215357649 (-2.32484900551135, 4.15109051408972)","38.9341484558408 (3.62893503271967, 134.579714376615)","1.64467886494554 (-0.235673867925783, 3.83820864385251)","0.284416173740213 (-1.27320850399221, 1.93815554488258)","-0.101656200886089 (-1.96799821671441, 1.85711134697522)","0.729899092403224 (-2.87313377323458, 4.95663704626472)","-0.250281257724512 (-1.4606004137392, 1.04768206341126)","0.977126702999578 (-0.415042343151154, 2.49589605217085)","-37.2942668536711 (-123.547131853671, -1.82113889414986)","-0.313699601065334 (-2.49571975341171, 1.95626620583423)","28.7534493580697 (1.69271005083898, 94.1195923328649)","-0.966425665868047 (-4.00033274214656, 2.1458073830057)","28.0100653252994 (0.91167903849497, 91.8195881508225)","1.75429846974948 (-0.711359649825315, 4.71978975982178)","Erlotinib_METi","-41.3518770039697 (-143.213398531339, -3.68036555244553)","-0.64387076225544 (-2.53411736740007, 1.18917897089178)","3.31017452535063 (0.47377761176989, 6.28201750295074)","-0.175410582277287 (-2.56005181949138, 2.2101029150756)","-0.932623644047023 (-4.09516357128238, 2.21611455952656)","-0.233927020626183 (-2.67176029050242, 2.19467638365714)","0.704809515381595 (-2.08962362200436, 3.55098054135295)","-0.380746244400583 (-2.40300110991977, 1.68602414489762)","0.768763187070701 (-1.80284278168595, 3.47924275508875)","0.9802444764009 (-2.00415083666783, 4.16972680154943)","-0.464461586403613 (-2.10526854080583, 1.19554038262557)","-39.4833884565475 (-120.663275024834, -1.67354151047129)"
"Erlotinib_MMPi","41.3610519873022 (3.70152522376811, 143.304654468593)","42.1946497553308 (4.33960094675257, 144.095638986598)","92.5449032825881 (20.7845525144794, 200.006491164192)","43.0721547125469 (5.3042980732796, 144.807876084272)","41.6366800589705 (3.99718073155503, 143.551517716983)","41.292764291036 (3.5821461784695, 143.192818659252)","42.1555731474799 (4.22174994879256, 143.844025465424)","41.11711173778 (3.49931338492613, 143.006828086254)","42.3583059296377 (4.68243883875252, 144.179033214814)","4.83315705173787 (-94.682457373416, 109.01723142492)","41.0467401938607 (3.36461981796323, 142.819299803504)","77.2916861923532 (16.2945170474219, 187.010693170073)","40.3369807253427 (2.56136581552585, 142.362133881862)","74.425223412458 (15.7417008419561, 199.147160758627)","43.1875084674225 (5.36530358120263, 145.080179944356)","41.3518770039697 (3.68036555244553, 143.213398531339)","Erlotinib_MMPi","40.6905885786055 (3.01791935608489, 142.489367440981)","44.6549829481378 (6.82888687402226, 146.455318127313)","41.1292692752284 (3.41502638569986, 143.14738028968)","40.4220571403888 (2.57769138387408, 142.293743889104)","41.1158535277206 (3.41039676681699, 142.965282859816)","42.0100189115071 (4.27033113424261, 143.877338109652)","40.9587931926065 (3.29500218463154, 142.810833526615)","42.0949241586348 (4.39821968912739, 143.941885365788)","42.3122187675096 (4.59656299859849, 144.17961552429)","40.9005696415871 (3.21022393544843, 142.752790849088)","2.59345084194651 (-90.0318642546778, 113.802596436263)"
"Gefitinib","0.665776798884749 (-0.812655703389744, 2.20026826945636)","1.50682846104975 (-1.51137539679134, 4.61264022637935)","39.5520280731188 (4.32534655753822, 135.271033337651)","2.29020651177593 (0.426062295300466, 4.48821474929547)","0.930816542774069 (-0.369323081372636, 2.38087970673973)","0.540235874215492 (-1.18248570413087, 2.39631201012107)","1.37933396522002 (-2.27464842205876, 5.66272320098958)","0.394056491673378 (-0.92204499398997, 1.83260140962701)","1.62390415938269 (0.154281426050793, 3.26668668383349)","-36.6225171665281 (-122.874385892153, -1.12833305490195)","0.336044398455507 (-1.86073186498436, 2.60713867252338)","29.4516942002615 (2.34474328800655, 94.6395042486237)","-0.324550553695372 (-3.39123997523969, 2.85203500542213)","28.6391417667983 (1.53394102468903, 92.3566803431109)","2.40553234136387 (-0.1046766534533, 5.41660560902812)","0.64387076225544 (-1.18917897089178, 2.53411736740007)","-40.6905885786055 (-142.489367440981, -3.01791935608489)","Gefitinib","3.94610134371338 (1.83224198197823, 6.32550080025507)","0.462832254179199 (-1.01219486043152, 2.001729973531)","-0.281724037991788 (-3.23596556934476, 2.69968189030672)","0.41194310654783 (-1.46212265240667, 2.3346405282596)","1.34381341001968 (-1.09056983550985, 3.86237195629662)","0.266889240016524 (-1.38897545390446, 1.99291336035917)","1.41046059316489 (-0.894455278840831, 3.88921591213956)","1.62705601406957 (-1.1343760901665, 4.61241175421056)","0.184731092659027 (-1.13851416468913, 1.54295833391895)","-38.8519646209756 (-120.023132493532, -1.01630201814227)"
"Gefitinib_antiangio","-3.28483500828773 (-6.05383775884292, -0.677489591385884)","-2.44965013026899 (-6.25849963603666, 1.30064417914427)","35.5957687115602 (0.236380138800192, 131.38565093241)","-1.663129953542 (-4.60866225216565, 1.39829077512017)","-3.01814869687072 (-5.67197852839737, -0.42295830680937)","-3.41334141165254 (-6.28405212813577, -0.581492017292258)","-2.57138273056227 (-6.90145137403345, 2.19833296441713)","-3.54979565084117 (-6.23829865935272, -0.984830426046956)","-2.32628522642981 (-5.07622589806627, 0.366988754330578)","-40.6291978809693 (-126.846929741955, -5.02825178876143)","-3.62313224086599 (-6.8112110826911, -0.481290477629174)","25.4581775599481 (-1.80327103120104, 90.7479049598628)","-4.27639421957426 (-8.14229607432247, -0.476924183090903)","24.6993757762314 (-2.63409623226934, 88.422080916931)","-1.53328318023921 (-4.96324990447715, 2.125924019651)","-3.31017452535063 (-6.28201750295074, -0.47377761176989)","-44.6549829481378 (-146.455318127313, -6.82888687402226)","-3.94610134371338 (-6.32550080025507, -1.83224198197823)","Gefitinib_antiangio","-3.48349858828996 (-6.27411778926418, -0.874187141283202)","-4.24160794202379 (-8.02866540639195, -0.616581292040405)","-3.53759741992197 (-6.56753551546917, -0.6747608023729)","-2.60049230958015 (-6.0222794700625, 0.672461532895507)","-3.69265722820184 (-6.57229101099557, -0.942779321418539)","-2.54713603954476 (-5.80790335621104, 0.738005174434997)","-2.33306323383412 (-5.93768324006702, 1.31912766656643)","-3.77067215927158 (-6.46368019926346, -1.25701765294706)","-42.8171725114607 (-124.093636638092, -4.93112094958648)"
"Gefitinib_chemo","0.196067088975732 (-1.9241001623427, 2.34453868802225)","1.03790196830773 (-2.34964774021636, 4.4732848255472)","39.0983090859029 (3.78622834933365, 134.622673980861)","1.82446701594005 (-0.560451386421493, 4.4885531772017)","0.458818059555275 (-1.50964606500556, 2.5472839376471)","0.0743330082972752 (-2.22466712789254, 2.45899673831016)","0.918930768838877 (-3.05840157033184, 5.4142305798698)","-0.0734041559625644 (-2.06202394777247, 1.99179903879689)","1.1549047240792 (-0.929333197199995, 3.35663767699182)","-37.1285410851676 (-123.3625537897, -1.56846160401197)","-0.134713827162309 (-2.79253318366028, 2.59918301191051)","28.9682906013937 (1.79918890379016, 94.1889825811509)","-0.782823814823571 (-4.21228074652983, 2.69630408790558)","28.1598391825192 (0.982233117633682, 91.9640298088633)","1.94435121519319 (-0.98678858143234, 5.29000121349787)","0.175410582277287 (-2.2101029150756, 2.56005181949138)","-41.1292692752284 (-143.14738028968, -3.41502638569986)","-0.462832254179199 (-2.001729973531, 1.01219486043152)","3.48349858828996 (0.874187141283202, 6.27411778926418)","Gefitinib_chemo","-0.75393346692015 (-4.07338894140109, 2.5649159701994)","-0.0509910505016606 (-2.49160607994178, 2.3721502753326)","0.884139514399945 (-2.00158470194245, 3.78225076633873)","-0.202761965304273 (-2.44130588817198, 2.08118110552756)","0.945504095382003 (-1.82077603634936, 3.84272993724317)","1.15363649933844 (-1.99289798970207, 4.49555086418817)","-0.284358286659595 (-2.30104008899177, 1.72454770286342)","-39.3057397950837 (-120.552643386929, -1.45535695934127)"
"Gefitinib_Erlotinib","0.957507824545699 (-2.08639272385915, 4.02776892603087)","1.79063735100401 (-2.23598429140303, 5.87897801122768)","39.8948077397101 (4.37131577309786, 135.619545774685)","2.5751021854987 (-0.559140370694138, 6.01273767792666)","1.2125029541966 (-1.61388916920148, 4.15451607084178)","0.824154960956706 (-2.25607405251579, 4.03877117448374)","1.68762446650781 (-2.8067025890848, 6.60650407969328)","0.680508798518734 (-2.19599097613433, 3.62488175712491)","1.9076240025562 (-1.02569172968651, 4.95701138927751)","-36.3762436899521 (-122.541082553496, -0.792811450533912)","0.617032116974061 (-2.7451790812721, 4.07488966927539)","29.7147145087601 (2.4155803585982, 95.1101737085378)","-0.024827807133943 (-4.01739593925309, 4.02837966460108)","29.0040178710506 (1.60747826334339, 92.7169566407226)","2.70784626082208 (-0.872644199013752, 6.65179444551533)","0.932623644047023 (-2.21611455952656, 4.09516357128238)","-40.4220571403888 (-142.293743889104, -2.57769138387408)","0.281724037991788 (-2.69968189030672, 3.23596556934476)","4.24160794202379 (0.616581292040405, 8.02866540639195)","0.75393346692015 (-2.5649159701994, 4.07338894140109)","Gefitinib_Erlotinib","0.708525171716194 (-2.35620995087621, 3.74182586714243)","1.6430498339176 (-1.59404548604524, 4.87376355434728)","0.548405732072133 (-1.85491647795833, 3.02065949193621)","1.70394064801877 (-1.1975846880982, 4.72125014789248)","1.91429682602377 (-1.36000343270606, 5.38404012023381)","0.466705535615929 (-2.37501626412972, 3.31175131583004)","-38.5336126094418 (-119.764840761974, -0.602679962912227)"
"Lazertinib","0.254112627026756 (-1.97799435355214, 2.47055685379846)","1.09069445310747 (-2.35124045091862, 4.59746960449228)","39.1680847864183 (3.82300733159777, 134.758505848542)","1.88308098198909 (-0.553684420754796, 4.59978961143701)","0.51144673939001 (-1.48740782780834, 2.66183588140525)","0.129555598505606 (-2.21385554375621, 2.57526494810598)","0.969364563892377 (-2.99520337679765, 5.48812438101794)","-0.0219838408001529 (-2.06211788319657, 2.11865537077647)","1.20835428333648 (-0.940618254347354, 3.48649803994475)","-37.0781034227436 (-123.283195311032, -1.53207753627028)","-0.0847049315950477 (-2.78012043269994, 2.71373176467059)","29.0007472327848 (1.84032365181199, 94.3143755747206)","-0.735824030874242 (-4.18438445450276, 2.78343507993345)","28.2712761116844 (1.02974822049848, 91.9832621267937)","1.99835494762886 (-0.984975252543665, 5.38823517599199)","0.233927020626183 (-2.19467638365714, 2.67176029050242)","-41.1158535277206 (-142.965282859816, -3.41039676681699)","-0.41194310654783 (-2.3346405282596, 1.46212265240667)","3.53759741992197 (0.6747608023729, 6.56753551546917)","0.0509910505016606 (-2.3721502753326, 2.49160607994178)","-0.708525171716194 (-3.74182586714243, 2.35620995087621)","Lazertinib","0.937388530406958 (-1.20366993661706, 3.12570472321234)","-0.150630145625887 (-1.99253255689659, 1.74174412233641)","1.00155000783493 (-1.44361187421405, 3.57329354049624)","1.20352465761793 (-1.64854375532097, 4.29935629820205)","-0.23433192527149 (-2.24668271210347, 1.78423419980979)","-39.2508772782397 (-120.438895857934, -1.43424234313076)"
"Lazertinib_Amivantamab","-0.686899364171143 (-3.35343892006826, 1.96393401814509)","0.153539739302505 (-3.58422403000097, 3.94469046335199)","38.2221289717404 (2.79695808641806, 134.107817930899)","0.935439835729359 (-1.88344984285321, 4.0142522874017)","-0.423538224118518 (-2.87541604777994, 2.13426030365455)","-0.818427170788675 (-3.54679197363751, 1.99918399178271)","0.0357860257978251 (-4.19896645520606, 4.77969669953334)","-0.964280858866448 (-3.45484978299412, 1.5848985150396)","0.268396319103579 (-2.31818017615125, 2.94373284209272)","-38.0319770272484 (-124.233377102163, -2.41681619736826)","-1.03022996517417 (-4.06580199098026, 2.0918961336614)","28.0452773900039 (0.855515998992607, 93.4004363435838)","-1.67129091402708 (-5.42351123080619, 2.1064660452079)","27.3046467036223 (0.0212248803481167, 91.1178984110208)","1.05740850382486 (-2.24724207286376, 4.72115112717187)","-0.704809515381595 (-3.55098054135295, 2.08962362200436)","-42.0100189115071 (-143.877338109652, -4.27033113424261)","-1.34381341001968 (-3.86237195629662, 1.09056983550985)","2.60049230958015 (-0.672461532895507, 6.0222794700625)","-0.884139514399945 (-3.78225076633873, 2.00158470194245)","-1.6430498339176 (-4.87376355434728, 1.59404548604524)","-0.937388530406958 (-3.12570472321234, 1.20366993661706)","Lazertinib_Amivantamab","-1.09072948393784 (-3.23128346969026, 1.07490157388185)","0.0545752535422148 (-2.61730977281407, 2.86263959071862)","0.269786172674802 (-2.79026835740635, 3.53337720851877)","-1.17946491014453 (-3.63106226343111, 1.27987528740447)","-40.2495822908834 (-121.492446559206, -2.30403539347928)"
"Osimertinib","0.404055727688781 (-1.46341144995657, 2.24008490744236)","1.23218791931306 (-1.99332130168223, 4.48582158661828)","39.2809632759945 (3.99625738860963, 135.063826259402)","2.02544947930603 (-0.0696379277228661, 4.38205011758401)","0.663986795602671 (-0.87770482100286, 2.27468691831743)","0.273689871490425 (-1.69655145577012, 2.32014523721824)","1.10543453195438 (-2.65607860039844, 5.44727374375642)","0.131589572204353 (-1.46575291989466, 1.751305929411)","1.36050914184678 (-0.382895194998933, 3.16071452653313)","-36.9381151572386 (-123.107886441321, -1.43204346159446)","0.063135630786726 (-2.31174926051425, 2.4696802721639)","29.1740816232487 (2.06620449750814, 94.4787493208884)","-0.588526305159621 (-3.79705060009733, 2.67719925980461)","28.4111002797838 (1.2834953144597, 92.0558951235058)","2.14609737784918 (-0.52779253250605, 5.21500571536971)","0.380746244400583 (-1.68602414489762, 2.40300110991977)","-40.9587931926065 (-142.810833526615, -3.29500218463154)","-0.266889240016524 (-1.99291336035917, 1.38897545390446)","3.69265722820184 (0.942779321418539, 6.57229101099557)","0.202761965304273 (-2.08118110552756, 2.44130588817198)","-0.548405732072133 (-3.02065949193621, 1.85491647795833)","0.150630145625887 (-1.74174412233641, 1.99253255689659)","1.09072948393784 (-1.07490157388185, 3.23128346969026)","Osimertinib","1.14782098166197 (-0.485766168157246, 2.88477047411877)","1.35427853935126 (-0.869935321240287, 3.79241161635882)","-0.0827400585864801 (-1.59097910704135, 1.37099188160866)","-39.1260967720315 (-120.286341276024, -1.26105446061518)"
"Osimertinib_antiangio","-0.740753347301267 (-3.30674584559209, 1.6946663445598)","0.0861573754836957 (-3.59344429150655, 3.74312108258045)","38.0668418105493 (2.75854321782962, 133.95554036843)","0.878440018657328 (-1.83818747860776, 3.73938607995531)","-0.484170800769641 (-2.81029724729509, 1.80816474034313)","-0.870485139336018 (-3.50221054947878, 1.71517701586529)","-0.0411795052117682 (-4.18169656972493, 4.58454332600885)","-1.02204661819195 (-3.37016042240118, 1.27433981525701)","0.209221175488616 (-2.22947301013329, 2.62881445812363)","-38.1294856452241 (-124.221369923669, -2.52571173632536)","-1.09069018848376 (-4.01837596127653, 1.82520500486639)","27.9552818839947 (0.798793813048711, 93.2479100369369)","-1.73039879431189 (-5.39783037065336, 1.89740409542475)","27.2277953810516 (0.00400852347115202, 90.8884419509949)","0.996248719037175 (-2.17394852546018, 4.45535785503249)","-0.768763187070701 (-3.47924275508875, 1.80284278168595)","-42.0949241586348 (-143.941885365788, -4.39821968912739)","-1.41046059316489 (-3.88921591213956, 0.894455278840831)","2.54713603954476 (-0.738005174434997, 5.80790335621104)","-0.945504095382003 (-3.84272993724317, 1.82077603634936)","-1.70394064801877 (-4.72125014789248, 1.1975846880982)","-1.00155000783493 (-3.57329354049624, 1.44361187421405)","-0.0545752535422148 (-2.86263959071862, 2.61730977281407)","-1.14782098166197 (-2.88477047411877, 0.485766168157246)","Osimertinib_antiangio","0.203968555653575 (-2.61456115180698, 3.13522504021646)","-1.2335035328322 (-3.54079695902855, 0.948247309818549)","-40.3149429888521 (-121.570800833551, -2.32111984599308)"
"Osimertinib_chemo","-0.953337979327626 (-4.02387094557922, 1.92048978519807)","-0.124011430937076 (-4.14502441294476, 3.82729947238467)","37.9312972417071 (2.47576141415823, 133.745563070395)","0.676071802445103 (-2.49749144148083, 3.87121292948152)","-0.692218268308298 (-3.53986412742054, 2.04912163620697)","-1.08694746792419 (-4.1922100201018, 1.91565477358218)","-0.237306773666433 (-4.73638621319128, 4.61958927489437)","-1.23153612382244 (-4.11656042874197, 1.51580669102241)","7.82129243026564e-06 (-2.94147570828455, 2.84724844884404)","-38.356691197826 (-124.599065234561, -2.71052668291571)","-1.30291412809977 (-4.65054321550937, 1.98363564670915)","27.7940745457774 (0.480480522585039, 93.0591556602968)","-1.94786205609708 (-5.95894663827016, 1.9636868796815)","27.0383350068635 (-0.254531892780743, 90.8576288188339)","0.788235036336455 (-2.78129582118203, 4.59203408840597)","-0.9802444764009 (-4.16972680154943, 2.00415083666783)","-42.3122187675096 (-144.17961552429, -4.59656299859849)","-1.62705601406957 (-4.61241175421056, 1.1343760901665)","2.33306323383412 (-1.31912766656643, 5.93768324006702)","-1.15363649933844 (-4.49555086418817, 1.99289798970207)","-1.91429682602377 (-5.38404012023381, 1.36000343270606)","-1.20352465761793 (-4.29935629820205, 1.64854375532097)","-0.269786172674802 (-3.53337720851877, 2.79026835740635)","-1.35427853935126 (-3.79241161635882, 0.869935321240287)","-0.203968555653575 (-3.13522504021646, 2.61456115180698)","Osimertinib_chemo","-1.44094544262423 (-4.30409248321471, 1.19676142959428)","-40.4961147161363 (-121.969301762189, -2.47730443171479)"
