"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_ERi","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_antiangio","Gefitinib_chemo","Gefitinib_ERi","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo","Rociletinib"
"Erlotinib_Autophagyi","1.66682199609031 (-0.246327302786691, 3.61599826676163)","1.61089784962002 (-0.810172953851332, 4.04904982241342)","2.14174108595726 (-0.27217120907264, 4.54237117320085)","3.34323898014975 (1.44114013166007, 5.33714420051931)","2.1805546709772 (0.362311573755587, 4.05090885861121)","1.32658609685833 (-0.614629248843429, 3.25848856654827)","2.39234271434503 (-0.979146348833812, 6.43960167243895)","1.43385981947792 (-0.263039980696816, 3.16276861957864)","3.06092703779691 (1.3254480605221, 4.84991398272943)","Erlotinib_Autophagyi","1.63260213051742 (-0.474447637989246, 3.77525542200883)","2.35544856951545 (0.0770876389306126, 4.63692960426883)","0.726128033636454 (-2.07772818062081, 3.51399889707176)","1.32245296240299 (-2.60053947375767, 5.56811177219262)","2.97411244192625 (0.916673070059688, 5.15319390772121)","1.62514114882408 (-0.29293050891366, 3.51342888826572)","-0.476111225734279 (-3.36441531727747, 2.18100842694307)","1.32035633468146 (-0.573523495320122, 3.19400141765699)","4.1356069077909 (1.88544682926888, 6.51791301229357)","1.58672317089083 (-0.451871798500221, 3.64075375396974)","2.84844555956914 (0.600081761794657, 5.10488355531892)","0.888196925324952 (-1.62794224917341, 3.37983455284664)","1.66031284093238 (-0.481742089689192, 3.77855538366396)","3.18518490261446 (0.866783829997633, 5.50950147205513)","1.37728507535958 (-0.633839065825688, 3.39665783111548)","3.61195043960246 (1.3873635503703, 5.8587143561038)","1.92019822016168 (-0.483205507005372, 4.4055673199567)","0.218347465921725 (-3.87050576221102, 3.67591158184157)","1.25623304612097 (-0.608775556099165, 3.10563530353967)","-45.0751645683175 (-157.223004731053, -0.715970230068569)"
"Erlotinib_chemo","0.031519345584059 (-1.50037539917382, 1.55443009577012)","-0.0158967358269949 (-2.17212753557689, 2.09467913262126)","0.507258187193306 (-1.62037714270894, 2.59590422512319)","1.71280065341927 (0.179795941622509, 3.31187974724037)","0.54355265021456 (-0.830095842700385, 1.96730717384272)","-0.309791483631917 (-1.89219296692255, 1.2545408327872)","0.752540830650335 (-2.42057200951195, 4.6140596175615)","-0.20226552820117 (-1.47150649770985, 1.0728776218027)","1.42717517795799 (0.102499098428901, 2.79789877255282)","-1.63260213051742 (-3.77525542200883, 0.474447637989246)","Erlotinib_chemo","0.725432399654782 (-1.23646704223908, 2.67834248731367)","-0.907174098345494 (-3.44821404596156, 1.62677498003004)","-0.322762133018178 (-4.07544140838732, 3.76487057844743)","1.33347308753845 (-0.398043897685504, 3.19928637846405)","-0.00962367291046588 (-1.56775085221214, 1.48146161530874)","-2.10395728223191 (-4.79155798725779, 0.266350977519245)","-0.320234197045789 (-1.79934521260653, 1.14546457966127)","2.50274470734263 (0.57371110309733, 4.52367399772454)","-0.0475107348710242 (-1.71774114871053, 1.61993175976548)","1.2173893780601 (-0.705639018978679, 3.13594653672323)","-0.743758024364776 (-2.98646918473605, 1.45487634197289)","0.0268860769742897 (-1.76105158144219, 1.79307082703437)","1.55105762385179 (-0.461956315730299, 3.53051857445713)","-0.259402314507144 (-1.90889159867128, 1.38037880876676)","1.97494379289851 (0.057228331009228, 3.89078918735616)","0.291851531568054 (-1.83337161252364, 2.45041561659408)","-1.40912029773616 (-5.38212021882167, 1.82200524463921)","-0.379539710034272 (-1.85009669218311, 1.06783399105814)","-46.6958037472484 (-158.952070103841, -2.40647330112683)"
"Erlotinib_ERi","-0.690752851546924 (-2.3605341357417, 0.98393716117701)","-0.745588320233537 (-2.97692024845022, 1.49622155349354)","-0.215294173965642 (-2.35872299092368, 1.9114384335107)","0.985608284158303 (-0.730941814336063, 2.75073867418492)","-0.179141193269327 (-1.75251573953929, 1.42602598231638)","-1.03876574986704 (-2.74599552713202, 0.657568507317578)","0.0275691297138951 (-3.25280133358761, 3.96696762960417)","-0.922604733048246 (-2.42688196971126, 0.579978775320009)","0.704562681980856 (-0.844439833711203, 2.28075884159288)","-2.35544856951545 (-4.63692960426883, -0.0770876389306126)","-0.725432399654782 (-2.67834248731367, 1.23646704223908)","Erlotinib_ERi","-1.63356916186606 (-4.29931121911048, 1.03541796767051)","-1.04389473690043 (-4.88234941744534, 3.13982693988138)","0.607762696804989 (-1.29939031353308, 2.66395982177903)","-0.73334864788448 (-2.49588759542907, 0.946847406787959)","-2.83605585850094 (-5.63552937547451, -0.311554166039255)","-1.04219000042089 (-2.54985339823744, 0.44747761081141)","1.77182009314432 (-0.17778747853071, 3.84175260707102)","-0.772053357992823 (-2.47487030439243, 0.924356827967515)","0.490065922884003 (-1.0565803927938, 2.0456074993237)","-1.47491113597464 (-3.78083235096642, 0.848963998160857)","-0.69975597172899 (-2.56469095435673, 1.15206716170348)","0.824129592054711 (-1.26164872697964, 2.89993839356388)","-0.985556386830285 (-2.74799946623075, 0.78830836233259)","1.25193981533591 (-0.753016291826009, 3.28213209602146)","-0.431992179476973 (-2.66867582464157, 1.84175525996866)","-2.14084727259959 (-6.12019143048804, 1.1702199238941)","-1.10366068560384 (-2.73327360188162, 0.493041982419561)","-47.455189106235 (-159.665050018738, -3.10867291952951)"
"Erlotinib_HER3i","0.937648675520244 (-1.43278689405296, 3.31946319995282)","0.885145090651317 (-1.89924953004769, 3.69603601141568)","1.420762707854 (-1.35384837417248, 4.19872172320399)","2.62250359127859 (0.254531858959613, 5.03836124349806)","1.45308569917886 (-0.833316478197034, 3.78905681623666)","0.594906155232684 (-1.78993546807577, 2.99124013796826)","1.67215915256346 (-1.99572385373704, 5.90949580767432)","0.704102465919844 (-1.49050538467714, 2.91921443479099)","2.33568876632858 (0.110152334651658, 4.59899731244031)","-0.726128033636454 (-3.51399889707176, 2.07772818062081)","0.907174098345494 (-1.62677498003004, 3.44821404596156)","1.63356916186606 (-1.03541796767051, 4.29931121911048)","Erlotinib_HER3i","0.589604359556854 (-3.55220382503351, 5.09124968011208)","2.24355193533647 (-0.250442593433835, 4.83522765656706)","0.893540117579054 (-1.47778994619673, 3.23795234919236)","-1.21040729023319 (-4.39508728789346, 1.80551650599457)","0.589315739264202 (-1.74454838966932, 2.92622405737367)","3.40951714846603 (0.797508244492142, 6.15266653447103)","0.858487254376058 (-1.60256249438163, 3.33030187026728)","2.11923951154731 (-0.496727364386426, 4.76846927575552)","0.165100067213625 (-2.70222447744159, 3.01566869311506)","0.934999430016715 (-1.63951740259167, 3.46723526182553)","2.45929947658438 (-0.266741669094092, 5.1775855615012)","0.646848829266832 (-1.79079073152586, 3.10279701594097)","2.88063641687486 (0.269350126046182, 5.55740147004818)","1.20028606721055 (-1.56804599974424, 4.02483790195217)","-0.524659235807068 (-4.8442074782753, 3.22576206539171)","0.526367671198335 (-1.78565918415254, 2.84359452157646)","-45.7737985344177 (-157.893973081014, -1.45758611738953)"
"Erlotinib_HGFi","0.354433730026447 (-3.64389846969709, 3.96517529073044)","0.304161645665465 (-3.9458401345381, 4.21240750882416)","0.827066710058814 (-3.42538674640528, 4.75326575042554)","2.04141808601415 (-1.97303710308448, 5.68709264329696)","0.876177691688406 (-3.08533600492583, 4.45778849062965)","0.013421759932223 (-3.99266234429665, 3.63446400900456)","1.09019612748792 (-3.79739813521165, 6.12729828593731)","0.128677339305855 (-3.80363335987927, 3.64082535753945)","1.76344394482157 (-2.18580516065603, 5.29935451891419)","-1.32245296240299 (-5.56811177219262, 2.60053947375767)","0.322762133018178 (-3.76487057844743, 4.07544140838732)","1.04389473690043 (-3.13982693988138, 4.88234941744534)","-0.589604359556854 (-5.09124968011208, 3.55220382503351)","Erlotinib_HGFi","1.66508566843209 (-2.42148964415316, 5.43580382027069)","0.31232672729199 (-3.6908956587462, 3.91170914649264)","-1.81319793451583 (-6.32519968943905, 2.27963952924538)","0.00964062154351619 (-3.98714559941933, 3.60339636899998)","2.82913247286905 (-1.3252119647867, 6.69727231792151)","0.280622498081889 (-3.79565326061091, 3.96278508141082)","1.52827618436308 (-2.63002391480245, 5.35344881069939)","-0.427916506697976 (-4.71565791504429, 3.51591299942354)","0.349346511941504 (-3.7602281004065, 4.06663210898811)","1.86125921666673 (-2.35956738232091, 5.70657907536113)","0.0671785278186918 (-3.98662871685827, 3.72663775024051)","2.30166862799114 (-1.85473769002005, 6.09582093930657)","0.610558459862586 (-3.64515446305955, 4.53572928908572)","-1.15009949234549 (-6.43839406679916, 3.55600723039517)","-0.062143372883483 (-4.03945386043958, 3.51196330087415)","-46.4530243710905 (-158.490107924576, -1.91892153053058)"
"Erlotinib_IGF_1Ri","-1.29482551249451 (-2.95275276284789, 0.175758343280775)","-1.34599810230533 (-3.57522172993556, 0.715880286243223)","-0.817552366716315 (-3.06785559206448, 1.23685046708592)","0.385983802919376 (-1.25501883958762, 1.90617422654603)","-0.780167803086967 (-2.28107072415864, 0.585528472553121)","-1.63445541187107 (-3.31752907406474, -0.136558724321127)","-0.590012507418505 (-3.80117224650328, 3.23558775883933)","-1.52286485377149 (-2.90407925283644, -0.336021756087095)","0.102593488049274 (-1.31894241883956, 1.37028212155804)","-2.97411244192625 (-5.15319390772121, -0.916673070059688)","-1.33347308753845 (-3.19928637846405, 0.398043897685504)","-0.607762696804989 (-2.66395982177903, 1.29939031353308)","-2.24355193533647 (-4.83522765656706, 0.250442593433835)","-1.66508566843209 (-5.43580382027069, 2.42148964415316)","Erlotinib_IGF_1Ri","-1.33583739345384 (-3.00044754680698, 0.0902761148962191)","-3.43967376171827 (-6.16657134809872, -1.10229742636833)","-1.64283377018561 (-3.25024183067249, -0.224855838192033)","1.16812400018319 (-0.836508974401456, 3.14613312387511)","-1.37368890737013 (-3.15175654179806, 0.24415621573433)","-0.118033991758434 (-2.13341171317474, 1.75415149686189)","-2.07936719139705 (-4.39854834361883, 0.0830657647067361)","-1.29869515528432 (-3.20147714837035, 0.414606148081279)","0.220075559553392 (-1.89241291643081, 2.17455084964531)","-1.58819096368789 (-3.34343296638914, 0.00932973540716044)","0.64136369206086 (-1.34326538326016, 2.51828419935044)","-1.0415161229587 (-3.25349700987748, 1.08651351838962)","-2.75515748899635 (-6.74115032888396, 0.482302090370753)","-1.70329718867356 (-3.30955729062913, -0.320041512725903)","-48.0215943231616 (-160.14151451228, -3.74127313029812)"
"Erlotinib_METi","0.0419410604013826 (-1.14876787232953, 1.29638731812439)","-0.00809265175060253 (-1.8954242989028, 1.94660137833503)","0.51277365936619 (-1.35534999939661, 2.44552992903013)","1.71745420720316 (0.510224632000369, 3.06168258312095)","0.556210976671216 (-0.485728560131806, 1.69958571871243)","-0.298413940444114 (-1.54556055860681, 0.972554901043597)","0.757204597398905 (-2.24135105858964, 4.54458670902131)","-0.191220964878845 (-1.00119891457362, 0.685806958923807)","1.43549738560249 (0.521476000157969, 2.46259799560151)","-1.62514114882408 (-3.51342888826572, 0.29293050891366)","0.00962367291046588 (-1.48146161530874, 1.56775085221214)","0.73334864788448 (-0.946847406787959, 2.49588759542907)","-0.893540117579054 (-3.23795234919236, 1.47778994619673)","-0.31232672729199 (-3.91170914649264, 3.6908956587462)","1.33583739345384 (-0.0902761148962191, 3.00044754680698)","Erlotinib_METi","-2.08466064800845 (-4.57365682494294, 0.110085640240239)","-0.306549567657265 (-1.4343159580008, 0.857997495113903)","2.50910510520469 (0.832888937652098, 4.37229950075909)","-0.0340895905264125 (-1.40593818201901, 1.38481821504199)","1.22216433758428 (-0.42744002210931, 2.94590971251043)","-0.738726726549343 (-2.70926887883245, 1.30766364951582)","0.0354391404708162 (-1.4659548164917, 1.57888108199296)","1.55713877142079 (-0.190486074802911, 3.38306123650057)","-0.247820228337063 (-1.57974308598386, 1.14063687271926)","1.98584639948864 (0.341473574127933, 3.72123953229622)","0.297937975303644 (-1.59508298429788, 2.32403680104878)","-1.39580413053635 (-5.25007661924989, 1.7223673058657)","-0.369115973321779 (-1.46586502215129, 0.759062170353533)","-46.6661091585322 (-158.945153415195, -2.41263286981659)"
"Erlotinib_MMPi","2.13145147522569 (-0.0498088953073203, 4.66093493776954)","2.09343352827786 (-0.597139369966029, 4.99149230367165)","2.61618270658719 (-0.0378160244801921, 5.49093875083864)","3.81476930261516 (1.62910214832842, 6.36590026819616)","2.64354525915142 (0.564442511028329, 5.12541769238488)","1.79268977679647 (-0.442919526677909, 4.32960847538128)","2.88824013563435 (-0.694830168596717, 7.20185615358239)","1.89290167340759 (-0.10561142677096, 4.28629515084551)","3.52159579363449 (1.49125589736998, 5.95006793629085)","0.476111225734279 (-2.18100842694307, 3.36441531727747)","2.10395728223191 (-0.266350977519245, 4.79155798725779)","2.83605585850094 (0.311554166039255, 5.63552937547451)","1.21040729023319 (-1.80551650599457, 4.39508728789346)","1.81319793451583 (-2.27963952924538, 6.32519968943905)","3.43967376171827 (1.10229742636833, 6.16657134809872)","2.08466064800845 (-0.110085640240239, 4.57365682494294)","Erlotinib_MMPi","1.78001869482081 (-0.384961527581358, 4.26637758138308)","4.62103175983186 (2.12148975037095, 7.45464667384616)","2.05489182534114 (-0.245300032729934, 4.6510150821826)","3.32292851084776 (0.824152297332762, 6.08649147277467)","1.36190251424431 (-1.37215607820203, 4.34721749651774)","2.12829162489024 (-0.25455136870541, 4.786351074066)","3.65036647239898 (1.1053403936294, 6.47524676369779)","1.84381701674921 (-0.427989870352063, 4.43394532977376)","4.08601577631426 (1.60727495022621, 6.86692401854368)","2.40078350579577 (-0.242831431875872, 5.35524051666318)","0.696949174756784 (-3.55098087855266, 4.49573815622848)","1.71641087822103 (-0.435275529580011, 4.18838365750693)","-44.5775441199389 (-156.733092800462, -0.22259133003727)"
"Gefitinib","0.348183878014948 (-0.598727737328032, 1.32309895717144)","0.297032898250707 (-1.46136669697973, 2.07040421361113)","0.819771888166419 (-0.67632021560895, 2.34906063949772)","2.02315214398864 (0.955719936726271, 3.20890753607619)","0.861189859482931 (0.0504701840086947, 1.74022091323271)","0.00943285686856438 (-0.968484612905856, 0.993532000498276)","1.06077296933774 (-1.93260832701343, 4.80481952973491)","0.114514789961757 (-0.647861284860264, 0.905670334451867)","1.7421272199887 (0.880811205558167, 2.66824963705826)","-1.32035633468146 (-3.19400141765699, 0.573523495320122)","0.320234197045789 (-1.14546457966127, 1.79934521260653)","1.04219000042089 (-0.44747761081141, 2.54985339823744)","-0.589315739264202 (-2.92622405737367, 1.74454838966932)","-0.00964062154351619 (-3.60339636899998, 3.98714559941933)","1.64283377018561 (0.224855838192033, 3.25024183067249)","0.306549567657265 (-0.857997495113903, 1.4343159580008)","-1.78001869482081 (-4.26637758138308, 0.384961527581358)","Gefitinib","2.81354414744187 (1.56416663632809, 4.23993551646738)","0.269848977052833 (-0.524400613976402, 1.07550690665249)","1.52721998316721 (0.10558394535999, 3.00176116969616)","-0.430937960121172 (-2.27345408087359, 1.42939507648299)","0.343349414361314 (-0.820158305129769, 1.50045725667871)","1.86775254562984 (0.345019738339098, 3.40714746533506)","0.0601979201096687 (-1.03634491696228, 1.15124089897037)","2.29351680640958 (0.851457834094716, 3.7738326671471)","0.607478332989231 (-1.12305597920955, 2.41921641094221)","-1.08031698450447 (-4.86346524106091, 1.90711128538146)","-0.0588739547569242 (-0.924503053629935, 0.784066599523766)","-46.3688516436861 (-158.584648359304, -2.09138928933129)"
"Gefitinib_antiangio","-2.46282302104728 (-4.1672675600495, -0.891063918321768)","-2.52261019745729 (-4.78790269978496, -0.381280141582832)","-1.989708546997 (-4.09005300877963, -0.0528440038965937)","-0.790889930356616 (-2.54819308157942, 0.914383646372083)","-1.95654223982128 (-3.55984111627005, -0.425320996964695)","-2.80753875379076 (-4.53014799659698, -1.23142785887323)","-1.75104175128429 (-5.07988133609401, 2.15224011236353)","-2.69793308065696 (-4.29689626120339, -1.22840210435441)","-1.07413263634144 (-2.698710365352, 0.46533189180628)","-4.1356069077909 (-6.51791301229357, -1.88544682926888)","-2.50274470734263 (-4.52367399772454, -0.57371110309733)","-1.77182009314432 (-3.84175260707102, 0.17778747853071)","-3.40951714846603 (-6.15266653447103, -0.797508244492142)","-2.82913247286905 (-6.69727231792151, 1.3252119647867)","-1.16812400018319 (-3.14613312387511, 0.836508974401456)","-2.50910510520469 (-4.37229950075909, -0.832888937652098)","-4.62103175983186 (-7.45464667384616, -2.12148975037095)","-2.81354414744187 (-4.23993551646738, -1.56416663632809)","Gefitinib_antiangio","-2.54114447760784 (-4.1728666216383, -1.07036711258803)","-1.28476134210298 (-3.32237262592692, 0.61319728691317)","-3.24775513825701 (-5.58209757322936, -1.02590563038068)","-2.4652073445705 (-4.34392705440231, -0.792487147525156)","-0.945487578461288 (-3.06819332957846, 1.00679603175952)","-2.75668295160191 (-4.54531678596084, -1.11541253131849)","-0.518097602900307 (-2.55722099230931, 1.39544781734138)","-2.2032388880139 (-4.45543271676113, -0.0571148468785578)","-3.91754133655201 (-7.92730625926418, -0.658271950915663)","-2.87390257925103 (-4.5382125005099, -1.3779047947569)","-49.222178840634 (-161.4175763206, -4.92285279776304)"
"Gefitinib_chemo","0.0788867716878139 (-1.16016001341096, 1.31173713909048)","0.0286625482799822 (-1.9094943804268, 1.94549978141993)","0.548084824638552 (-1.15902403584843, 2.27285345819574)","1.7514312445062 (0.431132346495212, 3.17922067208333)","0.593075246439261 (-0.53777555504719, 1.77125708042744)","-0.263798086444207 (-1.52413184594191, 0.989178714261665)","0.794486755559489 (-2.31495471147, 4.60547661794387)","-0.152775809051443 (-1.26122940524402, 0.957817318780465)","1.47531339511289 (0.30240519539892, 2.68869239156479)","-1.58672317089083 (-3.64075375396974, 0.451871798500221)","0.0475107348710242 (-1.61993175976548, 1.71774114871053)","0.772053357992823 (-0.924356827967515, 2.47487030439243)","-0.858487254376058 (-3.33030187026728, 1.60256249438163)","-0.280622498081889 (-3.96278508141082, 3.79565326061091)","1.37368890737013 (-0.24415621573433, 3.15175654179806)","0.0340895905264125 (-1.38481821504199, 1.40593818201901)","-2.05489182534114 (-4.6510150821826, 0.245300032729934)","-0.269848977052833 (-1.07550690665249, 0.524400613976402)","2.54114447760784 (1.07036711258803, 4.1728666216383)","Gefitinib_chemo","1.25716575603097 (-0.378148155644085, 2.92428250512078)","-0.702264260170737 (-2.7211698675144, 1.32637699378011)","0.0747388603546737 (-1.34619923874657, 1.46259202468867)","1.59543290188168 (-0.137527656782031, 3.33286785255679)","-0.208945676734126 (-1.55542261126922, 1.13430028842995)","2.02162753825005 (0.359824116343105, 3.708874468811)","0.337804597271178 (-1.55568683744226, 2.30259022646784)","-1.35999042332801 (-5.19673869161123, 1.76066885575359)","-0.32765594651906 (-1.51913742254598, 0.81001658066839)","-46.6313755213525 (-158.95063052611, -2.34905157873138)"
"Gefitinib_ERi","-1.18020584796118 (-2.81211302948539, 0.451829077284571)","-1.23318006271128 (-3.43381101729899, 0.965690329775266)","-0.707585820068723 (-2.80317567779639, 1.38487741078397)","0.498392724074777 (-1.17400184789515, 2.21547203781014)","-0.665266564763822 (-2.21260675062493, 0.897443111944339)","-1.51994274027584 (-3.19398615776823, 0.11688054225262)","-0.463759458400816 (-3.7208051461243, 3.47462418739807)","-1.41130202360623 (-2.87535926408751, 0.0375657540364222)","0.213705557217674 (-1.30100716233402, 1.74444023063873)","-2.84844555956914 (-5.10488355531892, -0.600081761794657)","-1.2173893780601 (-3.13594653672323, 0.705639018978679)","-0.490065922884003 (-2.0456074993237, 1.0565803927938)","-2.11923951154731 (-4.76846927575552, 0.496727364386426)","-1.52827618436308 (-5.35344881069939, 2.63002391480245)","0.118033991758434 (-1.75415149686189, 2.13341171317474)","-1.22216433758428 (-2.94590971251043, 0.42744002210931)","-3.32292851084776 (-6.08649147277467, -0.824152297332762)","-1.52721998316721 (-3.00176116969616, -0.10558394535999)","1.28476134210298 (-0.61319728691317, 3.32237262592692)","-1.25716575603097 (-2.92428250512078, 0.378148155644085)","Gefitinib_ERi","-1.95916511505584 (-4.25402170541701, 0.314178530138999)","-1.18579525501379 (-3.0172084235454, 0.60533770501339)","0.336974984172652 (-1.73737029670038, 2.37154989951432)","-1.47347604279706 (-3.21984283653517, 0.243266604300434)","0.763000463722558 (-1.22401384217981, 2.77006869031147)","-0.920827926117589 (-3.13262633655115, 1.33201037472172)","-2.62637033870803 (-6.62450535502551, 0.658247437588063)","-1.59091101285173 (-3.18418615854939, -0.0393017304702057)","-47.9111405339681 (-160.071138946422, -3.59632138278839)"
"Gefitinib_Erlotinib","0.778573468708317 (-1.15113805522046, 2.70717217341873)","0.730181970560577 (-1.70381144483019, 3.1483952641651)","1.25804837958994 (-1.12074549935278, 3.63935373544532)","2.45208545769845 (0.479790701553851, 4.53574176276237)","1.29245564689886 (-0.499195895628069, 3.13817036935136)","0.440676110215186 (-1.52496515478257, 2.39738332496449)","1.50952901908306 (-1.93861666015621, 5.5841994833705)","0.545241517655895 (-1.27542380639663, 2.3885010045061)","2.17491890057159 (0.305343654337911, 4.09341695549651)","-0.888196925324952 (-3.37983455284664, 1.62794224917341)","0.743758024364776 (-1.45487634197289, 2.98646918473605)","1.47491113597464 (-0.848963998160857, 3.78083235096642)","-0.165100067213625 (-3.01566869311506, 2.70222447744159)","0.427916506697976 (-3.51591299942354, 4.71565791504429)","2.07936719139705 (-0.0830657647067361, 4.39854834361883)","0.738726726549343 (-1.30766364951582, 2.70926887883245)","-1.36190251424431 (-4.34721749651774, 1.37215607820203)","0.430937960121172 (-1.42939507648299, 2.27345408087359)","3.24775513825701 (1.02590563038068, 5.58209757322936)","0.702264260170737 (-1.32637699378011, 2.7211698675144)","1.95916511505584 (-0.314178530138999, 4.25402170541701)","Gefitinib_Erlotinib","0.774786798910046 (-1.11360445363243, 2.64971980685351)","2.29965861568105 (0.288327857778691, 4.29003435108041)","0.490746152963122 (-0.999804397892068, 1.98012689731644)","2.72514278829014 (0.949593863304251, 4.52740231471945)","1.03433045430667 (-0.949991516551839, 3.10701446288119)","-0.658679188821357 (-4.55474906030721, 2.52589311914087)","0.367868051230923 (-1.45905382680112, 2.17799885984638)","-45.9795755019124 (-158.210653556921, -1.59840346778542)"
"Lazertinib","0.00193211352228928 (-1.38082955271663, 1.42482278990511)","-0.0453954855547502 (-2.0625607616416, 1.99794130385943)","0.480505870494796 (-1.41225074280459, 2.38746341548824)","1.68108187802458 (0.211469097654536, 3.25626406230628)","0.516201537449107 (-0.722204716363614, 1.84020956257679)","-0.334479274166797 (-1.77590013955456, 1.10292997851713)","0.726306000527033 (-2.4404648839553, 4.59442232543578)","-0.226140806478131 (-1.46584128207976, 1.05756067279982)","1.40179541557612 (0.0944908318077973, 2.77846341832536)","-1.66031284093238 (-3.77855538366396, 0.481742089689192)","-0.0268860769742897 (-1.79307082703437, 1.76105158144219)","0.69975597172899 (-1.15206716170348, 2.56469095435673)","-0.934999430016715 (-3.46723526182553, 1.63951740259167)","-0.349346511941504 (-4.06663210898811, 3.7602281004065)","1.29869515528432 (-0.414606148081279, 3.20147714837035)","-0.0354391404708162 (-1.57888108199296, 1.4659548164917)","-2.12829162489024 (-4.786351074066, 0.25455136870541)","-0.343349414361314 (-1.50045725667871, 0.820158305129769)","2.4652073445705 (0.792487147525156, 4.34392705440231)","-0.0747388603546737 (-1.46259202468867, 1.34619923874657)","1.18579525501379 (-0.60533770501339, 3.0172084235454)","-0.774786798910046 (-2.64971980685351, 1.11360445363243)","Lazertinib","1.52362129502082 (0.193757626104985, 2.8581355417227)","-0.284252752252501 (-1.41844622356191, 0.857663761327925)","1.95146938996702 (0.458134599257867, 3.48382486866763)","0.257027949211206 (-1.4945173488034, 2.1066441407915)","-1.4267655886731 (-5.21563487410602, 1.58355346519817)","-0.403937265060041 (-1.68989458450541, 0.868313265780792)","-46.7278927130846 (-158.850039021227, -2.41788903869721)"
"Lazertinib_Amivantamab","-1.51829760659152 (-3.19185245238699, 0.164904991936539)","-1.56755726949708 (-3.81001731969253, 0.65929634028258)","-1.04513314412696 (-3.18952724815934, 1.10806054122315)","0.155813536351599 (-1.58449829876055, 1.99502901040715)","-1.00725272083031 (-2.54509406272141, 0.591162195758758)","-1.85680470797548 (-3.59801631121987, -0.14252934166333)","-0.787293500984387 (-4.08420196570966, 3.17424115845391)","-1.75178114481906 (-3.31495497089962, -0.166010092615008)","-0.12562923249571 (-1.72085839047274, 1.53482807840021)","-3.18518490261446 (-5.50950147205513, -0.866783829997633)","-1.55105762385179 (-3.53051857445713, 0.461956315730299)","-0.824129592054711 (-2.89993839356388, 1.26164872697964)","-2.45929947658438 (-5.1775855615012, 0.266741669094092)","-1.86125921666673 (-5.70657907536113, 2.35956738232091)","-0.220075559553392 (-2.17455084964531, 1.89241291643081)","-1.55713877142079 (-3.38306123650057, 0.190486074802911)","-3.65036647239898 (-6.47524676369779, -1.1053403936294)","-1.86775254562984 (-3.40714746533506, -0.345019738339098)","0.945487578461288 (-1.00679603175952, 3.06819332957846)","-1.59543290188168 (-3.33286785255679, 0.137527656782031)","-0.336974984172652 (-2.37154989951432, 1.73737029670038)","-2.29965861568105 (-4.29003435108041, -0.288327857778691)","-1.52362129502082 (-2.8581355417227, -0.193757626104985)","Lazertinib_Amivantamab","-1.80807749421945 (-3.1221980843653, -0.48045848957005)","0.426163840346877 (-1.20153702893083, 2.10748645784495)","-1.26224252645202 (-3.1254210233979, 0.687812558504048)","-2.94532508517262 (-6.7895864663672, 0.128997233793994)","-1.92770577573893 (-3.51618979841306, -0.378723891727318)","-48.2603381937963 (-160.347487855939, -3.95353402105731)"
"Osimertinib","0.291826616067245 (-0.941678596725982, 1.5243718445102)","0.241937742329493 (-1.69762591848105, 2.16332202249501)","0.763618790932533 (-1.10835112762314, 2.62227310303198)","1.96516103570644 (0.636066052766002, 3.38693778083959)","0.804521856978372 (-0.219762735355674, 1.87254887691296)","-0.0548796342142599 (-1.34106047724011, 1.23875362612808)","1.00193698366633 (-2.07951577713283, 4.8105438747801)","0.0582880181593555 (-1.00509492863452, 1.12629299080022)","1.68563467175967 (0.550177865859036, 2.86507226538901)","-1.37728507535958 (-3.39665783111548, 0.633839065825688)","0.259402314507144 (-1.38037880876676, 1.90889159867128)","0.985556386830285 (-0.78830836233259, 2.74799946623075)","-0.646848829266832 (-3.10279701594097, 1.79079073152586)","-0.0671785278186918 (-3.72663775024051, 3.98662871685827)","1.58819096368789 (-0.00932973540716044, 3.34343296638914)","0.247820228337063 (-1.14063687271926, 1.57974308598386)","-1.84381701674921 (-4.43394532977376, 0.427989870352063)","-0.0601979201096687 (-1.15124089897037, 1.03634491696228)","2.75668295160191 (1.11541253131849, 4.54531678596084)","0.208945676734126 (-1.13430028842995, 1.55542261126922)","1.47347604279706 (-0.243266604300434, 3.21984283653517)","-0.490746152963122 (-1.98012689731644, 0.999804397892068)","0.284252752252501 (-0.857663761327925, 1.41844622356191)","1.80807749421945 (0.48045848957005, 3.1221980843653)","Osimertinib","2.22981974411438 (1.26190947504259, 3.248983066146)","0.544882056386188 (-0.805205517070456, 1.97481616847377)","-1.13363324531933 (-4.78074357239919, 1.6413990647314)","-0.121686457476064 (-1.17961234720194, 0.906894044585648)","-46.4793728831137 (-158.531455484392, -2.15370892621737)"
