"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","Befotertinib","chemo","chemo_antiangio","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Furmonertinib","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Gefitinib_PARPi","Icotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"DHFRi","0.222445455106319 (-1.67581974487448, 2.13487426389161)","0.237906369713658 (-1.93738686468569, 2.45261939209069)","0.610765212806244 (-1.85762430453633, 3.08247573366711)","0.184860329635987 (-1.95395726408103, 2.30203793427332)","2.39297010293594 (0.480883199459475, 4.46126968096035)","23.3019129122751 (2.71431174491848, 60.9031126855042)","0.393322577802399 (-1.45039686047782, 2.29343325946454)","-27.7427900233165 (-81.8004299322158, -2.23364515505717)","-0.321268790843841 (-2.24810874517723, 1.62404216748289)","DHFRi","0.291658526638873 (-1.44319981305531, 2.1172512915139)","0.262549074064745 (-1.54843353912222, 2.12658233092846)","0.912352663723381 (-1.4793032977537, 3.46190275553276)","0.68303179456695 (-1.25136113082393, 2.73160569503773)","-34.7451517219861 (-86.1260266807531, -1.85556479658471)","1.43992881164685 (-0.901982529769587, 4.17862972608997)","-49.0636718003228 (-118.455419182959, -3.05477213806323)","0.437016565674999 (-1.43609337726106, 2.48792037767573)","0.168373817117809 (-1.71149592620247, 2.15469136599275)","1.60529798552625 (-0.823624721478919, 4.34177676774853)","0.214534811073967 (-1.96852367645852, 2.39636249071157)","0.0658741839850487 (-1.87770904774036, 2.02562610113752)","0.369995067666679 (-1.93548040247236, 2.67361472166024)","0.000908397535214767 (-2.14412859036547, 2.17850529106234)","30.0310644336021 (1.16146686747151, 96.6285165469835)","23.1861826707588 (2.63981006073366, 60.7890923934296)","0.988672584060551 (-1.16580140732653, 3.16553494174842)","1.22431633819841 (-0.936408824198468, 3.44254166758534)","0.919470106573046 (-1.03984083538135, 2.91958098465102)","2.06570175569123 (-0.0552260838862593, 4.22882607814543)","1.47347449843797 (-0.564871172956135, 3.65266148962647)","-47.5469743777144 (-105.614878547368, -3.08566521750456)","-0.136129293602717 (-2.03396324636996, 1.7791744041056)","2.06108398192571 (0.024492036040254, 4.20633119001926)","0.120253457870768 (-2.17930871833952, 2.49427291755497)"
"Erlotinib","-0.065285918435077 (-0.8065657215243, 0.594567375980802)","-0.0478801775922625 (-1.38966489151971, 1.23334063788829)","0.306713832997472 (-1.4092324659359, 2.06921456634033)","-0.098415124140159 (-1.31535682421393, 0.986367746315423)","2.08703380190411 (1.2628192127518, 3.09973443669912)","22.9434425780255 (2.52082630826955, 60.6324767300356)","0.106805077407 (-0.47963244212065, 0.643299762542731)","-28.1083565379032 (-82.1215321484135, -2.64349316473301)","-0.604222114661505 (-1.4423430243893, 0.106198486060872)","-0.291658526638873 (-2.1172512915139, 1.44319981305531)","Erlotinib","-0.0245940895890564 (-0.494405043690675, 0.373528809966372)","0.617889465316432 (-1.01996138727114, 2.46423661145565)","0.396710888009561 (-0.530864952570212, 1.32885891381329)","-35.1353494542991 (-86.3840391122646, -2.19765106444316)","1.12027255874219 (-0.426871385616837, 3.22896253770182)","-49.4163580975121 (-118.672719221939, -3.32721362954331)","0.133030288624211 (-0.59173608221022, 1.0936608901934)","-0.116029343870287 (-0.875191642611225, 0.640191493501555)","1.2887828491363 (-0.389946077352065, 3.3764893207498)","-0.0742215550016986 (-1.39386432146785, 1.16236047417096)","-0.222115788121916 (-1.05213552471059, 0.530805827907818)","0.0738600413317343 (-1.40829718719553, 1.55668838434842)","-0.293979642655248 (-1.54643316964439, 0.920001422105869)","29.6920458832251 (0.996717729075248, 96.4644063689902)","22.812100695579 (2.42880368080993, 60.5370660255615)","0.694414850239385 (-0.566171394151886, 1.91954775105693)","0.942715373752017 (-0.334085440146396, 2.15620400624131)","0.625704826577067 (-0.239762226171048, 1.46792228893126)","1.77473054160711 (0.597575434268036, 2.94726683066384)","1.17474296993848 (0.0934067075299991, 2.38025280588371)","-47.8999857361401 (-105.844382495985, -3.40047889416058)","-0.424598136460904 (-1.09761152351375, 0.181986482055093)","1.76422082963312 (0.661211098757766, 2.94590033554552)","-0.169309984809841 (-1.69485347867398, 1.3446993021654)"
"Erlotinib_antiangio","-0.0410691525500629 (-0.862381099524488, 0.754742890673611)","-0.0191599478692335 (-1.3870140695727, 1.34083868693657)","0.33660865055215 (-1.41426710907301, 2.14294566587724)","-0.0798726208397317 (-1.31955133272148, 1.1130225774973)","2.11458739794245 (1.22607218190136, 3.22835449631359)","22.973546100618 (2.54284046038517, 60.6943433904142)","0.133123552570525 (-0.565811215995199, 0.839796056079723)","-28.0675883126103 (-82.1494586098195, -2.62485140265166)","-0.581273746942419 (-1.48815203275087, 0.262407472904219)","-0.262549074064745 (-2.12658233092846, 1.54843353912222)","0.0245940895890564 (-0.373528809966372, 0.494405043690675)","Erlotinib_antiangio","0.650033008905978 (-1.03020705633461, 2.55155455410089)","0.42562218693267 (-0.579989880259621, 1.47636065334071)","-35.1134628686956 (-86.2854957158581, -2.14651297842663)","1.15568338443911 (-0.440326022881469, 3.3093215083729)","-49.360444263863 (-118.623829803626, -3.29921684930549)","0.154400396601355 (-0.660085837530206, 1.28049716851257)","-0.0883403578084385 (-0.943671981295949, 0.799622622093223)","1.32407512962935 (-0.422511511267709, 3.44986213657915)","-0.0509047354652309 (-1.40317461374256, 1.27638749028218)","-0.197444591527436 (-1.09417893995814, 0.671523408875645)","0.107499317266596 (-1.4286695358729, 1.66760683138964)","-0.268918648387608 (-1.56439514414711, 1.0389520550998)","29.7296603905085 (0.993025651855513, 96.4661819525676)","22.8502704856986 (2.45508241418767, 60.6276958235619)","0.724346596118272 (-0.584925289360286, 2.01974879188169)","0.967423980047246 (-0.347425423553518, 2.27053632660431)","0.652706967162555 (-0.285222351125034, 1.62255542875813)","1.80115184307031 (0.580741777338838, 3.05651711614974)","1.19931472249102 (0.0753196453538773, 2.53615112403333)","-47.8801568250361 (-105.884911739547, -3.39307248115428)","-0.39582639192619 (-1.17127731737852, 0.350421605979202)","1.79156284877568 (0.636806222208377, 3.0515180907969)","-0.143038417205741 (-1.69481445819735, 1.46282710495516)"
"Erlotinib_Autophagyi","-0.692900044783161 (-2.66965431422336, 1.06089708095476)","-0.672444220576777 (-2.93777101001289, 1.42477731179273)","-0.30823587173668 (-2.8413702944005, 2.14200479838684)","-0.731700725218229 (-2.94836894757583, 1.21837153469883)","1.47835718389196 (-0.523197401403539, 3.43145271334207)","22.3415993351155 (1.82335476653136, 60.0004118620115)","-0.520124310396604 (-2.45038725343214, 1.21533785118785)","-28.665683266346 (-83.1075580926633, -3.29733922610885)","-1.23647404518478 (-3.26356592841877, 0.560331693086506)","-0.912352663723381 (-3.46190275553276, 1.4793032977537)","-0.617889465316432 (-2.46423661145565, 1.01996138727114)","-0.650033008905978 (-2.55155455410089, 1.03020705633461)","Erlotinib_Autophagyi","-0.223556553734341 (-2.27194022040602, 1.67949694220365)","-35.7151381962132 (-87.0868980400612, -2.76081219434283)","0.529771531257972 (-1.91372071117137, 3.13316701724576)","-49.9901031908103 (-119.228815454816, -3.90741361097561)","-0.470963696475997 (-2.43688041743038, 1.40695550411827)","-0.738947225640018 (-2.71760248111255, 1.08865056330549)","0.683707222826926 (-1.79978581584379, 3.28916979226784)","-0.692046584858567 (-2.96096485219476, 1.32777606014329)","-0.841265260762582 (-2.86899757432183, 0.957099969675987)","-0.555907295729923 (-2.88759901861109, 1.691714589476)","-0.922812965404444 (-3.13094225033454, 1.11228284440804)","29.0399421007345 (0.230420916303991, 95.8631796630499)","22.2258125042306 (1.73313030689717, 59.9053295574205)","0.0727334243321649 (-2.13510006681595, 2.10047003870877)","0.318624746457693 (-1.91034793652044, 2.36258645333992)","0.00590570387916034 (-2.0170462754072, 1.84511850823032)","1.15206554722465 (-1.02651015848897, 3.15647428502179)","0.562456250751038 (-1.5653322193154, 2.58757370195847)","-48.4723405304757 (-106.520340186866, -3.9617897016571)","-1.04801935269896 (-3.00909126741659, 0.711589416539846)","1.15221685049503 (-1.00233770603348, 3.19597601223875)","-0.787911653401417 (-3.17612333866458, 1.41654507150746)"
"Erlotinib_chemo","-0.461514503498631 (-1.6573869162296, 0.647157557554215)","-0.444005302813018 (-2.06372277398804, 1.10940638622738)","-0.086927455722222 (-2.06008464282225, 1.90346795553798)","-0.506456533295122 (-2.0271881164801, 0.929413811223404)","1.69678258913731 (0.464056196357862, 3.06551766516626)","22.5530541863224 (2.10496591619731, 60.3026431621351)","-0.298045014060875 (-1.36101310845454, 0.759652743881676)","-28.5655840083754 (-82.4486937424266, -2.98058104139429)","-1.00923053634839 (-2.25821254832426, 0.152522292312755)","-0.68303179456695 (-2.73160569503773, 1.25136113082393)","-0.396710888009561 (-1.32885891381329, 0.530864952570212)","-0.42562218693267 (-1.47636065334071, 0.579989880259621)","0.223556553734341 (-1.67949694220365, 2.27194022040602)","Erlotinib_chemo","-35.5287480168644 (-86.7444697123554, -2.55419246298525)","0.743217899028517 (-1.07947621455783, 3.02939972643346)","-49.8395492208548 (-118.978156908698, -3.76819956459937)","-0.259463965904157 (-1.43088733894526, 1.07489249334478)","-0.516625765959634 (-1.71024460763475, 0.687386399410305)","0.906980937017187 (-1.03458639386591, 3.137615645069)","-0.466981493647553 (-2.08698084237876, 1.05152670584894)","-0.619036725264038 (-1.88306874706719, 0.565871871944963)","-0.313810525004909 (-2.06995689732798, 1.40667215500221)","-0.690114115067533 (-2.25369249506936, 0.819813884989868)","29.3342524053723 (0.4546880310488, 96.0458704187537)","22.4206396789091 (2.02498568736092, 60.1635130776666)","0.291522031919818 (-1.27190376393349, 1.82283914952375)","0.537159796303151 (-1.02798651512101, 2.06040540411146)","0.227056974342007 (-1.02830011449991, 1.46776789109012)","1.37694585467447 (-0.117203915695282, 2.86314140825187)","0.783946910994915 (-0.628189634646583, 2.28134633282237)","-48.275235782321 (-106.334358641456, -3.77943090258282)","-0.820764122846676 (-1.96780316361355, 0.274190529192365)","1.37390289817298 (-0.0824548390135445, 2.84789332544774)","-0.563802338687636 (-2.34907176117339, 1.18950811171762)"
"Erlotinib_COX2i","35.0602441572615 (2.12975740675423, 86.2286530522198)","35.0664937472339 (2.1231499951901, 86.256121290701)","35.4778948716618 (2.39731675915678, 86.7294015985463)","35.0104352771874 (2.05431446046091, 86.2927849305095)","37.3000581440375 (4.27677912927512, 88.5040083748641)","61.4635719585406 (13.9058914180231, 122.561786258734)","35.2217934726052 (2.28730158913308, 86.4372195213381)","6.58650769445328 (-69.2153626199241, 70.9461877487856)","34.5430359960935 (1.55546567085038, 85.699068110378)","34.7451517219861 (1.85556479658471, 86.1260266807531)","35.1353494542991 (2.19765106444316, 86.3840391122646)","35.1134628686956 (2.14651297842663, 86.2854957158581)","35.7151381962132 (2.76081219434283, 87.0868980400612)","35.5287480168644 (2.55419246298525, 86.7444697123554)","Erlotinib_COX2i","36.3651643124547 (3.30049668164142, 87.5715397898594)","-15.5356375682715 (-87.576836466987, 53.5945446867595)","35.2848822299159 (2.41111380498789, 86.5286769749179)","34.9958603590177 (2.10558422628143, 86.2274321151044)","36.5363440502231 (3.55654794381833, 87.7373332651287)","35.0228515844027 (2.12296656791077, 86.3860620270859)","34.9071270482406 (1.96314514348576, 86.1657611531673)","35.1768473814739 (2.25277919178837, 86.4875547483499)","34.8249940511193 (1.89402230251085, 86.1644375782121)","70.1867861085131 (14.4682227246353, 138.743522276471)","61.3504106173665 (13.8220230171959, 122.483777886835)","35.8785092568962 (2.8775937704446, 87.1587967027997)","36.1134468369861 (3.08673631149391, 87.3522667056486)","35.7892609574887 (2.80744665393193, 87.1079493180478)","36.9571846322469 (3.95955644166982, 88.2518472980281)","36.3330015609166 (3.3765643117114, 87.6679990244187)","-10.1236732170378 (-81.4120569999099, 58.4093701071771)","34.7058810135876 (1.74602052850053, 86.0420554211911)","36.8961300632376 (3.93462979918951, 88.1645641091428)","34.9469770242665 (1.98435761927158, 86.3359062851183)"
"Erlotinib_HER3i","-1.20211957876475 (-3.43195312319465, 0.497874101966728)","-1.19275206361595 (-3.63865391002965, 0.861652819511314)","-0.838817221485471 (-3.52225366737672, 1.52453541734397)","-1.2456139281119 (-3.64704201865389, 0.685959685091178)","0.969675351402769 (-1.28705700582776, 2.84735009455396)","21.8236509248363 (1.13587713522512, 59.6440831299946)","-1.02437760466495 (-3.20517626631408, 0.63850233199046)","-29.3555975953824 (-83.3627481874022, -3.656963758062)","-1.74890779030228 (-4.01212645419833, -0.0275623871890229)","-1.43992881164685 (-4.17862972608997, 0.901982529769587)","-1.12027255874219 (-3.22896253770182, 0.426871385616837)","-1.15568338443911 (-3.3093215083729, 0.440326022881469)","-0.529771531257972 (-3.13316701724576, 1.91372071117137)","-0.743217899028517 (-3.02939972643346, 1.07947621455783)","-36.3651643124547 (-87.5715397898594, -3.30049668164142)","Erlotinib_HER3i","-50.5579194010831 (-119.893866233986, -4.52360445549254)","-0.987063565511785 (-3.17608502159875, 0.865699532775933)","-1.250312337286 (-3.45883157478032, 0.479090030906151)","0.158745912509316 (-2.51640966294034, 2.75446139015181)","-1.22532052613491 (-3.6926662150585, 0.798490154684112)","-1.36252163708063 (-3.59520334194579, 0.38986413695679)","-1.06691090019177 (-3.60629660135275, 1.10901419648362)","-1.44055533309295 (-3.8016210050358, 0.565262663442238)","28.6052902744267 (-0.249305375985441, 95.2533266202184)","21.6934210662622 (1.06818815058403, 59.5442238240243)","-0.438490101995285 (-2.85031566840548, 1.58321007351857)","-0.198190625010077 (-2.59807978854508, 1.79674133416016)","-0.504292398793005 (-2.74856896252373, 1.27944071545371)","0.638153017702114 (-1.7074754994574, 2.60319143146614)","0.0447528275354188 (-2.24335269990939, 2.04521745255397)","-48.9949089856521 (-106.993884529103, -4.60476921725287)","-1.55410745743963 (-3.74834290613136, 0.113508009172083)","0.644721758217799 (-1.72839899222195, 2.58094560058318)","-1.31604744631904 (-3.82693601067522, 0.892513847239394)"
"Erlotinib_HGFi","49.3155121659545 (3.25270438495968, 118.542331834934)","49.3182479775724 (3.25197554658472, 118.636767397274)","49.7557991662311 (3.60874186225251, 119.112317647945)","49.2542606843832 (3.2298952592605, 118.541251133532)","51.4853842855575 (5.41277348203936, 120.808639367693)","74.9990413949934 (13.9757739240877, 154.513926635619)","49.5207839300955 (3.40165373908881, 118.698670083672)","20.4194195464577 (-55.8784675222108, 97.574753495598)","48.8299088506422 (2.69705740731445, 118.00547129518)","49.0636718003228 (3.05477213806323, 118.455419182959)","49.4163580975121 (3.32721362954331, 118.672719221939)","49.360444263863 (3.29921684930549, 118.623829803626)","49.9901031908103 (3.90741361097561, 119.228815454816)","49.8395492208548 (3.76819956459937, 118.978156908698)","15.5356375682715 (-53.5945446867595, 87.576836466987)","50.5579194010831 (4.52360445549254, 119.893866233986)","Erlotinib_HGFi","49.503047003778 (3.50522616023099, 118.848142572575)","49.2805956700426 (3.23744432400172, 118.530045043614)","50.7172720555862 (4.69634872001645, 119.985082880233)","49.2887511707553 (3.19518291810216, 118.659562241515)","49.1380056171963 (3.11257328151807, 118.408713541591)","49.4521395994983 (3.43347738735116, 118.703395691324)","49.0437101987412 (3.03217348547567, 118.312289352727)","81.71140005204 (18.6943307968751, 166.027305956457)","74.8811692152172 (13.8822347952631, 154.408595074725)","50.115232704035 (4.04492410464248, 119.387534377704)","50.3040051075147 (4.28523408329698, 119.59265360849)","50.0005175065049 (3.9754748454968, 119.198340223774)","51.1187489131263 (5.11541541045159, 120.365487078144)","50.5326228328796 (4.52111287790117, 119.87221164654)","5.94772688457666 (-86.4133343948182, 102.340592550986)","48.9822964329857 (2.89318506146962, 118.16887445757)","51.1837905620575 (5.12894839998777, 120.455237000067)","49.1953443596794 (3.14254847553138, 118.40140241882)"
"Erlotinib_IGF_1Ri","-0.198587258535337 (-1.46775067157461, 0.767222264407398)","-0.182718153760627 (-1.88546493276823, 1.26633639465052)","0.162634684356661 (-1.83047527922363, 2.06884888282431)","-0.234228713752827 (-1.85814966000534, 1.02668854371439)","1.9522718495749 (0.75263081441181, 3.16119699083902)","22.7765772265934 (2.32566997698377, 60.5740566441266)","-0.0254689237568351 (-1.19392136479503, 0.860873666804566)","-28.2453193699547 (-82.1493635289076, -2.80087839995629)","-0.74211670827634 (-2.0828333996379, 0.262884302458172)","-0.437016565674999 (-2.48792037767573, 1.43609337726106)","-0.133030288624211 (-1.0936608901934, 0.59173608221022)","-0.154400396601355 (-1.28049716851257, 0.660085837530206)","0.470963696475997 (-1.40695550411827, 2.43688041743038)","0.259463965904157 (-1.07489249334478, 1.43088733894526)","-35.2848822299159 (-86.5286769749179, -2.41111380498789)","0.987063565511785 (-0.865699532775933, 3.17608502159875)","-49.503047003778 (-118.848142572575, -3.50522616023099)","Erlotinib_IGF_1Ri","-0.250343399259384 (-1.48013347924985, 0.781607978918225)","1.15077209087014 (-0.79991971510215, 3.34536877394719)","-0.210266264263664 (-1.89754928491689, 1.20266089640035)","-0.353150087777887 (-1.69757850321142, 0.70034891980989)","-0.0709198194045006 (-1.8556132466047, 1.58618009747399)","-0.422524906149452 (-2.05040827362044, 0.934575729634927)","29.5414628530592 (0.760589957995743, 96.260197362869)","22.6618281425224 (2.26127882578298, 60.418362390696)","0.556112061497344 (-1.07470934734443, 1.9913818962747)","0.806831002107451 (-0.838313148230212, 2.18835317216755)","0.493401657234893 (-0.828035830244981, 1.58676701019304)","1.64422962746999 (0.0797876580023319, 2.99309738567904)","1.04030097538344 (-0.395024811121481, 2.38829712390829)","-48.0322613640176 (-106.120956386516, -3.57211971090971)","-0.556644590629026 (-1.78260838028384, 0.375998686794029)","1.62756177496545 (0.140661340407326, 2.98949819274214)","-0.299995074012174 (-2.15936011987114, 1.31879989040266)"
"Erlotinib_METi","0.0473367591405393 (-1.01999357675917, 1.04358842177174)","0.0702180253568002 (-1.47808996212692, 1.53421304303639)","0.427967083936024 (-1.45218258014148, 2.3328642888427)","0.0106320255455116 (-1.41993883166971, 1.33216100972831)","2.2088589830081 (1.09628379030763, 3.47940121868806)","23.0255220851439 (2.65137297784624, 60.6518329060592)","0.217950187384603 (-0.735910259044107, 1.14877664054971)","-27.980086517465 (-81.9454367949349, -2.53894010330139)","-0.493628418593777 (-1.63298924270797, 0.538692363996534)","-0.168373817117809 (-2.15469136599275, 1.71149592620247)","0.116029343870287 (-0.640191493501555, 0.875191642611225)","0.0883403578084385 (-0.799622622093223, 0.943671981295949)","0.738947225640018 (-1.08865056330549, 2.71760248111255)","0.516625765959634 (-0.687386399410305, 1.71024460763475)","-34.9958603590177 (-86.2274321151044, -2.10558422628143)","1.250312337286 (-0.479090030906151, 3.45883157478032)","-49.2805956700426 (-118.530045043614, -3.23744432400172)","0.250343399259384 (-0.781607978918225, 1.48013347924985)","Erlotinib_METi","1.41369607744794 (-0.450977637264601, 3.60811380642306)","0.037631331427829 (-1.48243088633744, 1.47560547359765)","-0.106231821931692 (-1.23078359681378, 0.956699021973571)","0.194249712044227 (-1.46811418088988, 1.84225446447888)","-0.187755522294339 (-1.63136320903637, 1.23967708153826)","29.8413735881834 (1.078042616444, 96.6139004651263)","22.8955863428881 (2.55183387920061, 60.6434497948125)","0.815444333719057 (-0.666019123565935, 2.23984190059495)","1.05722807405424 (-0.430148435082043, 2.48425963307304)","0.740523956672462 (-0.409691224655006, 1.87616469839422)","1.89143237977545 (0.477816866832842, 3.28862133190432)","1.29154995680644 (-0.0155817516490937, 2.72914014397637)","-47.7849924308705 (-105.717075457474, -3.28796935023106)","-0.308560660429333 (-1.33255830066412, 0.654737455859396)","1.87969342880362 (0.552516142982696, 3.30042046682964)","-0.0549533233822281 (-1.75308755483613, 1.61324654336957)"
"Erlotinib_MMPi","-1.36186820681021 (-3.57373038915143, 0.428689030758005)","-1.3677302497719 (-3.7852132737155, 0.785947320350066)","-0.996344107019882 (-3.69904789107469, 1.45272564524055)","-1.40251250417851 (-3.81108226300252, 0.606573971222905)","0.797736236135126 (-1.39087118890948, 2.78190234563175)","21.5815046066886 (1.00536919273548, 59.1431157401337)","-1.19720405731795 (-3.34785419344462, 0.583726333787973)","-29.48123703433 (-83.8690512042247, -3.75673188132527)","-1.91978649590015 (-4.18224988601841, -0.0725090216390075)","-1.60529798552625 (-4.34177676774853, 0.823624721478919)","-1.2887828491363 (-3.3764893207498, 0.389946077352065)","-1.32407512962935 (-3.44986213657915, 0.422511511267709)","-0.683707222826926 (-3.28916979226784, 1.79978581584379)","-0.906980937017187 (-3.137615645069, 1.03458639386591)","-36.5363440502231 (-87.7373332651287, -3.55654794381833)","-0.158745912509316 (-2.75446139015181, 2.51640966294034)","-50.7172720555862 (-119.985082880233, -4.69634872001645)","-1.15077209087014 (-3.34536877394719, 0.79991971510215)","-1.41369607744794 (-3.60811380642306, 0.450977637264601)","Erlotinib_MMPi","-1.37239037214178 (-3.82863473682125, 0.699072547282931)","-1.51109047225741 (-3.76946687556906, 0.319719560342884)","-1.22207511413926 (-3.73689273059106, 1.01021244881016)","-1.60927589049791 (-4.00255998842035, 0.487277557035938)","28.4960134859549 (-0.527641119488295, 95.1324441906637)","21.4439038524612 (0.956652282397745, 59.0358405379862)","-0.616221395860004 (-3.02143106215283, 1.48328565277846)","-0.364156304834896 (-2.79894467471326, 1.72384392146832)","-0.673779559427651 (-2.89541472219847, 1.21171622337361)","0.470908370606407 (-1.89258273920641, 2.51725176729602)","-0.116900463017133 (-2.42467541841802, 1.95753707955721)","-49.189062298595 (-106.956897730817, -4.6927737610113)","-1.72357999223461 (-3.88654625464801, 0.0606069904226423)","0.471199920607142 (-1.86713759588636, 2.55552837540464)","-1.48666831848 (-4.0285645728805, 0.785629958446516)"
"Furmonertinib","0.00604015667521876 (-1.29404800696621, 1.31140889672267)","0.0245049683179379 (-1.69921830736721, 1.74769804654247)","0.389788644096023 (-1.61272120349328, 2.47674090505353)","-0.0331773228103333 (-1.33994204865247, 1.24776170646663)","2.16569547039208 (0.763364678190115, 3.79236899152054)","23.0108966463379 (2.5946697883063, 60.7682571718145)","0.178011216145635 (-1.06941685219672, 1.48917823118217)","-27.998902698315 (-82.0938165101189, -2.49467873114787)","-0.541726158094284 (-1.95659347476974, 0.89282427026486)","-0.214534811073967 (-2.39636249071157, 1.96852367645852)","0.0742215550016986 (-1.16236047417096, 1.39386432146785)","0.0509047354652309 (-1.27638749028218, 1.40317461374256)","0.692046584858567 (-1.32777606014329, 2.96096485219476)","0.466981493647553 (-1.05152670584894, 2.08698084237876)","-35.0228515844027 (-86.3860620270859, -2.12296656791077)","1.22532052613491 (-0.798490154684112, 3.6926662150585)","-49.2887511707553 (-118.659562241515, -3.19518291810216)","0.210266264263664 (-1.20266089640035, 1.89754928491689)","-0.037631331427829 (-1.47560547359765, 1.48243088633744)","1.37239037214178 (-0.699072547282931, 3.82863473682125)","Furmonertinib","-0.143929509228725 (-1.13887119112667, 0.849114627408175)","0.148709918536664 (-1.42018792107913, 1.78459526805778)","-0.222529918829791 (-1.82313421702323, 1.44385437480346)","29.7585394077923 (0.949787763124206, 96.60333430614)","22.8647681031818 (2.51115650873812, 60.6576565815284)","0.763155566515895 (-0.785459468932086, 2.37307508725005)","1.01041838789863 (-0.592353440159958, 2.67121985379922)","0.697881502111658 (-0.662842451693544, 2.1148160799337)","1.85461290330707 (0.27040356336606, 3.47733163790474)","1.24829509268889 (-0.235671644405693, 2.95917616933432)","-47.6928361472425 (-105.74735235558, -3.3751542716995)","-0.350541263492757 (-1.6180825799727, 0.931775224651056)","1.84593717312241 (0.193754616700295, 3.60835960942511)","-0.0944914058672988 (-1.92544186842153, 1.81161394905794)"
"Gefitinib","0.152352600207731 (-0.670657469774796, 0.995850632690467)","0.171359086825864 (-1.22003846728601, 1.56712588065869)","0.534899885931161 (-1.21379512263882, 2.35642061714554)","0.113888520429626 (-0.727853350182462, 0.957247833317806)","2.31047807393175 (1.3004370656925, 3.57070126929648)","23.1488449333739 (2.77173852281125, 60.988479723437)","0.32312420355069 (-0.452010651496868, 1.16212042354983)","-27.8728329321917 (-81.8867371998373, -2.41612448989506)","-0.392630999004064 (-1.41088713058451, 0.629702521556482)","-0.0658741839850487 (-2.02562610113752, 1.87770904774036)","0.222115788121916 (-0.530805827907818, 1.05213552471059)","0.197444591527436 (-0.671523408875645, 1.09417893995814)","0.841265260762582 (-0.957099969675987, 2.86899757432183)","0.619036725264038 (-0.565871871944963, 1.88306874706719)","-34.9071270482406 (-86.1657611531673, -1.96314514348576)","1.36252163708063 (-0.38986413695679, 3.59520334194579)","-49.1380056171963 (-118.408713541591, -3.11257328151807)","0.353150087777887 (-0.70034891980989, 1.69757850321142)","0.106231821931692 (-0.956699021973571, 1.23078359681378)","1.51109047225741 (-0.319719560342884, 3.76946687556906)","0.143929509228725 (-0.849114627408175, 1.13887119112667)","Gefitinib","0.293180030320002 (-0.911702233666537, 1.59951097897083)","-0.0796241595094383 (-1.35347148295941, 1.25734805426545)","29.9326351796528 (1.15447156542153, 96.7384698235384)","23.0140889659736 (2.6648377845833, 60.8535589359661)","0.916482020901252 (-0.291607882280798, 2.16811917994668)","1.15607765396988 (-0.105584877539724, 2.47791950187024)","0.843732885133375 (-0.0831113060718883, 1.84364811246575)","1.99736909374895 (0.778176354874283, 3.27790173343972)","1.3929423687212 (0.266758278808165, 2.75891447543371)","-47.6436890128651 (-105.5193942492, -3.1812592531865)","-0.201834973956458 (-1.01360616450021, 0.605652430886561)","1.98664176728771 (0.654493523812745, 3.44120588278353)","0.0502609708104196 (-1.48725890023196, 1.66409247445127)"
