"Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","26.60 (1.51 to 467.46)",".",".",".",".",".","."
"3.08 (0.16 to    60.39)","Lazertinib + Amivantamab",".",".",".",".",".","4.73 (2.55 to   8.76)",".",".",".",".",".",".",".",".","6.27 (3.56 to  11.06)",".",".",".",".",".",".",".",".",".",".",".","."
"21.24 (0.51 to   890.22)","6.89 (0.59 to    81.05)","3.29 (0.27 to    40.00)","2.49 (0.20 to    31.23)","2.08 (0.17 to    25.97)","2.06 (0.15 to    28.29)","1.70 (0.15 to    19.06)","1.56 (0.14 to    18.06)","1.71 (0.12 to    25.20)","1.38 (0.13 to    14.73)","1.40 (0.11 to    17.83)","1.31 (0.12 to    14.13)","1.19 (0.11 to    13.08)","1.15 (0.11 to    12.01)","DHFR inhibitor",".",".","1.04 (0.10 to  10.61)",".",".",".",".",".",".",".",".",".",".","."
"21.67 (0.51 to   918.00)","7.03 (0.59 to    84.03)","3.36 (0.27 to    41.46)","2.54 (0.20 to    32.37)","2.13 (0.17 to    26.91)","2.10 (0.15 to    29.31)","1.73 (0.15 to    19.77)","1.59 (0.14 to    18.73)","1.75 (0.12 to    26.09)","1.41 (0.13 to    15.29)","1.43 (0.11 to    18.47)","1.34 (0.12 to    14.66)","1.22 (0.11 to    13.57)","1.17 (0.11 to    12.46)","1.02 (0.04 to    27.52)","Rociletinib",".","1.02 (0.10 to  10.58)",".",".",".",".",".",".",".",".",".",".","."
"20.40 (1.07 to   389.38)","6.61 (3.81 to    11.48)","3.16 (1.10 to     9.11)","2.39 (0.71 to     8.10)","2.00 (0.66 to     6.10)","1.98 (0.73 to     5.36)","1.63 (0.62 to     4.31)","1.50 (0.83 to     2.70)","1.65 (0.38 to     7.08)","1.33 (0.57 to     3.06)","1.35 (0.45 to     4.04)","1.26 (0.63 to     2.51)","1.15 (0.52 to     2.54)","1.10 (0.50 to     2.41)","0.96 (0.09 to    10.84)","0.94 (0.08 to    10.79)","Osimertinib",".",".","1.01 (0.43 to   2.41)",".",".",".",".","1.82 (0.35 to   9.38)",".",".","3.08 (0.96 to   9.86)","."
"22.12 (1.18 to   412.98)","7.17 (3.12 to    16.46)","3.43 (1.36 to     8.62)","2.60 (0.95 to     7.07)","2.17 (0.81 to     5.82)","2.14 (0.64 to     7.23)","1.77 (0.90 to     3.48)","1.63 (0.75 to     3.54)","1.78 (0.46 to     6.92)","1.44 (0.90 to     2.29)","1.46 (0.52 to     4.12)","1.36 (0.81 to     2.30)","1.24 (0.69 to     2.23)","1.19 (0.84 to     1.71)","1.04 (0.10 to    10.61)","1.02 (0.10 to    10.58)","1.08 (0.54 to     2.17)","Erlotinib","1.32 (0.10 to  16.97)","0.65 (0.33 to   1.28)","1.40 (0.62 to   3.19)","1.29 (0.51 to   3.25)","0.69 (0.19 to   2.50)","1.56 (0.35 to   6.94)",".","1.72 (0.47 to   6.24)","3.11 (0.12 to  80.48)",".","7.59 (0.37 to 157.01)"
"29.19 (0.60 to  1419.90)","9.47 (0.65 to   138.83)","4.52 (0.30 to    68.33)","3.43 (0.22 to    53.23)","2.87 (0.19 to    44.27)","2.83 (0.17 to    47.88)","2.34 (0.17 to    32.78)","2.15 (0.15 to    30.98)","2.36 (0.13 to    42.44)","1.90 (0.14 to    25.45)","1.93 (0.12 to    30.35)","1.80 (0.13 to    24.39)","1.64 (0.12 to    22.54)","1.58 (0.12 to    20.78)","1.37 (0.04 to    43.34)","1.35 (0.04 to    42.96)","1.43 (0.10 to    20.19)","1.32 (0.10 to    16.97)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".","."
"22.72 (1.21 to   427.90)","7.37 (3.29 to    16.49)","3.52 (1.31 to     9.49)","2.67 (0.87 to     8.20)","2.23 (0.78 to     6.38)","2.20 (0.67 to     7.25)","1.82 (0.78 to     4.24)","1.67 (0.78 to     3.59)","1.83 (0.45 to     7.40)","1.48 (0.74 to     2.94)","1.50 (0.52 to     4.34)","1.40 (0.74 to     2.65)","1.28 (0.65 to     2.50)","1.23 (0.66 to     2.29)","1.07 (0.10 to    11.52)","1.05 (0.10 to    11.48)","1.11 (0.58 to     2.14)","1.03 (0.62 to     1.71)","0.78 (0.06 to    10.52)","Placebo","0.66 (0.21 to   2.10)",".","0.58 (0.16 to   2.13)",".",".",".",".",".","."
"23.42 (1.19 to   460.82)","7.59 (2.79 to    20.65)","3.63 (1.21 to    10.91)","2.75 (0.83 to     9.14)","2.30 (0.72 to     7.30)","2.27 (0.60 to     8.65)","1.87 (0.73 to     4.83)","1.72 (0.66 to     4.48)","1.89 (0.43 to     8.35)","1.52 (0.68 to     3.42)","1.55 (0.48 to     5.02)","1.44 (0.64 to     3.24)","1.32 (0.57 to     3.06)","1.27 (0.60 to     2.69)","1.10 (0.10 to    12.33)","1.08 (0.10 to    12.28)","1.15 (0.47 to     2.80)","1.06 (0.55 to     2.06)","0.80 (0.06 to    11.22)","1.03 (0.50 to     2.12)","Dacomitinib",".","1.65 (0.21 to  13.20)",".",".",".",".",".","."
"28.42 (1.32 to   612.50)","9.22 (2.65 to    32.01)","4.40 (1.19 to    16.28)","3.34 (0.85 to    13.06)","2.79 (0.72 to    10.80)","2.76 (0.60 to    12.71)","2.27 (0.72 to     7.16)","2.09 (0.62 to     7.01)","2.29 (0.44 to    11.85)","1.85 (0.66 to     5.21)","1.88 (0.47 to     7.55)","1.75 (0.61 to     5.08)","1.60 (0.53 to     4.78)","1.54 (0.57 to     4.15)","1.34 (0.11 to    16.30)","1.31 (0.11 to    16.22)","1.39 (0.44 to     4.44)","1.29 (0.51 to     3.25)","0.97 (0.06 to    14.73)","1.25 (0.43 to     3.60)","1.21 (0.39 to     3.79)","Erlotinib + chemotherapy",".",".",".",".",".",".","."
"26.60 (1.51 to   467.46)","8.63 (3.89 to    19.12)","4.12 (1.71 to     9.95)","3.12 (0.98 to    10.00)","2.61 (1.01 to     6.74)","2.58 (0.77 to     8.70)","2.13 (0.87 to     5.23)","1.96 (0.98 to     3.89)","2.15 (0.54 to     8.60)","1.73 (0.81 to     3.68)","1.76 (0.75 to     4.12)","1.64 (0.88 to     3.04)","1.50 (0.78 to     2.88)","1.44 (0.72 to     2.87)","1.25 (0.11 to    13.76)","1.23 (0.11 to    13.70)","1.30 (0.65 to     2.61)","1.20 (0.66 to     2.18)","0.91 (0.07 to    12.54)","1.17 (0.62 to     2.21)","1.14 (0.50 to     2.56)","0.94 (0.31 to     2.81)","Gefitinib",".",".",".",".",".","."
"34.53 (1.29 to   922.22)","11.20 (2.03 to    61.73)","5.35 (0.93 to    30.89)","4.05 (0.67 to    24.43)","3.39 (0.57 to    20.26)","3.35 (0.49 to    22.93)","2.76 (0.54 to    14.20)","2.54 (0.47 to    13.64)","2.79 (0.37 to    20.91)","2.25 (0.47 to    10.71)","2.28 (0.37 to    14.03)","2.13 (0.44 to    10.33)","1.94 (0.39 to     9.63)","1.87 (0.40 to     8.64)","1.63 (0.10 to    25.66)","1.59 (0.10 to    25.51)","1.69 (0.33 to     8.78)","1.56 (0.35 to     6.94)","1.18 (0.06 to    22.76)","1.52 (0.31 to     7.35)","1.47 (0.29 to     7.54)","1.21 (0.21 to     7.03)","1.30 (0.26 to     6.46)","Erlotinib + HER3 inhibitor",".",".",".",".","."
"37.21 (1.28 to  1085.83)","12.07 (2.14 to    67.94)","5.77 (0.82 to    40.53)","4.37 (0.57 to    33.66)","3.65 (0.50 to    26.49)","3.61 (0.53 to    24.55)","2.98 (0.44 to    19.98)","2.74 (0.48 to    15.59)","3.00 (0.33 to    26.91)","2.42 (0.38 to    15.23)","2.46 (0.34 to    17.66)","2.29 (0.39 to    13.57)","2.09 (0.34 to    12.92)","2.01 (0.33 to    12.34)","1.75 (0.09 to    32.65)","1.72 (0.09 to    32.43)","1.82 (0.35 to     9.38)","1.68 (0.28 to     9.97)","1.27 (0.06 to    28.65)","1.64 (0.28 to     9.54)","1.59 (0.25 to    10.26)","1.31 (0.18 to     9.74)","1.40 (0.24 to     8.29)","1.08 (0.11 to    10.98)","Osimertinib + antiangiogenesis",".",".",".","."
"37.95 (1.55 to   930.20)","12.31 (2.65 to    57.13)","5.88 (1.20 to    28.74)","4.46 (0.87 to    22.82)","3.73 (0.73 to    18.91)","3.68 (0.62 to    21.68)","3.04 (0.71 to    13.04)","2.79 (0.62 to    12.59)","3.06 (0.47 to    19.91)","2.47 (0.63 to     9.73)","2.51 (0.48 to    13.13)","2.34 (0.58 to     9.41)","2.13 (0.52 to     8.80)","2.05 (0.54 to     7.82)","1.79 (0.13 to    25.45)","1.75 (0.12 to    25.31)","1.86 (0.43 to     8.06)","1.72 (0.47 to     6.24)","1.30 (0.07 to    22.73)","1.67 (0.42 to     6.69)","1.62 (0.38 to     6.92)","1.34 (0.27 to     6.54)","1.43 (0.34 to     5.91)","1.10 (0.15 to     7.90)","1.02 (0.11 to     9.19)","Erlotinib + MMP inhibitor",".",".","."
"68.88 (0.87 to  5473.32)","22.34 (0.78 to   640.81)","10.67 (0.36 to   313.53)","8.09 (0.27 to   242.93)","6.76 (0.23 to   202.28)","6.68 (0.21 to   215.02)","5.51 (0.20 to   152.67)","5.07 (0.18 to   143.48)","5.56 (0.16 to   188.39)","4.48 (0.17 to   119.65)","4.55 (0.15 to   138.13)","4.25 (0.16 to   114.41)","3.87 (0.14 to   105.44)","3.72 (0.14 to    98.05)","3.24 (0.06 to   176.29)","3.18 (0.06 to   174.47)","3.38 (0.12 to    93.94)","3.11 (0.12 to    80.48)","2.36 (0.04 to   147.40)","3.03 (0.11 to    81.50)","2.94 (0.11 to    81.28)","2.42 (0.08 to    71.28)","2.59 (0.09 to    70.60)","1.99 (0.06 to    71.39)","1.85 (0.05 to    75.39)","1.81 (0.05 to    60.03)","Erlotinib + COX2 inhibitor",".","."
"62.79 (2.64 to  1495.92)","20.36 (5.62 to    73.82)","9.73 (2.02 to    46.92)","7.37 (1.37 to    39.78)","6.17 (1.23 to    30.89)","6.09 (1.31 to    28.19)","5.02 (1.10 to    22.86)","4.62 (1.25 to    17.01)","5.07 (0.78 to    32.75)","4.08 (0.97 to    17.13)","4.15 (0.84 to    20.55)","3.87 (1.00 to    14.99)","3.53 (0.86 to    14.45)","3.39 (0.83 to    13.79)","2.96 (0.20 to    43.49)","2.90 (0.19 to    43.25)","3.08 (0.96 to     9.86)","2.84 (0.73 to    11.02)","2.15 (0.12 to    38.76)","2.76 (0.73 to    10.49)","2.68 (0.62 to    11.62)","2.21 (0.43 to    11.42)","2.36 (0.61 to     9.16)","1.82 (0.24 to    13.65)","1.69 (0.23 to    12.59)","1.65 (0.25 to    10.76)","0.91 (0.03 to    30.91)","Gefitinib/Erlotinib","."
"167.89 (2.49 to 11336.25)","54.45 (2.35 to  1259.47)","26.01 (1.10 to   617.23)","19.71 (0.81 to   478.95)","16.48 (0.68 to   398.69)","16.28 (0.62 to   425.85)","13.43 (0.60 to   299.33)","12.35 (0.54 to   281.74)","13.55 (0.49 to   374.31)","10.92 (0.51 to   233.99)","11.08 (0.45 to   272.54)","10.35 (0.48 to   223.87)","9.44 (0.43 to   206.49)","9.07 (0.43 to   191.57)","7.91 (0.17 to   359.26)","7.75 (0.17 to   355.72)","8.23 (0.37 to   184.23)","7.59 (0.37 to   157.01)","5.75 (0.11 to   302.30)","7.39 (0.34 to   159.46)","7.17 (0.32 to   159.33)","5.91 (0.25 to   140.34)","6.31 (0.29 to   138.27)","4.86 (0.17 to   142.30)","4.51 (0.13 to   151.41)","4.42 (0.16 to   119.09)","2.44 (0.03 to   207.56)","2.67 (0.10 to    73.88)","Erlotinib + Autophagy inhibitor"
