"Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)","5.58 (2.59 to  12.03)",".",".",".",".",".",".",".",".",".","."
"0.99 (0.31 to    3.17)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".","5.59 (2.24 to  13.96)",".",".",".",".",".",".",".",".",".","."
"5.43 (2.53 to   11.68)","5.47 (2.08 to   14.44)","4.32 (1.98 to    9.41)","3.16 (0.60 to   16.70)","2.22 (1.23 to    4.00)","2.58 (0.53 to   12.50)","2.97 (0.12 to   75.05)","1.79 (0.75 to    4.26)","1.73 (0.37 to    8.09)","1.42 (0.94 to    2.14)","1.29 (0.62 to    2.66)","1.12 (0.67 to    1.87)","1.11 (0.57 to    2.19)","1.04 (0.24 to    4.46)","1st-generation EGFR TKIs + antiangiogenesis","1.03 (0.75 to   1.43)",".",".",".",".",".",".",".",".",".","."
"5.55 (2.71 to   11.35)","5.59 (2.24 to   13.96)","4.41 (2.17 to    8.97)","3.22 (0.63 to   16.53)","2.26 (1.38 to    3.71)","2.63 (0.56 to   12.36)","3.03 (0.12 to   75.44)","1.83 (0.81 to    4.09)","1.77 (0.39 to    7.99)","1.45 (1.12 to    1.88)","1.31 (0.68 to    2.52)","1.14 (0.77 to    1.70)","1.14 (0.63 to    2.06)","1.06 (0.26 to    4.39)","1.02 (0.74 to    1.41)","1st-generation EGFR TKIs","1.05 (0.59 to   1.89)","1.11 (0.60 to   2.06)","1.29 (0.28 to   5.93)",".","1.23 (0.80 to   1.89)",".","3.11 (0.12 to  78.18)","1.29 (0.65 to   2.53)","9.00 (0.27 to 299.86)","."
"5.85 (2.32 to   14.75)","5.90 (1.99 to   17.47)","4.66 (1.86 to   11.67)","3.40 (0.60 to   19.29)","2.39 (1.11 to    5.14)","2.78 (0.53 to   14.50)","3.20 (0.12 to   83.88)","1.93 (0.71 to    5.22)","1.86 (0.37 to    9.40)","1.53 (0.81 to    2.90)","1.39 (0.58 to    3.33)","1.20 (0.59 to    2.45)","1.20 (0.52 to    2.76)","1.12 (0.24 to    5.20)","1.08 (0.55 to    2.10)","1.05 (0.59 to    1.89)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".","."
"6.18 (2.40 to   15.88)","6.23 (2.07 to   18.75)","4.92 (1.92 to   12.57)","3.59 (0.63 to   20.58)","2.52 (1.15 to    5.55)","2.93 (0.56 to   15.48)","3.38 (0.13 to   89.06)","2.03 (0.74 to    5.61)","1.97 (0.39 to   10.03)","1.62 (0.83 to    3.15)","1.46 (0.60 to    3.59)","1.27 (0.61 to    2.65)","1.27 (0.54 to    2.98)","1.18 (0.25 to    5.55)","1.14 (0.57 to    2.28)","1.11 (0.60 to    2.06)","1.06 (0.45 to    2.47)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".","."
"7.17 (1.33 to   38.59)","7.22 (1.22 to   42.72)","5.70 (1.06 to   30.62)","4.17 (0.45 to   38.91)","2.93 (0.59 to   14.51)","3.40 (0.39 to   29.82)","3.92 (0.11 to  137.35)","2.36 (0.42 to   13.23)","2.28 (0.27 to   19.49)","1.87 (0.40 to    8.79)","1.70 (0.32 to    8.91)","1.47 (0.31 to    7.13)","1.47 (0.29 to    7.54)","1.37 (0.17 to   11.01)","1.32 (0.28 to    6.26)","1.29 (0.28 to    5.93)","1.23 (0.24 to    6.27)","1.16 (0.22 to    6.00)","DHFR inhibitor",".",".",".",".",".",".","."
"7.11 (2.12 to   23.86)","7.17 (1.88 to   27.32)","5.66 (1.70 to   18.82)","4.13 (0.62 to   27.74)","2.90 (0.98 to    8.62)","3.38 (0.54 to   21.01)","3.89 (0.14 to  111.83)","2.34 (0.66 to    8.27)","2.27 (0.38 to   13.66)","1.86 (0.68 to    5.07)","1.68 (0.52 to    5.45)","1.46 (0.51 to    4.17)","1.46 (0.46 to    4.57)","1.36 (0.27 to    6.98)","1.31 (0.47 to    3.66)","1.28 (0.48 to    3.40)","1.22 (0.39 to    3.79)","1.15 (0.36 to    3.65)","0.99 (0.16 to    6.06)","2nd-generation EGFR TKIs + Cetuximab","1.03 (0.42 to   2.52)",".",".",".",".","."
"7.31 (3.24 to   16.49)","7.37 (2.73 to   19.89)","5.82 (2.62 to   12.94)","4.25 (0.79 to   22.78)","2.98 (1.61 to    5.53)","3.47 (0.71 to   17.08)","4.00 (0.16 to  101.75)","2.41 (0.99 to    5.84)","2.33 (0.49 to   11.05)","1.91 (1.22 to    3.00)","1.73 (0.81 to    3.69)","1.50 (0.88 to    2.58)","1.50 (0.74 to    3.04)","1.40 (0.36 to    5.49)","1.35 (0.82 to    2.22)","1.32 (0.90 to    1.94)","1.25 (0.62 to    2.52)","1.18 (0.57 to    2.44)","1.02 (0.21 to    4.91)","1.03 (0.42 to    2.52)","2nd-generation EGFR TKIs",".",".","1.06 (0.43 to   2.63)",".","."
"15.42 (0.62 to  385.12)","15.54 (0.59 to  408.10)","12.27 (0.50 to  299.72)","8.96 (0.26 to  308.12)","6.29 (0.27 to  147.58)","7.32 (0.22 to  241.82)","8.43 (0.09 to  752.35)","5.08 (0.20 to  126.85)","4.91 (0.15 to  159.66)","4.03 (0.18 to   91.91)","3.65 (0.15 to   89.97)","3.17 (0.13 to   74.87)","3.16 (0.13 to   76.96)","2.95 (0.09 to   92.23)","2.84 (0.12 to   66.50)","2.78 (0.12 to   64.05)","2.64 (0.11 to   64.11)","2.50 (0.10 to   61.04)","2.15 (0.07 to   70.37)","2.17 (0.08 to   57.82)","2.11 (0.09 to   49.66)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".","."
"17.27 (0.64 to  469.10)","17.41 (0.61 to  496.46)","13.75 (0.51 to  372.76)","10.04 (0.27 to  372.54)","7.05 (0.27 to  183.78)","8.20 (0.23 to  292.63)","9.45 (0.10 to  895.22)","5.69 (0.21 to  157.65)","5.51 (0.16 to  193.27)","4.52 (0.18 to  114.56)","4.09 (0.15 to  109.64)","3.55 (0.14 to   91.46)","3.54 (0.13 to   93.80)","3.31 (0.10 to  111.93)","3.18 (0.12 to   81.13)","3.11 (0.12 to   78.18)","2.95 (0.11 to   78.15)","2.80 (0.11 to   74.40)","2.41 (0.07 to   85.17)","2.43 (0.08 to   70.43)","2.36 (0.09 to   60.69)","1.12 (0.01 to  100.60)","1st-generation EGFR TKIs + COX2 inhibitor",".",".","."
"8.73 (3.81 to   20.00)","8.80 (3.22 to   24.06)","6.95 (3.18 to   15.18)","5.07 (0.94 to   27.42)","3.56 (1.97 to    6.45)","4.15 (0.84 to   20.56)","4.77 (0.19 to  121.99)","2.87 (1.20 to    6.87)","2.78 (0.58 to   13.31)","2.28 (1.50 to    3.46)","2.07 (0.95 to    4.49)","1.80 (1.01 to    3.18)","1.79 (0.86 to    3.70)","1.67 (0.39 to    7.19)","1.61 (0.95 to    2.72)","1.57 (1.04 to    2.39)","1.49 (0.73 to    3.06)","1.41 (0.67 to    2.97)","1.22 (0.25 to    5.91)","1.23 (0.44 to    3.45)","1.19 (0.72 to    1.99)","0.57 (0.02 to   13.27)","0.51 (0.02 to   13.03)","Placebo",".","."
"49.92 (1.39 to 1788.14)","50.32 (1.34 to 1885.43)","39.73 (1.11 to 1421.10)","29.01 (0.61 to 1388.79)","20.38 (0.59 to  702.81)","23.70 (0.51 to 1093.73)","27.30 (0.23 to 3174.73)","16.43 (0.45 to  599.98)","15.91 (0.35 to  723.17)","13.05 (0.39 to  439.04)","11.82 (0.33 to  418.36)","10.27 (0.30 to  350.12)","10.23 (0.29 to  358.25)","9.56 (0.22 to  419.88)","9.19 (0.27 to  310.80)","9.00 (0.27 to  299.86)","8.53 (0.24 to  298.49)","8.08 (0.23 to  284.04)","6.97 (0.15 to  318.55)","7.02 (0.18 to  267.14)","6.83 (0.20 to  232.35)","3.24 (0.03 to  357.58)","2.89 (0.02 to  338.19)","5.72 (0.17 to  195.28)","1st-generation EGFR TKIs + HGF inhibitor","."
"44.52 (2.19 to  904.82)","44.88 (2.09 to  962.03)","35.44 (1.79 to  703.09)","25.88 (0.91 to  738.32)","18.17 (0.96 to  345.20)","21.14 (0.77 to  578.15)","24.35 (0.32 to 1878.44)","14.65 (0.72 to  298.04)","14.19 (0.53 to  381.36)","11.64 (0.63 to  214.54)","10.54 (0.53 to  211.17)","9.16 (0.48 to  175.20)","9.12 (0.46 to  180.51)","8.53 (0.33 to  219.79)","8.20 (0.43 to  155.53)","8.03 (0.43 to  149.62)","7.61 (0.39 to  150.35)","7.21 (0.36 to  143.21)","6.21 (0.23 to  168.15)","6.26 (0.29 to  136.43)","6.09 (0.32 to  116.18)","2.89 (0.04 to  207.28)","2.58 (0.03 to  200.22)","5.10 (0.27 to   96.81)","0.89 (0.01 to   85.78)","Chemotherapy + antiangiogenesis"
