"","Study","Cardiac","cardiac_CI","Vascular","vascular_CI","cardiac_lower","cardiac_higher","vascular_lower","vascular_higher","cardiac_events","vascular_events"
"1","III-I","1.37","[1.05; 1.79]","2.70","[1.93; 3.77]",1.05,1.79,1.93,3.77,"140 / 1049","130 / 871"
"2","II-I","0.81","[0.53; 1.24]","1.06","[0.72; 1.55]",0.53,1.24,0.72,1.55,"40 / 1215","57 / 1308"
"3","III-Placebo","2.69","[1.55; 4.67]","1.16","[0.40; 3.37]",1.55,4.67,0.4,3.37,"52 / 480","8 / 480"
"4","II-Placebo","1.19","[0.52; 2.75]","1.96","[0.85; 4.54]",0.52,2.75,0.85,4.54,"19 / 867","27 / 867"
"5","I-Placebo","1.44","[0.74; 2.79]","0.99","[0.63; 1.54]",0.74,2.79,0.63,1.54,"24 / 1615","43 / 1762"
