Erlotinib_chemotherapy,"-0.516314074208342 (-2.261411638664, 0.966183425962916)","-0.550488468893163 (-4.80262328097744, 3.49212922846462)","-30.2621784568988 (-117.762986905486, -1.80684492980465)","0.342094254713544 (-2.3080249016606, 3.02623152277263)","0.601972147208362 (-1.55091416399827, 2.68339346232195)","-0.392939926374068 (-1.91216926279424, 1.05834676324493)","-0.976832148801001 (-2.83595716340634, 0.632068538477438)","-0.698682367565125 (-3.15104621753367, 1.62306990815498)","-0.409665620878664 (-1.79202275548473, 0.923160858065817)",Erlotinib_chemotherapy,"-33.3830687663579 (-103.636756262673, -1.48881723031786)","0.742565363761355 (-1.59639120697044, 3.34021188413976)","0.236065417267013 (-1.60830260667018, 2.27461613927904)","-0.365438234736538 (-2.12010825920731, 1.24595071099599)","26.9431223291062 (2.27421808517254, 98.1010363712598)","-0.0990863640467265 (-1.68715812315586, 1.37563703375452)","-0.357124306016344 (-2.78215170317773, 1.86741464165032)","-0.731734675918902 (-2.49875530381365, 0.810030208206993)","0.74757200230322 (-2.41584608062055, 4.60203586272389)","-0.619154934425213 (-2.85246300731388, 1.63572289915166)","23.0138370357776 (-0.309989037570079, 91.0384825372293)","23.0308912316512 (1.35121171648783, 71.8517366681502)","0.186341951199407 (-1.92789414092805, 2.15012799135023)","0.130252833708755 (-1.63716651776881, 1.9282569545959)","0.559650652433314 (-1.72086490473845, 2.86955659750086)","2.55956603271361 (-0.238918611424122, 6.47644687792231)","-0.813844218143344 (-2.474925388133, 0.635407277563124)","0.117720051622402 (-2.53017343536526, 2.91705284344208)","1.76231729983649 (0.104482081686747, 3.79916175960496)","0.463425150472 (-2.38266325475411, 3.38925197106215)"
Erlotinib_COX2i,"32.8291479482896 (0.983653992160757, 102.920177306085)","32.7143110239154 (0.589465761201677, 103.171214460532)","-0.185532555958286 (-86.180853421673, 79.9562555575172)","33.7376533629889 (1.63821045242361, 103.858164916231)","33.9531749953001 (2.05027583590662, 104.139629364502)","32.9709998514726 (1.16724394250238, 103.019773738831)","32.3812164904093 (0.518246593746852, 102.473811868216)","32.6781364156167 (0.782534575591081, 102.828177314803)","32.9725098842973 (1.11508039015707, 103.038794007505)","33.3830687663579 (1.48881723031786, 103.636756262673)",Erlotinib_COX2i,"34.1651132988801 (2.15028988133579, 104.220466669443)","33.6128658630172 (1.76620845897812, 103.788712202907)","32.9956050475202 (1.14119952687958, 103.097125809862)","68.858652985679 (13.7862820037729, 153.203222741234)","33.2859408000991 (1.43470670755717, 103.374566805802)","32.9033834736266 (1.1030751698748, 103.156729668712)","32.6360824045233 (0.760160052673129, 102.750235980174)","34.2277612342836 (2.10808769589545, 104.564360446169)","32.7310222570917 (0.819905860985218, 102.939148407222)","62.0943536727212 (12.6919552276094, 155.386525139005)","62.3536227997145 (14.6061617002803, 137.238247289189)","33.5145079655623 (1.69165840648492, 103.620637304508)","33.4778462570723 (1.65405272794097, 103.630268876945)","33.9528637757842 (2.02441739311451, 103.990826647923)","35.9767071602686 (3.94839934277081, 106.167070796171)","32.5380808201595 (0.666568109073563, 102.705460732971)","33.3480080914162 (1.52514894610543, 103.712214948471)","35.1691066935516 (3.32064299164659, 105.28421307081)","33.7003602603815 (1.83134570765582, 103.975887301103)"
Erlotinib_HER3i,"-1.24360012937948 (-3.76135867564815, 0.717675634628056)","-1.30910769230573 (-5.81006985169825, 2.91415629122973)","-30.9477742449411 (-118.458360435405, -2.4994992706965)","-0.403575131504348 (-3.61640728033731, 2.62501854586659)","-0.142647915235835 (-2.95493409213857, 2.34916786623288)","-1.12209239183612 (-3.51960641158739, 0.862103161379043)","-1.70575529738345 (-4.27985748381441, 0.337067195028932)","-1.45370574804499 (-4.48004040934861, 1.23170874872679)","-1.1270143417894 (-3.42137505982137, 0.686022460030817)","-0.742565363761355 (-3.34021188413976, 1.59639120697044)","-34.1651132988801 (-104.220466669443, -2.15028988133579)",Erlotinib_HER3i,"-0.498175016674698 (-3.06454794843644, 1.9370461695888)","-1.08913904685761 (-3.59748459039042, 0.948852163234877)","26.1652614734278 (1.42998532606557, 97.0317540621519)","-0.817933522899772 (-3.23847812412429, 1.11497054949084)","-1.10442792377908 (-4.09549926113549, 1.51097495625989)","-1.45888241542999 (-4.01216362829786, 0.529021690970788)","0.0187079973702252 (-3.59909130462987, 4.07477845020573)","-1.36168829107899 (-4.24277730464198, 1.28815052089027)","22.2593789012036 (-1.32677689221676, 90.0329118352516)","22.2189969631056 (0.513401109821864, 71.2299257797514)","-0.563418248672544 (-3.33198413198991, 1.84859872303783)","-0.604178014591949 (-3.14593438989251, 1.64878851868941)","-0.179431479193387 (-3.10533100815643, 2.52249969167852)","1.82307488822335 (-1.51901196435545, 5.96920068684965)","-1.54309323226064 (-4.00487595465598, 0.373103810442147)","-0.623706146556759 (-3.81725464769196, 2.46903766658718)","1.04305713542623 (-1.40314136149368, 3.48865357007439)","-0.296265226539868 (-3.67871240592965, 2.9368181061494)"
Erlotinib_IGF_1Ri,"-0.740425421716426 (-2.71049808494927, 0.710773284511917)","-0.805795078205841 (-5.11844681149187, 3.2398136672192)","-30.4801420627855 (-117.79447197425, -2.08673804063668)","0.0995099783859308 (-2.72401600014789, 2.7742353183797)","0.368596528151922 (-1.9627173302902, 2.38548766428934)","-0.626133358278029 (-2.37772911149352, 0.817243013064989)","-1.20849570147058 (-3.23425053077209, 0.33831110446572)","-0.943107041909325 (-3.4904506689348, 1.33256785677145)","-0.638714486053687 (-2.1961063118484, 0.599977049446971)","-0.236065417267013 (-2.27461613927904, 1.60830260667018)","-33.6128658630172 (-103.788712202907, -1.76620845897812)","0.498175016674698 (-1.9370461695888, 3.06454794843644)",Erlotinib_IGF_1Ri,"-0.586600525984277 (-2.5303618107459, 0.926881937270805)","26.7443200626081 (2.0552208513351, 97.6958750461375)","-0.321165205173078 (-2.08841507621272, 1.05550431578474)","-0.5950263118778 (-3.18475014666427, 1.59776412671285)","-0.964890126983202 (-2.95840683045473, 0.557088773759081)","0.495997205472498 (-2.75659446323908, 4.33697282887873)","-0.851213815671204 (-3.25131838940889, 1.34569050044171)","22.7293311711909 (-0.505395768104681, 90.6200622458358)","22.7569355594758 (1.04127744584729, 71.5092246366281)","-0.0521908654336251 (-2.32585960439773, 1.8828220326789)","-0.107153234933786 (-2.03936221542292, 1.63922602676399)","0.336902443338173 (-2.12731977680679, 2.56836489347915)","2.31257568783111 (-0.577591686764129, 6.20021845318772)","-1.04486528205824 (-2.92885568084464, 0.380182452665263)","-0.1268742183506 (-2.82921891238938, 2.62364208701177)","1.5314103669765 (-0.202075258265474, 3.45635804456911)","0.220693644386461 (-2.74725498667582, 3.09030893769786)"
Erlotinib_METi,"-0.15538520438389 (-1.52556119948997, 1.11441481700189)","-0.181614785290972 (-4.29026770553622, 3.78202620385167)","-29.8474382439635 (-117.394943874454, -1.46313240301795)","0.701887916045808 (-1.69310851849883, 3.28994616660516)","0.948869644511676 (-0.91056530975758, 2.94765242641852)","-0.0332011153760055 (-1.20944959722688, 1.24099250927788)","-0.61729677516345 (-2.09294383626002, 0.749275748080783)","-0.347483235928387 (-2.52874053612455, 1.87531918265795)","-0.0512461117107659 (-0.968749236140717, 0.994699285399236)","0.365438234736538 (-1.24595071099599, 2.12010825920731)","-32.9956050475202 (-103.097125809862, -1.14119952687958)","1.08913904685761 (-0.948852163234877, 3.59748459039042)","0.586600525984277 (-0.926881937270805, 2.5303618107459)",Erlotinib_METi,"27.3450415182434 (2.69503546868777, 98.3982009881132)","0.270225945069189 (-0.898207172971925, 1.45981678801109)","0.00661029160910992 (-2.14467298014727, 2.09763251787624)","-0.365248675850654 (-1.78863994731761, 0.934826194492131)","1.10058802490765 (-1.8368071047662, 4.91406010470668)","-0.259788499369337 (-2.23644892858975, 1.93894896896417)","23.3604812979601 (0.121959347525754, 91.2620250799697)","23.3808833654565 (1.74206695872577, 72.1235652172906)","0.533079770493603 (-1.27271594713186, 2.40114721495723)","0.486003147569043 (-0.975365784269951, 2.18200768280614)","0.915249941538629 (-1.09524039374462, 3.16316789787468)","2.91261201560559 (0.300638772302255, 6.81047217425901)","-0.454069179640749 (-1.72416529153783, 0.747389178003791)","0.480429634143329 (-1.90898046167707, 3.203767524357)","2.11062529161067 (0.80665525890272, 4.09794136572905)","0.810499599252276 (-1.7974034851776, 3.68538436825005)"
Erlotinib_MMPi,"-27.5027771362846 (-98.6228616637272, -2.84027510827853)","-27.6907020309206 (-98.8766989204364, -2.27057255826221)","-65.8093798099631 (-185.039318840067, -11.9116311838314)","-26.6229447009267 (-97.8290655338023, -1.75981452719676)","-26.4146806718731 (-97.4642488611844, -1.61660509912365)","-27.3484266268531 (-98.3909921548662, -2.72860538959406)","-27.9710034135843 (-98.8377693377365, -3.27651257830317)","-27.7118531139374 (-98.7185570816612, -2.89128764610905)","-27.3395781594142 (-98.3236341565774, -2.74480866842241)","-26.9431223291062 (-98.1010363712598, -2.27421808517254)","-68.858652985679 (-153.203222741234, -13.7862820037729)","-26.1652614734278 (-97.0317540621519, -1.42998532606557)","-26.7443200626081 (-97.6958750461375, -2.0552208513351)","-27.3450415182434 (-98.3982009881132, -2.69503546868777)",Erlotinib_MMPi,"-27.0498678833797 (-98.063672734518, -2.41921888236939)","-27.3870962017616 (-98.5774579155061, -2.60722748005952)","-27.7245939546267 (-98.9230690324654, -3.07611181041571)","-26.2804046178264 (-97.3997833404062, -1.07842621792835)","-27.6011213147926 (-98.6373634628857, -2.82030041385577)","-2.29360485420845 (-89.179315178711, 72.7012023696782)","-3.13106324773458 (-74.2053571448942, 46.6460001345418)","-26.8271634166108 (-97.939533924779, -2.05876080461848)","-26.8432397554952 (-97.8586264044682, -2.14656392346304)","-26.4055861156215 (-97.4261247066141, -1.6623650386185)","-24.4870668408224 (-95.5384647030628, 0.756655346894458)","-27.7889853786862 (-98.8150033319129, -3.11865072105953)","-26.8871682561876 (-98.0103626992188, -1.89313119437557)","-25.156370862547 (-96.1444573401814, -0.465511631677095)","-26.579957599477 (-97.4495999890743, -1.60596208213744)"
Erlotinib_antiangio,"-0.42339456516623 (-1.59365221456374, 0.61526065663033)","-0.455117920739444 (-4.51905779936454, 3.44432750326278)","-30.1289345199454 (-117.602976463955, -1.74740817283622)","0.425132033472907 (-1.86933957190012, 2.93892667087718)","0.679227737921921 (-1.05378344181837, 2.53377185122226)","-0.304029939393827 (-1.2631966298129, 0.737410954404635)","-0.886454391079393 (-2.17457865242403, 0.296666348486703)","-0.613176826002844 (-2.68822102110729, 1.48659329729307)","-0.320586150961984 (-0.949113466655417, 0.408927837893867)","0.0990863640467265 (-1.37563703375452, 1.68715812315586)","-33.2859408000991 (-103.374566805802, -1.43470670755717)","0.817933522899772 (-1.11497054949084, 3.23847812412429)","0.321165205173078 (-1.05550431578474, 2.08841507621272)","-0.270225945069189 (-1.45981678801109, 0.898207172971925)","27.0498678833797 (2.41921888236939, 98.063672734518)",Erlotinib_antiangio,"-0.269673800919923 (-2.28745660548021, 1.71205424897501)","-0.636280599373618 (-1.84895386685508, 0.486306881404423)","0.831539522625868 (-2.02429090722863, 4.56433461713452)","-0.532871472010126 (-2.40204398115251, 1.52501720875807)","23.1529809775364 (-0.111215311494961, 91.1095420253968)","23.1163905501008 (1.47036840324631, 71.9470444650953)","0.266033039930238 (-1.4096537100168, 1.96807453213973)","0.219121652282108 (-1.07914104269537, 1.72399124631368)","0.645279388516691 (-1.26643264555497, 2.75941003614497)","2.64349181635094 (0.10375821398971, 6.45120675419622)","-0.726483703028497 (-1.7955443372012, 0.254747846727176)","0.205684989229266 (-2.09393873284004, 2.81180016880505)","1.84303046011253 (0.701322971907687, 3.62479745824636)","0.541690170675741 (-1.99312297861514, 3.32224924842635)"
Furmonertinib,"-0.163607056264666 (-2.10383788535301, 1.7318117651796)","-0.193174063215411 (-4.38826159731817, 3.99467718553312)","-29.913262472216 (-117.453635298393, -1.33235057331875)","0.707657406397401 (-1.86548530325846, 3.48933272054386)","0.946161235559627 (-1.32872865740607, 3.39750435041485)","-0.0397524490222062 (-1.88853164903029, 1.94276882288891)","-0.621484318189714 (-2.71970078901443, 1.4263577850967)","-0.350821857485872 (-3.04944830265274, 2.45417510293604)","-0.0562625175714665 (-1.89338845803596, 1.92160559285612)","0.357124306016344 (-1.86741464165032, 2.78215170317773)","-32.9033834736266 (-103.156729668712, -1.1030751698748)","1.10442792377908 (-1.51097495625989, 4.09549926113549)","0.5950263118778 (-1.59776412671285, 3.18475014666427)","-0.00661029160910992 (-2.09763251787624, 2.14467298014727)","27.3870962017616 (2.60722748005952, 98.5774579155061)","0.269673800919923 (-1.71205424897501, 2.28745660548021)",Furmonertinib,"-0.372780611075039 (-2.0353509226391, 1.24332474037578)","1.11403700850534 (-1.98004842336477, 4.99442937596031)","-0.27791658167952 (-2.64786610831666, 2.38298805397299)","23.3621473136454 (0.0121126625093798, 91.3748289503897)","23.3788505687473 (1.71989297461894, 72.2863817682656)","0.527461053398027 (-1.65555246053035, 2.81870715444298)","0.484095323901438 (-1.49346062266038, 2.70186202913056)","0.910751208541665 (-1.49733338594527, 3.59851541580759)","2.92269863861124 (-0.0698706160529694, 7.07644066357866)","-0.461072926291301 (-2.380387353217, 1.42297137424372)","0.472487682590593 (-2.38974190924211, 3.65012032286169)","2.10994351584222 (0.175667282825057, 4.72355876675317)","0.809518910363513 (-2.09357076610029, 4.06052433626576)"
Gefitinib,"0.213913810802465 (-0.804663256250371, 1.22741035172966)","0.181258316470075 (-3.8139057546632, 4.08693982047706)","-29.5074120199511 (-116.883135676959, -1.06903425395441)","1.06787412169946 (-0.874158133570815, 3.31872088567243)","1.31741332415524 (-0.254348038014323, 3.12872205451631)","0.339040219857177 (-0.576677694645519, 1.41988468424767)","-0.245497587992418 (-1.50151853743626, 1.03690636005529)","0.0258802187969999 (-2.11910556465645, 2.27151296756167)","0.319271268393656 (-0.566581510016501, 1.3858779207556)","0.731734675918902 (-0.810030208206993, 2.49875530381365)","-32.6360824045233 (-102.750235980174, -0.760160052673129)","1.45888241542999 (-0.529021690970788, 4.01216362829786)","0.964890126983202 (-0.557088773759081, 2.95840683045473)","0.365248675850654 (-0.934826194492131, 1.78863994731761)","27.7245939546267 (3.07611181041571, 98.9230690324654)","0.636280599373618 (-0.486306881404423, 1.84895386685508)","0.372780611075039 (-1.24332474037578, 2.0353509226391)",Gefitinib,"1.46141990767692 (-1.08542626506992, 5.05296980334371)","0.102997592692627 (-1.64960058557547, 2.17529733507302)","23.7005995325286 (0.554976928917121, 91.7237868539229)","23.7882096049705 (2.16614328350465, 72.678744437033)","0.90633720078684 (-0.536008282938777, 2.49227396926665)","0.854263898970107 (-0.326696598147852, 2.31748063946856)","1.28683847922231 (-0.512430795758797, 3.39983457852721)","3.29149943494438 (0.819507517886638, 7.07175419949269)","-0.0903083883718471 (-1.04624654695875, 0.890631503383999)","0.846713083208429 (-1.510476527499, 3.59624125879978)","2.48287381778228 (1.30033405476703, 4.42993160595918)","1.18853866390526 (-1.25609106779638, 3.98531458851749)"
Gefitinib_chemotherapy,"-1.25752353182512 (-4.94638090070022, 1.48843185027634)","-1.3393076694877 (-6.52314185495194, 3.39080065326187)","-31.0863057818971 (-118.561021599714, -2.28049539537859)","-0.410931960658769 (-4.4326901335391, 3.00097273053386)","-0.162116487035864 (-3.99105431582803, 2.99843003165928)","-1.11914842246594 (-4.81663868960406, 1.66149033001638)","-1.7241700401502 (-5.50974299041801, 1.17349235485911)","-1.47987624506646 (-5.64337637123649, 1.9931671862548)","-1.13361412042007 (-4.82144735536237, 1.64790448766918)","-0.74757200230322 (-4.60203586272389, 2.41584608062055)","-34.2277612342836 (-104.564360446169, -2.10808769589545)","-0.0187079973702252 (-4.07477845020573, 3.59909130462987)","-0.495997205472498 (-4.33697282887873, 2.75659446323908)","-1.10058802490765 (-4.91406010470668, 1.8368071047662)","26.2804046178264 (1.07842621792835, 97.3997833404062)","-0.831539522625868 (-4.56433461713452, 2.02429090722863)","-1.11403700850534 (-4.99442937596031, 1.98004842336477)","-1.46141990767692 (-5.05296980334371, 1.08542626506992)",Gefitinib_chemotherapy,"-1.38514188990853 (-5.31425483700641, 1.94406493096058)","22.0127735561342 (-1.43886772818694, 90.1799812010728)","22.2498304451794 (0.118257523210631, 71.3228518870526)","-0.577886205679675 (-4.34409215729855, 2.47634926574056)","-0.605210892341814 (-4.34490167034212, 2.36739046079479)","-0.202885294302783 (-4.17268434708079, 3.16478600223976)","1.85042770117962 (-2.55565329963489, 6.33499175036907)","-1.55865129725441 (-5.26865227008893, 1.18507350517185)","-0.649979538812459 (-4.90336703497394, 3.10466960427267)","1.03981935324066 (-2.76989979889031, 4.26998267092852)","-0.32103042377131 (-4.51205955944351, 3.48997369058439)"
Gefitinib_Erlotinib,"0.108985403988942 (-1.99124667241611, 1.87974239377885)","0.0676558005169136 (-4.24472081895044, 4.26661523518946)","-29.5997518372577 (-117.08800462136, -1.13465389151658)","0.97261277805664 (-1.88759548699606, 3.75870505000766)","1.21757585875108 (-0.700947128873321, 3.03395205061848)","0.232806458166805 (-1.69195275793642, 2.0217787238926)","-0.351459959575439 (-2.55131527643091, 1.52946533770555)","-0.0839899935496881 (-2.86471638748646, 2.53974912543441)","0.214571845173893 (-1.67225730601018, 1.9949568132777)","0.619154934425213 (-1.63572289915166, 2.85246300731388)","-32.7310222570917 (-102.939148407222, -0.819905860985218)","1.36168829107899 (-1.28815052089027, 4.24277730464198)","0.851213815671204 (-1.34569050044171, 3.25131838940889)","0.259788499369337 (-1.93894896896417, 2.23644892858975)","27.6011213147926 (2.82030041385577, 98.6373634628857)","0.532871472010126 (-1.52501720875807, 2.40204398115251)","0.27791658167952 (-2.38298805397299, 2.64786610831666)","-0.102997592692627 (-2.17529733507302, 1.64960058557547)","1.38514188990853 (-1.94406493096058, 5.31425483700641)",Gefitinib_Erlotinib,"23.5982305758743 (0.28314853074653, 91.5830000365653)","23.6713668382068 (1.92427325767647, 72.5139920227242)","0.800024764631569 (-1.1624515076114, 2.59541344681909)","0.745911064111554 (-0.616440149295643, 2.16556544878715)","1.17917185771089 (-0.799138825700897, 3.18806000054841)","3.16885537912108 (0.626454317891439, 6.90961599768473)","-0.192349000294947 (-2.11976814296273, 1.43040855564857)","0.730445817144157 (-2.15595839250035, 3.79815946896805)","2.38127863903863 (0.396314657646743, 4.77638123955985)","1.06155862412129 (-0.627208643858693, 2.96650107237603)"
Gefitinib_PARPi,"-23.5405276887235 (-91.5449789319492, -0.340257073112446)","-23.6955593251341 (-91.1527919912662, 0.21153253164378)","-58.379153945694 (-162.996374314751, -9.13445800317339)","-22.6727660092824 (-90.5768782880062, 0.823044194109504)","-22.4106183602127 (-90.3671711712811, 0.901608406970552)","-23.4104176592068 (-91.3758037977515, -0.0818876808420547)","-24.0462362963487 (-91.94283119627, -0.666877256508082)","-23.6684021624321 (-91.8057427608502, -0.186482058952514)","-23.427775048684 (-91.3782059095721, -0.185902354023884)","-23.0138370357776 (-91.0384825372293, 0.309989037570079)","-62.0943536727212 (-155.386525139005, -12.6919552276094)","-22.2593789012036 (-90.0329118352516, 1.32677689221676)","-22.7293311711909 (-90.6200622458358, 0.505395768104681)","-23.3604812979601 (-91.2620250799697, -0.121959347525754)","2.29360485420845 (-72.7012023696782, 89.179315178711)","-23.1529809775364 (-91.1095420253968, 0.111215311494961)","-23.3621473136454 (-91.3748289503897, -0.0121126625093798)","-23.7005995325286 (-91.7237868539229, -0.554976928917121)","-22.0127735561342 (-90.1799812010728, 1.43886772818694)","-23.5982305758743 (-91.5830000365653, -0.28314853074653)",Gefitinib_PARPi,"-0.0950776237104201 (-73.49766021936, 53.4769751149976)","-22.768378675398 (-90.803206637374, 0.509280643664268)","-22.8988662910063 (-90.8917221996124, 0.428286414286537)","-22.5257450940671 (-90.4887293167864, 0.921320086606413)","-20.3953701765418 (-88.2153617716455, 3.42945421376377)","-23.8417239863887 (-91.7899636155579, -0.585985601309058)","-22.7616868730472 (-90.5900193464561, 0.537342922723068)","-21.2394608519836 (-89.2032031633032, 2.10487790596103)","-22.5632087278391 (-90.5036348804298, 0.979345035312245)"
Icotinib,"-23.5849886685032 (-72.3782221284908, -1.8924116117512)","-23.7099043523665 (-72.0100767664449, -1.51188373316074)","-60.4406404721978 (-170.654526015237, -12.375515644065)","-22.7213897430117 (-71.4907760679302, -0.865478386386316)","-22.4564861459476 (-71.1868670831623, -0.748804440567546)","-23.4444619523728 (-72.3179128505473, -1.78873067437627)","-24.0187004498303 (-72.8872942474165, -2.29894311610271)","-23.7289700149854 (-72.7265723811146, -1.9721459737604)","-23.4281051468486 (-72.3265051325326, -1.80349651030415)","-23.0308912316512 (-71.8517366681502, -1.35121171648783)","-62.3536227997145 (-137.238247289189, -14.6061617002803)","-22.2189969631056 (-71.2299257797514, -0.513401109821864)","-22.7569355594758 (-71.5092246366281, -1.04127744584729)","-23.3808833654565 (-72.1235652172906, -1.74206695872577)","3.13106324773458 (-46.6460001345418, 74.2053571448942)","-23.1163905501008 (-71.9470444650953, -1.47036840324631)","-23.3788505687473 (-72.2863817682656, -1.71989297461894)","-23.7882096049705 (-72.678744437033, -2.16614328350465)","-22.2498304451794 (-71.3228518870526, -0.118257523210631)","-23.6713668382068 (-72.5139920227242, -1.92427325767647)","0.0950776237104201 (-53.4769751149976, 73.49766021936)",Icotinib,"-22.8908708412768 (-71.7584355095047, -1.15495866589115)","-22.8803560155378 (-71.7039033866728, -1.23519944630289)","-22.5112896196974 (-71.3205731704998, -0.728804223353674)","-20.3106313699882 (-68.9475401158266, 1.82584200023338)","-23.8610718242601 (-72.6733093799783, -2.20784829714974)","-22.8473118873098 (-71.5164917242229, -0.993782624529872)","-21.2539436011242 (-70.1104936892627, 0.516785258387962)","-22.5508627912994 (-71.0919326998743, -0.713144773713647)"
Lazertinib,"-0.692627180693501 (-2.40262002197289, 0.876550150219572)","-0.722437160470323 (-4.95257805058358, 3.34699291574929)","-30.3660665805779 (-117.757520288378, -1.93661459003729)","0.161166053730436 (-2.35294730558504, 2.83435247027823)","0.401949105872996 (-0.860259716155453, 1.81730494843725)","-0.568723281223461 (-2.14937705405652, 1.02360829099128)","-1.15688718375967 (-2.97829216067215, 0.561884617881018)","-0.877689173748125 (-3.38303328050074, 1.63422831973812)","-0.585698686872912 (-2.11766013975961, 0.993789564404712)","-0.186341951199407 (-2.15012799135023, 1.92789414092805)","-33.5145079655623 (-103.620637304508, -1.69165840648492)","0.563418248672544 (-1.84859872303783, 3.33198413198991)","0.0521908654336251 (-1.8828220326789, 2.32585960439773)","-0.533079770493603 (-2.40114721495723, 1.27271594713186)","26.8271634166108 (2.05876080461848, 97.939533924779)","-0.266033039930238 (-1.96807453213973, 1.4096537100168)","-0.527461053398027 (-2.81870715444298, 1.65555246053035)","-0.90633720078684 (-2.49227396926665, 0.536008282938777)","0.577886205679675 (-2.47634926574056, 4.34409215729855)","-0.800024764631569 (-2.59541344681909, 1.1624515076114)","22.768378675398 (-0.509280643664268, 90.803206637374)","22.8908708412768 (1.15495866589115, 71.7584355095047)",Lazertinib,"-0.0586070935845846 (-1.23227668040338, 1.31028781999977)","0.378943121936609 (-1.43581154406316, 2.3920852986319)","2.37943704901884 (-0.115464476387443, 6.08317869794339)","-0.994154122483858 (-2.53659376626324, 0.457138549474426)","-0.0482317969515587 (-2.76371102761173, 2.8576687722944)","1.58836640609628 (-0.146877458470289, 3.82609629996225)","0.266155822896972 (-2.17087286255011, 2.99027637574135)"
Osimertinib,"-0.639977086896789 (-2.15807718654272, 0.569575074186035)","-0.686963306181923 (-4.80188186017048, 3.27548497375674)","-30.3128551247286 (-117.824801678079, -1.93517546674336)","0.204176493544927 (-2.24685310957275, 2.70296470535585)","0.464314795663725 (-0.865922684043765, 1.70141299966566)","-0.518500082546927 (-1.85191841708724, 0.664978952435234)","-1.1007583000155 (-2.7572618997711, 0.267040358597371)","-0.825038920433641 (-3.23396761439359, 1.43183574421621)","-0.535769115545411 (-1.81857996295218, 0.616780251218838)","-0.130252833708755 (-1.9282569545959, 1.63716651776881)","-33.4778462570723 (-103.630268876945, -1.65405272794097)","0.604178014591949 (-1.64878851868941, 3.14593438989251)","0.107153234933786 (-1.63922602676399, 2.03936221542292)","-0.486003147569043 (-2.18200768280614, 0.975365784269951)","26.8432397554952 (2.14656392346304, 97.8586264044682)","-0.219121652282108 (-1.72399124631368, 1.07914104269537)","-0.484095323901438 (-2.70186202913056, 1.49346062266038)","-0.854263898970107 (-2.31748063946856, 0.326696598147852)","0.605210892341814 (-2.36739046079479, 4.34490167034212)","-0.745911064111554 (-2.16556544878715, 0.616440149295643)","22.8988662910063 (-0.428286414286537, 90.8917221996124)","22.8803560155378 (1.23519944630289, 71.7039033866728)","0.0586070935845846 (-1.31028781999977, 1.23227668040338)",Osimertinib,"0.426604649115536 (-0.999791185400183, 1.87999271689242)","2.37716590339127 (0.282623803866988, 5.90588847474253)","-0.938197556781619 (-2.20986706724216, 0.0439082632929248)","-0.0141761450069298 (-2.58887414468751, 2.69807297800713)","1.62892445411389 (0.12573623119946, 3.52857408620554)","0.317904145382436 (-1.87931456782843, 2.64204922462541)"
Osimertinib_chemotherapy,"-1.07091111111826 (-3.21477412198221, 0.738072940839662)","-1.10474530168211 (-5.47054673976025, 3.0612539959187)","-30.7238139144925 (-118.262461899252, -2.32411814371375)","-0.219343660433973 (-3.08831573331529, 2.61496306538992)","0.034965880172208 (-1.94861610973578, 1.89910053857802)","-0.942558017008643 (-2.9457012910082, 0.880550202209187)","-1.53036025532861 (-3.76911961990878, 0.398112916951497)","-1.26292194113546 (-4.07663917164612, 1.4091277787974)","-0.963415766376189 (-2.9126705803136, 0.863374959935804)","-0.559650652433314 (-2.86955659750086, 1.72086490473845)","-33.9528637757842 (-103.990826647923, -2.02441739311451)","0.179431479193387 (-2.52249969167852, 3.10533100815643)","-0.336902443338173 (-2.56836489347915, 2.12731977680679)","-0.915249941538629 (-3.16316789787468, 1.09524039374462)","26.4055861156215 (1.6623650386185, 97.4261247066141)","-0.645279388516691 (-2.75941003614497, 1.26643264555497)","-0.910751208541665 (-3.59851541580759, 1.49733338594527)","-1.28683847922231 (-3.39983457852721, 0.512430795758797)","0.202885294302783 (-3.16478600223976, 4.17268434708079)","-1.17917185771089 (-3.18806000054841, 0.799138825700897)","22.5257450940671 (-0.921320086606413, 90.4887293167864)","22.5112896196974 (0.728804223353674, 71.3205731704998)","-0.378943121936609 (-2.3920852986319, 1.43581154406316)","-0.426604649115536 (-1.87999271689242, 0.999791185400183)",Osimertinib_chemotherapy,"1.98151928642358 (-0.618690687316357, 5.73132228072009)","-1.37433766588909 (-3.35454414384923, 0.299567984069959)","-0.444469900688231 (-3.38541664977075, 2.63115686188012)","1.20328485145513 (-0.842287271349362, 3.6377601143225)","-0.111280559020737 (-2.73963056463535, 2.61879270946943)"
