DHFRi,"0.221250144462537 (-1.70249625823126, 2.21685620158974)","0.263989660969316 (-2.00693140968268, 2.56389296303857)","0.648233778610604 (-1.88117020191276, 3.23148671611719)","0.145323816593034 (-2.02036583786687, 2.35092804146747)","1.50791871489567 (-0.661123043478185, 3.76830416090439)","24.6204390677527 (2.13128507007666, 78.5209785556887)","0.396083669314809 (-1.46487521509204, 2.35547943130686)","-29.0631734867061 (-95.2862758770047, -1.62696264070659)","-0.335537486217447 (-2.31078639802377, 1.67995864710828)",DHFRi,"0.289216836481708 (-1.46568177589727, 2.16456704151457)","0.945587368555814 (-1.55931883441068, 3.52704916237435)","0.587880649950103 (-1.43730450941532, 2.67845309074022)","-34.1979363111433 (-106.041210286212, -0.714789385591195)","1.44850783763812 (-0.980816108491443, 4.1740973789256)","-35.2463723359868 (-108.100414128411, -2.4314987285813)","0.407756562308721 (-1.48495382689873, 2.53711306498876)","0.84536492057526 (-1.0854105106439, 2.85887605645332)","1.63322742387097 (-0.891886422894577, 4.44097755141386)","0.406386021467349 (-1.41051172185734, 2.32237797476415)","0.190292876385224 (-2.04634405867667, 2.42292832129966)","0.0289445300270559 (-1.92314371430683, 2.06164706283789)","0.407195909861175 (-1.86122881691035, 2.71093779098259)","0.162824460989263 (-1.98260433559328, 2.42933678143701)","22.0836424119516 (0.483959579009091, 89.6287624500972)","24.5165656179742 (2.06133249348529, 78.4119703411313)","1.07849968906946 (-1.08433607184418, 3.31362774313598)","1.06053336506466 (-0.885640598651589, 3.12450047854621)","1.44592848524627 (-0.588476453307888, 3.75153106541425)","-36.6909521754087 (-110.205190921157, -0.932140441456714)","2.20759963590589 (0.100912342978025, 4.45075046681751)","-0.108804883582087 (-2.00342971307936, 1.84853273052279)","2.05770607966588 (-0.0514223213723792, 4.29489647081815)","2.43523627674487 (0.465450706672396, 4.55659248862966)","0.293429453541892 (-2.05476016358677, 2.74699632798233)"
Erlotinib,"-0.0654383337212818 (-0.852824605397384, 0.627199560537227)","-0.0318733337451944 (-1.46194099206476, 1.31069394712606)","0.350857703274632 (-1.44186026936136, 2.17241885818036)","-0.144878352274202 (-1.42381917208044, 1.03788994884874)","1.22459759222067 (-0.0767102687220939, 2.49513240786928)","24.3225712608446 (2.00622742418385, 78.0937234476601)","0.107952481018677 (-0.497737830224234, 0.676561985675084)","-29.4589512277573 (-95.5718570147626, -2.05948256970845)","-0.625520798193581 (-1.50498411023482, 0.140493599130537)","-0.289216836481708 (-2.16456704151457, 1.46568177589727)",Erlotinib,"0.638346329678877 (-1.07052749457363, 2.43472532563614)","0.286590202878434 (-0.741734390625379, 1.33352346681893)","-34.4771976931936 (-106.379932494506, -1.2725069646293)","1.11357537653053 (-0.505716484156704, 3.22392491754479)","-35.3980574160888 (-108.371689367345, -2.77653232691851)","0.0959154423491145 (-0.673283006219702, 1.15696615098978)","0.554860221165175 (-0.221813723745966, 1.29479620363065)","1.29983321650031 (-0.433801049867301, 3.50449931825183)","0.118246554064738 (-0.346211055619455, 0.545318706532362)","-0.110825867880539 (-1.47694266648181, 1.1789991937835)","-0.259538715291695 (-1.12300053742726, 0.523151078406477)","0.100113643512442 (-1.32067132272779, 1.51089254957956)","-0.127997246078847 (-1.39650662076965, 1.14929610758578)","21.8046999359544 (0.311338462960885, 89.4429869175661)","24.1736749638553 (1.89312574789649, 77.9439842782621)","0.78635291662256 (-0.514583094844779, 2.02358523505428)","0.766220492926902 (-0.103327370054697, 1.64425523798862)","1.14663266338266 (0.0437585269958411, 2.48805536381634)","-37.0142017226195 (-110.654807887728, -1.28215863021478)","1.91284875977814 (0.707827130807841, 3.12488625552252)","-0.396749303413005 (-1.10422525019094, 0.218637671647994)","1.75912942475427 (0.612177310583108, 2.96000826488481)","2.12155936323625 (1.28003042863045, 3.19482285827809)","-0.00274090582980446 (-1.58944854421751, 1.58684576627747)"
Erlotinib_Autophagyi,"-0.710943771005379 (-2.67065008280808, 1.13766857715904)","-0.671643519032876 (-2.96094623426522, 1.49343846316654)","-0.275700418456996 (-2.84140173120987, 2.1847723027055)","-0.79139961054645 (-2.9907406052622, 1.27932081262597)","0.588621727335581 (-1.61627438132652, 2.72665942631061)","23.6483006241465 (1.29132433641803, 77.3637461458712)","-0.537825771200871 (-2.41819140931971, 1.26435333622149)","-30.1123485179069 (-96.3427158168579, -2.53501108377981)","-1.27050833005681 (-3.27596669414811, 0.589986642809782)","-0.945587368555814 (-3.52704916237435, 1.55931883441068)","-0.638346329678877 (-2.43472532563614, 1.07052749457363)",Erlotinib_Autophagyi,"-0.346489217494031 (-2.39101912709959, 1.624605076612)","-35.192565370933 (-106.964650865203, -1.79001706114298)","0.493722530493549 (-1.94129868760021, 3.17704948064492)","-36.0721029441242 (-109.103827621881, -3.34320848936197)","-0.526972170855194 (-2.45948704042644, 1.49204249151466)","-0.0825586725847098 (-2.04220620195805, 1.75799312999392)","0.681972270587701 (-1.84133636516128, 3.44318923847478)","-0.523124978512797 (-2.37283005203437, 1.23194797017102)","-0.749731931248785 (-3.00307515096652, 1.37977780879264)","-0.902623910942157 (-2.88830441854311, 0.95899031655917)","-0.533624821674007 (-2.82735084326273, 1.68014056872557)","-0.764328742965175 (-2.9588841009786, 1.35801393704387)","21.0210767132653 (-0.332802982047797, 88.7000025212271)","23.5376888073691 (1.1953293394043, 77.2083566873604)","0.145640022094794 (-2.05703435030934, 2.27374616304281)","0.125141928707196 (-1.8593305473419, 2.06347301316919)","0.520876826093563 (-1.56134705177816, 2.68214825051381)","-37.6302647015288 (-111.171061045313, -1.85682353368854)","1.27677893654307 (-0.87367488174031, 3.38349047215129)","-1.04239762838146 (-2.96716111330134, 0.755074329941877)","1.12509370525522 (-0.994000752241779, 3.20368450164978)","1.50757924914207 (-0.47302014108243, 3.5182148673751)","-0.647496215302847 (-3.02202411822641, 1.68790671745594)"
Erlotinib_chemotherapy,"-0.366499685547888 (-1.64918065154692, 0.88638028704839)","-0.327669737909793 (-2.08569251700249, 1.37944990815521)","0.0591114121965127 (-1.99384532690346, 2.15501264076136)","-0.440291488687974 (-2.04550619842702, 1.14060768101173)","0.936689616985504 (-0.731494602425853, 2.54861159823772)","24.0356998761063 (1.66976781335077, 77.6696009141366)","-0.184283680443745 (-1.3764207492235, 0.944059320241837)","-29.7431172318662 (-95.8248309288703, -2.32826459541885)","-0.917810164434316 (-2.27852002099157, 0.370299872178283)","-0.587880649950103 (-2.67845309074022, 1.43730450941532)","-0.286590202878434 (-1.33352346681893, 0.741734390625379)","0.346489217494031 (-1.624605076612, 2.39101912709959)",Erlotinib_chemotherapy,"-34.7870752586639 (-106.680295367676, -1.51972954100792)","0.833449223503746 (-1.11428005188615, 3.14650507086103)","-35.7250155699641 (-108.702981815631, -3.08626781531193)","-0.178015123436419 (-1.46181073831323, 1.2743747390426)","0.266421445547547 (-1.02827977904865, 1.53043037026123)","1.02575443274361 (-1.01649448396878, 3.42030631806571)","-0.172260109920731 (-1.31274759695678, 0.926541908873164)","-0.401748247224423 (-2.10584077919978, 1.23393024555221)","-0.550657728374635 (-1.88712773162106, 0.754269621373164)","-0.190016048563987 (-1.92878077923868, 1.52816198179278)","-0.420835532595613 (-2.05060670924766, 1.18561136178787)","21.4813644927124 (-0.0852674130417901, 89.1243690437537)","23.8985305382491 (1.55378751239106, 77.5330304526119)","0.501538340696253 (-1.16200974305404, 2.07123655430649)","0.471827022994584 (-0.867442934518763, 1.80502765775067)","0.860698707632903 (-0.639190564980446, 2.55141301513509)","-37.3444885144457 (-110.969840602165, -1.55806255982026)","1.6280440274137 (0.0534129696480878, 3.1837637016952)","-0.687971340466909 (-1.93951150357867, 0.501211095021421)","1.47409247052875 (-0.0635893045392949, 3.06141170624105)","1.83792120827425 (0.50866422692401, 3.30654205568682)","-0.288344161899148 (-2.16522742896519, 1.56338090736984)"
Erlotinib_COX2i,"34.407394002212 (1.11525770330435, 106.426137197194)","34.4583181593534 (1.2028644163311, 106.440125638797)","34.8060419121313 (1.34043359473114, 106.71074866246)","34.3053224354972 (1.08645706854099, 106.355799423283)","35.6868082356489 (2.51079849570251, 107.741228216355)","64.7998273599779 (10.7835238711388, 153.870289782577)","34.5976002254821 (1.34563503048606, 106.51989315415)","4.33601504114943 (-80.2917855097036, 82.4436953581812)","33.8742253711811 (0.616217309479875, 105.781416052548)","34.1979363111433 (0.714789385591195, 106.041210286212)","34.4771976931936 (1.2725069646293, 106.379932494506)","35.192565370933 (1.79001706114298, 106.964650865203)","34.7870752586639 (1.51972954100792, 106.680295367676)",Erlotinib_COX2i,"35.6090614013034 (2.40483742683693, 107.706327925732)","-0.460066202776776 (-91.6626629360635, 84.9152619706174)","34.5814936208271 (1.34698090962733, 106.518093204721)","35.0192684801796 (1.79679153380985, 106.932358191129)","35.7742598466715 (2.45233804941722, 107.747453062471)","34.5942765308022 (1.37902931720338, 106.475332737171)","34.3446220305389 (1.10400679227831, 106.347001522015)","34.2212977156328 (1.00707478346717, 106.232607839494)","34.5675893751011 (1.16151647752247, 106.51484722267)","34.3534159067985 (1.14428821931757, 106.372700766813)","60.7651014078021 (10.4901585047587, 143.51892158926)","64.6648421680076 (10.6879912040826, 153.677991102531)","35.2420426434423 (2.03963355112035, 107.234529966649)","35.297990380092 (1.97923574283234, 107.245490797711)","35.6469706899909 (2.40981781757506, 107.625046583903)","-0.889244584505768 (-89.9575098327167, 90.5485440199847)","36.4413737283087 (3.06548629106451, 108.406303024714)","34.1014413513145 (0.871497306478618, 106.007616120068)","36.2413688326287 (2.92267789830376, 108.140581685707)","36.5971713166835 (3.33047197301559, 108.645320299586)","34.482694366884 (1.24509587384043, 106.478352417869)"
Erlotinib_HER3i,"-1.18933272190513 (-3.42848382965894, 0.581532827310825)","-1.16906585578018 (-3.7052179409901, 0.963450659123805)","-0.786631400811629 (-3.47745159444266, 1.71719496717807)","-1.27504983411794 (-3.71981551398634, 0.725984997668645)","0.0941053216437718 (-2.39223203363424, 2.18895490873977)","23.1499087818347 (0.667112286918052, 77.0369743009236)","-1.01818748160973 (-3.18733128428113, 0.718596091854902)","-30.6241415566988 (-96.7213598899482, -3.07608925497212)","-1.75573046740108 (-4.0144955468412, 0.0451799770969909)","-1.44850783763812 (-4.1740973789256, 0.980816108491443)","-1.11357537653053 (-3.22392491754479, 0.505716484156704)","-0.493722530493549 (-3.17704948064492, 1.94129868760021)","-0.833449223503746 (-3.14650507086103, 1.11428005188615)","-35.6090614013034 (-107.706327925732, -2.40483742683693)",Erlotinib_HER3i,"-36.7004457195537 (-109.544877600505, -3.7285802802942)","-1.00962461519047 (-3.22989973669517, 0.943124370992847)","-0.570823506634099 (-2.81580372441617, 1.22765052308542)","0.194700632000656 (-2.52955719712617, 2.89607813113303)","-1.00164532315054 (-3.16131520008392, 0.672659757770201)","-1.2451402029079 (-3.73873560940912, 0.879508387670853)","-1.38716575731395 (-3.65631690807616, 0.442408189135108)","-1.0319915764551 (-3.55365581035146, 1.13245862446344)","-1.25369153167289 (-3.70078644062945, 0.808532183600846)","20.6561609413458 (-1.07386621538272, 88.041776350268)","23.0269788107712 (0.585106160932299, 76.943405490257)","-0.342235340061393 (-2.80258498174193, 1.7278786533511)","-0.348971528968135 (-2.62494910901356, 1.50501774951742)","0.0284926240435315 (-2.32349955992936, 2.12918586255569)","-38.251775274341 (-111.862408973992, -2.39760114052344)","0.787467253129349 (-1.60810185455786, 2.85374013527521)","-1.5158753723954 (-3.74661272827077, 0.218796799293512)","0.631004486477926 (-1.75188411504688, 2.71079138388242)","1.01410689034881 (-1.23840025035705, 2.95881806233832)","-1.12409528424275 (-3.75531900877461, 1.15274367926925)"
Erlotinib_HGFi,"35.3750238336526 (2.52310549535458, 108.295861325024)","35.4289149107703 (2.69143235393581, 108.356647028361)","35.7469852205785 (3.00179373616774, 108.76139983679)","35.2585991512551 (2.57843583358536, 108.288052573289)","36.6615838845646 (3.93710928584176, 109.660725019736)","65.4598610190823 (14.3531411122792, 157.446913987475)","35.5528744018288 (2.85533954547289, 108.381392603591)","2.86046043605422 (-68.1545967149916, 94.8792282160139)","34.7931409148309 (2.1127599039181, 107.580914644827)","35.2463723359868 (2.4314987285813, 108.100414128411)","35.3980574160888 (2.77653232691851, 108.371689367345)","36.0721029441242 (3.34320848936197, 109.103827621881)","35.7250155699641 (3.08626781531193, 108.702981815631)","0.460066202776776 (-84.9152619706174, 91.6626629360635)","36.7004457195537 (3.7285802802942, 109.544877600505)",Erlotinib_HGFi,"35.5154442368051 (2.86474809490332, 108.561227354336)","35.9343425771123 (3.30288781504056, 108.854281436396)","36.7184615859101 (3.91491750090146, 109.606912162431)","35.5448499250988 (2.89018245768011, 108.506376129642)","35.3083237292227 (2.56445685203996, 108.287830325748)","35.1638270486034 (2.45005302356047, 108.078468802379)","35.5271896871124 (2.64643513168747, 108.513139976304)","35.3094402057562 (2.58072139971252, 108.293202082549)","59.6851120579486 (9.32147710692785, 168.633123362753)","65.3569946120583 (14.2435809550053, 157.422916779623)","36.2171093730932 (3.5149308509542, 109.236250508987)","36.1794596284973 (3.50088379956121, 109.137786838022)","36.5820969444969 (3.88830995160201, 109.540450779191)","-1.37107797146038 (-84.4610409448275, 81.8670510440912)","37.2959761628564 (4.65739829716948, 110.366672248848)","35.0175748745287 (2.31615618657913, 107.976905612747)","37.1695395349429 (4.5314371135052, 110.074477939325)","37.5826578548412 (4.86341499412503, 110.529619754956)","35.408394506224 (2.67693339091071, 108.44766979156)"
Erlotinib_IGF_1Ri,"-0.165932696863283 (-1.55657367632992, 0.862859283573856)","-0.135928109120327 (-1.99530511120112, 1.37240268360242)","0.246933489248877 (-1.86873558001252, 2.20837501852273)","-0.24722274320359 (-1.99376821770803, 1.10067252653388)","1.12214235187863 (-0.613800847789744, 2.55001417835384)","24.1683984314444 (1.829497585177, 77.9691040977903)","0.00341158734904593 (-1.24923167178477, 0.947238420146642)","-29.6126363472261 (-95.6869181695584, -2.16654795829124)","-0.725764797892071 (-2.19229464085913, 0.347064984768396)","-0.407756562308721 (-2.53711306498876, 1.48495382689873)","-0.0959154423491145 (-1.15696615098978, 0.673283006219702)","0.526972170855194 (-1.49204249151466, 2.45948704042644)","0.178015123436419 (-1.2743747390426, 1.46181073831323)","-34.5814936208271 (-106.518093204721, -1.34698090962733)","1.00962461519047 (-0.943124370992847, 3.22989973669517)","-35.5154442368051 (-108.561227354336, -2.86474809490332)",Erlotinib_IGF_1Ri,"0.452762400627992 (-0.912822323795736, 1.50030875323413)","1.1916680061846 (-0.846664853315078, 3.50584447323895)","0.0208713569010997 (-1.15847405043837, 0.879091118797614)","-0.210826423569904 (-2.02502590860157, 1.25556119108487)","-0.360377500229721 (-1.78693237977038, 0.737240886749407)","-0.00540729991450983 (-1.82493419276103, 1.58411852415543)","-0.227172672943407 (-1.94089875828508, 1.19097569507774)","21.6902918508164 (0.143633101409556, 89.3001868494227)","24.0559605838646 (1.73761374089209, 77.8286128087682)","0.683063434505934 (-1.04231165994091, 2.10553184668244)","0.659575640393072 (-0.725084089646245, 1.79352496871665)","1.04471023301906 (-0.453436442038862, 2.507608337139)","-37.1334895496117 (-110.739496970874, -1.36500027921128)","1.8059571686396 (0.166848915762337, 3.23180126636373)","-0.497228452493887 (-1.84409251749833, 0.473223748609833)","1.65159224642715 (0.0675491856862413, 3.07520022712575)","2.01783569813333 (0.741092069887101, 3.2869911402291)","-0.10255715566544 (-2.08287594256204, 1.58653671432183)"
Erlotinib_METi,"-0.620989272013029 (-1.69203710607952, 0.405106118104878)","-0.581896142790211 (-2.17317901084461, 0.955103901456601)","-0.206085211656035 (-2.12687784673517, 1.73853525697054)","-0.701992760594472 (-2.15415738333654, 0.714208051859315)","0.668068468702207 (-0.807722921549348, 2.1726292942012)","23.7761574810119 (1.40622603344067, 77.6189641889502)","-0.44459209781447 (-1.39799574130499, 0.512635282565138)","-30.0176713683419 (-96.1232917966309, -2.58608339730769)","-1.17703378911799 (-2.33617372819831, -0.104058043694811)","-0.84536492057526 (-2.85887605645332, 1.0854105106439)","-0.554860221165175 (-1.29479620363065, 0.221813723745966)","0.0825586725847098 (-1.75799312999392, 2.04220620195805)","-0.266421445547547 (-1.53043037026123, 1.02827977904865)","-35.0192684801796 (-106.932358191129, -1.79679153380985)","0.570823506634099 (-1.22765052308542, 2.81580372441617)","-35.9343425771123 (-108.854281436396, -3.30288781504056)","-0.452762400627992 (-1.50030875323413, 0.912822323795736)",Erlotinib_METi,"0.759765147792148 (-1.13967729633692, 3.10144052085836)","-0.4374086388319 (-1.31074188046865, 0.444323400463873)","-0.66144448628176 (-2.21396499463473, 0.826091169347995)","-0.811596155630505 (-1.94415678674497, 0.279943918114342)","-0.447195892392367 (-2.05795343008195, 1.13727997998516)","-0.685314113559156 (-2.13213025505744, 0.8327679817138)","21.2814661353558 (-0.300726017610966, 88.8600216041339)","23.6670851019003 (1.32747418336129, 77.4084312250375)","0.230572455881393 (-1.23620767412146, 1.69486874122725)","0.210451674075612 (-0.918427184139178, 1.3918192408606)","0.593093886110508 (-0.711317194909518, 2.17106952311475)","-37.5521395916418 (-111.165008929006, -1.85245653591256)","1.36270250713574 (-0.0373609505870923, 2.80065029090225)","-0.951444536706244 (-1.97534535300338, 0.0147211035177896)","1.21042521793229 (-0.142775288974877, 2.65988438576041)","1.57231331538127 (0.459464092161421, 2.92600849729402)","-0.559231515527352 (-2.28917648351138, 1.22842511935174)"
Erlotinib_MMPi,"-1.37899421571379 (-3.75884911713654, 0.477684993063581)","-1.34471177750033 (-3.99037310181274, 0.862287458174026)","-0.955751191079081 (-3.79900419476984, 1.5240534383823)","-1.45903576130235 (-4.02056883955974, 0.652605870493214)","-0.0816562471511552 (-2.66573938651328, 2.06214330587814)","23.0427635630309 (0.504621027011282, 76.7580242993319)","-1.19978217564972 (-3.48102338459428, 0.614796344165901)","-30.8679767071596 (-96.8006816829514, -3.31216586137117)","-1.94205926999632 (-4.31742184682369, -0.0458204116017678)","-1.63322742387097 (-4.44097755141386, 0.891886422894577)","-1.29983321650031 (-3.50449931825183, 0.433801049867301)","-0.681972270587701 (-3.44318923847478, 1.84133636516128)","-1.02575443274361 (-3.42030631806571, 1.01649448396878)","-35.7742598466715 (-107.747453062471, -2.45233804941722)","-0.194700632000656 (-2.89607813113303, 2.52955719712617)","-36.7184615859101 (-109.606912162431, -3.91491750090146)","-1.1916680061846 (-3.50584447323895, 0.846664853315078)","-0.759765147792148 (-3.10144052085836, 1.13967729633692)",Erlotinib_MMPi,"-1.19229909957898 (-3.43143512794411, 0.592496580652419)","-1.42056747183468 (-4.02927002084458, 0.739026264100725)","-1.56871651398966 (-3.95050002436439, 0.333445810087712)","-1.21469746084611 (-3.82968867798741, 1.03712144814576)","-1.44407466589098 (-4.0000901527906, 0.711219876761654)","20.4102283822524 (-1.15674398065178, 88.1774150135247)","22.9201928692598 (0.381863706552874, 76.550960309952)","-0.523992293679206 (-3.08942963808002, 1.59486794042967)","-0.539234303441656 (-2.93281772945253, 1.3837334345384)","-0.153477993311372 (-2.62194566295158, 2.0295112789915)","-38.4862129792351 (-111.999475327671, -2.50072019157841)","0.609715422106726 (-1.93690266138792, 2.7181497254223)","-1.71003380059022 (-4.02947659420752, 0.129433014081527)","0.456654739251197 (-2.03200528270623, 2.57903562720213)","0.831324688355787 (-1.54226632306376, 2.86840202299367)","-1.32079621430545 (-4.02361642502989, 1.0264723032187)"
Erlotinib_antiangio,"-0.181258036359098 (-1.07557512249266, 0.643855086708903)","-0.147988940700642 (-1.62582589548892, 1.27076651860441)","0.240365075077627 (-1.59427658347382, 2.11430787238044)","-0.260150662843639 (-1.59902574173921, 0.991696189801793)","1.11333644303944 (-0.248174254560729, 2.46461662180398)","24.1959989550949 (1.91573795755425, 77.9803493903831)","-0.00729939829095506 (-0.745492802975804, 0.717081872846448)","-29.5760649852233 (-95.6941814537629, -2.17394190388357)","-0.744632542257712 (-1.71236645367647, 0.139043590678803)","-0.406386021467349 (-2.32237797476415, 1.41051172185734)","-0.118246554064738 (-0.545318706532362, 0.346211055619455)","0.523124978512797 (-1.23194797017102, 2.37283005203437)","0.172260109920731 (-0.926541908873164, 1.31274759695678)","-34.5942765308022 (-106.475332737171, -1.37902931720338)","1.00164532315054 (-0.672659757770201, 3.16131520008392)","-35.5448499250988 (-108.506376129642, -2.89018245768011)","-0.0208713569010997 (-0.879091118797614, 1.15847405043837)","0.4374086388319 (-0.444323400463873, 1.31074188046865)","1.19229909957898 (-0.592496580652419, 3.43143512794411)",Erlotinib_antiangio,"-0.223815146362224 (-1.63403228911591, 1.14247670336713)","-0.373077507224034 (-1.33467908564102, 0.535465889012241)","-0.00713432394488403 (-1.49850239616192, 1.46101911372364)","-0.242131246788994 (-1.57008095978378, 1.11020701381296)","21.696283018402 (0.172997126169644, 89.261863225496)","24.0709119291247 (1.81291939536411, 77.7808786702936)","0.672241733859727 (-0.672454145274358, 1.97887533935941)","0.649768351099078 (-0.313095587600658, 1.64221008267775)","1.02889192495666 (-0.148131080545578, 2.47038835898297)","-37.1118427250362 (-110.812002388796, -1.36219645617094)","1.80047256724665 (0.536874622433895, 3.09244379672065)","-0.512708143655736 (-1.33470670198267, 0.240833621320581)","1.64699173042426 (0.414298930506166, 2.94757557732597)","2.0094898514901 (1.08112709254883, 3.16781648957714)","-0.116445795530175 (-1.74804809208967, 1.54830672104042)"
Furmonertinib,"0.0338799465807786 (-1.30795116364914, 1.41541804982853)","0.0730338682151758 (-1.70575233377158, 1.87980150006361)","0.457418966006087 (-1.61002366910198, 2.62355545735814)","-0.0359934543734584 (-1.40275933895335, 1.33434858439339)","1.33377315158283 (-0.326268997275234, 3.04754408015201)","24.4190944222152 (2.09473861605664, 78.2335024993217)","0.21652817760485 (-1.11052952788468, 1.56240655971435)","-29.3825980360797 (-95.4132189354151, -1.92898274155004)","-0.522528336376185 (-2.00290818118388, 0.961828090070879)","-0.190292876385224 (-2.42292832129966, 2.04634405867667)","0.110825867880539 (-1.1789991937835, 1.47694266648181)","0.749731931248785 (-1.37977780879264, 3.00307515096652)","0.401748247224423 (-1.23393024555221, 2.10584077919978)","-34.3446220305389 (-106.347001522015, -1.10400679227831)","1.2451402029079 (-0.879508387670853, 3.73873560940912)","-35.3083237292227 (-108.287830325748, -2.56445685203996)","0.210826423569904 (-1.25556119108487, 2.02502590860157)","0.66144448628176 (-0.826091169347995, 2.21396499463473)","1.42056747183468 (-0.739026264100725, 4.02927002084458)","0.223815146362224 (-1.14247670336713, 1.63403228911591)",Furmonertinib,"-0.147150031125607 (-1.18539618126373, 0.883630184278824)","0.217818050364521 (-1.3138005777263, 1.76201033742466)","-0.0200781642961211 (-1.67908098072807, 1.73358166789518)","21.9065308432498 (0.399383905417107, 89.5666848798685)","24.2948185397116 (2.01138569260944, 78.087753359263)","0.896488962914037 (-0.707303596739113, 2.54665643050044)","0.873342568202354 (-0.52028719475244, 2.3494836999614)","1.26031986127604 (-0.274998407628204, 3.10100718757191)","-36.9023113209671 (-110.507288878711, -1.19039221048244)","2.02068495228805 (0.391147921503863, 3.73076444952577)","-0.289342809678431 (-1.6182743223935, 1.04027945840392)","1.86437837042766 (0.171447921442905, 3.73263389406774)","2.23766043208958 (0.794052014608352, 3.95652356289755)","0.099211855549482 (-1.81380860438815, 2.10370791674116)"
Gefitinib,"0.18868429720853 (-0.67505071409957, 1.08469385894788)","0.224332253368302 (-1.23600763821094, 1.69498925624881)","0.605845995197809 (-1.18358877206887, 2.49810715893994)","0.110283075248676 (-0.792180438705412, 1.02995562277216)","1.47588990206053 (0.172628211267087, 2.86328296057574)","24.5764339644081 (2.30605032137133, 78.4212502941568)","0.368682511288633 (-0.456179850202018, 1.22391058143127)","-29.1850694151864 (-95.2127573523713, -1.82115767138383)","-0.373418918992533 (-1.42778600422548, 0.689716697297811)","-0.0289445300270559 (-2.06164706283789, 1.92314371430683)","0.259538715291695 (-0.523151078406477, 1.12300053742726)","0.902623910942157 (-0.95899031655917, 2.88830441854311)","0.550657728374635 (-0.754269621373164, 1.88712773162106)","-34.2212977156328 (-106.232607839494, -1.00707478346717)","1.38716575731395 (-0.442408189135108, 3.65631690807616)","-35.1638270486034 (-108.078468802379, -2.45005302356047)","0.360377500229721 (-0.737240886749407, 1.78693237977038)","0.811596155630505 (-0.279943918114342, 1.94415678674497)","1.56871651398966 (-0.333445810087712, 3.95050002436439)","0.373077507224034 (-0.535465889012241, 1.33467908564102)","0.147150031125607 (-0.883630184278824, 1.18539618126373)",Gefitinib,"0.354648326258493 (-0.766568199961878, 1.52505683475831)","0.125925277288228 (-1.17992754580991, 1.53191422570225)","22.0324546034484 (0.595958300486517, 89.6668966223105)","24.445988283366 (2.19440281963837, 78.2204384842006)","1.04200884780503 (-0.198271448711457, 2.33551610708262)","1.01652555054724 (0.0697783657642312, 2.06209522456299)","1.40528639521943 (0.232242504739884, 2.91005675460761)","-36.7081154545245 (-110.397938281069, -1.07248774520648)","2.17049462790312 (0.921619701389851, 3.52640412383206)","-0.140342817604593 (-0.97729179525914, 0.699973354564023)","2.01805940485189 (0.637083100406888, 3.5369676023912)","2.38273741016291 (1.33898727675751, 3.72250306969964)","0.250572696093623 (-1.35036743702048, 1.96059544237784)"
Gefitinib_chemotherapy,"-0.175183172159929 (-1.64357807519811, 1.26209676622148)","-0.137896188145974 (-2.01523265794137, 1.72969018037413)","0.23451867889585 (-1.88768486778932, 2.45732853814895)","-0.250516429536937 (-1.71325562950145, 1.20139834063844)","1.1245068851858 (-0.635914859047654, 2.90511747137695)","24.2199351064639 (1.90922520177293, 78.0053558341213)","0.00340259315498048 (-1.42102495871129, 1.4325677752344)","-29.5251832608559 (-95.9127467137666, -2.10758230804171)","-0.734138909043304 (-2.30937598829425, 0.805772796550822)","-0.407195909861175 (-2.71093779098259, 1.86122881691035)","-0.100113643512442 (-1.51089254957956, 1.32067132272779)","0.533624821674007 (-1.68014056872557, 2.82735084326273)","0.190016048563987 (-1.52816198179278, 1.92878077923868)","-34.5675893751011 (-106.51484722267, -1.16151647752247)","1.0319915764551 (-1.13245862446344, 3.55365581035146)","-35.5271896871124 (-108.513139976304, -2.64643513168747)","0.00540729991450983 (-1.58411852415543, 1.82493419276103)","0.447195892392367 (-1.13727997998516, 2.05795343008195)","1.21469746084611 (-1.03712144814576, 3.82968867798741)","0.00713432394488403 (-1.46101911372364, 1.49850239616192)","-0.217818050364521 (-1.76201033742466, 1.3138005777263)","-0.354648326258493 (-1.52505683475831, 0.766568199961878)",Gefitinib_chemotherapy,"-0.229299072146787 (-1.97288460175007, 1.56780103327144)","21.6853385636701 (0.130424799444563, 89.2124658081981)","24.1076273285103 (1.82650893170702, 77.8753609419474)","0.683688369720725 (-1.02383723452936, 2.41739153002084)","0.663850833449734 (-0.853931049109463, 2.20145684200492)","1.05374100942452 (-0.61323026894546, 2.91220600797556)","-37.1328878276999 (-110.397963425199, -1.44133424105008)","1.81128782302265 (0.10207337964721, 3.56743300864115)","-0.50567767076604 (-1.94519990371118, 0.918541378734485)","1.66094301919027 (-0.14547209566534, 3.5514349635577)","2.03191582402569 (0.4561966390217, 3.79932427884488)","-0.1096621865427 (-2.0977385199893, 1.95067555741257)"
