"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.60 (4.38 to 30.73)",".",".",".",".",".",".",".",".",".",".","."
"1.67 (0.37 to    7.46)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.49 (3.44 to 16.31)",".",".",".",".",".","."
"9.30 (2.96 to   29.19)","5.56 (1.54 to   20.07)","4.42 (1.54 to   12.72)","4.59 (1.33 to   15.83)","3.44 (1.37 to    8.63)","3.10 (0.88 to   10.86)","2.48 (0.69 to    8.96)","1.96 (0.53 to    7.22)","1.76 (0.49 to    6.23)","1.42 (0.58 to    3.49)","1.40 (0.13 to   15.15)","1.14 (0.27 to    4.70)","1.08 (0.37 to    3.15)","1.05 (0.37 to    2.94)","Gefitinib + chemotherapy",".",".",".","1.25 (0.68 to  2.28)",".",".",".",".",".",".",".",".",".",".","."
"9.72 (2.85 to   33.18)","5.81 (1.72 to   19.65)","4.63 (1.80 to   11.90)","4.80 (1.44 to   15.99)","3.60 (1.69 to    7.64)","3.24 (0.93 to   11.34)","2.60 (0.81 to    8.35)","2.05 (0.56 to    7.54)","1.84 (0.48 to    7.03)","1.49 (0.74 to    2.98)","1.47 (0.14 to   14.92)","1.19 (0.30 to    4.63)","1.13 (0.45 to    2.85)","1.10 (0.39 to    3.08)","1.05 (0.40 to    2.73)","Afatinib",".","1.05 (0.37 to  3.03)","1.12 (0.31 to  4.05)","1.23 (0.40 to  3.76)",".",".","3.19 (0.64 to 15.84)",".",".",".",".",".",".","."
"9.95 (2.25 to   44.06)","5.95 (1.38 to   25.67)","4.73 (1.46 to   15.35)","4.91 (1.15 to   21.02)","3.68 (1.33 to   10.15)","3.31 (0.76 to   14.48)","2.66 (0.69 to   10.25)","2.10 (0.46 to    9.56)","1.88 (0.38 to    9.16)","1.52 (0.53 to    4.39)","1.50 (0.13 to   16.82)","1.22 (0.25 to    5.92)","1.16 (0.37 to    3.65)","1.12 (0.30 to    4.20)","1.07 (0.30 to    3.83)","1.02 (0.32 to    3.25)","Erlotinib + chemotherapy",".",".","1.25 (0.45 to  3.45)",".",".",".",".",".",".",".",".",".","."
"10.24 (2.03 to   51.68)","6.12 (1.22 to   30.68)","4.87 (1.18 to   20.08)","5.06 (1.02 to   25.05)","3.79 (1.04 to   13.85)","3.41 (0.66 to   17.55)","2.73 (0.57 to   13.20)","2.16 (0.41 to   11.54)","1.93 (0.35 to   10.67)","1.57 (0.44 to    5.54)","1.54 (0.12 to   19.75)","1.25 (0.22 to    7.00)","1.19 (0.29 to    4.85)","1.16 (0.26 to    5.05)","1.10 (0.26 to    4.58)","1.05 (0.37 to    3.03)","1.03 (0.22 to    4.93)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".",".","."
"11.60 (4.38 to   30.73)","6.94 (2.23 to   21.58)","5.52 (2.32 to   13.17)","5.73 (1.94 to   16.91)","4.29 (2.14 to    8.62)","3.87 (1.28 to   11.64)","3.10 (1.00 to    9.63)","2.45 (0.77 to    7.78)","2.19 (0.72 to    6.69)","1.77 (0.91 to    3.46)","1.75 (0.17 to   17.51)","1.42 (0.39 to    5.13)","1.35 (0.56 to    3.26)","1.31 (0.57 to    3.02)","1.25 (0.68 to    2.28)","1.19 (0.57 to    2.52)","1.17 (0.38 to    3.59)","1.13 (0.31 to    4.13)","Gefitinib","1.44 (0.33 to  6.36)",".","1.01 (0.35 to  2.96)","1.57 (0.40 to  6.23)",".",".",".",".",".",".","."
"11.64 (3.67 to   36.91)","6.96 (2.25 to   21.51)","5.54 (2.80 to   10.97)","5.75 (1.88 to   17.54)","4.31 (3.10 to    5.98)","3.88 (1.25 to   11.99)","3.11 (1.20 to    8.04)","2.46 (0.75 to    8.01)","2.20 (0.61 to    7.87)","1.78 (1.03 to    3.07)","1.75 (0.19 to   16.13)","1.42 (0.40 to    5.12)","1.35 (0.72 to    2.54)","1.31 (0.52 to    3.34)","1.25 (0.53 to    2.97)","1.20 (0.61 to    2.36)","1.17 (0.45 to    3.05)","1.14 (0.32 to    3.99)","1.00 (0.54 to    1.86)","Erlotinib","1.32 (0.09 to 18.89)","1.13 (0.39 to  3.28)","0.71 (0.33 to  1.51)",".",".","3.00 (0.11 to 84.56)",".","2.02 (0.35 to 11.52)","3.79 (1.00 to 14.38)","4.66 (0.88 to 24.55)"
"15.36 (0.84 to  279.36)","9.19 (0.51 to  165.35)","7.31 (0.47 to  114.07)","7.59 (0.42 to  135.90)","5.68 (0.39 to   83.00)","5.12 (0.28 to   92.16)","4.10 (0.24 to   69.22)","3.24 (0.18 to   59.64)","2.90 (0.15 to   55.49)","2.35 (0.16 to   35.53)","2.32 (0.07 to   74.02)","1.88 (0.10 to   35.98)","1.79 (0.12 to   27.54)","1.73 (0.10 to   29.08)","1.65 (0.10 to   27.11)","1.58 (0.10 to   24.63)","1.54 (0.09 to   26.14)","1.50 (0.08 to   28.43)","1.32 (0.09 to   20.35)","1.32 (0.09 to   18.89)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".","."
"11.99 (3.51 to   40.99)","7.17 (2.04 to   25.17)","5.71 (2.15 to   15.13)","5.92 (1.73 to   20.32)","4.44 (2.00 to    9.83)","4.00 (1.13 to   14.15)","3.20 (0.97 to   10.59)","2.53 (0.68 to    9.40)","2.26 (0.59 to    8.69)","1.83 (0.79 to    4.24)","1.81 (0.18 to   18.66)","1.47 (0.36 to    5.91)","1.40 (0.53 to    3.64)","1.35 (0.47 to    3.89)","1.29 (0.49 to    3.37)","1.23 (0.50 to    3.07)","1.21 (0.37 to    3.98)","1.17 (0.29 to    4.72)","1.03 (0.49 to    2.19)","1.03 (0.50 to    2.13)","0.78 (0.05 to   12.31)","Dacomitinib","1.14 (0.30 to  4.35)",".",".",".",".",".",".","."
"12.14 (3.70 to   39.88)","7.26 (2.37 to   22.25)","5.78 (2.41 to   13.86)","6.00 (1.96 to   18.32)","4.49 (2.32 to    8.69)","4.05 (1.21 to   13.55)","3.24 (1.07 to    9.84)","2.56 (0.73 to    9.02)","2.29 (0.62 to    8.48)","1.86 (0.92 to    3.73)","1.83 (0.18 to   18.11)","1.48 (0.42 to    5.30)","1.41 (0.60 to    3.31)","1.37 (0.53 to    3.53)","1.31 (0.53 to    3.24)","1.25 (0.58 to    2.70)","1.22 (0.40 to    3.70)","1.19 (0.32 to    4.38)","1.05 (0.53 to    2.07)","1.04 (0.59 to    1.85)","0.79 (0.05 to   12.02)","1.01 (0.47 to    2.20)","Placebo","1.00 (0.31 to  3.26)",".",".",".",".",".","."
"12.52 (3.49 to   44.89)","7.49 (3.44 to   16.31)","5.96 (2.10 to   16.91)","6.19 (2.54 to   15.04)","4.63 (1.92 to   11.16)","4.17 (1.12 to   15.53)","3.34 (0.96 to   11.71)","2.64 (0.68 to   10.30)","2.36 (0.59 to    9.47)","1.91 (0.87 to    4.20)","1.89 (0.18 to   20.08)","1.53 (0.57 to    4.10)","1.46 (0.52 to    4.08)","1.41 (0.63 to    3.16)","1.35 (0.49 to    3.74)","1.29 (0.50 to    3.29)","1.26 (0.37 to    4.34)","1.22 (0.30 to    5.01)","1.08 (0.47 to    2.46)","1.08 (0.48 to    2.43)","0.82 (0.05 to   13.18)","1.04 (0.39 to    2.79)","1.03 (0.46 to    2.31)","Osimertinib","1.85 (0.20 to 17.34)",".","1.59 (0.54 to  4.67)",".",".","."
"23.17 (1.76 to  304.60)","13.86 (1.30 to  148.09)","11.03 (0.93 to  130.19)","11.45 (1.03 to  127.11)","8.57 (0.77 to   94.86)","7.72 (0.58 to  103.42)","6.19 (0.48 to   80.40)","4.89 (0.36 to   67.09)","4.38 (0.31 to   60.89)","3.54 (0.33 to   37.95)","3.49 (0.13 to   90.54)","2.83 (0.25 to   32.65)","2.70 (0.23 to   31.67)","2.62 (0.24 to   28.19)","2.49 (0.21 to   29.16)","2.38 (0.21 to   26.95)","2.33 (0.18 to   30.04)","2.26 (0.16 to   31.87)","2.00 (0.18 to   21.68)","1.99 (0.18 to   21.55)","1.51 (0.04 to   53.64)","1.93 (0.17 to   22.27)","1.91 (0.18 to   20.57)","1.85 (0.20 to   17.34)","Osimertinib + PD-L1 inhibitor",".",".",".",".","."
"34.91 (1.02 to 1194.62)","20.88 (0.62 to  708.39)","16.62 (0.55 to  501.94)","17.25 (0.51 to  582.76)","12.92 (0.45 to  370.01)","11.63 (0.34 to  394.80)","9.32 (0.29 to  300.09)","7.37 (0.21 to  254.53)","6.59 (0.18 to  235.19)","5.34 (0.18 to  157.27)","5.26 (0.10 to  289.88)","4.27 (0.12 to  152.43)","4.06 (0.14 to  121.47)","3.94 (0.12 to  126.22)","3.76 (0.12 to  118.13)","3.59 (0.12 to  108.38)","3.51 (0.11 to  113.26)","3.41 (0.10 to  120.70)","3.01 (0.10 to   89.79)","3.00 (0.11 to   84.56)","2.27 (0.03 to  162.47)","2.91 (0.10 to   88.69)","2.88 (0.10 to   85.10)","2.79 (0.09 to   86.72)","1.51 (0.02 to   91.03)","Rociletinib",".",".",".","."
"19.88 (3.74 to  105.72)","11.89 (3.15 to   44.95)","9.46 (2.11 to   42.40)","9.82 (2.43 to   39.71)","7.36 (1.83 to   29.56)","6.62 (1.21 to   36.26)","5.31 (1.02 to   27.73)","4.20 (0.74 to   23.81)","3.75 (0.65 to   21.77)","3.04 (0.80 to   11.54)","3.00 (0.22 to   40.29)","2.43 (0.56 to   10.47)","2.31 (0.52 to   10.28)","2.25 (0.59 to    8.61)","2.14 (0.48 to    9.44)","2.05 (0.49 to    8.53)","2.00 (0.39 to   10.32)","1.94 (0.33 to   11.46)","1.71 (0.44 to    6.66)","1.71 (0.44 to    6.60)","1.29 (0.07 to   25.61)","1.66 (0.39 to    7.14)","1.64 (0.43 to    6.28)","1.59 (0.54 to    4.67)","0.86 (0.07 to   10.28)","0.57 (0.02 to   20.89)","Gefitinib/Erlotinib",".",".","."
"23.53 (2.92 to  189.87)","14.07 (1.77 to  111.93)","11.20 (1.73 to   72.62)","11.62 (1.47 to   91.82)","8.71 (1.48 to   51.15)","7.84 (0.99 to   62.39)","6.28 (0.87 to   45.64)","4.97 (0.61 to   40.71)","4.44 (0.51 to   38.45)","3.60 (0.58 to   22.28)","3.55 (0.21 to   59.49)","2.88 (0.33 to   24.94)","2.74 (0.43 to   17.42)","2.66 (0.37 to   19.12)","2.53 (0.36 to   17.65)","2.42 (0.37 to   15.67)","2.37 (0.32 to   17.26)","2.30 (0.27 to   19.63)","2.03 (0.32 to   12.86)","2.02 (0.35 to   11.52)","1.53 (0.06 to   36.81)","1.96 (0.30 to   12.92)","1.94 (0.31 to   12.10)","1.88 (0.27 to   12.84)","1.02 (0.05 to   19.39)","0.67 (0.02 to   29.09)","1.18 (0.13 to   10.72)","Erlotinib + HER3 inhibitor",".","."
"44.11 (7.56 to  257.30)","26.38 (4.60 to  151.29)","20.99 (4.69 to   93.93)","21.79 (3.83 to  123.93)","16.32 (4.13 to   64.43)","14.70 (2.56 to   84.33)","11.78 (2.29 to   60.57)","9.31 (1.57 to   55.32)","8.33 (1.32 to   52.75)","6.74 (1.60 to   28.49)","6.65 (0.50 to   88.51)","5.39 (0.85 to   34.23)","5.14 (1.18 to   22.42)","4.98 (0.98 to   25.33)","4.75 (0.97 to   23.22)","4.54 (1.02 to   20.26)","4.43 (0.86 to   22.92)","4.31 (0.69 to   26.87)","3.80 (0.87 to   16.54)","3.79 (1.00 to   14.38)","2.87 (0.15 to   56.33)","3.68 (0.81 to   16.78)","3.63 (0.85 to   15.51)","3.52 (0.74 to   16.82)","1.90 (0.12 to   29.17)","1.26 (0.03 to   46.02)","2.22 (0.33 to   14.82)","1.87 (0.21 to   16.78)","Erlotinib + Autophagy inhibitor","."
"54.18 (7.16 to  410.10)","32.40 (4.34 to  241.66)","25.79 (4.27 to  155.64)","26.77 (3.61 to  198.18)","20.05 (3.68 to  109.17)","18.05 (2.42 to  134.70)","14.47 (2.13 to   98.22)","11.44 (1.49 to   87.96)","10.23 (1.26 to   83.22)","8.28 (1.44 to   47.67)","8.17 (0.51 to  130.69)","6.62 (0.81 to   53.99)","6.31 (1.07 to   37.30)","6.12 (0.91 to   41.14)","5.83 (0.90 to   37.94)","5.57 (0.93 to   33.58)","5.45 (0.80 to   37.15)","5.29 (0.66 to   42.47)","4.67 (0.79 to   27.53)","4.66 (0.88 to   24.55)","3.53 (0.15 to   81.30)","4.52 (0.74 to   27.71)","4.46 (0.77 to   25.90)","4.33 (0.68 to   27.58)","2.34 (0.13 to   42.69)","1.55 (0.04 to   64.67)","2.73 (0.32 to   23.23)","2.30 (0.21 to   25.55)","1.23 (0.15 to   10.35)","Erlotinib + MMP inhibitor"
