"","x"
"Afatinib",0.1987
"Afatinib_Cetuximab",0.481
"Afatinib_HMGCRi",0.0503
"Almonertinib",0.4928
"antiangio",0.8176
"chemo",0.3349
"Dacomitinib",0.426
"DHFRi",0.4903
"Erlotinib",0.6092
"Erlotinib_antiangio",0.5907
"Erlotinib_chemo",0.5148
"Erlotinib_COX2i",0.12
"Erlotinib_HER3i",0.6098
"Erlotinib_IGF_1Ri",0.8435
"Erlotinib_METi",0.2937
"Furmonertinib",0.4153
"Gefitinib",0.3631
"Gefitinib_chemo",0.5268
"Gefitinib_Erlotinib",0.4407
"Gefitinib_PARPi",0.8686
"Icotinib",0.9091
"Lazertinib",0.5018
"Lazertinib_Amivantamab",0.4687
"Osimertinib",0.3666
"Osimertinib_antiangio",0.7457
"Osimertinib_chemo",0.5484
"Placebo",0.4367
"Rociletinib",0.511
"Zorifertinib",0.5242
