"","x"
"Afatinib",0.3309
"Afatinib_Cetuximab",0.3849
"Afatinib_HMGCRi",0.0756
"Almonertinib",0.5632
"antiangio",0.5631
"chemo",0.3691
"Dacomitinib",0.3479
"DHFRi",0.397
"Erlotinib",0.4522
"Erlotinib_antiangio",0.6513
"Erlotinib_chemo",0.5646
"Erlotinib_COX2i",0.086
"Erlotinib_IGF_1Ri",0.475
"Erlotinib_METi",0.3852
"Erlotinib_MMPi",0.8857
"Furmonertinib",0.4484
"Gefitinib",0.3623
"Gefitinib_chemo",0.6099
"Gefitinib_Erlotinib",0.3636
"Gefitinib_PARPi",0.915
"Icotinib",0.9417
"Lazertinib",0.465
"Lazertinib_Amivantamab",0.5846
"Osimertinib",0.5218
"Osimertinib_antiangio",0.7855
"Osimertinib_chemo",0.6726
"Placebo",0.2397
"Zorifertinib",0.558
