"","x"
"Afatinib",0.3677
"Afatinib_Cetuximab",0.3894
"Afatinib_HMGCRi",0.4875
"Almonertinib",0.4772
"antiangio",0.5953
"Befotertinib",0.7928
"chemo",0.4596
"chemo_antiangio",0.1319
"Dacomitinib",0.4317
"DHFRi",0.4499
"Erlotinib",0.5251
"Erlotinib_antiangio",0.5612
"Erlotinib_chemo",0.5882
"Erlotinib_COX2i",0.0994
"Erlotinib_HER3i",0.5371
"Erlotinib_HGFi",0.0594
"Erlotinib_IGF_1Ri",0.4742
"Erlotinib_METi",0.4558
"Erlotinib_MMPi",0.5275
"Furmonertinib",0.4847
"Gefitinib",0.4466
"Gefitinib_chemo",0.5149
"Gefitinib_Erlotinib",0.4389
"Gefitinib_PARPi",0.9431
"Icotinib",0.7856
"Lazertinib",0.6171
"Lazertinib_Amivantamab",0.6615
"Osimertinib",0.605
"Osimertinib_antiangio",0.7264
"Osimertinib_chemo",0.6897
"Osimertinib_PD_L1i",0.115
"Placebo",0.3109
"Rociletinib",0.7818
"Zorifertinib",0.468
