"","x"
"Afatinib",0.4516
"Afatinib_Cetuximab",0.4622
"Afatinib_HMGCRi",0.5157
"Almonertinib",0.4518
"antiangio",0.7436
"Befotertinib",0.8307
"chemo",0.5481
"chemo_antiangio",0.0879
"Dacomitinib",0.3142
"DHFRi",0.4146
"Erlotinib",0.469
"Erlotinib_antiangio",0.4238
"Erlotinib_Autophagyi",0.5705
"Erlotinib_chemo",0.5168
"Erlotinib_COX2i",0.0534
"Erlotinib_IGF_1Ri",0.5261
"Erlotinib_METi",0.4637
"Erlotinib_MMPi",0.6561
"Furmonertinib",0.5054
"Gefitinib",0.2791
"Gefitinib_chemo",0.499
"Gefitinib_Erlotinib",0.5441
"Gefitinib_PARPi",0.8304
"Icotinib",0.8953
"Lazertinib",0.5285
"Lazertinib_Amivantamab",0.5629
"Osimertinib",0.4905
"Osimertinib_antiangio",0.5765
"Osimertinib_chemo",0.8313
"Osimertinib_PD_L1i",0.1181
"Placebo",0.3388
"Zorifertinib",0.5002
