"","x"
"Afatinib",0.5506
"Afatinib_Cetuximab",0.4831
"Almonertinib",0.8986
"antiangio",0.6683
"chemo",0.4101
"Dacomitinib",0.4306
"DHFRi",0.5707
"Erlotinib",0.4257
"Erlotinib_antiangio",0.5126
"Erlotinib_chemo",0.4226
"Erlotinib_ERi",0.9288
"Erlotinib_HER3i",0.355
"Erlotinib_HGFi",0.8763
"Erlotinib_IGF_1Ri",0.7059
"Erlotinib_METi",0.5207
"Erlotinib_MMPi",0.0364
"Gefitinib",0.1519
"Gefitinib_antiangio",0.6316
"Gefitinib_chemo",0.4621
"Gefitinib_Erlotinib",0.4042
"Lazertinib",0.4254
"Lazertinib_Amivantamab",0.5004
"Osimertinib",0.3338
"Osimertinib_antiangio",0.557
"Osimertinib_chemo",0.7251
"Placebo",0.4142
"Rociletinib",0.0984
