"","x"
"Afatinib",0.4629
"Afatinib_Cetuximab",0.474
"Afatinib_HMGCRi",0.2974
"Almonertinib",0.3918
"antiangio",0.7917
"Befotertinib",0.8711
"chemo",0.5565
"chemo_antiangio",0.0867
"Dacomitinib",0.2954
"DHFRi",0.4085
"Erlotinib",0.4627
"Erlotinib_antiangio",0.4694
"Erlotinib_chemo",0.5807
"Erlotinib_COX2i",0.0539
"Erlotinib_HER3i",0.6547
"Erlotinib_HGFi",0.1345
"Erlotinib_IGF_1Ri",0.4354
"Erlotinib_METi",0.428
"Furmonertinib",0.3853
"Gefitinib",0.3987
"Gefitinib_chemo",0.3732
"Gefitinib_Erlotinib",0.3906
"Gefitinib_PARPi",0.8922
"Icotinib",0.8601
"Lazertinib",0.6464
"Lazertinib_Amivantamab",0.7026
"Osimertinib",0.6437
"Osimertinib_antiangio",0.8419
"Osimertinib_chemo",0.7292
"Osimertinib_PD_L1i",0.0732
"Placebo",0.337
"Rociletinib",0.8048
"Zorifertinib",0.5659
