"","x"
"Afatinib",0.4253
"Afatinib_HMGCRi",0.1159
"Almonertinib",0.4255
"antiangio",0.903
"chemo",0.4992
"Dacomitinib",0.4111
"Erlotinib",0.4805
"Erlotinib_antiangio",0.446
"Erlotinib_COX2i",0.1195
"Erlotinib_METi",0.4291
"Furmonertinib",0.3622
"Gefitinib",0.4132
"Gefitinib_chemo",0.6243
"Gefitinib_PARPi",0.8961
"Osimertinib",0.679
"Osimertinib_antiangio",0.8261
"Placebo",0.4442
