"","x"
"Afatinib",0.465
"Afatinib_Cetuximab",0.4983
"Almonertinib",0.5405
"antiangio",0.7094
"chemo",0.5159
"Dacomitinib",0.4081
"DHFRi",0.5719
"Erlotinib",0.4108
"Erlotinib_antiangio",0.6273
"Erlotinib_Autophagyi",0.4091
"Erlotinib_chemo",0.4816
"Erlotinib_ERi",0.5151
"Erlotinib_IGF_1Ri",0.6816
"Erlotinib_METi",0.4014
"Erlotinib_MMPi",0.1931
"Gefitinib",0.2659
"Gefitinib_antiangio",0.6478
"Gefitinib_chemo",0.5087
"Gefitinib_ERi",0.5993
"Gefitinib_Erlotinib",0.5109
"Lazertinib",0.4858
"Lazertinib_Amivantamab",0.5866
"Osimertinib",0.4234
"Osimertinib_antiangio",0.6561
"Osimertinib_chemo",0.5327
"Osimertinib_PD_L1i",0.4585
"Placebo",0.3951
