"","x"
"Afatinib",0.1895
"Afatinib_Cetuximab",0.5146
"Afatinib_HMGCRi",0.2139
"Almonertinib",0.3737
"antiangio",0.8051
"Befotertinib",0.8991
"chemo",0.3289
"chemo_antiangio",0.076
"Dacomitinib",0.3919
"DHFRi",0.5112
"Erlotinib",0.5838
"Erlotinib_antiangio",0.6199
"Erlotinib_chemo",0.5623
"Erlotinib_COX2i",0.1228
"Erlotinib_HER3i",0.5825
"Erlotinib_HGFi",0.0944
"Erlotinib_IGF_1Ri",0.8425
"Erlotinib_METi",0.5613
"Furmonertinib",0.3779
"Gefitinib",0.3533
"Gefitinib_chemo",0.3924
"Gefitinib_Erlotinib",0.5466
"Gefitinib_PARPi",0.8832
"Icotinib",0.889
"Lazertinib",0.5039
"Lazertinib_Amivantamab",0.6103
"Osimertinib",0.4892
"Osimertinib_antiangio",0.5539
"Osimertinib_chemo",0.8013
"Osimertinib_PD_L1i",0.1559
"Placebo",0.5095
"Rociletinib",0.5986
"Zorifertinib",0.5614
