"","x"
"Afatinib",0.4099
"Afatinib_Cetuximab",0.4203
"Afatinib_HMGCRi",0.0459
"Almonertinib",0.5152
"antiangio",0.6533
"chemo",0.6296
"Dacomitinib",0.2899
"DHFRi",0.368
"Erlotinib",0.4005
"Erlotinib_antiangio",0.4161
"Erlotinib_chemo",0.6372
"Erlotinib_COX2i",0.0481
"Erlotinib_HER3i",0.5566
"Erlotinib_IGF_1Ri",0.537
"Erlotinib_METi",0.3493
"Erlotinib_MMPi",0.9369
"Furmonertinib",0.4752
"Gefitinib",0.2823
"Gefitinib_chemo",0.5265
"Gefitinib_Erlotinib",0.4243
"Gefitinib_PARPi",0.8286
"Icotinib",0.8658
"Lazertinib",0.4748
"Lazertinib_Amivantamab",0.5206
"Osimertinib",0.6811
"Osimertinib_antiangio",0.815
"Osimertinib_chemo",0.5412
"Placebo",0.2931
"Rociletinib",0.5414
"Zorifertinib",0.5163
