"","x"
"Afatinib",0.2226
"Afatinib_Cetuximab",0.4978
"Almonertinib",0.951
"antiangio",0.7763
"chemo",0.526
"Dacomitinib",0.4046
"DHFRi",0.4889
"Erlotinib",0.4206
"Erlotinib_antiangio",0.6342
"Erlotinib_chemo",0.3723
"Erlotinib_ERi",0.9153
"Erlotinib_HER3i",0.3236
"Erlotinib_HGFi",0.8994
"Erlotinib_IGF_1Ri",0.7631
"Erlotinib_METi",0.393
"Gefitinib",0.424
"Gefitinib_antiangio",0.6887
"Gefitinib_chemo",0.477
"Gefitinib_Erlotinib",0.3508
"Lazertinib",0.411
"Lazertinib_Amivantamab",0.4012
"Osimertinib",0.2549
"Osimertinib_antiangio",0.3737
"Osimertinib_chemo",0.6373
"Placebo",0.3458
"Rociletinib",0.047
