"","x"
"Afatinib",0.5282
"Afatinib_Cetuximab",0.6801
"Almonertinib",0.9164
"antiangio",0.3267
"chemo",0.4606
"Dacomitinib",0.4177
"DHFRi",0.5835
"Erlotinib",0.3483
"Erlotinib_antiangio",0.4453
"Erlotinib_chemo",0.3107
"Erlotinib_ERi",0.8735
"Erlotinib_HER3i",0.4094
"Erlotinib_HGFi",0.868
"Erlotinib_IGF_1Ri",0.7218
"Erlotinib_METi",0.6025
"Gefitinib",0.3216
"Gefitinib_antiangio",0.6637
"Gefitinib_chemo",0.4957
"Gefitinib_Erlotinib",0.2178
"Lazertinib",0.4338
"Lazertinib_Amivantamab",0.6838
"Osimertinib",0.3243
"Osimertinib_antiangio",0.3723
"Osimertinib_chemo",0.6321
"Placebo",0.3466
"Rociletinib",0.0156
