"","x"
"Afatinib",0.3255
"Almonertinib",0.8808
"antiangio",0.5618
"chemo",0.4274
"Dacomitinib",0.661
"Erlotinib",0.295
"Erlotinib_antiangio",0.5369
"Erlotinib_ERi",0.918
"Erlotinib_METi",0.3797
"Gefitinib",0.205
"Gefitinib_antiangio",0.5677
"Gefitinib_chemo",0.3375
"Osimertinib",0.5564
"Osimertinib_antiangio",0.572
"Placebo",0.2753
