"","x"
"Afatinib",0.2243
"Afatinib_Cetuximab",0.4729
"Afatinib_HMGCRi",0.062
"Almonertinib",0.466
"antiangio",0.8197
"chemo",0.3844
"Dacomitinib",0.3975
"DHFRi",0.4693
"Erlotinib",0.5569
"Erlotinib_antiangio",0.578
"Erlotinib_chemo",0.5232
"Erlotinib_COX2i",0.0846
"Erlotinib_HER3i",0.6921
"Erlotinib_IGF_1Ri",0.8103
"Erlotinib_METi",0.2931
"Furmonertinib",0.4013
"Gefitinib",0.3654
"Gefitinib_chemo",0.519
"Gefitinib_Erlotinib",0.4235
"Gefitinib_PARPi",0.9124
"Icotinib",0.9132
"Lazertinib",0.5055
"Lazertinib_Amivantamab",0.4782
"Osimertinib",0.3803
"Osimertinib_antiangio",0.7789
"Osimertinib_chemo",0.5786
"Placebo",0.4081
"Rociletinib",0.5159
"Zorifertinib",0.4852
