"","x"
"Afatinib",0.222
"Afatinib_Cetuximab",0.4569
"Almonertinib",0.6213
"antiangio",0.7947
"chemo",0.5824
"Dacomitinib",0.4675
"DHFRi",0.507
"Erlotinib",0.4332
"Erlotinib_antiangio",0.7124
"Erlotinib_chemo",0.4551
"Erlotinib_ERi",0.6069
"Erlotinib_HER3i",0.3438
"Erlotinib_HGFi",0.4996
"Erlotinib_IGF_1Ri",0.8645
"Erlotinib_METi",0.3573
"Gefitinib",0.4456
"Gefitinib_antiangio",0.7401
"Gefitinib_chemo",0.5794
"Gefitinib_ERi",0.6843
"Gefitinib_Erlotinib",0.3417
"Lazertinib",0.4644
"Lazertinib_Amivantamab",0.5583
"Osimertinib",0.2861
"Osimertinib_antiangio",0.5622
"Osimertinib_chemo",0.6741
"Osimertinib_PD_L1i",0.3405
"Placebo",0.3353
"Rociletinib",0.0632
