"","x"
"Afatinib",0.2125
"Afatinib_Cetuximab",0.4681
"Almonertinib",0.6144
"antiangio",0.7993
"chemo",0.6083
"Dacomitinib",0.4877
"DHFRi",0.489
"Erlotinib",0.4492
"Erlotinib_antiangio",0.7139
"Erlotinib_chemo",0.4658
"Erlotinib_ERi",0.5257
"Erlotinib_HER3i",0.4126
"Erlotinib_HGFi",0.46
"Erlotinib_IGF_1Ri",0.8693
"Erlotinib_METi",0.3189
"Gefitinib",0.4947
"Gefitinib_antiangio",0.7989
"Gefitinib_chemo",0.5428
"Gefitinib_ERi",0.5482
"Gefitinib_Erlotinib",0.3766
"Lazertinib",0.4815
"Lazertinib_Amivantamab",0.5169
"Osimertinib",0.2973
"Osimertinib_antiangio",0.4997
"Osimertinib_chemo",0.7037
"Osimertinib_PD_L1i",0.3905
"Placebo",0.3494
"Rociletinib",0.1053
