"","x"
"Afatinib",0.4423
"Afatinib_Cetuximab",0.4367
"Almonertinib",0.5408
"antiangio",0.7083
"chemo",0.6727
"Dacomitinib",0.3731
"DHFRi",0.5328
"Erlotinib",0.5562
"Erlotinib_antiangio",0.85
"Erlotinib_chemo",0.5644
"Erlotinib_ERi",0.5398
"Erlotinib_HER3i",0.4379
"Erlotinib_HGFi",0.5248
"Erlotinib_IGF_1Ri",0.5522
"Erlotinib_METi",0.322
"Erlotinib_MMPi",0.3818
"Gefitinib",0.3529
"Gefitinib_antiangio",0.8388
"Gefitinib_chemo",0.4282
"Gefitinib_ERi",0.4954
"Gefitinib_Erlotinib",0.3214
"Lazertinib",0.4465
"Lazertinib_Amivantamab",0.7251
"Osimertinib",0.3938
"Osimertinib_antiangio",0.7217
"Osimertinib_chemo",0.4892
"Osimertinib_PD_L1i",0.4065
"Placebo",0.4164
"Rociletinib",0.0284
