"","x"
"Afatinib",0.4531
"Afatinib_Cetuximab",0.5663
"Almonertinib",0.9696
"antiangio",0.5559
"chemo",0.5378
"Dacomitinib",0.7717
"DHFRi",0.4965
"Erlotinib",0.3728
"Erlotinib_antiangio",0.646
"Erlotinib_Autophagyi",0.0378
"Erlotinib_chemo",0.4652
"Erlotinib_ERi",0.9454
"Erlotinib_IGF_1Ri",0.5564
"Erlotinib_METi",0.4306
"Erlotinib_MMPi",0.0745
"Gefitinib",0.3721
"Gefitinib_antiangio",0.8157
"Gefitinib_chemo",0.4657
"Gefitinib_Erlotinib",0.3301
"Lazertinib",0.4154
"Lazertinib_Amivantamab",0.5701
"Osimertinib",0.3861
"Osimertinib_antiangio",0.4218
"Osimertinib_chemo",0.5404
"Placebo",0.3032
