"Erlotinib","0.93 (0.54 to  1.58)","1.01 (0.10 to 10.10)",".","0.70 (0.42 to  1.17)",".",".","0.37 (0.19 to  0.71)","."
"0.93 (0.54 to  1.58)","Erlotinib + Tivantinib",".",".",".",".",".",".","."
"1.01 (0.10 to 10.10)","1.10 (0.10 to 11.61)","Erlotinib + Emibetuzumab",".",".",".",".",".","."
"0.69 (0.22 to  2.15)","0.75 (0.21 to  2.62)","0.68 (0.05 to  8.87)","Osimertinib","1.01 (0.37 to  2.79)",".",".",".","."
"0.70 (0.42 to  1.17)","0.76 (0.36 to  1.59)","0.69 (0.07 to  7.30)","1.01 (0.37 to  2.79)","Placebo","0.87 (0.31 to  2.47)","0.67 (0.21 to  2.19)",".","0.31 (0.08 to  1.23)"
"0.61 (0.19 to  1.96)","0.66 (0.19 to  2.38)","0.61 (0.05 to  7.95)","0.89 (0.21 to  3.78)","0.87 (0.31 to  2.47)","Dacomitinib",".",".","."
"0.47 (0.13 to  1.71)","0.51 (0.13 to  2.06)","0.47 (0.03 to  6.50)","0.68 (0.14 to  3.23)","0.67 (0.21 to  2.19)","0.77 (0.16 to  3.71)","Gefitinib",".","."
"0.37 (0.19 to  0.71)","0.40 (0.17 to  0.92)","0.36 (0.03 to  3.94)","0.53 (0.14 to  1.95)","0.52 (0.23 to  1.19)","0.60 (0.16 to  2.26)","0.77 (0.18 to  3.28)","Erlotinib + Onartuzumab","."
"0.22 (0.05 to  0.95)","0.24 (0.05 to  1.12)","0.22 (0.01 to  3.30)","0.32 (0.06 to  1.74)","0.31 (0.08 to  1.23)","0.36 (0.06 to  2.00)","0.47 (0.08 to  2.83)","0.60 (0.12 to  2.97)","Afatinib"
