"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","chemo","chemo_antiangio","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_HER3i","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Furmonertinib","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"Erlotinib","0.29414651805732 (-1.24296287367626, 1.53882284973353)","-0.215959623916727 (-2.59096017712995, 1.79771193399558)","0.691909865819707 (-1.77637353765047, 2.83832943994075)","-0.180065103690905 (-2.18539375151514, 2.15828104510108)","2.10987952653011 (0.917299902588254, 3.99241145947857)","0.308025561960258 (-0.600262295182104, 1.56505977470769)","-32.2189369818249 (-92.0293100372909, -3.35456098871145)","-0.768577810156778 (-2.31142592099612, 0.45134211844672)","0.0505272787918759 (-2.46913609371295, 2.59907358274612)","Erlotinib","-0.328023895627013 (-1.06326456404684, 0.535879775338369)","0.00939739597647064 (-2.56978168202983, 2.58510649468521)","0.683633292196363 (-0.896834600333606, 2.47139401596408)","0.0935985103493285 (-2.01333629179822, 2.50920194547152)","-0.31284134295578 (-1.46483375649168, 1.30435825963203)","-0.442084178306349 (-1.81453783765773, 0.871148723552525)","-0.880072611706396 (-4.47647227967375, 1.95685273233839)","-0.0780282459420285 (-2.15609848355293, 2.3171889552202)","-0.205859589500342 (-1.85157665302243, 1.61914329075397)","0.192015623921068 (-2.42214007313308, 3.30395173652924)","-0.794801086837606 (-2.90794164143965, 1.2467721849939)","0.491106610393004 (-2.4165873662902, 3.33555537198405)","0.312621267878305 (-2.70742114892762, 3.22002149338981)","0.111703385025524 (-1.49479360177005, 1.6253211883741)","1.00151703981739 (-0.950364442018635, 2.86970747606925)","0.498218658925791 (-1.2971929906976, 2.67395395128129)","-35.7164934725157 (-113.29792925306, -2.05796352996801)","-1.30210303439332 (-2.85870046998695, -0.0438536763887187)","2.2315552580255 (0.640619888642246, 3.92038138789386)","-0.662261527796353 (-3.20851606606991, 1.76040056626175)"
"Erlotinib_antiangio","0.622806210910844 (-1.23413432391382, 2.07112813336264)","0.108547884739185 (-2.48778466459057, 2.23248816604834)","1.01251778399959 (-1.65844398626435, 3.26013289499689)","0.139168148595929 (-2.03875563756654, 2.56873759208227)","2.43976151079795 (1.03632899861713, 4.43113940080231)","0.63463584366655 (-0.537627717021345, 2.08342029130014)","-31.9081471920895 (-91.5548186415922, -3.05723054651888)","-0.44562784663344 (-2.28619401988911, 0.926292331003289)","0.373432469537547 (-2.31726819759299, 3.01793893652299)","0.328023895627013 (-0.535879775338369, 1.06326456404684)","Erlotinib_antiangio","0.326587961985797 (-2.39669219501937, 2.99435382800162)","1.01224171977015 (-0.787577881210454, 2.90802978090653)","0.412014134856375 (-1.86711921328874, 2.9259535593676)","0.0115001525495045 (-1.37874094733265, 1.75892720886336)","-0.122945957313572 (-1.75357210217805, 1.35766504328225)","-0.575357715383617 (-4.26494464420571, 2.35744067670512)","0.244721197073804 (-1.99307190380894, 2.72864212162383)","0.11464614514417 (-1.67582812528367, 2.0635131476693)","0.515942585254032 (-2.23997789914265, 3.67893278765277)","-0.475070294482201 (-2.81809509175289, 1.67355337396848)","0.8156583834824 (-2.2341847851237, 3.74851946710702)","0.638970720524524 (-2.55248014486481, 3.62402009760538)","0.430503627651391 (-1.40260924761363, 2.10584377208644)","1.32008611724001 (-0.831534392068024, 3.32386151215033)","0.817823417685796 (-1.16701373417859, 3.07941705864205)","-35.3910442300986 (-112.969218527486, -1.72404410005658)","-0.987674426559917 (-2.80658387474704, 0.468755247248466)","2.55920006013915 (0.718665650980167, 4.38025413038548)","-0.332747939624928 (-3.06032377700159, 2.1556631458506)"
"Erlotinib_Autophagyi","0.288237978678441 (-2.76591385745982, 3.12015932251554)","-0.240910786163235 (-3.74205612456991, 3.01836762546248)","0.663105522810014 (-2.92735733738668, 4.02816767087065)","-0.169664457628955 (-3.43840712393189, 3.30690638075776)","2.14729563583722 (-0.691765509424554, 5.35329255579975)","0.321870259098761 (-2.39787244472264, 3.19492768415876)","-32.2056399184847 (-91.758760294965, -3.23386679639437)","-0.793530403916317 (-3.83669115836968, 2.04941296829088)","0.0616986420585476 (-3.57250837851049, 3.69141441469448)","-0.00939739597647064 (-2.58510649468521, 2.56978168202983)","-0.326587961985797 (-2.99435382800162, 2.39669219501937)","Erlotinib_Autophagyi","0.704188988863986 (-2.35647418502076, 3.81147304614684)","0.114320184816324 (-3.22430754163321, 3.60047566361366)","-0.298456021606738 (-3.09536983491585, 2.75553441569101)","-0.459640129058982 (-3.37142790844345, 2.43080908525319)","-0.924928213085656 (-5.26893715270113, 2.9176575538619)","-0.0626312565343045 (-3.35116036212229, 3.41903654310362)","-0.21435315778262 (-3.24477130756435, 2.96945413125311)","0.188097704579257 (-3.45540518280974, 4.28311315788796)","-0.798214704862651 (-4.15593609111994, 2.46147042461205)","0.496167999885684 (-3.41565230665334, 4.27732458588765)","0.330024298634524 (-3.73883929994623, 4.11263660999632)","0.116482115496444 (-2.9545669664811, 3.07743882187209)","1.00546193041665 (-2.24859712508686, 4.15001142262257)","0.520096884207452 (-2.62913963563506, 3.88121455415708)","-35.6834997877241 (-112.950684280884, -1.90335583598919)","-1.31846003399394 (-4.3782836078665, 1.53549120869413)","2.24337448069492 (-0.828141080704259, 5.31945188408895)","-0.658278358730855 (-4.3095995975775, 2.83296109522633)"
"Erlotinib_chemo","-0.413676975299857 (-2.81895292547505, 1.61766715032082)","-0.926243265200882 (-3.93524487356077, 1.62216726127794)","-0.0152029672077203 (-3.11459904458764, 2.65738924386559)","-0.859982602339309 (-3.48183786584774, 1.88920426526971)","1.44069599509808 (-0.592084710596403, 3.8526556656461)","-0.364375467947365 (-2.20970574839922, 1.53381455355558)","-32.9877087129973 (-92.5766192986229, -3.96242752847022)","-1.47589124430062 (-3.86202199648385, 0.504479945046874)","-0.651086952227363 (-3.76900422060246, 2.34407706464802)","-0.683633292196363 (-2.47139401596408, 0.896834600333606)","-1.01224171977015 (-2.90802978090653, 0.787577881210454)","-0.704188988863986 (-3.81147304614684, 2.35647418502076)","Erlotinib_chemo","-0.589685967462511 (-3.36563363420821, 2.21231784083927)","-0.997432886345955 (-3.05511527729539, 1.23676506513844)","-1.14094398844117 (-3.37407357330118, 0.91147916820277)","-1.60871492509182 (-5.58195895391133, 1.67740322927797)","-0.764565386067337 (-3.43474507650059, 2.02219129614493)","-0.898442052983754 (-3.20305037005209, 1.4578536373917)","-0.512320211929731 (-3.57107308529195, 2.92075756688393)","-1.48838216021109 (-4.2542357561218, 1.04127614581925)","-0.204492416160018 (-3.60619366685182, 3.01629932127931)","-0.387831007232548 (-3.87709785849214, 2.88817744879122)","-0.58459051192538 (-2.99098110700253, 1.5795766322667)","0.308377065558038 (-2.33301763204194, 2.71997718542446)","-0.183570655184703 (-2.69457492231981, 2.46432707483052)","-36.3287357690964 (-113.924689459025, -2.70398474541296)","-2.00756110530749 (-4.38911391652542, 0.0215682070769769)","1.54971057790689 (-0.864308202557174, 3.82719465371452)","-1.34726633031851 (-4.4872955041527, 1.44238068907601)"
"Erlotinib_HER3i","0.18566585118869 (-2.68469172774219, 2.563403917675)","-0.329741215665406 (-3.70894816115824, 2.50350446077994)","0.569745960575212 (-2.86999385753157, 3.56297558078036)","-0.292856325418304 (-3.33730065838598, 2.90014020589905)","2.03211906427159 (-0.565593258508736, 4.87977097849271)","0.218164540719684 (-2.28563957890981, 2.74266697115088)","-32.3470902253045 (-92.3547643082947, -3.44930612990055)","-0.888628107563096 (-3.74174330521826, 1.51459142515877)","-0.0606260174894531 (-3.5556395041133, 3.24570217934595)","-0.0935985103493285 (-2.50920194547152, 2.01333629179822)","-0.412014134856375 (-2.9259535593676, 1.86711921328874)","-0.114320184816324 (-3.60047566361366, 3.22430754163321)","0.589685967462511 (-2.21231784083927, 3.36563363420821)","Erlotinib_HER3i","-0.397118079750346 (-3.00778879507746, 2.26386358258142)","-0.56114244917946 (-3.2940760820466, 1.92654144013858)","-1.03000997470208 (-5.25805678847839, 2.54527972200485)","-0.184214948340564 (-3.27853564197997, 3.03909823069274)","-0.31852332004105 (-3.12440575315399, 2.52465805842474)","0.0860982204627415 (-3.41063883953755, 3.88222054261569)","-0.917679893228389 (-4.09746719299666, 2.05898168321776)","0.381368292006444 (-3.31825984119532, 3.9347476261718)","0.196568283435252 (-3.66252864955038, 3.80123350633842)","-0.00859119897454569 (-2.85715196958028, 2.6153603836826)","0.884487248235725 (-2.18324703552775, 3.7459940570272)","0.38921029630518 (-2.53157817054871, 3.47831108262439)","-35.818582183733 (-113.169816849763, -1.96031620619378)","-1.4440930787407 (-4.27878260652856, 1.04642285629457)","2.13690491194477 (-0.732946359899112, 4.83469164877904)","-0.788190420965512 (-4.23999725747693, 2.42670599130592)"
"Erlotinib_IGF_1Ri","0.618136499312928 (-1.83878766865897, 2.26378430778799)","0.0945896148558611 (-2.94310045772062, 2.33965645021408)","0.991387622285126 (-2.14383853325068, 3.37166645616788)","0.120521596440697 (-2.42284375907642, 2.61076749977778)","2.41350669913449 (0.649201184305146, 4.51982958513334)","0.607164295046467 (-1.05205385780473, 2.25035517654242)","-31.931820219819 (-91.6352666962717, -3.05295350714436)","-0.457896213321075 (-2.84678781596653, 1.15876802953562)","0.349071218876971 (-2.68412354808719, 3.1283033082487)","0.31284134295578 (-1.30435825963203, 1.46483375649168)","-0.0115001525495045 (-1.75892720886336, 1.37874094733265)","0.298456021606738 (-2.75553441569101, 3.09536983491585)","0.997432886345955 (-1.23676506513844, 3.05511527729539)","0.397118079750346 (-2.26386358258142, 3.00778879507746)","Erlotinib_IGF_1Ri","-0.144531369745759 (-2.29342191047469, 1.57461893683869)","-0.610138124108164 (-4.5440094753844, 2.45948755260636)","0.223797231297289 (-2.36331482920202, 2.76641672209576)","0.0831885148804433 (-2.07137509280019, 2.18983082618252)","0.484592430865236 (-2.48558385178504, 3.72012859937014)","-0.479360309967722 (-3.26119204825733, 1.75609794091629)","0.783069488691293 (-2.57726758878803, 3.83032294642238)","0.606426380019613 (-2.87766434996547, 3.67153248550213)","0.418216020987379 (-1.92530766551161, 2.2789510922078)","1.31105708877977 (-1.29760675551706, 3.43534814491649)","0.798168668815154 (-1.55225583089869, 3.15759600095267)","-35.4939007371174 (-113.165203167978, -1.67954300886829)","-1.00075559096245 (-3.36271103718128, 0.680718808471696)","2.55122493055548 (0.192919069333701, 4.49623707917061)","-0.341994991245158 (-3.50530375367035, 2.23937901412912)"
"Erlotinib_METi","0.745494360692297 (-1.32406985522017, 2.54325450405363)","0.238941696032696 (-2.51986684530282, 2.63933680890193)","1.13524626548471 (-1.67159504686507, 3.66533557709526)","0.270915309656347 (-2.1010787321574, 2.99105903100358)","2.57358393031049 (0.841241270205591, 4.95069645156719)","0.763956116078237 (-0.782033517977083, 2.65199160280492)","-31.7368003933418 (-91.4387091896263, -2.98285339903714)","-0.333267007848938 (-2.34532938816177, 1.46158881937746)","0.506182632540256 (-2.36092311348649, 3.36992485333726)","0.442084178306349 (-0.871148723552525, 1.81453783765773)","0.122945957313572 (-1.35766504328225, 1.75357210217805)","0.459640129058982 (-2.43080908525319, 3.37142790844345)","1.14094398844117 (-0.91147916820277, 3.37407357330118)","0.56114244917946 (-1.92654144013858, 3.2940760820466)","0.144531369745759 (-1.57461893683869, 2.29342191047469)","Erlotinib_METi","-0.455360328125502 (-4.27658615763666, 2.70421365323838)","0.371589976491351 (-2.05449816920112, 3.1313943873094)","0.236521289260055 (-1.83290821629045, 2.53655987825761)","0.655809977063877 (-2.27165164532575, 4.06273323447703)","-0.335795216544668 (-2.82323115108436, 2.09819627670316)","0.946177123658997 (-2.22777043753295, 4.11057492824264)","0.774704192433093 (-2.53276957815795, 3.95349672899741)","0.56029401809125 (-1.49528116355053, 2.57194174577368)","1.44102417139905 (-0.888436004409577, 3.76044407455218)","0.952935282665273 (-1.24806927251802, 3.52059621532721)","-35.2102443481998 (-112.746042837158, -1.53583162100354)","-0.859056199358594 (-2.90504405752013, 0.966011035881267)","2.68751414155625 (0.627896333041652, 4.8371876249493)","-0.209717061169888 (-3.06723944099419, 2.56354963267862)"
"Erlotinib_MMPi","1.17111505059143 (-2.0677938731377, 4.93812625566058)","0.677655776806107 (-3.01177504940136, 4.73561443043332)","1.57421934273126 (-2.17506073988146, 5.70452584323069)","0.736169039053221 (-2.71516863495218, 5.01389666129017)","3.0544307114084 (-0.0317422551289023, 7.14552846026603)","1.22891167546351 (-1.74100317611818, 5.04042354094609)","-31.1568367775217 (-91.3997122916117, -2.23549173438647)","0.0997172737538215 (-3.11114222399239, 3.86604568663314)","0.989582605501009 (-2.83641594413941, 5.2636059895083)","0.880072611706396 (-1.95685273233839, 4.47647227967375)","0.575357715383617 (-2.35744067670512, 4.26494464420571)","0.924928213085656 (-2.9176575538619, 5.26893715270113)","1.60871492509182 (-1.67740322927797, 5.58195895391133)","1.03000997470208 (-2.54527972200485, 5.25805678847839)","0.610138124108164 (-2.45948755260636, 4.5440094753844)","0.455360328125502 (-2.70421365323838, 4.27658615763666)","Erlotinib_MMPi","0.842957486239615 (-2.66640728474478, 5.13366380032174)","0.698209777326934 (-2.53999696031191, 4.75681814194275)","1.14064947768379 (-2.76161403278503, 5.86461950092691)","0.109337841374857 (-3.47270714920359, 4.26437611282691)","1.43835510426261 (-2.69680997836493, 5.97052666527697)","1.24705887316638 (-2.98809893227202, 5.7798491458015)","1.01295759654752 (-2.29239586330454, 4.9209367809337)","1.89820963775252 (-1.57036352512806, 5.94773452925973)","1.43268803962299 (-1.95414942382063, 5.62962409135251)","-34.7367171572282 (-111.771965357395, -0.793203128201454)","-0.431129815119151 (-3.71303457693766, 3.39799840672813)","3.15466092889803 (-0.130863094796312, 7.01494226966627)","0.248561111522738 (-3.58844743645281, 4.5722615868369)"
"Furmonertinib","0.377770861389672 (-2.51268545448446, 2.64451158023204)","-0.140743894857649 (-3.55998641277743, 2.61502562722839)","0.76564740586895 (-2.7053480700504, 3.65373445064055)","-0.104620297945245 (-2.10241519711802, 1.91343494259016)","2.18310715250363 (0.109550795625422, 4.67961143470836)","0.386082348089678 (-1.75099634360228, 2.56544768149519)","-32.1722760334409 (-92.0202460333787, -3.17567748816668)","-0.706650894752963 (-3.65621881212019, 1.64805903247574)","0.121019920049903 (-3.40349510201266, 3.34837783832393)","0.0780282459420285 (-2.3171889552202, 2.15609848355293)","-0.244721197073804 (-2.72864212162383, 1.99307190380894)","0.0626312565343045 (-3.41903654310362, 3.35116036212229)","0.764565386067337 (-2.02219129614493, 3.43474507650059)","0.184214948340564 (-3.03909823069274, 3.27853564197997)","-0.223797231297289 (-2.76641672209576, 2.36331482920202)","-0.371589976491351 (-3.1313943873094, 2.05449816920112)","-0.842957486239615 (-5.13366380032174, 2.66640728474478)","Furmonertinib","-0.147021891386414 (-1.56530189665465, 1.30491979053848)","0.244012399051586 (-2.24538527122871, 3.12178708188375)","-0.717806003698876 (-3.8316944531958, 1.98940820867506)","0.567991314097868 (-2.95442157025034, 3.73952438482842)","0.385909140632702 (-3.27718051902234, 3.67307478744981)","0.187227090397287 (-2.5426134619996, 2.55419612289866)","1.08317957003171 (-1.88561877213933, 3.68125612586359)","0.579543832684096 (-2.15737113378265, 3.37738817472247)","-35.6424815276153 (-113.428682932587, -1.88469184725913)","-1.23975121450536 (-4.04801362711121, 1.04568607296446)","2.31642223393653 (-0.606140284333591, 4.91740211409716)","-0.574989201358093 (-4.04352006694026, 2.38860493381026)"
"Gefitinib","0.49846890398967 (-1.85917728259847, 2.42899079769027)","-0.00466464394167762 (-3.04267224800855, 2.47725656566792)","0.907084116282681 (-2.18147688611067, 3.49691473405658)","0.0449040152833841 (-1.34443111047199, 1.41297084919898)","2.32193690005747 (0.744775824939419, 4.34245649298893)","0.524794376143815 (-1.0562297240093, 2.19858387222101)","-31.9914911744823 (-91.9231364324769, -3.09803783019403)","-0.563917843588358 (-3.0581642299663, 1.43627734111156)","0.258083153748293 (-2.937080407587, 3.22066327504311)","0.205859589500342 (-1.61914329075397, 1.85157665302243)","-0.11464614514417 (-2.0635131476693, 1.67582812528367)","0.21435315778262 (-2.96945413125311, 3.24477130756435)","0.898442052983754 (-1.4578536373917, 3.20305037005209)","0.31852332004105 (-2.52465805842474, 3.12440575315399)","-0.0831885148804433 (-2.18983082618252, 2.07137509280019)","-0.236521289260055 (-2.53655987825761, 1.83290821629045)","-0.698209777326934 (-4.75681814194275, 2.53999696031191)","0.147021891386414 (-1.30491979053848, 1.56530189665465)","Gefitinib","0.396699777790681 (-1.68272994711916, 2.85852345125459)","-0.586472952786459 (-3.27786567406096, 1.78102445676327)","0.696926717184854 (-2.45209576041805, 3.63502464063232)","0.528453784294174 (-2.82647595779054, 3.53839646240904)","0.308173822397931 (-1.93146427399516, 2.32494054211597)","1.21727320466041 (-1.31835731475987, 3.47322231820997)","0.719682980145311 (-1.62191405982901, 3.12916988388659)","-35.4632852653616 (-113.224412704924, -1.80527254143229)","-1.11809916814795 (-3.42319560712017, 0.828189073464565)","2.45510139018587 (-0.057297533700143, 4.70162521166499)","-0.437822778992575 (-3.54527121654874, 2.22192822698888)"
"Gefitinib_chemo","0.101822513000741 (-3.41671040246213, 2.9015943502436)","-0.419539067750489 (-4.40464326076207, 2.79133374302041)","0.479107600773137 (-3.51546582783287, 3.76334944389935)","-0.348703075848458 (-3.19196579293799, 2.06251864025912)","1.93928216978493 (-0.965281443915759, 4.79112879013922)","0.125695530040978 (-2.79154646923794, 2.76840331897841)","-32.2816731533358 (-92.1740993774557, -3.43731008280053)","-0.979887847284022 (-4.54027408556074, 1.87940714712577)","-0.154591550779633 (-4.20489584831953, 3.46049763678951)","-0.192015623921068 (-3.30395173652924, 2.42214007313308)","-0.515942585254032 (-3.67893278765277, 2.23997789914265)","-0.188097704579257 (-4.28311315788796, 3.45540518280974)","0.512320211929731 (-2.92075756688393, 3.57107308529195)","-0.0860982204627415 (-3.88222054261569, 3.41063883953755)","-0.484592430865236 (-3.72012859937014, 2.48558385178504)","-0.655809977063877 (-4.06273323447703, 2.27165164532575)","-1.14064947768379 (-5.86461950092691, 2.76161403278503)","-0.244012399051586 (-3.12178708188375, 2.24538527122871)","-0.396699777790681 (-2.85852345125459, 1.68272994711916)","Gefitinib_chemo","-0.992627907163718 (-4.65945656494471, 2.14279586577168)","0.269797158980255 (-3.71265613596375, 3.81629657899795)","0.0927427711950497 (-4.0852387207713, 3.76937577673099)","-0.0983641304549991 (-3.45951174644919, 2.79037476114006)","0.801495452667018 (-2.73056783037075, 3.8741889366907)","0.307618504700836 (-3.05639929339643, 3.46222115937878)","-35.955349916011 (-113.429985809136, -2.14875623201787)","-1.52356332369892 (-4.94669211768728, 1.31358859542845)","2.05486958273432 (-1.5231658790096, 5.07229122840806)","-0.858602593317213 (-4.8414798301354, 2.48711068625826)"
"Gefitinib_Erlotinib","1.08465893512522 (-1.34251004507828, 3.29911617132152)","0.56953130995776 (-2.45403867307009, 3.32395899386797)","1.47625458673153 (-1.62853266683855, 4.32598446944385)","0.607833784462987 (-2.02070868300869, 3.69767790105767)","2.91318610861657 (0.720021088147398, 5.83909687329846)","1.1021968820768 (-0.837589951601411, 3.48698263278338)","-31.3916297176115 (-91.0972114125542, -2.57567528033908)","0.00626981117979164 (-2.47364917918006, 2.33409601076279)","0.855249662393091 (-2.40177648013264, 4.14315574325457)","0.794801086837606 (-1.2467721849939, 2.90794164143965)","0.475070294482201 (-1.67355337396848, 2.81809509175289)","0.798214704862651 (-2.46147042461205, 4.15593609111994)","1.48838216021109 (-1.04127614581925, 4.2542357561218)","0.917679893228389 (-2.05898168321776, 4.09746719299666)","0.479360309967722 (-1.75609794091629, 3.26119204825733)","0.335795216544668 (-2.09819627670316, 2.82323115108436)","-0.109337841374857 (-4.26437611282691, 3.47270714920359)","0.717806003698876 (-1.98940820867506, 3.8316944531958)","0.586472952786459 (-1.78102445676327, 3.27786567406096)","0.992627907163718 (-2.14279586577168, 4.65945656494471)","Gefitinib_Erlotinib","1.29862968129074 (-1.67209448394742, 4.2080142855013)","1.10170740037618 (-1.88819066889793, 4.0395584488425)","0.901124540421476 (-0.514018567826165, 2.32132593772527)","1.78534460983281 (-0.00274855187642245, 3.62797468319446)","1.25520006460509 (-0.27785266668991, 3.56191160620782)","-34.9917398207456 (-112.222024100144, -1.18413928166831)","-0.512583007245811 (-2.40711260979722, 1.15810663001878)","3.02458771936881 (0.419151580270841, 5.7487319378898)","0.127826463431291 (-1.24525051219417, 1.50927088974509)"
"Lazertinib","-0.213341979667749 (-3.2697178101457, 2.8058223458599)","-0.728502628970723 (-4.249007716699, 2.72123367100045)","0.172549637265407 (-3.38350476605201, 3.70604396687605)","-0.661761381446302 (-3.80751753147572, 2.7930581052293)","1.65645815086146 (-1.37689287111781, 5.0825227642443)","-0.155224664097989 (-3.01544942147545, 2.86980950686037)","-32.7474392601147 (-92.3617164353524, -3.62466346303663)","-1.28845628529821 (-4.44996177624454, 1.79825805877079)","-0.444408811360716 (-4.20669856797865, 3.39390273141246)","-0.491106610393004 (-3.33555537198405, 2.4165873662902)","-0.8156583834824 (-3.74851946710702, 2.2341847851237)","-0.496167999885684 (-4.27732458588765, 3.41565230665334)","0.204492416160018 (-3.01629932127931, 3.60619366685182)","-0.381368292006444 (-3.9347476261718, 3.31825984119532)","-0.783069488691293 (-3.83032294642238, 2.57726758878803)","-0.946177123658997 (-4.11057492824264, 2.22777043753295)","-1.43835510426261 (-5.97052666527697, 2.69680997836493)","-0.567991314097868 (-3.73952438482842, 2.95442157025034)","-0.696926717184854 (-3.63502464063232, 2.45209576041805)","-0.269797158980255 (-3.81629657899795, 3.71265613596375)","-1.29862968129074 (-4.2080142855013, 1.67209448394742)","Lazertinib","-0.185213565917403 (-2.84903796406424, 2.55464120815244)","-0.39487041606533 (-2.95223073757589, 2.22123108783588)","0.490101651855378 (-2.29393987141952, 3.33955055787516)","0.0187363589974283 (-2.71521350339943, 3.114644721679)","-36.2009570212639 (-113.365305753546, -2.38873498158675)","-1.82149645882754 (-4.59186841818724, 0.897023435104337)","1.75467744600029 (-1.52948133106497, 5.10681106708492)","-1.16705872279686 (-4.37879373193458, 2.08617748549787)"
"Lazertinib_Amivantamab","-0.0349404451024161 (-3.16498488134611, 3.08133011291258)","-0.549603617505085 (-4.15937769468345, 2.97618888736071)","0.351463045060705 (-3.28906483966196, 3.93778095751834)","-0.493764243424344 (-3.74455351608946, 3.156630480965)","1.83110518019073 (-1.20280644174692, 5.42608868696959)","0.0201961206868465 (-2.82793230865664, 3.19525771766099)","-32.4827795039699 (-92.1452615083027, -3.46378468160549)","-1.10896974620365 (-4.30065690797182, 2.0675212857308)","-0.256499676410043 (-4.05747984076818, 3.65857976921844)","-0.312621267878305 (-3.22002149338981, 2.70742114892762)","-0.638970720524524 (-3.62402009760538, 2.55248014486481)","-0.330024298634524 (-4.11263660999632, 3.73883929994623)","0.387831007232548 (-2.88817744879122, 3.87709785849214)","-0.196568283435252 (-3.80123350633842, 3.66252864955038)","-0.606426380019613 (-3.67153248550213, 2.87766434996547)","-0.774704192433093 (-3.95349672899741, 2.53276957815795)","-1.24705887316638 (-5.7798491458015, 2.98809893227202)","-0.385909140632702 (-3.67307478744981, 3.27718051902234)","-0.528453784294174 (-3.53839646240904, 2.82647595779054)","-0.0927427711950497 (-3.76937577673099, 4.0852387207713)","-1.10170740037618 (-4.0395584488425, 1.88819066889793)","0.185213565917403 (-2.55464120815244, 2.84903796406424)","Lazertinib_Amivantamab","-0.19026857558486 (-2.79045081599234, 2.41469907558413)","0.695232522160722 (-2.10941015562673, 3.54494168196025)","0.201688611288128 (-2.53107238338251, 3.29526422609244)","-36.0882217043433 (-113.198428728241, -2.16285129749316)","-1.62356817424615 (-4.48229768805541, 1.12623481938279)","1.92485580583292 (-1.38166923652849, 5.38578527306915)","-0.974014009072282 (-4.2131120804743, 2.29047003920187)"
"Osimertinib","0.169811076481124 (-1.73925805707657, 2.0018055405249)","-0.340446022903269 (-2.98832619788773, 2.0974865951611)","0.567508256355947 (-2.13497576179148, 3.11679303995524)","-0.280176924503034 (-2.59050086052342, 2.40750331592775)","2.02348231110907 (0.160583504969051, 4.51103369522978)","0.207916849567864 (-1.29412098874908, 2.02148975391491)","-32.2312268114414 (-91.9772761400065, -3.51931472216778)","-0.904857414470778 (-2.91728254127158, 0.997052302584399)","-0.0573063362609522 (-2.99787061193241, 2.96145307468438)","-0.111703385025524 (-1.6253211883741, 1.49479360177005)","-0.430503627651391 (-2.10584377208644, 1.40260924761363)","-0.116482115496444 (-3.07743882187209, 2.9545669664811)","0.58459051192538 (-1.5795766322667, 2.99098110700253)","0.00859119897454569 (-2.6153603836826, 2.85715196958028)","-0.418216020987379 (-2.2789510922078, 1.92530766551161)","-0.56029401809125 (-2.57194174577368, 1.49528116355053)","-1.01295759654752 (-4.9209367809337, 2.29239586330454)","-0.187227090397287 (-2.55419612289866, 2.5426134619996)","-0.308173822397931 (-2.32494054211597, 1.93146427399516)","0.0983641304549991 (-2.79037476114006, 3.45951174644919)","-0.901124540421476 (-2.32132593772527, 0.514018567826165)","0.39487041606533 (-2.22123108783588, 2.95223073757589)","0.19026857558486 (-2.41469907558413, 2.79045081599234)","Osimertinib","0.883742906760824 (-0.20527775518232, 2.0336219831718)","0.346953027272379 (-0.561440565744549, 2.02543714679837)","-35.8589064898495 (-113.135004716878, -2.14028482187204)","-1.41782016743464 (-2.63638841433961, -0.412413091552569)","2.11947427980486 (-0.0574347064725149, 4.46280362912122)","-0.771961675146385 (-2.75202675323405, 1.18787368278901)"
"Osimertinib_antiangio","-0.715891847505772 (-2.98007105030002, 1.39304273470621)","-1.22632499775224 (-4.10528127598114, 1.43833842234626)","-0.321152423851434 (-3.29977420796684, 2.42697417971814)","-1.18120267634507 (-3.69941830586599, 1.72991829028298)","1.13193425446735 (-0.979234248734199, 3.89705200368769)","-0.688801305088642 (-2.51127037063214, 1.47892151632808)","-33.0945293614026 (-93.1565980887573, -4.35702734940148)","-1.78209891103131 (-4.11350821708022, 0.391320458896952)","-0.942118946458943 (-4.10360164476247, 2.27293546074409)","-1.00151703981739 (-2.86970747606925, 0.950364442018635)","-1.32008611724001 (-3.32386151215033, 0.831534392068024)","-1.00546193041665 (-4.15001142262257, 2.24859712508686)","-0.308377065558038 (-2.71997718542446, 2.33301763204194)","-0.884487248235725 (-3.7459940570272, 2.18324703552775)","-1.31105708877977 (-3.43534814491649, 1.29760675551706)","-1.44102417139905 (-3.76044407455218, 0.888436004409577)","-1.89820963775252 (-5.94773452925973, 1.57036352512806)","-1.08317957003171 (-3.68125612586359, 1.88561877213933)","-1.21727320466041 (-3.47322231820997, 1.31835731475987)","-0.801495452667018 (-3.8741889366907, 2.73056783037075)","-1.78534460983281 (-3.62797468319446, 0.00274855187642245)","-0.490101651855378 (-3.33955055787516, 2.29393987141952)","-0.695232522160722 (-3.54494168196025, 2.10941015562673)","-0.883742906760824 (-2.0336219831718, 0.20527775518232)","Osimertinib_antiangio","-0.521366774169467 (-1.92513792861703, 1.51412143429249)","-36.7272760713738 (-113.989881100012, -3.00334169576859)","-2.30274726744917 (-4.00396454072845, -0.840635875945963)","1.24354615243479 (-1.22484091181284, 3.83919484209266)","-1.65923011879275 (-3.95234761416823, 0.579077693116336)"
