"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_ERi","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_chemo","Gefitinib_ERi","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib"
"Erlotinib_Autophagyi","36.8280495424797 (3.23989264659957, 105.884549479283)","37.2506912498751 (3.58407493556337, 106.348008271045)","73.6988003841389 (16.6457341874461, 159.899053580741)","37.4038967959389 (3.76816834707457, 106.456852051814)","36.9452609844718 (3.34315690879426, 105.981968812285)","36.5130504969569 (2.8535376362386, 105.553811387672)","36.6658346330595 (2.72419586524104, 105.725100169484)","36.6750497716993 (3.06375861938424, 105.615179706268)","36.7369557125166 (3.14013670818443, 105.728848443737)","Erlotinib_Autophagyi","36.6456780983191 (2.95396598555362, 105.525496589629)","0.376525189533311 (-89.787764201871, 86.7680776920782)","37.4141439905716 (3.75015140347454, 106.546127427533)","36.3362221000063 (2.57642042734719, 105.322134416739)","36.6539088494669 (2.57423407538146, 105.745675134172)","38.2808964860863 (4.63473445842064, 107.433503507385)","36.8997082391381 (3.26473205611968, 105.869837641383)","35.9990945975132 (2.31882951000779, 105.197360815437)","36.2730015821065 (2.66176653020927, 105.316506645165)","37.1520045216032 (3.56662485953584, 106.271933568329)","37.909840104119 (4.27700634602853, 106.95619967004)","35.3102946095203 (1.58765604601731, 104.367704580244)","37.0309795077671 (3.36937159223775, 106.030055619359)","38.5457683137342 (4.83523330455067, 107.441443598813)","36.643229545886 (3.00788290992731, 105.59021801076)","35.7916760276301 (1.97748928586969, 104.696115982405)","37.38328723319 (3.67304562115028, 106.438984068023)","36.455276882954 (2.82615464174636, 105.408266863051)","36.703699990898 (2.7301704900308, 105.772884066649)"
"Erlotinib_chemo","0.246811122137005 (-1.41632680151938, 1.73050229879338)","0.654533905602205 (-1.73413733609063, 2.90399583532423)","31.8328097423978 (3.85030594709979, 92.4803558310412)","0.804532442502054 (-0.879808934095172, 2.42248760671608)","0.355242426104995 (-1.18384801091334, 1.7645174211379)","-0.0850644723262426 (-1.80884358819209, 1.44322882779554)","0.0914615701173085 (-3.94358688770173, 4.0915224231798)","0.0598493645697845 (-1.29239435668328, 1.28546272604903)","0.148896364406924 (-1.3409954858064, 1.47137166549107)","-36.6456780983191 (-105.525496589629, -2.95396598555362)","Erlotinib_chemo","-32.8765876272261 (-117.714243964653, -1.41289469548745)","0.843181503449547 (-1.14689804430371, 2.67585708250453)","-0.31328730611039 (-2.74681277816513, 2.07464814214526)","-0.114602852377541 (-3.84420267676713, 4.01352355277424)","1.64699682970593 (-0.188513654577681, 3.55351602055657)","0.32350495912576 (-1.32965518944205, 1.73786685971065)","-0.586624381814795 (-2.87942504829457, 1.53450535227294)","-0.325953357146228 (-1.97597030734211, 1.13609939626892)","0.582765365378127 (-1.33195612148473, 2.45665740224194)","1.33236590080488 (-0.621650613046014, 3.13365285230423)","-1.27008602338089 (-3.768416241188, 0.964145638548724)","0.433471324199358 (-1.47046603740911, 2.13117260733913)","1.94575423979866 (-0.141795738971686, 3.79195415766482)","0.0203714830840922 (-1.7526971110617, 1.57647713694148)","-0.795904417047967 (-3.77428042767048, 1.82702668354972)","0.772284385318357 (-1.59018911687124, 2.92210595485522)","-0.146899387119075 (-1.75739802468635, 1.25330652275081)","0.0664220182863524 (-3.94423617224814, 4.029434524673)"
"Erlotinib_COX2i","33.0750727442668 (1.60841109372229, 117.99660254893)","33.4864942175617 (1.97381519762178, 118.424082396191)","72.1380403112109 (17.660521063083, 161.787131886907)","33.6794161839577 (2.23727074992059, 118.497030437987)","33.199164387225 (1.77202469610541, 118.047811563424)","32.7609143557195 (1.32873518773116, 117.568306009676)","33.0313274016383 (1.19049770372689, 117.9814513858)","32.8937423537239 (1.48118377527025, 117.741038931349)","33.0075742086212 (1.584391405488, 117.841630803373)","-0.376525189533311 (-86.7680776920782, 89.787764201871)","32.8765876272261 (1.41289469548745, 117.714243964653)","Erlotinib_COX2i","33.6771340093084 (2.21786640444523, 118.622330451666)","32.5435070572395 (0.999957597858054, 117.391275755569)","32.7633709563256 (0.96786451791024, 117.755949742581)","34.5042462212917 (3.04102806430183, 119.419199460175)","33.1454587000169 (1.69948544158621, 118.00781828215)","32.2241712189708 (0.764677721428296, 117.128858134853)","32.5092565814739 (1.07880362986152, 117.397749859839)","33.4529843427696 (1.97894430188207, 118.372690802825)","34.1802160159001 (2.72582489413211, 119.025948552381)","31.5370015253757 (0.0558239334246513, 116.475289071153)","33.2501121815467 (1.83388855733993, 118.168638116766)","34.7970565543428 (3.28816027784895, 119.642494494944)","32.8392392837099 (1.40596711841398, 117.72596078722)","31.9920151875243 (0.413569927105558, 116.733309474673)","33.6128063957781 (2.12338409172487, 118.61762646349)","32.6805966669722 (1.29954715810602, 117.545009235433)","32.9608823106463 (1.16140284973665, 117.876513213452)"
"Erlotinib_ERi","-0.594246200262764 (-2.19089245570431, 0.954439359171246)","-0.175485985546669 (-2.51565918305395, 2.13659183267413)","31.0497517986944 (3.01365444162175, 91.6759047996326)","-0.0390769055624513 (-1.74537611491249, 1.78436999256948)","-0.480964958161013 (-1.97975036323259, 1.02028276846521)","-0.926086741052488 (-2.59895574594336, 0.703704026800309)","-0.732773977496404 (-4.76526715657067, 3.30306732316083)","-0.774910518135694 (-2.18861024001808, 0.634473680985054)","-0.685096980854679 (-2.20875224368525, 0.794465571624958)","-37.4141439905716 (-106.546127427533, -3.75015140347454)","-0.843181503449547 (-2.67585708250453, 1.14689804430371)","-33.6771340093084 (-118.622330451666, -2.21786640444523)","Erlotinib_ERi","-1.15408776990166 (-3.56524192455127, 1.35343411001523)","-0.945778341932557 (-4.68246731332107, 3.29002025578791)","0.810069019217271 (-1.05810519786558, 2.90318453837648)","-0.51372345730814 (-2.18029569440987, 1.05483952252326)","-1.42384588526579 (-3.73517301882666, 0.834112090605531)","-1.1641478319075 (-2.6023926945775, 0.20602044397873)","-0.253772875344883 (-2.00865724724586, 1.58054118882889)","0.492238443863798 (-0.926103431298366, 1.9071196544013)","-2.11249408953731 (-4.52048661222425, 0.195906163017113)","-0.402645271807793 (-2.17553047861724, 1.31241740317904)","1.10595903182171 (-0.869722773270499, 3.02318608356493)","-0.813937577984345 (-2.50719914851858, 0.791155634853823)","-1.63481481426992 (-4.56263177799211, 1.02181975134889)","-0.063040208781376 (-2.33087409391976, 2.13288466705845)","-0.984533181022067 (-2.53971732732456, 0.492090534536303)","-0.758585245898234 (-4.81629585945389, 3.27693211598385)"
"Erlotinib_HER3i","0.555163118068022 (-1.69297219632314, 2.69748408023827)","0.968941741925697 (-1.84968669914859, 3.73225084880973)","32.1430649830241 (4.05300174756672, 92.7527987438582)","1.11932141926153 (-1.1650262344916, 3.39411351933102)","0.676837474894472 (-1.51581339631494, 2.76523069835866)","0.223397673985208 (-2.06350252830994, 2.39612409322682)","0.409916333158238 (-3.9066807728561, 4.7000088134841)","0.378462643731025 (-1.68758679234305, 2.34213299935288)","0.464395124545188 (-1.67808445359535, 2.48589919682719)","-36.3362221000063 (-105.322134416739, -2.57642042734719)","0.31328730611039 (-2.07464814214526, 2.74681277816513)","-32.5435070572395 (-117.391275755569, -0.999957597858054)","1.15408776990166 (-1.35343411001523, 3.56524192455127)","Erlotinib_HER3i","0.202123412199229 (-3.78814341261241, 4.65186992063686)","1.96680358285372 (-0.426729883999605, 4.44811816272613)","0.638941856945619 (-1.61009250749859, 2.71685505209075)","-0.267751817855685 (-3.0289434800742, 2.38260431751698)","-0.0167413060375734 (-2.26400086127039, 2.10465836854921)","0.902421534211448 (-1.56720274240784, 3.35591080918538)","1.64448645707501 (-0.830247126564201, 4.02710811901449)","-0.966183881041293 (-3.84754180765897, 1.77811965273391)","0.739390106380836 (-1.6806906379797, 3.04287456265921)","2.25179125314443 (-0.311774262036286, 4.69233000025904)","0.330682937602207 (-1.98752333681135, 2.53704467691889)","-0.492962528413264 (-3.78452112246666, 2.56969681733517)","1.08327327859721 (-1.67690016899923, 3.74679207954118)","0.162128234296282 (-2.0506554265943, 2.24268287774983)","0.381930247486627 (-3.9036494811277, 4.66355027610456)"
"Erlotinib_HGFi","0.349756920094837 (-3.72250412198985, 3.91568088574218)","0.761249262338703 (-3.67145856859505, 4.72895001961254)","31.895387884744 (3.51499087368239, 92.7746195110109)","0.914298363236589 (-3.19529837567276, 4.57542130637448)","0.46048846843721 (-3.58542163398609, 4.0036065456677)","0.0147898456978951 (-4.0618890622279, 3.59534211179297)","0.18094069397845 (-5.19594607675147, 5.32159811204295)","0.165278999787934 (-3.81870252128688, 3.63925715111214)","0.256256702942735 (-3.7792462017104, 3.76620217733455)","-36.6539088494669 (-105.745675134172, -2.57423407538146)","0.114602852377541 (-4.01352355277424, 3.84420267676713)","-32.7633709563256 (-117.755949742581, -0.96786451791024)","0.945778341932557 (-3.29002025578791, 4.68246731332107)","-0.202123412199229 (-4.65186992063686, 3.78814341261241)","Erlotinib_HGFi","1.76760292459414 (-2.39003097647389, 5.53786360918277)","0.424317102796206 (-3.62685395145981, 3.96448394527325)","-0.48678739698021 (-4.83418981644379, 3.40260433873739)","-0.223585907214448 (-4.28038845645942, 3.32509797145458)","0.689904684184495 (-3.46887015353531, 4.44140197294479)","1.43626718435872 (-2.72918991018846, 5.1480145051648)","-1.18990115035403 (-5.62443534960449, 2.80075504899152)","0.533467607611625 (-3.63949142011704, 4.20765563584578)","2.03760225849138 (-2.19811273935696, 5.81560109207287)","0.121525132334931 (-3.99263148209447, 3.73140439761184)","-0.717928676434535 (-5.42603071487528, 3.46793668663863)","0.870323931130763 (-3.51737554158437, 4.78563229927402)","-0.0468514018704351 (-4.09544121895459, 3.48925743439844)","0.159942905465405 (-5.27859984400743, 5.33137401997733)"
"Erlotinib_IGF_1Ri","-1.39911205298256 (-3.19042498812932, 0.106189177566216)","-0.987904945394392 (-3.48516840072118, 1.28826064493437)","30.1885523841807 (2.21937505843865, 90.7089688159101)","-0.845463636806556 (-2.65496325104168, 0.81650769110031)","-1.28896377288131 (-2.96038427871389, 0.151250961609568)","-1.73475876918171 (-3.56301566849642, -0.186009491969252)","-1.55986106476562 (-5.64342412058109, 2.43010227560249)","-1.57938774943387 (-3.10034947679337, -0.337384621824047)","-1.49044291779979 (-3.13017393476566, -0.150294503193087)","-38.2808964860863 (-107.433503507385, -4.63473445842064)","-1.64699682970593 (-3.55351602055657, 0.188513654577681)","-34.5042462212917 (-119.419199460175, -3.04102806430183)","-0.810069019217271 (-2.90318453837648, 1.05810519786558)","-1.96680358285372 (-4.44811816272613, 0.426729883999605)","-1.76760292459414 (-5.53786360918277, 2.39003097647389)","Erlotinib_IGF_1Ri","-1.3181337397706 (-3.09583149910785, 0.121150516553325)","-2.23742886286716 (-4.62017387520173, -0.110546758603038)","-1.97615319192944 (-3.73681036996046, -0.492457807851247)","-1.06076502847327 (-3.08236464388533, 0.810489419932217)","-0.318985386803829 (-2.37564094867408, 1.5076902416638)","-2.92705770913917 (-5.47737716581856, -0.667480233437179)","-1.21424399979015 (-3.21552293954996, 0.514303193625475)","0.295907357746906 (-1.87294982322982, 2.17461202167377)","-1.62705805809106 (-3.49198809891248, -0.0387390858210626)","-2.45187720661827 (-5.47322002591026, 0.212879601493166)","-0.879126246676398 (-3.30348175929558, 1.30109286866371)","-1.79422505453463 (-3.51454666594219, -0.366948670139522)","-1.5841650248382 (-5.62294349205297, 2.36688893388073)"
"Erlotinib_METi","-0.0777442934566966 (-1.21968779961374, 1.11971733749821)","0.3378019389554 (-1.708963205033, 2.45726452039347)","31.5603652245712 (3.57960104663084, 92.0803052321843)","0.469825237333815 (-0.755961689298119, 1.92185673273227)","0.0325922247891178 (-0.991149633700424, 1.15347371234084)","-0.411043093389441 (-1.61607249220729, 0.851657964472668)","-0.207536809605416 (-4.06501413397591, 3.69138874032675)","-0.265944469400404 (-1.00455268027023, 0.58818322277786)","-0.173369318139601 (-1.08672868296388, 0.804585997970749)","-36.8997082391381 (-105.869837641383, -3.26473205611968)","-0.32350495912576 (-1.73786685971065, 1.32965518944205)","-33.1454587000169 (-118.00781828215, -1.69948544158621)","0.51372345730814 (-1.05483952252326, 2.18029569440987)","-0.638941856945619 (-2.71685505209075, 1.61009250749859)","-0.424317102796206 (-3.96448394527325, 3.62685395145981)","1.3181337397706 (-0.121150516553325, 3.09583149910785)","Erlotinib_METi","-0.90654018030169 (-2.84301437061903, 1.05494697757983)","-0.649476091928266 (-1.77730213688966, 0.503332362733095)","0.262570749402616 (-1.26127215853754, 1.95832156432441)","1.00280681009276 (-0.528629127356377, 2.63264733995553)","-1.59642924769318 (-3.72960524504553, 0.499953401704254)","0.105143855415609 (-1.3249562011133, 1.60636380923778)","1.6145331022638 (-0.0335491363697527, 3.29382370517966)","-0.304556160391969 (-1.57436806734879, 1.00025064900401)","-1.11216697176804 (-3.82055051907431, 1.37720536762131)","0.450506445670404 (-1.49190185362314, 2.47434640090923)","-0.471759255282017 (-1.51884097294916, 0.597368335797309)","-0.239083459919463 (-4.06606065865281, 3.64143454895194)"
"Erlotinib_MMPi","0.828960062781449 (-1.15113333482319, 2.83357293960805)","1.24996820891145 (-1.38474669754202, 3.88084674175538)","32.4886421602535 (4.39077503746815, 93.0930117490629)","1.38492084385369 (-0.610915098882978, 3.52731110038517)","0.936605866033148 (-0.939157135692113, 2.90011600362415)","0.500695467462824 (-1.52851534532245, 2.52932253567414)","0.701718338976549 (-3.46623170230167, 4.90106849767591)","0.643139898420835 (-1.10402828508095, 2.47382709933684)","0.735045222459638 (-1.11129335693524, 2.62359826450011)","-35.9990945975132 (-105.197360815437, -2.31882951000779)","0.586624381814795 (-1.53450535227294, 2.87942504829457)","-32.2241712189708 (-117.128858134853, -0.764677721428296)","1.42384588526579 (-0.834112090605531, 3.73517301882666)","0.267751817855685 (-2.38260431751698, 3.0289434800742)","0.48678739698021 (-3.40260433873739, 4.83418981644379)","2.23742886286716 (0.110546758603038, 4.62017387520173)","0.90654018030169 (-1.05494697757983, 2.84301437061903)","Erlotinib_MMPi","0.258445413631587 (-1.71954290549527, 2.24061566713285)","1.17478578477454 (-1.04143865819328, 3.51840259639709)","1.91291597199385 (-0.307765848304714, 4.1898880525851)","-0.688512106349573 (-3.37173897313763, 1.93434617907596)","1.01614782593859 (-1.13844175477217, 3.1928703252687)","2.52357941648035 (0.207706766941199, 4.83207465844313)","0.597832326326447 (-1.4550271192343, 2.6791461409568)","-0.210606121173591 (-3.34125931120203, 2.73954391650025)","1.35982239608332 (-1.19455110229789, 3.90947979057071)","0.437440426131186 (-1.50753027122679, 2.36517446143008)","0.664455771028231 (-3.51278931207389, 4.85153414249379)"
"Gefitinib","0.573226873082465 (-0.355684874576798, 1.52681940588616)","0.987212696826073 (-0.94169432944986, 2.97808291619073)","32.2266640592341 (4.23727918887753, 92.7622552129182)","1.12755944737312 (-0.143184329053471, 2.56879920877502)","0.682636220087822 (-0.116956778684152, 1.56258602825819)","0.238280111906796 (-0.87762691831573, 1.38545751460173)","0.438231233052351 (-3.42943010612658, 4.33559566140178)","0.390632781698429 (-0.411796180926858, 1.24934682032249)","0.481080654260325 (-0.49205735364122, 1.47048083519743)","-36.2730015821065 (-105.316506645165, -2.66176653020927)","0.325953357146228 (-1.13609939626892, 1.97597030734211)","-32.5092565814739 (-117.397749859839, -1.07880362986152)","1.1641478319075 (-0.20602044397873, 2.6023926945775)","0.0167413060375734 (-2.10465836854921, 2.26400086127039)","0.223585907214448 (-3.32509797145458, 4.28038845645942)","1.97615319192944 (0.492457807851247, 3.73681036996046)","0.649476091928266 (-0.503332362733095, 1.77730213688966)","-0.258445413631587 (-2.24061566713285, 1.71954290549527)","Gefitinib","0.91060967918077 (-0.149216068412824, 2.12492796914414)","1.65636914365553 (0.32812153702379, 3.04873291773854)","-0.943334916236007 (-2.97534886750779, 0.995634673180984)","0.757281817406896 (-0.338666078377439, 1.8940427173299)","2.26530621740073 (0.841416691583577, 3.71583228880838)","0.346854531174149 (-0.699585660134712, 1.39986190357278)","-0.459906830490498 (-3.07827431381541, 1.90179117430986)","1.101230064338 (-0.727252341783666, 2.95634000282515)","0.179260936595109 (-0.698851932331572, 1.04859024663056)","0.412398154807906 (-3.44047683144827, 4.29587617387663)"
"Gefitinib_chemo","-0.342114714070114 (-1.8709352777806, 1.07222154051749)","0.0727773862552993 (-2.21042799690549, 2.30712767155012)","31.2706626341692 (3.30874728954242, 91.8284148452646)","0.216258185799269 (-1.52314480686006, 1.97126329723781)","-0.228569293602325 (-1.67177517443424, 1.14327775827367)","-0.672850798770112 (-2.33396421840394, 0.864943146930495)","-0.479905180461535 (-4.51258889906149, 3.54307890131051)","-0.521902924003922 (-1.95838565262685, 0.832283081278294)","-0.431939607440482 (-1.997564186079, 1.01106122619093)","-37.1520045216032 (-106.271933568329, -3.56662485953584)","-0.582765365378127 (-2.45665740224194, 1.33195612148473)","-33.4529843427696 (-118.372690802825, -1.97894430188207)","0.253772875344883 (-1.58054118882889, 2.00865724724586)","-0.902421534211448 (-3.35591080918538, 1.56720274240784)","-0.689904684184495 (-4.44140197294479, 3.46887015353531)","1.06076502847327 (-0.810489419932217, 3.08236464388533)","-0.262570749402616 (-1.95832156432441, 1.26127215853754)","-1.17478578477454 (-3.51840259639709, 1.04143865819328)","-0.91060967918077 (-2.12492796914414, 0.149216068412824)","Gefitinib_chemo","0.744913471484698 (-1.07281111019878, 2.46547074113424)","-1.861643277399 (-4.23174173264428, 0.322309047999117)","-0.153339961488885 (-1.80373124726428, 1.36517862235348)","1.35698347248545 (-0.535157276896378, 3.10469223439967)","-0.568918127332051 (-2.17554747674931, 0.90306248843869)","-1.3758261203761 (-4.27623123311716, 1.19230182764508)","0.188494062987949 (-2.04175970192511, 2.30413928828762)","-0.732809542869429 (-2.22978905012999, 0.633063264463007)","-0.514407045888702 (-4.54674798994122, 3.51724819008323)"
"Gefitinib_ERi","-1.08459237810077 (-2.64250799179739, 0.435624765706513)","-0.668622863034385 (-2.967778913959, 1.63137432158179)","30.5224723813974 (2.53371293973416, 91.044266690059)","-0.532923640839824 (-2.20475809260734, 1.25003376486117)","-0.974080123233965 (-2.41670122685615, 0.485661299486907)","-1.41744627252318 (-3.04823984158721, 0.176113873164157)","-1.2251545542578 (-5.22583620634712, 2.79684946480868)","-1.26885183785088 (-2.62660672001309, 0.0949185295715621)","-1.17802265432718 (-2.66015776289563, 0.268494851200629)","-37.909840104119 (-106.95619967004, -4.27700634602853)","-1.33236590080488 (-3.13365285230423, 0.621650613046014)","-34.1802160159001 (-119.025948552381, -2.72582489413211)","-0.492238443863798 (-1.9071196544013, 0.926103431298366)","-1.64448645707501 (-4.02710811901449, 0.830247126564201)","-1.43626718435872 (-5.1480145051648, 2.72918991018846)","0.318985386803829 (-1.5076902416638, 2.37564094867408)","-1.00280681009276 (-2.63264733995553, 0.528629127356377)","-1.91291597199385 (-4.1898880525851, 0.307765848304714)","-1.65636914365553 (-3.04873291773854, -0.32812153702379)","-0.744913471484698 (-2.46547074113424, 1.07281111019878)","Gefitinib_ERi","-2.59994137117266 (-4.99335492440904, -0.349954578397122)","-0.896994479921966 (-2.6122378258234, 0.78603144775165)","0.609484937839075 (-1.32115477795958, 2.4842947027103)","-1.30759010847471 (-2.94504133384994, 0.264065293842233)","-2.11717872234339 (-5.0189601649695, 0.507903248120909)","-0.556312608850258 (-2.77573826897785, 1.62007365452545)","-1.47377601152871 (-2.97735629151701, -0.0346608330859189)","-1.25760894435082 (-5.26343714730901, 2.7725875979716)"
"Gefitinib_Erlotinib","1.51715853822401 (-0.484612945245794, 3.62420773010253)","1.94106666686912 (-0.674552914442123, 4.66088192296776)","33.1770772853741 (5.11140199793363, 93.8296772176775)","2.06972587247444 (-0.0597811945599279, 4.42751831601212)","1.62744224540354 (-0.260648994079369, 3.67473741981)","1.18584435839909 (-0.900640293284829, 3.35551750187006)","1.40035020219417 (-2.84384805967742, 5.68308960037927)","1.33018953132123 (-0.562646540660057, 3.38480721728228)","1.42251454967547 (-0.550859690791151, 3.5208384371617)","-35.3102946095203 (-104.367704580244, -1.58765604601731)","1.27008602338089 (-0.964145638548724, 3.768416241188)","-31.5370015253757 (-116.475289071153, -0.0558239334246513)","2.11249408953731 (-0.195906163017113, 4.52048661222425)","0.966183881041293 (-1.77811965273391, 3.84754180765897)","1.18990115035403 (-2.80075504899152, 5.62443534960449)","2.92705770913917 (0.667480233437179, 5.47737716581856)","1.59642924769318 (-0.499953401704254, 3.72960524504553)","0.688512106349573 (-1.93434617907596, 3.37173897313763)","0.943334916236007 (-0.995634673180984, 2.97534886750779)","1.861643277399 (-0.322309047999117, 4.23174173264428)","2.59994137117266 (0.349954578397122, 4.99335492440904)","Gefitinib_Erlotinib","1.70131571255252 (-0.239094333401399, 3.75316711532925)","3.21361623506217 (1.2003433731895, 5.32645853590197)","1.28378557778657 (-0.338754988470715, 3.03674086132332)","0.481156059400252 (-2.38676892420576, 3.1746913833967)","2.04243677577616 (-0.170867474603696, 4.35713782582245)","1.12256870513904 (-0.768604216016673, 3.09849471461665)","1.3597427880972 (-2.85524018358501, 5.64014026018589)"
"Lazertinib","-0.188250100388997 (-1.52389183847233, 1.1556510027219)","0.228769609274549 (-1.92215652064957, 2.42243362642403)","31.4559341741185 (3.47284260697087, 92.0452439810777)","0.363791339625618 (-1.18115396582164, 2.07849670065575)","-0.0750715657676315 (-1.26774210374828, 1.18703692477135)","-0.520164449571583 (-1.97639504385058, 0.938398323591339)","-0.316046100987905 (-4.30145542179412, 3.66396264353784)","-0.371871436794669 (-1.57445117420704, 0.897498958421781)","-0.278677059514894 (-1.62826802521908, 1.0725503463271)","-37.0309795077671 (-106.030055619359, -3.36937159223775)","-0.433471324199358 (-2.13117260733913, 1.47046603740911)","-33.2501121815467 (-118.168638116766, -1.83388855733993)","0.402645271807793 (-1.31241740317904, 2.17553047861724)","-0.739390106380836 (-3.04287456265921, 1.6806906379797)","-0.533467607611625 (-4.20765563584578, 3.63949142011704)","1.21424399979015 (-0.514303193625475, 3.21552293954996)","-0.105143855415609 (-1.60636380923778, 1.3249562011133)","-1.01614782593859 (-3.1928703252687, 1.13844175477217)","-0.757281817406896 (-1.8940427173299, 0.338666078377439)","0.153339961488885 (-1.36517862235348, 1.80373124726428)","0.896994479921966 (-0.78603144775165, 2.6122378258234)","-1.70131571255252 (-3.75316711532925, 0.239094333401399)","Lazertinib","1.50734196433102 (0.281332274546265, 2.72354178094786)","-0.410124992699177 (-1.49179520680817, 0.646497293267674)","-1.21673609004129 (-3.84640922868395, 1.15117204990499)","0.33849553199035 (-1.51375098872898, 2.19831824331921)","-0.577291941810029 (-1.80517951847646, 0.609982396812437)","-0.357082803367151 (-4.31834092256096, 3.63444371013765)"
"Lazertinib_Amivantamab","-1.69722021078721 (-3.25091910475348, -0.114869530923138)","-1.27658590071189 (-3.6022904493324, 1.0601198121699)","29.9567322912337 (1.92201339961442, 90.4808621106698)","-1.14602122389027 (-2.86934780903635, 0.774681365242207)","-1.58360827003197 (-3.00325880124665, -0.0774012891890252)","-2.02581429000166 (-3.69719403485605, -0.342144839210151)","-1.82849680054305 (-5.87300183712007, 2.24826266439836)","-1.8829005751113 (-3.30417407226411, -0.371421175314982)","-1.78773340718301 (-3.33490582712487, -0.226939785975634)","-38.5457683137342 (-107.441443598813, -4.83523330455067)","-1.94575423979866 (-3.79195415766482, 0.141795738971686)","-34.7970565543428 (-119.642494494944, -3.28816027784895)","-1.10595903182171 (-3.02318608356493, 0.869722773270499)","-2.25179125314443 (-4.69233000025904, 0.311774262036286)","-2.03760225849138 (-5.81560109207287, 2.19811273935696)","-0.295907357746906 (-2.17461202167377, 1.87294982322982)","-1.6145331022638 (-3.29382370517966, 0.0335491363697527)","-2.52357941648035 (-4.83207465844313, -0.207706766941199)","-2.26530621740073 (-3.71583228880838, -0.841416691583577)","-1.35698347248545 (-3.10469223439967, 0.535157276896378)","-0.609484937839075 (-2.4842947027103, 1.32115477795958)","-3.21361623506217 (-5.32645853590197, -1.2003433731895)","-1.50734196433102 (-2.72354178094786, -0.281332274546265)","Lazertinib_Amivantamab","-1.91672193779444 (-3.13813404570222, -0.7223875167235)","-2.72703686765179 (-5.39051947645117, -0.316434970991241)","-1.16868593946901 (-3.09078437592535, 0.780088676674356)","-2.08709723409719 (-3.53984001541647, -0.669284887095225)","-1.86086471015615 (-5.88147365010042, 2.21843923503032)"
"Osimertinib","0.220748324123926 (-0.943084625834109, 1.41448313017722)","0.641620768082037 (-1.41099759766486, 2.75151671973373)","31.8862315765913 (3.88477955650208, 92.4450058166997)","0.775896021337221 (-0.613579454650532, 2.34296909397381)","0.338262671349456 (-0.639053364617044, 1.38718247720839)","-0.109529035843986 (-1.39193177337698, 1.19847374617369)","0.0966290071802903 (-3.82241761971727, 4.01496026060758)","0.0400419683312547 (-0.952566280865858, 1.10853043890945)","0.130842044598454 (-1.01547664522399, 1.30278572377056)","-36.643229545886 (-105.59021801076, -3.00788290992731)","-0.0203714830840922 (-1.57647713694148, 1.7526971110617)","-32.8392392837099 (-117.72596078722, -1.40596711841398)","0.813937577984345 (-0.791155634853823, 2.50719914851858)","-0.330682937602207 (-2.53704467691889, 1.98752333681135)","-0.121525132334931 (-3.73140439761184, 3.99263148209447)","1.62705805809106 (0.0387390858210626, 3.49198809891248)","0.304556160391969 (-1.00025064900401, 1.57436806734879)","-0.597832326326447 (-2.6791461409568, 1.4550271192343)","-0.346854531174149 (-1.39986190357278, 0.699585660134712)","0.568918127332051 (-0.90306248843869, 2.17554747674931)","1.30759010847471 (-0.264065293842233, 2.94504133384994)","-1.28378557778657 (-3.03674086132332, 0.338754988470715)","0.410124992699177 (-0.646497293267674, 1.49179520680817)","1.91672193779444 (0.7223875167235, 3.13813404570222)","Osimertinib","-0.798126837592452 (-3.20084179479832, 1.30234688489778)","0.748371421981621 (-0.746307391715497, 2.2925961030106)","-0.167175599680144 (-1.12148235966423, 0.771914594244473)","0.0596833411643578 (-3.83787048561419, 4.02236633834942)"
