"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_ERi","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib"
"Erlotinib_Autophagyi","37.0413234251643 (2.44508190156626, 108.788221086129)","38.1966225111374 (3.51923829391745, 110.128985631142)","75.5651611081992 (19.4837199385088, 163.684408164578)","37.6417884268205 (3.03556027690165, 109.335376346876)","37.1147515311108 (2.50131626032648, 108.973834549354)","36.706178610999 (2.12033783496677, 108.618736696757)","37.0007122242889 (2.06423006054774, 108.969251503119)","36.847676208904 (2.25557250637968, 108.634543882851)","37.1878089671375 (2.60630789702115, 109.001345390903)","Erlotinib_Autophagyi","37.2807661687669 (2.65433464066551, 108.991308833964)","3.24920560631729 (-85.76438127868, 83.4842878466208)","64.4554908773157 (14.4628992552623, 143.710815927188)","36.4350536433385 (1.8329823239339, 108.592574676788)","67.796441562202 (14.736454293779, 146.541740042423)","38.5682495941151 (3.88666168896752, 110.386843799144)","37.2327738520359 (2.6434908505674, 109.137097078588)","36.0362768717682 (1.30899837913434, 107.8318988264)","36.5151788748545 (1.88605023341056, 108.276334031941)","37.824133628616 (3.18674238635484, 109.573731363852)","35.5201605472201 (0.81567901993436, 107.384901167418)","37.2758629854766 (2.61532917465652, 109.126730208021)","38.1892977146376 (3.55704293617736, 110.172997454213)","36.7983964836337 (2.19629746233862, 108.72358670843)","36.0054278059862 (1.18748124893074, 107.772286410151)","37.842824458551 (3.17402955896794, 109.667294544044)","36.6503689404614 (2.0579929226312, 108.701875259838)","36.8747181902523 (1.84323183265169, 108.704281265545)"
"Erlotinib_chemo","-0.216661749886069 (-1.83805454639662, 1.28347673682802)","0.90192373435577 (-1.67036639030351, 3.5617226001103)","32.1204710587327 (3.79382954354045, 98.7163401343588)","0.329475612209203 (-1.29210944297327, 1.99048601889265)","-0.14216147031852 (-1.68361554684853, 1.28754681538582)","-0.541738843732129 (-2.19361700198752, 0.967461887362405)","-0.378469827983168 (-4.36369798120673, 3.63930653874121)","-0.416001122549753 (-1.76247762625872, 0.842422574614202)","-0.0685534307963983 (-1.52546511658412, 1.28413472566128)","-37.2807661687669 (-108.991308833964, -2.65433464066551)","Erlotinib_chemo","-33.552282908976 (-113.057356877701, -1.88669788186927)","23.5623629236457 (1.57609539816779, 69.4772878677602)","-0.799489650704376 (-3.12018951856719, 1.50957748646898)","24.7478884460753 (0.863171465826898, 74.7077876442717)","1.24901264684641 (-0.839368630130299, 3.66183075242324)","-0.0268297366843585 (-1.61556964713599, 1.40337235604186)","-1.24082953778893 (-3.92249273538416, 1.15816950192251)","-0.756562524495307 (-2.43285204550437, 0.784092015335702)","0.533226815273306 (-1.67005358487264, 2.7740699686957)","-1.73024398079196 (-4.11473890652974, 0.396953393575098)","-0.00178369607855644 (-1.8779778774003, 1.75720478566686)","0.92936002997046 (-1.07693191938277, 2.78530889674483)","-0.452304889862875 (-2.16753814237084, 1.10971998433057)","-1.27963071183522 (-4.11794518705947, 1.27264560293841)","0.595485989083938 (-1.67564308268657, 2.75285366990558)","-0.597932359250222 (-2.15797267333371, 0.805513040656048)","-0.421579672791462 (-4.34140006823913, 3.54241230422739)"
"Erlotinib_COX2i","33.3314038492793 (1.68623406344234, 112.910496393496)","34.4815429058187 (2.72509900137614, 113.942162209925)","70.1493527359501 (14.5048778069857, 166.454985839958)","33.9191856811668 (2.25121036072493, 113.477773318809)","33.4011643954659 (1.73033956855409, 112.9280369952)","33.0008713518922 (1.33256855701731, 112.576096249621)","33.2378018167579 (1.16374334743246, 113.017162176096)","33.133153623864 (1.47256158065611, 112.734012955267)","33.5012878535624 (1.82962587215997, 113.106654449223)","-3.24920560631729 (-83.4842878466208, 85.76438127868)","33.552282908976 (1.88669788186927, 113.057356877701)","Erlotinib_COX2i","60.4615876902653 (13.444932589043, 153.856280157444)","32.7835303878478 (1.08045892360808, 112.120038935453)","63.9918645471781 (12.5071221763538, 148.990173496002)","34.8505868559313 (3.15951178523932, 114.41409514161)","33.5197922089786 (1.85863019928079, 113.19441520577)","32.3373039268638 (0.472540522412065, 111.973976466914)","32.8111986888632 (1.12050507165823, 112.309698377373)","34.1751351198955 (2.37351093387916, 113.605674581613)","31.8148748714577 (0.085506559161004, 111.272669841751)","33.5511457110408 (1.83796421479491, 113.081880360204)","34.4809605470097 (2.80120354058571, 113.935877207819)","33.093787833044 (1.43824034081479, 112.653879903967)","32.2745264492311 (0.555529701287428, 111.896561693358)","34.1399803839536 (2.41396059441277, 113.662714999559)","32.9400106444524 (1.2682279428646, 112.468853838405)","33.1210438167569 (1.1405938865929, 112.567521640123)"
"Erlotinib_ERi","-23.7723543371909 (-69.6811851857895, -1.87406333996108)","-22.703084009324 (-68.7139458477614, -0.606489237862994)","8.356507813244 (-44.4268811796365, 72.7520729267449)","-23.2058232662122 (-69.1507343179846, -1.2427142082298)","-23.7098487890727 (-69.6087152755529, -1.79525417642311)","-24.0938284792607 (-69.9978897379277, -2.17867561180291)","-23.8629292948304 (-70.1552631284206, -1.4007551063186)","-23.9750129905533 (-69.8705921305349, -2.05597616815011)","-23.6395953082865 (-69.5206209703481, -1.70697716239847)","-64.4554908773157 (-143.710815927188, -14.4628992552623)","-23.5623629236457 (-69.4772878677602, -1.57609539816779)","-60.4615876902653 (-153.856280157444, -13.444932589043)","Erlotinib_ERi","-24.3451852363629 (-70.3336347865505, -2.33895932514143)","0.35496374984331 (-46.1307642312322, 55.522421775113)","-22.2377299247181 (-68.2425971579749, -0.26966551827983)","-23.593024661526 (-69.4653603440144, -1.63695420059399)","-24.8123697830325 (-70.9275423902218, -2.78663861032148)","-24.3067519932975 (-70.1775088971625, -2.39582593003529)","-23.0229442777823 (-68.8180383837415, -0.989905637931501)","-25.303430153884 (-71.2537482168271, -3.34883128292773)","-23.581188266834 (-69.4662385020779, -1.59634232624191)","-22.6482948569774 (-68.6031633980124, -0.64393407136714)","-24.0024518345931 (-69.9028287725687, -2.08277665297333)","-24.8928319046347 (-70.8306890766504, -2.75762756949122)","-22.9441621430094 (-68.8573393075699, -0.984978953127844)","-24.1490109067672 (-70.0684297934946, -2.25895135423046)","-24.0292692143824 (-70.0412849483584, -1.63314561902787)"
"Erlotinib_HER3i","0.572734767697386 (-1.56624016678188, 2.6250725670159)","1.68316184556116 (-1.19366425512322, 4.73539380254397)","32.8972127499395 (4.53593356417568, 99.5511687318196)","1.12431568469627 (-1.03371197875914, 3.33126983554569)","0.650869218167957 (-1.44650993137118, 2.65627652494104)","0.251656225201073 (-1.91710868520234, 2.31539086131061)","0.412606064405314 (-3.83026718340167, 4.69949606332417)","0.379273121207998 (-1.58785520253331, 2.26956527837908)","0.731963913093848 (-1.32371393756443, 2.68832824736868)","-36.4350536433385 (-108.592574676788, -1.8329823239339)","0.799489650704376 (-1.50957748646898, 3.12018951856719)","-32.7835303878478 (-112.120038935453, -1.08045892360808)","24.3451852363629 (2.33895932514143, 70.3336347865505)","Erlotinib_HER3i","25.5433361193329 (1.59918038172381, 75.6002575201335)","2.0499464061016 (-0.485899912802544, 4.83054918290855)","0.764000962511222 (-1.37081792224573, 2.76910525616537)","-0.448062788985652 (-3.48059107443359, 2.35982151153029)","0.0400237338624722 (-2.15623743510714, 2.11736737756166)","1.32625429045414 (-1.29131469360538, 3.9783738529981)","-0.944713647181024 (-3.6887302553837, 1.64116080365087)","0.785893421198629 (-1.55898694883731, 3.03801096608767)","1.72264426037568 (-0.714594395536477, 4.03961312499375)","0.344983183049174 (-1.86430981864685, 2.45010286354362)","-0.49208511584624 (-3.67236537151486, 2.45472122836627)","1.3859041286411 (-1.2541485751219, 3.98878235473946)","0.193353079700943 (-1.91087873877463, 2.16490638706055)","0.370717373465132 (-3.80801061390855, 4.60319466957413)"
"Erlotinib_HGFi","-25.0081102290774 (-74.8439053528809, -1.14182089492178)","-23.8223380330741 (-73.9809510479507, 0.179754753959518)","6.37141382490606 (-48.2633900839127, 81.5232589482159)","-24.4111419708919 (-74.3188230338468, -0.560827138839156)","-24.9025585016996 (-74.7958907761295, -1.05047019878297)","-25.3078821823558 (-75.1654261410744, -1.45964854339228)","-25.107737704621 (-75.4866117852848, -0.804696317079868)","-25.1742338973498 (-75.0722453980926, -1.32185228369477)","-24.8348828623651 (-74.7532620200939, -0.973964214932926)","-67.796441562202 (-146.541740042423, -14.736454293779)","-24.7478884460753 (-74.7077876442717, -0.863171465826898)","-63.9918645471781 (-148.990173496002, -12.5071221763538)","-0.35496374984331 (-55.522421775113, 46.1307642312322)","-25.5433361193329 (-75.6002575201335, -1.59918038172381)","Erlotinib_HGFi","-23.4544095630477 (-73.3634332378431, 0.501666816911863)","-24.8045302748865 (-74.7483596948782, -0.932999122203093)","-26.0070799040433 (-76.0643826111707, -2.01191719383589)","-25.5573975249833 (-75.3996301878378, -1.67568964833786)","-24.1959738666639 (-74.1122527532589, -0.21177015107599)","-26.5794948396497 (-76.5780261926033, -2.50699864661591)","-24.7639253353315 (-74.6713414800766, -0.884984533504016)","-23.8344358077168 (-73.8717924034646, 0.0535212411107128)","-25.2273321260434 (-75.1368499238846, -1.33287475066892)","-26.1242825999679 (-76.0846846708035, -2.07738248398164)","-24.1707260524176 (-74.2004997759164, -0.230155110965487)","-25.3861387683072 (-75.263940672375, -1.51254916894185)","-25.1062568973311 (-75.4811968963267, -0.748079701595964)"
"Erlotinib_IGF_1Ri","-1.46329640328162 (-3.69767467119096, 0.311048466653089)","-0.370435828250907 (-3.33917919341999, 2.49233573672285)","30.8394411594257 (2.4740576533099, 97.5645595638703)","-0.905972453012113 (-3.16730295893846, 0.999847965859581)","-1.38187004424814 (-3.57807333264257, 0.344963355001379)","-1.78585163843969 (-4.05976465816829, 0.0203672740376065)","-1.65293421634767 (-5.85504433498077, 2.45220996724038)","-1.65112138878879 (-3.7408013936446, -0.0845641446302594)","-1.30735308319094 (-3.45934941551094, 0.361226787071972)","-38.5682495941151 (-110.386843799144, -3.88666168896752)","-1.24901264684641 (-3.66183075242324, 0.839368630130299)","-34.8505868559313 (-114.41409514161, -3.15951178523932)","22.2377299247181 (0.26966551827983, 68.2425971579749)","-2.0499464061016 (-4.83054918290855, 0.485899912802544)","23.4544095630477 (-0.501666816911863, 73.3634332378431)","Erlotinib_IGF_1Ri","-1.27256825794845 (-3.49009955277654, 0.429335192403191)","-2.50331488151846 (-5.58996300342719, 0.115752169861039)","-2.00077159469031 (-4.27732482022581, -0.189182117257684)","-0.727225090626409 (-3.41589672052334, 1.73174056250112)","-3.00351367925257 (-5.80142622084085, -0.605703250135744)","-1.25880305379019 (-3.66925310189801, 0.763989891184371)","-0.330644327862769 (-2.81352687998431, 1.77820885517211)","-1.70028974538488 (-4.01542799467221, 0.159333385919957)","-2.5562752122546 (-5.76592868879943, 0.216524761651887)","-0.669928274610275 (-3.36993189906724, 1.72469469851033)","-1.84179397052107 (-4.04598631431709, -0.118897606272975)","-1.68514623163256 (-5.83210560990557, 2.36353648557491)"
"Erlotinib_METi","-0.191763797791401 (-1.25259144705889, 0.915170341735721)","0.915422791400837 (-1.26171366946678, 3.42328721832182)","32.1069328673242 (3.86208567813622, 98.8411323648664)","0.346552797033821 (-0.802813280855756, 1.77026875666494)","-0.113492059497944 (-1.09636709478047, 0.911127884070628)","-0.515436621041829 (-1.63343353807371, 0.632771562389817)","-0.341365864458943 (-4.14192397895464, 3.57490822670372)","-0.392727557871706 (-1.06974735447705, 0.379967699197573)","-0.0428426167678918 (-0.90948376562626, 0.885674956342357)","-37.2327738520359 (-109.137097078588, -2.6434908505674)","0.0268297366843585 (-1.40337235604186, 1.61556964713599)","-33.5197922089786 (-113.19441520577, -1.85863019928079)","23.593024661526 (1.63695420059399, 69.4653603440144)","-0.764000962511222 (-2.76910525616537, 1.37081792224573)","24.8045302748865 (0.932999122203093, 74.7483596948782)","1.27256825794845 (-0.429335192403191, 3.49009955277654)","Erlotinib_METi","-1.19670536157488 (-3.6127242811169, 0.988353710143949)","-0.722010113261258 (-1.88197252982441, 0.435030860229)","0.555805977380781 (-1.28835055389038, 2.609734364294)","-1.70083318853948 (-3.72948743207348, 0.208215065507972)","0.0204841685056065 (-1.40929837155018, 1.49275437876686)","0.952964399349935 (-0.602538219173374, 2.55087920917399)","-0.423594651911053 (-1.62116672024006, 0.802740301011249)","-1.23954394589415 (-3.83294040986948, 1.11411588815737)","0.616085693245523 (-1.25292089803053, 2.57285578579062)","-0.567790308662323 (-1.55325071147644, 0.41172664637113)","-0.388994743234155 (-4.13127483585099, 3.43734436624114)"
"Erlotinib_MMPi","1.01631126170928 (-1.20241401265103, 3.45391987555655)","2.14766499907463 (-0.840680936706552, 5.4311599153808)","33.3557531102551 (5.01567428296028, 99.9285921198327)","1.56337206907885 (-0.676059857347604, 4.17069228652538)","1.0879935456405 (-1.08968816556898, 3.51731244203821)","0.690170748869834 (-1.5575416172385, 3.15740267737345)","0.884291378427692 (-3.39103925205158, 5.31256263992275)","0.807554934609364 (-1.22579041215974, 3.1492661850214)","1.16439954761552 (-0.957787790570055, 3.53718593557373)","-36.0362768717682 (-107.8318988264, -1.30899837913434)","1.24082953778893 (-1.15816950192251, 3.92249273538416)","-32.3373039268638 (-111.973976466914, -0.472540522412065)","24.8123697830325 (2.78663861032148, 70.9275423902218)","0.448062788985652 (-2.35982151153029, 3.48059107443359)","26.0070799040433 (2.01191719383589, 76.0643826111707)","2.50331488151846 (-0.115752169861039, 5.58996300342719)","1.19670536157488 (-0.988353710143949, 3.6127242811169)","Erlotinib_MMPi","0.479349565653782 (-1.78668749936897, 2.94533941634891)","1.77668280216589 (-0.948970879737888, 4.74444252618772)","-0.493278903582143 (-3.31397755147798, 2.39673000675598)","1.23148516746007 (-1.18950353323185, 3.85225034012498)","2.16481807783792 (-0.335371174848178, 4.83297870920615)","0.784001407247628 (-1.50242833663159, 3.28739973209785)","-0.0391952086740505 (-3.25477802214932, 3.17098909997734)","1.84127444883585 (-0.91697943320424, 4.71930178421567)","0.632101167312646 (-1.53619695099936, 3.03263366423467)","0.837105124803499 (-3.3589965708895, 5.19410040763512)"
"Gefitinib","0.532755842774008 (-0.374188484529201, 1.4816815500483)","1.64248073508072 (-0.501985352795978, 4.10093627746037)","32.8056986714312 (4.64803412349799, 99.5469271942889)","1.07690016546507 (-0.201354072606349, 2.59801756174692)","0.610128967623978 (-0.269985042656826, 1.52518978529447)","0.207257561841262 (-0.908853258288672, 1.35958141301075)","0.385131619653511 (-3.44286480112532, 4.35253452463669)","0.332470789097236 (-0.548450162902874, 1.2928752690811)","0.681081159334954 (-0.352439421704527, 1.76779914073909)","-36.5151788748545 (-108.276334031941, -1.88605023341056)","0.756562524495307 (-0.784092015335702, 2.43285204550437)","-32.8111986888632 (-112.309698377373, -1.12050507165823)","24.3067519932975 (2.39582593003529, 70.1775088971625)","-0.0400237338624722 (-2.11736737756166, 2.15623743510714)","25.5573975249833 (1.67568964833786, 75.3996301878378)","2.00077159469031 (0.189182117257684, 4.27732482022581)","0.722010113261258 (-0.435030860229, 1.88197252982441)","-0.479349565653782 (-2.94533941634891, 1.78668749936897)","Gefitinib","1.26915178875773 (-0.146508792059514, 2.97151091400879)","-0.981094288245695 (-2.89977758382567, 0.846135599176768)","0.746175251164646 (-0.382823312493082, 1.93543843319266)","1.67708353340395 (0.309838818280757, 3.07607813829335)","0.3025206729987 (-0.736406501639689, 1.35579335175139)","-0.517554068320193 (-3.03244671453618, 1.75787648656759)","1.33778678783242 (-0.428691689535436, 3.18759144441467)","0.155508322355788 (-0.747956037603201, 1.04579465846839)","0.336469237746942 (-3.44235977217086, 4.21723726211841)"
"Gefitinib_chemo","-0.742973744546097 (-2.67463986126287, 0.959917977190541)","0.360605287740677 (-2.37207821316573, 3.2005954784947)","31.4944543118496 (3.30893200756796, 98.228280597169)","-0.199413692168115 (-2.29837686218206, 1.88353993893715)","-0.666435148472832 (-2.58154906881618, 1.03250600020444)","-1.06780700595704 (-3.10484863350634, 0.768620079617443)","-0.916353479190743 (-5.06023628947063, 3.30733957542526)","-0.942362628295872 (-2.85106589665807, 0.789140073482333)","-0.596780869698044 (-2.56697961045072, 1.21403678891007)","-37.824133628616 (-109.573731363852, -3.18674238635484)","-0.533226815273306 (-2.7740699686957, 1.67005358487264)","-34.1751351198955 (-113.605674581613, -2.37351093387916)","23.0229442777823 (0.989905637931501, 68.8180383837415)","-1.32625429045414 (-3.9783738529981, 1.29131469360538)","24.1959738666639 (0.21177015107599, 74.1122527532589)","0.727225090626409 (-1.73174056250112, 3.41589672052334)","-0.555805977380781 (-2.609734364294, 1.28835055389038)","-1.77668280216589 (-4.74444252618772, 0.948970879737888)","-1.26915178875773 (-2.97151091400879, 0.146508792059514)","Gefitinib_chemo","-2.26492480523599 (-4.81999826606233, 0.0539130741715137)","-0.528767315834286 (-2.57308068581307, 1.32662550817718)","0.39976908973672 (-1.78226807902041, 2.39394128976057)","-0.972343424122407 (-2.96746327612628, 0.805845496982849)","-1.81767952722988 (-4.8163202324768, 0.911542095916797)","0.0551536687236344 (-2.39773208097155, 2.39848581000876)","-1.12246332530875 (-3.04851001770328, 0.574299291188483)","-0.959382906736177 (-5.1286763824877, 3.18142818442733)"
"Gefitinib_Erlotinib","1.5147422955684 (-0.316942587322373, 3.49189627961917)","2.63568924632686 (-0.0697834852681491, 5.62128055146477)","33.8537055965786 (5.55327526557424, 100.545015759369)","2.05466143753386 (0.109731792042264, 4.32370509334505)","1.58461556609692 (-0.163299134064276, 3.48301567481357)","1.19155260901276 (-0.713115504077237, 3.21300805542388)","1.36680646809932 (-2.72691120238768, 5.6348327111311)","1.30965745112571 (-0.425379709417186, 3.23868898301743)","1.66009769916754 (-0.160297337332123, 3.6627855997526)","-35.5201605472201 (-107.384901167418, -0.81567901993436)","1.73024398079196 (-0.396953393575098, 4.11473890652974)","-31.8148748714577 (-111.272669841751, -0.085506559161004)","25.303430153884 (3.34883128292773, 71.2537482168271)","0.944713647181024 (-1.64116080365087, 3.6887302553837)","26.5794948396497 (2.50699864661591, 76.5780261926033)","3.00351367925257 (0.605703250135744, 5.80142622084085)","1.70083318853948 (-0.208215065507972, 3.72948743207348)","0.493278903582143 (-2.39673000675598, 3.31397755147798)","0.981094288245695 (-0.846135599176768, 2.89977758382567)","2.26492480523599 (-0.0539130741715137, 4.81999826606233)","Gefitinib_Erlotinib","1.72783097995379 (-0.0904389668738544, 3.67334004180713)","2.65616434203739 (0.807648296166442, 4.63916870872109)","1.27398460209545 (-0.202386354436759, 2.91190234287903)","0.456997739711711 (-2.26484793599741, 3.04527362547452)","2.31455583703823 (0.255378383262126, 4.56001450511029)","1.12852656824664 (-0.594232647690656, 2.96477870993533)","1.31606521220851 (-2.7481366527917, 5.54515002252398)"
"Lazertinib","-0.212344604069769 (-1.54018569232823, 1.10473199447631)","0.899222583885657 (-1.46053024153882, 3.49266017544209)","32.0364910335538 (3.86121803292355, 98.7109281456323)","0.329735732904869 (-1.20972266489902, 2.09054082267917)","-0.135922862151446 (-1.38000284751104, 1.11069208390684)","-0.53889887173538 (-1.97105320873045, 0.890830230418936)","-0.35795219068566 (-4.28921214162365, 3.66006834086009)","-0.415738657931551 (-1.65710823440715, 0.869538355595607)","-0.0629185341851317 (-1.4307018552646, 1.30728508903601)","-37.2758629854766 (-109.126730208021, -2.61532917465652)","0.00178369607855644 (-1.75720478566686, 1.8779778774003)","-33.5511457110408 (-113.081880360204, -1.83796421479491)","23.581188266834 (1.59634232624191, 69.4662385020779)","-0.785893421198629 (-3.03801096608767, 1.55898694883731)","24.7639253353315 (0.884984533504016, 74.6713414800766)","1.25880305379019 (-0.763989891184371, 3.66925310189801)","-0.0204841685056065 (-1.49275437876686, 1.40929837155018)","-1.23148516746007 (-3.85225034012498, 1.18950353323185)","-0.746175251164646 (-1.93543843319266, 0.382823312493082)","0.528767315834286 (-1.32662550817718, 2.57308068581307)","-1.72783097995379 (-3.67334004180713, 0.0904389668738544)","Lazertinib","0.929096704315792 (-0.209606845825809, 2.0788336613323)","-0.443458791218444 (-1.51634063502035, 0.604199852883243)","-1.26263946615596 (-3.78559669465289, 1.01271451420469)","0.591378126935139 (-1.20285439634994, 2.43420226994499)","-0.591410983268664 (-1.82906409703437, 0.59610584352852)","-0.40883791284377 (-4.27852023629764, 3.58537911713197)"
"Lazertinib_Amivantamab","-1.14202370436159 (-2.61416963150352, 0.332482036755568)","-0.0318374207669923 (-2.47340265692601, 2.6651265637099)","31.119718281436 (2.91104685590458, 97.8739191667496)","-0.60463302165998 (-2.23580700349647, 1.27107163480438)","-1.06739158902592 (-2.44814505769894, 0.326937694065693)","-1.4671514579007 (-3.03926355989275, 0.0998791422660712)","-1.29209494543066 (-5.28274382098861, 2.78113375603718)","-1.34398085301837 (-2.72248572578811, 0.0955415908262229)","-0.992934646381409 (-2.48559930364892, 0.515616006394752)","-38.1892977146376 (-110.172997454213, -3.55704293617736)","-0.92936002997046 (-2.78530889674483, 1.07693191938277)","-34.4809605470097 (-113.935877207819, -2.80120354058571)","22.6482948569774 (0.64393407136714, 68.6031633980124)","-1.72264426037568 (-4.03961312499375, 0.714594395536477)","23.8344358077168 (-0.0535212411107128, 73.8717924034646)","0.330644327862769 (-1.77820885517211, 2.81352687998431)","-0.952964399349935 (-2.55087920917399, 0.602538219173374)","-2.16481807783792 (-4.83297870920615, 0.335371174848178)","-1.67708353340395 (-3.07607813829335, -0.309838818280757)","-0.39976908973672 (-2.39394128976057, 1.78226807902041)","-2.65616434203739 (-4.63916870872109, -0.807648296166442)","-0.929096704315792 (-2.0788336613323, 0.209606845825809)","Lazertinib_Amivantamab","-1.37063341612846 (-2.51427155426809, -0.267060040811571)","-2.19184556373137 (-4.75433110953988, 0.0968964581571341)","-0.342763579165424 (-2.16056728446082, 1.54308274328005)","-1.52209943427232 (-2.88277115284743, -0.20396219449828)","-1.35312101654408 (-5.24635491607929, 2.69075504017841)"
"Osimertinib","0.230724257102231 (-0.849290039324747, 1.34078487112158)","1.33609560151406 (-0.893902776040627, 3.85628393368741)","32.5225420221285 (4.3277250293571, 99.2558628443439)","0.772017862687824 (-0.56653611673132, 2.34685240497452)","0.310426174556713 (-0.635442127633237, 1.27785837172453)","-0.0963534323309825 (-1.28147023401504, 1.12079717164209)","0.0860644855085365 (-3.77159263778904, 4.03642620140822)","0.0330821184771605 (-0.924965608992874, 1.04120421723843)","0.381055017609727 (-0.717266468426999, 1.51349858233762)","-36.7983964836337 (-108.72358670843, -2.19629746233862)","0.452304889862875 (-1.10971998433057, 2.16753814237084)","-33.093787833044 (-112.653879903967, -1.43824034081479)","24.0024518345931 (2.08277665297333, 69.9028287725687)","-0.344983183049174 (-2.45010286354362, 1.86430981864685)","25.2273321260434 (1.33287475066892, 75.1368499238846)","1.70028974538488 (-0.159333385919957, 4.01542799467221)","0.423594651911053 (-0.802740301011249, 1.62116672024006)","-0.784001407247628 (-3.28739973209785, 1.50242833663159)","-0.3025206729987 (-1.35579335175139, 0.736406501639689)","0.972343424122407 (-0.805845496982849, 2.96746327612628)","-1.27398460209545 (-2.91190234287903, 0.202386354436759)","0.443458791218444 (-0.604199852883243, 1.51634063502035)","1.37063341612846 (0.267060040811571, 2.51427155426809)","Osimertinib","-0.810895754837113 (-3.13909140524271, 1.20668810597643)","1.0342037701302 (-0.394777543661825, 2.56958199590458)","-0.146198087945452 (-1.0377109942303, 0.727740742474934)","0.0284108267232162 (-3.75071637110966, 3.93097724418821)"
"Osimertinib_antiangio","1.05621652492471 (-1.22460983212383, 3.60270596577345)","2.18678676372326 (-0.842160463256003, 5.53886120011012)","33.3267242029099 (5.01373524712547, 100.063431747983)","1.61436129192898 (-0.80350818496874, 4.37423661649031)","1.12801348473931 (-1.09808309307879, 3.64129098661019)","0.721267779559495 (-1.61907768569882, 3.32074122308291)","0.940963687706635 (-3.46775210155751, 5.44469363949604)","0.852207196029892 (-1.36993750950035, 3.35691706692366)","1.20301559882918 (-1.09055872587833, 3.75980523789147)","-36.0054278059862 (-107.772286410151, -1.18748124893074)","1.27963071183522 (-1.27264560293841, 4.11794518705947)","-32.2745264492311 (-111.896561693358, -0.555529701287428)","24.8928319046347 (2.75762756949122, 70.8306890766504)","0.49208511584624 (-2.45472122836627, 3.67236537151486)","26.1242825999679 (2.07738248398164, 76.0846846708035)","2.5562752122546 (-0.216524761651887, 5.76592868879943)","1.23954394589415 (-1.11411588815737, 3.83294040986948)","0.0391952086740505 (-3.17098909997734, 3.25477802214932)","0.517554068320193 (-1.75787648656759, 3.03244671453618)","1.81767952722988 (-0.911542095916797, 4.8163202324768)","-0.456997739711711 (-3.04527362547452, 2.26484793599741)","1.26263946615596 (-1.01271451420469, 3.78559669465289)","2.19184556373137 (-0.0968964581571341, 4.75433110953988)","0.810895754837113 (-1.20668810597643, 3.13909140524271)","Osimertinib_antiangio","1.86168545594152 (-0.617241251425059, 4.6075352705143)","0.662682847158903 (-1.5297653511732, 3.1502060268351)","0.882322614837759 (-3.39329046343391, 5.31992100120573)"
"Osimertinib_chemo","-0.80269094766165 (-2.66936438450419, 1.00293248551325)","0.308105680940096 (-2.41203496184215, 3.18919060545378)","31.4583486849668 (3.22614449397425, 98.1720006137655)","-0.262979242902432 (-2.24711581305426, 1.87445782786664)","-0.726591376491494 (-2.51616826821796, 1.01039921376482)","-1.13087132189107 (-3.06938024831723, 0.754771679363942)","-0.971075058649731 (-5.07205912772299, 3.26961024767028)","-1.00208678241372 (-2.79060896397983, 0.761954067585404)","-0.65678114507908 (-2.53079452564106, 1.1681072485111)","-37.842824458551 (-109.667294544044, -3.17402955896794)","-0.595485989083938 (-2.75285366990558, 1.67564308268657)","-34.1399803839536 (-113.662714999559, -2.41396059441277)","22.9441621430094 (0.984978953127844, 68.8573393075699)","-1.3859041286411 (-3.98878235473946, 1.2541485751219)","24.1707260524176 (0.230155110965487, 74.2004997759164)","0.669928274610275 (-1.72469469851033, 3.36993189906724)","-0.616085693245523 (-2.57285578579062, 1.25292089803053)","-1.84127444883585 (-4.71930178421567, 0.91697943320424)","-1.33778678783242 (-3.18759144441467, 0.428691689535436)","-0.0551536687236344 (-2.39848581000876, 2.39773208097155)","-2.31455583703823 (-4.56001450511029, -0.255378383262126)","-0.591378126935139 (-2.43420226994499, 1.20285439634994)","0.342763579165424 (-1.54308274328005, 2.16056728446082)","-1.0342037701302 (-2.56958199590458, 0.394777543661825)","-1.86168545594152 (-4.6075352705143, 0.617241251425059)","Osimertinib_chemo","-1.18367702031245 (-2.95187806893359, 0.481692420840562)","-1.01231850701763 (-5.06109915693547, 3.15324035249499)"
