"","group","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity"
"33","Gefitinib_Erlotinib",NA,0.352,NA,0.2019,NA,0.8533,NA,0.156,NA,0.3047,NA,0.2517,NA,0.271,NA,0.1735
"34","Lazertinib",NA,0.617,NA,0.4358,NA,0.3172,NA,0.5454,NA,0.6292,NA,0.5034,NA,0.4003,NA,0.583
"35","Lazertinib_Amivantamab",NA,0.5649,NA,0.3607,NA,NA,NA,0.7682,NA,0.5905,NA,0.4219,NA,0.3858,NA,0.8972
"36","Osimertinib",NA,0.5018,NA,0.4229,NA,0.2076,NA,0.3894,NA,0.5504,NA,0.4785,NA,0.3433,NA,0.4296
"37","Osimertinib_antiangio",NA,0.9887,NA,0.8208,NA,0.4275,NA,0.2516,NA,0.7781,NA,0.7176,NA,0.8637,NA,0.2783
"38","Osimertinib_chemo",NA,0.6523,NA,0.8357,NA,0.8035,NA,0.682,NA,0.6623,NA,0.5664,NA,0.4634,NA,0.6633
"39","I_MMPi",NA,NA,0.7933,NA,NA,NA,0.2224,NA,0.3285,NA,0.8622,NA,NA,NA,0.2717,NA
"40","I_PARPi",NA,NA,0.7933,NA,NA,NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA
"41","Erlotinib_MMPi",NA,NA,NA,0.7875,NA,NA,NA,0.2554,NA,0.3367,NA,0.8565,NA,NA,NA,0.2947
"42","Gefitinib_chemo",NA,NA,NA,0.8229,NA,0.3427,NA,0.6662,NA,0.5631,NA,0.5064,NA,0.4419,NA,0.6257
"43","Gefitinib_PARPi",NA,NA,NA,0.818,NA,NA,NA,NA,NA,NA,NA,0.8852,NA,NA,NA,NA
"44","Icotinib",NA,NA,NA,0.8473,NA,NA,NA,NA,NA,NA,NA,0.9003,NA,NA,NA,NA
"45","Gefitinib_antiangio",NA,NA,NA,NA,NA,0.6518,NA,NA,NA,NA,NA,NA,NA,0.9094,NA,NA
"46","I_Autophagyi",NA,NA,NA,NA,NA,NA,0.0332,NA,0.52,NA,NA,NA,0.1721,NA,0.0255,NA
"47","I_COX2i",NA,NA,NA,NA,NA,NA,0.0326,NA,NA,NA,NA,NA,NA,NA,0.0353,NA
"48","I_ERi",NA,NA,NA,NA,NA,NA,0.963,NA,NA,NA,NA,NA,NA,NA,0.7343,NA
"49","I_HGFi",NA,NA,NA,NA,NA,NA,0.9582,NA,NA,NA,0.0108,NA,NA,NA,0.4404,NA
"50","Erlotinib_Autophagyi",NA,NA,NA,NA,NA,NA,NA,0.0237,NA,0.5164,NA,NA,NA,0.2214,NA,0.023
"51","Erlotinib_COX2i",NA,NA,NA,NA,NA,NA,NA,0.0293,NA,NA,NA,NA,NA,NA,NA,0.0247
"52","Erlotinib_ERi",NA,NA,NA,NA,NA,NA,NA,0.9518,NA,NA,NA,NA,NA,NA,NA,0.6933
"53","Erlotinib_HGFi",NA,NA,NA,NA,NA,NA,NA,0.9479,NA,NA,NA,0.0287,NA,NA,NA,0.4573
"54","chemo_antiangio",NA,NA,NA,NA,NA,NA,NA,NA,0.0298,0.0236,NA,NA,NA,NA,NA,NA
"55","III_PD_L1i",NA,NA,NA,NA,NA,NA,NA,NA,0.0238,NA,NA,NA,0.0076,NA,NA,NA
"56","Osimertinib_PD_L1i",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0223,NA,NA,NA,0.0103,NA,NA
"57","Antiangio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8122,NA,NA,NA
"58","Gefitinib_ERi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8112
