"","x"
"Afatinib",0.2157
"Afatinib_Cetuximab",0.0093
"antiangio",0.637
"chemo",0.877
"Erlotinib",0.2828
"Erlotinib_antiangio",0.4988
"Erlotinib_IGF_1Ri",0.8185
"Erlotinib_METi",0.8195
"Gefitinib",0.352
"Gefitinib_antiangio",0.652
"Gefitinib_chemo",0.3422
"Gefitinib_Erlotinib",0.8608
"Lazertinib",0.3197
"Osimertinib",0.2087
"Osimertinib_antiangio",0.4297
"Osimertinib_chemo",0.8006
"Placebo",0.3756
