"Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","6.15 (0.73 to  52.01)",".",".",".",".",".",".",".",".",".",".",".","."
"6.75 (0.51 to  88.80)","3.17 (1.25 to   8.00)","3.31 (0.26 to  42.75)","2.73 (0.40 to  18.53)","2.25 (0.27 to  18.74)","1.96 (0.41 to   9.31)","1.80 (0.39 to   8.27)","1.68 (0.66 to   4.24)","1.83 (0.15 to  22.09)","1.55 (0.57 to   4.21)","1.50 (0.13 to  17.70)","1.37 (0.14 to  13.82)","1.10 (0.26 to   4.65)","1.02 (0.10 to  10.15)","1.04 (0.18 to   6.15)","Erlotinib","1.03 (0.43 to   2.45)","1.05 (0.29 to   3.78)","1.10 (0.23 to   5.30)",".",".",".","2.08 (0.47 to   9.08)","1.62 (0.60 to   4.36)","1.45 (0.43 to   4.86)"
"6.93 (0.46 to 105.16)","3.25 (0.91 to  11.58)","3.40 (0.23 to  50.67)","2.80 (0.34 to  22.96)","2.31 (0.23 to  22.84)","2.02 (0.34 to  11.98)","1.85 (0.32 to  10.69)","1.72 (0.48 to   6.13)","1.88 (0.13 to  26.28)","1.59 (0.42 to   5.98)","1.54 (0.11 to  21.08)","1.41 (0.12 to  16.62)","1.13 (0.21 to   6.07)","1.05 (0.09 to  12.22)","1.07 (0.15 to   7.72)","1.03 (0.43 to   2.45)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".","."
"7.11 (0.40 to 126.21)","3.34 (0.69 to  16.17)","3.48 (0.20 to  60.87)","2.87 (0.29 to  28.75)","2.37 (0.20 to  28.18)","2.07 (0.28 to  15.49)","1.90 (0.26 to  13.87)","1.77 (0.36 to   8.56)","1.93 (0.12 to  31.69)","1.63 (0.32 to   8.27)","1.58 (0.10 to  25.45)","1.44 (0.10 to  20.24)","1.16 (0.17 to   7.95)","1.08 (0.08 to  14.90)","1.10 (0.12 to   9.78)","1.05 (0.29 to   3.78)","1.03 (0.22 to   4.81)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".","."
"7.42 (0.36 to 151.85)","3.48 (0.56 to  21.60)","3.63 (0.18 to  73.29)","3.00 (0.25 to  35.76)","2.47 (0.18 to  34.65)","2.16 (0.24 to  19.72)","1.98 (0.22 to  17.70)","1.84 (0.30 to  11.43)","2.01 (0.11 to  38.27)","1.70 (0.26 to  10.98)","1.65 (0.09 to  30.77)","1.50 (0.09 to  24.65)","1.21 (0.14 to  10.19)","1.12 (0.07 to  18.16)","1.15 (0.11 to  12.27)","1.10 (0.23 to   5.30)","1.07 (0.18 to   6.45)","1.04 (0.14 to   7.91)","Erlotinib + HER3 inhibitor",".",".",".",".",".","."
"11.95 (0.19 to 769.04)","5.60 (0.17 to 180.41)","5.85 (0.09 to 367.55)","4.82 (0.11 to 210.74)","3.98 (0.08 to 195.69)","3.48 (0.09 to 128.14)","3.19 (0.08 to 123.81)","2.96 (0.12 to  73.82)","3.24 (0.05 to 197.73)","2.74 (0.09 to  85.54)","2.66 (0.04 to 159.93)","2.42 (0.04 to 132.74)","1.94 (0.05 to  69.38)","1.81 (0.03 to 104.58)","1.84 (0.04 to  81.41)","1.77 (0.06 to  50.23)","1.72 (0.05 to  54.63)","1.68 (0.05 to  60.33)","1.61 (0.04 to  64.93)","Afatinib + Cetuximab",".",".",".",".","."
"14.01 (0.21 to 916.57)","6.57 (0.20 to 215.71)","6.86 (0.11 to 438.10)","5.66 (0.13 to 251.58)","4.67 (0.09 to 233.49)","4.08 (0.11 to 153.11)","3.74 (0.09 to 147.90)","3.48 (0.14 to  88.40)","3.79 (0.06 to 235.71)","3.22 (0.10 to 102.30)","3.11 (0.05 to 190.66)","2.84 (0.05 to 158.31)","2.28 (0.06 to  82.90)","2.12 (0.04 to 124.69)","2.16 (0.05 to  97.18)","2.07 (0.07 to  60.10)","2.02 (0.06 to  65.33)","1.97 (0.05 to  72.09)","1.89 (0.05 to  77.54)","1.17 (0.01 to 112.24)","Afatinib + HMGCR inhibitor",".",".",".","."
"11.08 (0.79 to 155.34)","5.20 (0.51 to  52.63)","5.42 (0.24 to 121.16)","4.47 (0.33 to  60.35)","3.70 (0.35 to  39.52)","3.22 (0.31 to  33.76)","2.96 (0.24 to  37.18)","2.75 (0.30 to  25.00)","3.00 (0.23 to  38.73)","2.55 (0.32 to  20.43)","2.46 (0.70 to   8.68)","2.25 (0.19 to  26.94)","1.80 (0.38 to   8.52)","1.67 (0.07 to  38.21)","1.71 (0.11 to  27.19)","1.64 (0.20 to  13.70)","1.60 (0.16 to  15.82)","1.56 (0.13 to  18.53)","1.49 (0.11 to  20.94)","0.93 (0.02 to  45.80)","0.79 (0.02 to  39.75)","Gefitinib/Erlotinib",".",".","."
"10.49 (0.83 to 132.29)","4.92 (1.25 to  19.39)","5.14 (0.36 to  73.02)","4.24 (0.55 to  32.62)","3.50 (0.42 to  29.04)","3.05 (0.55 to  16.82)","2.80 (0.47 to  16.75)","2.60 (0.83 to   8.20)","2.84 (0.25 to  32.87)","2.41 (0.68 to   8.60)","2.33 (0.21 to  26.32)","2.13 (0.21 to  21.06)","1.70 (0.43 to   6.69)","1.59 (0.13 to  19.51)","1.62 (0.21 to  12.49)","1.55 (0.57 to   4.27)","1.51 (0.40 to   5.73)","1.47 (0.29 to   7.52)","1.41 (0.22 to   9.17)","0.88 (0.03 to  26.66)","0.75 (0.02 to  23.19)","0.95 (0.12 to   7.51)","Placebo",".","2.00 (0.21 to  19.31)"
"10.96 (0.69 to 173.05)","5.14 (1.33 to  19.91)","5.36 (0.35 to  83.40)","4.42 (0.51 to  38.23)","3.65 (0.35 to  37.87)","3.19 (0.51 to  20.13)","2.93 (0.48 to  17.98)","2.72 (0.70 to  10.54)","2.97 (0.20 to  43.31)","2.52 (0.62 to  10.26)","2.44 (0.17 to  34.75)","2.22 (0.18 to  27.45)","1.78 (0.31 to  10.24)","1.66 (0.14 to  20.20)","1.69 (0.22 to  12.90)","1.62 (0.60 to   4.36)","1.58 (0.42 to   5.89)","1.54 (0.31 to   7.74)","1.48 (0.23 to   9.46)","0.92 (0.03 to  30.04)","0.78 (0.02 to  26.12)","0.99 (0.10 to  10.27)","1.04 (0.25 to   4.30)","Erlotinib + MET inhibitor","."
"11.59 (0.74 to 181.06)","5.44 (1.30 to  22.74)","5.68 (0.36 to  89.78)","4.68 (0.53 to  41.35)","3.87 (0.37 to  39.93)","3.37 (0.52 to  21.85)","3.10 (0.48 to  19.98)","2.88 (0.72 to  11.51)","3.14 (0.22 to  45.30)","2.66 (0.63 to  11.33)","2.58 (0.18 to  36.34)","2.35 (0.19 to  28.85)","1.88 (0.33 to  10.64)","1.75 (0.14 to  22.29)","1.79 (0.22 to  14.37)","1.72 (0.58 to   5.11)","1.67 (0.41 to   6.74)","1.63 (0.30 to   8.74)","1.56 (0.23 to  10.59)","0.97 (0.03 to  32.18)","0.83 (0.02 to  27.97)","1.05 (0.10 to  10.73)","1.11 (0.29 to   4.16)","1.06 (0.24 to   4.61)","Dacomitinib"
