"Therapy","cardiac serious (0)","cardiac total (0)","vascular serious (0)","vascular total (0)","cardiac serious (dose)","cardiac total (dose)","vascular serious (dose)","vascular total (dose)","cardiac serious (dose)-1","cardiac total (dose)-1","vascular serious (dose)-1","vascular total (dose)-1","cardiac serious (dose)-2","cardiac total (dose)-2","vascular serious (dose)-2","vascular total (dose)-2","cardiac serious (dose)-2gen","cardiac total (dose)-2gen","vascular serious (dose)-2gen","vascular total (dose)-2gen","cardiac serious (dose)-1gen","cardiac total (dose)-1gen","vascular serious (dose)-1gen","vascular total (dose)-1gen","cardiac serious (antiangio)","cardiac serious (MET)","cardiac serious (IGF-1R)","cardiac total (antiangio)","cardiac total (MET)","cardiac total (IGF-1R)","vascular serious (antiangio)","vascular serious (MET)","vascular serious (IGF-1R)","vascular total (antiangio)","vascular total (MET)","vascular total (IGF-1R)","Serious Cardiac","Serious Cardiac (Gen)","Total Cardiac","Total Cardiac (Gen)","Serious Vascular","Serious Vascular (Gen)","Total Vascular","Total Vascular (Gen)","Serious Arrhythmias","Serious Arrhythmias (Gen)","Total Arrhythmias","Total Arrhythmias (Gen)","Serious Heart Failure","Serious Heart Failure (Gen)","Total Heart Failure","Total Heart Failure (Gen)","Serious Vascular Toxicity","Serious Vascular Toxicity (Gen)","Total Vascular Toxicity","Total Vascular Toxicity (Gen)","Serious Hypertension","Serious Hypertension (Gen)","Total Hypertension","Total Hypertension (Gen)","cardiac serious (0)-gen","cardiac total (0)-gen","vascular serious (0)-gen","vascular total (0)-gen","cardiac serious (dose)-gen","cardiac total (dose)-gen","vascular serious (dose)-gen","vascular total (dose)-gen","Total Hypertension (funnel)","Total Vascular (funnel)","Serious Cardiac (G-E)","Serious Cardiac (G-E)-Gen","Total Cardiac (G-E)","Total Cardiac (G-E)-Gen","Serious Vascular (G-E)","Serious Vascular (G-E)-Gen","Total Vascular (G-E)","Total Vascular (G-E)-Gen"
"1st-generation EGFR TKIs + HER3 inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.40 (0.54 to   10.60)(Low)",NA,"3.36 (0.78 to   14.54)(Low)",NA,"0.42 (0.04 to    3.91)(Low)",NA,"0.45 (0.07 to    3.06)(Low)",NA,"1.37 (0.22 to    8.52)(Low)",NA,"2.28 (0.42 to   12.31)(Low)",NA,"3.78 (0.15 to  95.61)(Low)",NA,"3.78 (0.15 to   95.61)(Low)",NA,"0.53 (0.11 to    2.46)(Very low)",NA,"0.55 (0.11 to    2.79)(Low)",NA,NA,NA,NA,"2.40 (0.54 to   10.60)(Low)","3.34 (0.77 to   14.47)(Moderate)","0.44 (0.05 to    3.90)(Low)","0.48 (0.08 to   2.97)(Low)",NA,NA,NA,NA,NA,NA,NA,"2.48 (0.56 to   11.00)(Low)",NA,"3.59 (0.83 to   15.54)(Moderate)",NA,"0.41 (0.04 to    3.98)(Low)",NA,"0.45 (0.07 to    3.08)(Low)"
"2nd-generation EGFR TKIs + Cetuximab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.96 (0.09 to   10.03)(Low)","1.18 (0.43 to    3.24)(Low)","2.34 (0.27 to   20.24)(Low)","1.02 (0.29 to   3.58)(Low)","0.96 (0.09 to   10.03)(Low)","1.18 (0.43 to    3.24)(Low)","2.34 (0.27 to   20.24)(Low)","1.02 (0.29 to    3.58)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.96 (0.09 to   10.03)(Low)",NA,"1.18 (0.43 to    3.24)(Low)",NA,"2.25 (0.26 to   19.85)(Low)",NA,"0.99 (0.25 to    3.87)(Low)",NA,"0.54 (0.02 to   15.59)(Low)",NA,"1.26 (0.32 to    4.86)(Low)",NA,NA,NA,NA,NA,"2.38 (0.45 to   12.52)(Very low)",NA,"1.51 (0.37 to    6.16)(Low)",NA,"0.14 (0.00 to    9.84)(Low)",NA,"0.44 (0.12 to   1.61)(Low)","0.96 (0.09 to   10.04)(Low)","1.18 (0.43 to    3.23)(Low)","2.33 (0.28 to   19.12)(Low)","1.02 (0.30 to   3.51)(Low)","0.96 (0.09 to   10.03)(Low)","1.18 (0.43 to    3.24)(Low)","2.34 (0.27 to   20.24)(Low)","1.02 (0.29 to    3.58)(Low)",NA,NA,NA,"0.99 (0.09 to   10.31)(Low)",NA,"1.25 (0.46 to    3.42)(Low)",NA,"2.24 (0.25 to   20.27)(Low)",NA,"0.98 (0.24 to    3.93)(Low)"
"1st-generation EGFR TKIs + MET inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94 (0.44 to    2.01)(Low)","1.37 (0.67 to    2.80)(Low)","1.24 (0.39 to    3.89)(Low)","1.30 (0.56 to   2.99)(Low)","0.94 (0.44 to    2.01)(Low)","1.37 (0.67 to    2.80)(Low)","1.24 (0.39 to    3.89)(Low)","1.30 (0.56 to    2.99)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94 (0.44 to    2.01)(Low)",NA,"1.37 (0.67 to    2.80)(Low)",NA,"1.16 (0.37 to    3.69)(Low)",NA,"1.19 (0.49 to    2.92)(Low)",NA,"0.92 (0.24 to    3.61)(Low)",NA,"1.77 (0.58 to    5.44)(Low)",NA,"1.46 (0.30 to   7.01)(Low)",NA,"1.46 (0.30 to    7.01)(Low)",NA,"1.24 (0.64 to    2.37)(Very low)",NA,"1.21 (0.59 to    2.47)(Low)",NA,"2.00 (0.04 to  104.46)(Low)",NA,"2.30 (0.08 to  64.43)(Low)","0.94 (0.44 to    2.00)(Low)","1.37 (0.68 to    2.76)(Low)","1.25 (0.41 to    3.81)(Low)","1.30 (0.57 to   2.98)(Low)","0.94 (0.44 to    2.01)(Low)","1.37 (0.67 to    2.80)(Low)","1.24 (0.39 to    3.89)(Low)","1.30 (0.56 to    2.99)(Low)",NA,NA,NA,"0.97 (0.45 to    2.09)(Low)",NA,"1.46 (0.71 to    2.99)(Low)",NA,"1.15 (0.35 to    3.71)(Low)",NA,"1.18 (0.47 to    2.92)(Low)"
"2nd-generation EGFR TKIs + HMGCR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27 (0.01 to    7.17)(Low)","1.56 (0.39 to    6.28)(Low)",NA,NA,"0.27 (0.01 to    7.17)(Low)","1.56 (0.39 to    6.28)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27 (0.01 to    7.17)(Low)",NA,"1.56 (0.39 to    6.28)(Low)",NA,NA,NA,NA,NA,"0.46 (0.02 to   13.56)(Low)",NA,"2.65 (0.58 to   12.03)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27 (0.01 to    7.18)(Low)","1.55 (0.39 to    6.26)(Low)","1.05 (0.01 to   75.13)(Low)","0.96 (0.02 to  57.31)(Low)","0.27 (0.01 to    7.17)(Low)","1.56 (0.39 to    6.28)(Low)",NA,NA,NA,NA,NA,"0.28 (0.01 to    7.37)(Low)",NA,"1.64 (0.41 to    6.62)(Low)",NA,NA,NA,NA
"Erlotinib + MMP inhibitor","11.14 (0.56 to   221.08)(Low)","3.70 (0.76 to   18.03)(Low)","0.11 (0.00 to     2.83)(Low)","0.22 (0.04 to    1.29)(Low)","11.29 (0.57 to  224.31)(Low)","3.72 (0.76 to   18.13)(Low)","0.11 (0.00 to     2.94)(Low)","0.22 (0.04 to    1.30)(Low)","11.29 (0.57 to  224.31)(Low)","3.72 (0.76 to   18.13)(Low)","0.11 (0.00 to     2.94)(Low)","0.22 (0.04 to    1.30)(Low)","11.29 (0.57 to  224.31)(Low)","3.72 (0.76 to   18.13)(Low)","0.11 (0.00 to     2.94)(Low)","0.22 (0.04 to   1.30)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.29 (0.57 to  224.31)(Low)",NA,"3.72 (0.76 to   18.13)(Low)",NA,"0.11 (0.00 to     2.92)(Low)",NA,"0.22 (0.04 to    1.30)(Low)",NA,NA,NA,"1.25 (0.13 to   11.96)(Low)",NA,"5.57 (0.17 to  182.38)(Low)",NA,"5.57 (0.17 to   182.38)(Low)",NA,"0.55 (0.11 to    2.87)(Low)",NA,"0.60 (0.15 to     2.40)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.20 ( 0.05 to   0.89)(Moderate)","11.29 (0.57 to  224.31)(Low)",NA,"3.72 (0.76 to   18.13)(Low)",NA,"0.11 (0.00 to     2.92)(Low)",NA,"0.22 (0.04 to    1.30)(Low)",NA
"Icotinib","8.66 (0.41 to   181.87)(Low)","9.05 (0.43 to  189.35)(Low)","0.95 (0.01 to    64.63)(Low)","1.04 (0.02 to   61.16)(Low)","8.51 (0.40 to  179.94)(Low)","9.09 (0.43 to  191.14)(Low)",NA,NA,"8.51 (0.40 to  179.94)(Low)","9.09 (0.43 to  191.14)(Low)",NA,NA,"8.51 (0.40 to  179.94)(Low)","9.09 (0.43 to  191.14)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.51 (0.40 to  179.94)(Low)",NA,"9.09 (0.43 to  191.14)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.55 (0.47 to  652.53)(Low)",NA,"17.55 (0.47 to   652.53)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.51 (0.40 to  179.94)(Low)",NA,"9.09 (0.43 to  191.14)(Low)",NA,NA,NA,NA,NA
"Gefitinib + chemotherapy","1.89 (0.38 to     9.53)(Low)","1.45 (0.44 to    4.74)(Low)","1.26 (0.33 to     4.77)(Low)","1.30 (0.53 to    3.22)(Low)","2.96 (0.38 to   23.07)(Low)","1.46 (0.43 to    4.98)(Low)","1.32 (0.33 to     5.36)(Low)","1.31 (0.53 to    3.25)(Low)","2.96 (0.38 to   23.07)(Low)","1.46 (0.43 to    4.98)(Low)","1.32 (0.33 to     5.36)(Low)","1.31 (0.53 to    3.25)(Low)","2.96 (0.38 to   23.07)(Low)","1.46 (0.43 to    4.98)(Low)","1.32 (0.33 to     5.36)(Low)","1.31 (0.53 to   3.25)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.96 (0.38 to   23.07)(Low)",NA,"1.46 (0.43 to    4.98)(Low)",NA,"1.32 (0.33 to     5.31)(Low)",NA,"1.31 (0.53 to    3.24)(Low)",NA,NA,NA,"2.62 (0.31 to   22.26)(Low)",NA,"7.77 (0.17 to  353.26)(Low)",NA,"1.81 (0.08 to    39.02)(Low)",NA,"2.02 (0.54 to    7.53)(Low)",NA,"1.50 (0.52 to     4.34)(Low)",NA,"0.96 (0.08 to    11.62)(Low)",NA,"1.04 (0.25 to    4.29)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.06 (0.30 to    3.75)(Low)","1.16 ( 0.60 to   2.23)(Low)","2.96 (0.38 to   23.07)(Low)",NA,"1.46 (0.43 to    4.98)(Low)",NA,"1.32 (0.33 to     5.31)(Low)",NA,"1.31 (0.53 to    3.24)(Low)",NA
"Gefitinib + PARP inhibitor","3.71 (0.14 to    99.03)(Low)","3.88 (0.15 to  103.13)(Low)","0.95 (0.01 to    65.31)(Low)","1.05 (0.02 to   61.82)(Low)","3.65 (0.14 to   97.93)(Low)","3.90 (0.15 to  104.07)(Low)",NA,NA,"3.65 (0.14 to   97.93)(Low)","3.90 (0.15 to  104.07)(Low)",NA,NA,"3.65 (0.14 to   97.93)(Low)","3.90 (0.15 to  104.07)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.65 (0.14 to   97.93)(Low)",NA,"3.90 (0.15 to  104.07)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.53 (0.17 to  342.91)(Low)",NA,"7.53 (0.17 to   342.91)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.65 (0.14 to   97.93)(Low)",NA,"3.90 (0.15 to  104.07)(Low)",NA,NA,NA,NA,NA
"Erlotinib + COX2 inhibitor","0.37 (0.01 to     9.72)(Low)","0.43 (0.02 to   11.13)(Low)","0.98 (0.01 to    65.31)(Low)","1.02 (0.02 to   59.89)(Low)","0.38 (0.01 to    9.87)(Low)","0.43 (0.02 to   11.19)(Low)",NA,NA,"0.38 (0.01 to    9.87)(Low)","0.43 (0.02 to   11.19)(Low)",NA,NA,"0.38 (0.01 to    9.87)(Low)","0.43 (0.02 to   11.19)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38 (0.01 to    9.87)(Low)",NA,"0.43 (0.02 to   11.19)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.32 (0.01 to    8.40)(Low)",NA,"0.33 (0.01 to     8.87)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38 (0.01 to    9.87)(Low)",NA,"0.43 (0.02 to   11.19)(Low)",NA,NA,NA,NA,NA
"1st-generation EGFR TKIs + MMP inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.43 (0.53 to  204.74)(Low)","4.23 (0.90 to   19.88)(Low)","0.10 (0.00 to    2.75)(Low)","0.21 (0.04 to   1.21)(Very low)","10.43 (0.53 to  204.74)(Low)","4.23 (0.90 to   19.88)(Low)","0.10 (0.00 to    2.75)(Low)","0.21 (0.04 to    1.21)(Very low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.43 (0.53 to  204.74)(Low)",NA,"4.23 (0.90 to   19.88)(Low)",NA,"0.09 (0.00 to    2.62)(Low)",NA,"0.20 (0.03 to    1.24)(Very low)",NA,NA,NA,"1.51 (0.18 to   12.77)(Low)",NA,"4.55 (0.15 to 134.73)(Low)",NA,"4.55 (0.15 to  134.73)(Low)",NA,"0.45 (0.08 to    2.43)(Very low)",NA,"0.50 (0.12 to    2.11)(Low)",NA,NA,NA,NA,"10.44 (0.53 to  204.83)(Low)","4.21 (0.90 to   19.78)(Low)","0.10 (0.00 to    2.67)(Low)","0.21 (0.04 to   1.20)(Very low)","10.43 (0.53 to  204.74)(Low)","4.23 (0.90 to   19.88)(Low)","0.10 (0.00 to    2.75)(Low)","0.21 (0.04 to    1.21)(Very low)",NA,NA,NA,"10.79 (0.55 to  212.09)(Low)",NA,"4.51 (0.96 to   21.24)(Low)",NA,"0.09 (0.00 to    2.64)(Low)",NA,"0.19 (0.03 to    1.25)(Very low)"
"1st-generation EGFR TKIs + PARP inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28 (0.13 to   84.38)(Low)","4.59 (0.18 to  117.06)(Low)",NA,NA,"3.28 (0.13 to   84.38)(Low)","4.59 (0.18 to  117.06)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28 (0.13 to   84.38)(Low)",NA,"4.59 (0.18 to  117.06)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.47 (0.15 to 132.17)(Low)",NA,"4.47 (0.15 to  132.17)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,"3.28 (0.13 to   84.42)(Low)","4.57 (0.18 to  116.49)(Low)","0.90 (0.01 to   61.70)(Low)","0.96 (0.02 to  56.10)(Low)","3.28 (0.13 to   84.38)(Low)","4.59 (0.18 to  117.06)(Low)",NA,NA,NA,NA,NA,"3.39 (0.13 to   87.40)(Low)",NA,"4.90 (0.19 to  125.00)(Low)",NA,NA,NA,NA
"1st-generation EGFR TKIs + COX2 inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.35 (0.01 to    9.01)(Low)","0.49 (0.02 to   12.51)(Low)",NA,NA,"0.35 (0.01 to    9.01)(Low)","0.49 (0.02 to   12.51)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.35 (0.01 to    9.01)(Low)",NA,"0.49 (0.02 to   12.51)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.26 (0.01 to    6.97)(Very low)",NA,"0.28 (0.01 to    7.62)(Low)",NA,NA,NA,NA,"0.35 (0.01 to    9.02)(Low)","0.48 (0.02 to   12.45)(Low)","0.88 (0.01 to   60.99)(Low)","0.95 (0.02 to  55.46)(Low)","0.35 (0.01 to    9.01)(Low)","0.49 (0.02 to   12.51)(Low)",NA,NA,NA,NA,NA,"0.36 (0.01 to    9.34)(Low)",NA,"0.52 (0.02 to   13.35)(Low)",NA,NA,NA,NA
"Gefitinib + antiangiogenesis","1.53 (0.08 to    27.67)(Low)","1.60 (0.09 to   28.80)(Low)","26.18 (4.70 to   145.69)(High)","12.10 (3.72 to   39.43)(High)",NA,NA,"25.85 (4.41 to   151.71)(High)","12.16 (3.69 to   40.06)(High)",NA,NA,"25.85 (4.41 to   151.71)(High)","12.16 (3.69 to   40.06)(High)",NA,NA,"25.85 (4.41 to   151.71)(High)","12.16 (3.69 to  40.06)(High)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.87 (4.46 to   150.23)(High)",NA,"12.14 (3.70 to   39.88)(High)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.42 (1.86 to   374.50)(High)",NA,"10.52 (2.31 to   47.93)(High)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.89 (2.66 to   36.79)(Moderate)","10.20 ( 4.77 to  21.81)(High)",NA,NA,NA,NA,"25.87 (4.46 to   150.23)(High)",NA,"12.14 (3.70 to   39.88)(High)",NA
"Erlotinib + ER inhibitor","1.28 (0.04 to    39.97)(Low)","1.40 (0.04 to   43.71)(Low)","5.06 (0.17 to   148.42)(Low)","2.56 (0.73 to    8.95)(Low)",NA,NA,"5.10 (0.17 to   154.28)(Low)","2.57 (0.73 to    9.05)(Low)",NA,NA,"5.10 (0.17 to   154.28)(Low)","2.57 (0.73 to    9.05)(Low)",NA,NA,"5.10 (0.17 to   154.28)(Low)","2.57 (0.73 to   9.05)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.09 (0.17 to   153.02)(Low)",NA,"2.56 (0.73 to    9.02)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.09 (0.23 to  111.57)(Low)",NA,"2.23 (0.78 to     6.38)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.33 ( 0.90 to   6.02)(Low)",NA,NA,NA,NA,"5.09 (0.17 to   153.02)(Low)",NA,"2.56 (0.73 to    9.02)(Low)",NA
"Erlotinib + HGF inhibitor","0.54 (0.01 to    34.34)(Low)","0.15 (0.00 to    5.10)(Low)","3.19 (0.09 to   119.17)(Low)","0.79 (0.05 to   11.96)(Low)",NA,"0.15 (0.00 to    5.12)(Low)","3.21 (0.08 to   123.61)(Low)","0.79 (0.05 to   12.05)(Low)",NA,"0.15 (0.00 to    5.12)(Low)","3.21 (0.08 to   123.61)(Low)","0.79 (0.05 to   12.05)(Low)",NA,"0.15 (0.00 to    5.12)(Low)","3.21 (0.08 to   123.61)(Low)","0.79 (0.05 to  12.05)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15 (0.00 to    5.12)(Low)",NA,"3.20 (0.08 to   122.66)(Low)",NA,"0.79 (0.05 to   12.02)(Low)",NA,NA,NA,NA,NA,NA,NA,"0.20 (0.00 to     8.60)(Low)",NA,"3.20 (0.11 to   91.50)(Low)",NA,"0.78 (0.06 to    10.52)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.71 ( 0.06 to   9.15)(Low)",NA,NA,"0.15 (0.00 to    5.12)(Low)",NA,"3.20 (0.08 to   122.66)(Low)",NA,"0.79 (0.05 to   12.02)(Low)",NA
"Erlotinib + Autophagy inhibitor","1.15 (0.02 to    61.87)(Low)","2.21 (0.49 to   10.02)(Low)","0.33 (0.01 to    11.23)(Low)","0.27 (0.06 to    1.17)(Very low)",NA,"2.22 (0.49 to   10.08)(Low)","0.33 (0.01 to    11.66)(Low)","0.28 (0.06 to    1.18)(Very low)",NA,"2.22 (0.49 to   10.08)(Low)","0.33 (0.01 to    11.66)(Low)","0.28 (0.06 to    1.18)(Very low)",NA,"2.22 (0.49 to   10.08)(Low)","0.33 (0.01 to    11.66)(Low)","0.28 (0.06 to   1.18)(Very low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.22 (0.49 to   10.08)(Low)",NA,"0.33 (0.01 to    11.57)(Low)",NA,"0.28 (0.06 to    1.18)(Very low)",NA,NA,NA,"2.08 (0.27 to   16.09)(Low)",NA,NA,NA,NA,NA,"0.33 (0.01 to    8.57)(Low)",NA,"0.14 (0.01 to     2.92)(Low)",NA,NA,NA,"0.43 (0.10 to    1.83)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.42 (0.12 to    1.49)(Low)","0.25 ( 0.08 to   0.75)(Moderate)",NA,NA,"2.22 (0.49 to   10.08)(Low)",NA,"0.33 (0.01 to    11.57)(Low)",NA,"0.28 (0.06 to    1.18)(Very low)",NA
"1st-generation EGFR TKIs + ER inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.53 (0.14 to  143.98)(Low)","2.79 (0.68 to  11.56)(Low)",NA,NA,"4.53 (0.14 to  143.98)(Low)","2.79 (0.68 to   11.56)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.27 (0.13 to  137.10)(Low)",NA,"2.64 (0.58 to   12.02)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.15 (0.19 to   92.75)(Very low)",NA,"2.50 (0.74 to    8.50)(Low)",NA,NA,NA,NA,"1.09 (0.02 to   57.23)(Low)","1.52 (0.03 to   79.10)(Low)","4.55 (0.15 to  139.91)(Low)","2.79 (0.68 to  11.38)(Low)",NA,NA,"4.53 (0.14 to  143.98)(Low)","2.79 (0.68 to   11.56)(Low)",NA,NA,NA,NA,NA,NA,NA,"4.23 (0.13 to  138.23)(Low)",NA,"2.63 (0.57 to   12.17)(Low)"
"1st-generation EGFR TKIs + HGF inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.17 (0.00 to    5.73)(Low)","2.85 (0.07 to  114.98)(Low)","0.73 (0.05 to  11.17)(Low)",NA,"0.17 (0.00 to    5.73)(Low)","2.85 (0.07 to  114.98)(Low)","0.73 (0.05 to   11.17)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.17 (0.00 to    5.73)(Low)",NA,"2.69 (0.07 to  109.42)(Low)",NA,"0.69 (0.04 to   11.12)(Low)",NA,NA,NA,NA,NA,NA,NA,"0.16 (0.00 to    6.40)(Low)",NA,"2.61 (0.09 to   75.95)(Very low)",NA,"0.66 (0.05 to    9.08)(Low)",NA,NA,NA,NA,"0.50 (0.01 to   31.91)(Low)","0.17 (0.00 to    5.70)(Low)","2.86 (0.07 to  111.97)(Low)","0.73 (0.05 to  11.08)(Low)",NA,"0.17 (0.00 to    5.73)(Low)","2.85 (0.07 to  114.98)(Low)","0.73 (0.05 to   11.17)(Low)",NA,NA,NA,NA,NA,"0.18 (0.01 to    6.12)(Low)",NA,"2.66 (0.06 to  110.21)(Low)",NA,"0.69 (0.04 to   11.16)(Low)"
"1st-generation EGFR TKIs + Autophagy inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.52 (0.58 to   11.03)(Low)","0.29 (0.01 to   10.85)(Low)","0.25 (0.06 to   1.10)(Very low)",NA,"2.52 (0.58 to   11.03)(Low)","0.29 (0.01 to   10.85)(Low)","0.25 (0.06 to    1.10)(Very low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.52 (0.58 to   11.03)(Low)",NA,"0.27 (0.01 to   10.33)(Low)",NA,"0.24 (0.05 to    1.14)(Very low)",NA,NA,NA,"2.51 (0.37 to   16.95)(Low)",NA,NA,NA,NA,NA,"0.27 (0.01 to    7.11)(Very low)",NA,"0.11 (0.01 to    2.51)(Low)",NA,NA,NA,"0.42 (0.10 to   1.76)(Low)","1.08 (0.02 to   57.48)(Low)","2.51 (0.57 to   10.97)(Low)","0.29 (0.01 to   10.56)(Low)","0.25 (0.06 to   1.08)(Very low)",NA,"2.52 (0.58 to   11.03)(Low)","0.29 (0.01 to   10.85)(Low)","0.25 (0.06 to    1.10)(Very low)",NA,NA,NA,NA,NA,"2.69 (0.61 to   11.79)(Low)",NA,"0.27 (0.01 to   10.41)(Low)",NA,"0.24 (0.05 to    1.15)(Very low)"
"Osimertinib + PD-L1 inhibitor","1.99 (0.03 to   114.02)(Low)","0.63 (0.03 to   14.89)(Low)","1.31 (0.02 to    96.69)(Low)","0.52 (0.05 to    5.62)(Low)",NA,"0.63 (0.03 to   14.91)(Low)",NA,"0.52 (0.05 to    5.66)(Low)",NA,"0.63 (0.03 to   14.91)(Low)",NA,"0.52 (0.05 to    5.66)(Low)",NA,"0.63 (0.03 to   14.91)(Low)",NA,"0.52 (0.05 to   5.66)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.63 (0.03 to   14.91)(Low)",NA,NA,NA,"0.52 (0.05 to    5.65)(Low)",NA,NA,NA,"0.83 (0.03 to   20.23)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.29 (0.01 to    9.99)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.28 (0.01 to    8.96)(Low)","0.49 ( 0.06 to   4.23)(Low)",NA,NA,"0.63 (0.03 to   14.91)(Low)",NA,NA,NA,"0.52 (0.05 to    5.65)(Low)",NA
