"","Therapy","cardiac serious (0)","cardiac total (0)","vascular serious (0)","vascular total (0)","cardiac serious (dose)","cardiac total (dose)","vascular serious (dose)","vascular total (dose)","cardiac serious (dose)-1","cardiac total (dose)-1","vascular serious (dose)-1","vascular total (dose)-1","cardiac serious (dose)-2","cardiac total (dose)-2","vascular serious (dose)-2","vascular total (dose)-2","cardiac serious (dose)-2gen","cardiac total (dose)-2gen","vascular serious (dose)-2gen","vascular total (dose)-2gen","cardiac serious (dose)-1gen","cardiac total (dose)-1gen","vascular serious (dose)-1gen","vascular total (dose)-1gen","cardiac serious (antiangio)","cardiac serious (MET)","cardiac serious (IGF-1R)","cardiac total (antiangio)","cardiac total (MET)","cardiac total (IGF-1R)","vascular serious (antiangio)","vascular serious (MET)","vascular serious (IGF-1R)","vascular total (antiangio)","vascular total (MET)","vascular total (IGF-1R)","Serious Cardiac","Serious Cardiac (Gen)","Total Cardiac","Total Cardiac (Gen)","Serious Vascular","Serious Vascular (Gen)","Total Vascular","Total Vascular (Gen)","Serious Arrhythmias","Serious Arrhythmias (Gen)","Total Arrhythmias","Total Arrhythmias (Gen)","Serious Heart Failure","Serious Heart Failure (Gen)","Total Heart Failure","Total Heart Failure (Gen)","Serious Vascular Toxicity","Serious Vascular Toxicity (Gen)","Total Vascular Toxicity","Total Vascular Toxicity (Gen)","Serious Hypertension","Serious Hypertension (Gen)","Total Hypertension","Total Hypertension (Gen)","cardiac serious (0)-gen","cardiac total (0)-gen","vascular serious (0)-gen","vascular total (0)-gen","cardiac serious (dose)-gen","cardiac total (dose)-gen","vascular serious (dose)-gen","vascular total (dose)-gen","Total Hypertension (funnel)","Total Vascular (funnel)","Serious Cardiac (G-E)","Serious Cardiac (G-E)-Gen","Total Cardiac (G-E)","Total Cardiac (G-E)-Gen","Serious Vascular (G-E)","Serious Vascular (G-E)-Gen","Total Vascular (G-E)","Total Vascular (G-E)-Gen"
"11","Zorifertinib","1.65 (0.30 to     9.03)","1.18 (0.45 to    3.07)","0.57 (0.01 to    53.05)","0.60 (0.01 to   41.67)","1.65 (0.30 to    9.02)","1.18 (0.45 to    3.07)",NA,NA,"1.65 (0.30 to    9.02)","1.18 (0.45 to    3.07)",NA,NA,"1.65 (0.30 to    9.02)","1.18 (0.45 to    3.07)",NA,NA,"2.66 (0.69 to   10.21)","1.72 (0.84 to    3.50)",NA,NA,"2.66 (0.69 to   10.21)","1.72 (0.84 to    3.50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.65 (0.30 to    9.02)","2.66 (0.69 to   10.21)","1.18 (0.45 to    3.07)","1.72 (0.84 to    3.50)",NA,NA,NA,NA,"2.33 (0.21 to  26.32)","3.70 (0.77 to   17.76)","1.59 (0.54 to    4.72)","2.84 (1.22 to    6.62)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.66 (0.70 to   10.20)","1.71 (0.84 to    3.48)","0.89 (0.01 to   60.79)","0.96 (0.02 to  55.25)","2.66 (0.69 to   10.21)","1.72 (0.84 to    3.50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lazertinib + Amivantamab","2.00 (0.76 to     5.23)","3.40 (1.46 to    7.89)","2.87 (0.61 to    13.56)","5.99 (1.98 to   18.15)","1.99 (0.76 to    5.23)","3.40 (1.47 to    7.91)","2.87 (0.57 to    14.48)","6.00 (1.96 to   18.39)","1.99 (0.76 to    5.23)","3.40 (1.47 to    7.91)","2.87 (0.57 to    14.48)","6.00 (1.96 to   18.39)","1.99 (0.76 to    5.23)","3.40 (1.47 to    7.91)","2.87 (0.57 to    14.48)","6.00 (1.96 to  18.39)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.99 (0.76 to    5.23)",NA,"3.40 (1.47 to    7.91)",NA,"2.87 (0.58 to    14.29)",NA,"6.00 (1.96 to   18.32)",NA,"2.13 (0.21 to  21.06)",NA,"3.53 (0.47 to   26.48)",NA,"0.80 (0.11 to    5.70)",NA,"0.80 (0.11 to     5.70)",NA,"4.00 (1.83 to    8.73)",NA,"7.37 (3.29 to    16.49)",NA,NA,NA,"0.76 (0.18 to    3.17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.76 (0.22 to    2.63)","5.61 ( 2.92 to  10.79)","1.99 (0.76 to    5.23)",NA,"3.40 (1.47 to    7.91)",NA,"2.87 (0.58 to    14.29)",NA,"6.00 (1.96 to   18.32)",NA
"13","Osimertinib","1.42 (0.70 to     2.89)","2.53 (1.53 to    4.19)","0.94 (0.34 to     2.58)","0.97 (0.44 to    2.16)","1.42 (0.70 to    2.89)","2.53 (1.53 to    4.19)","0.95 (0.33 to     2.68)","0.97 (0.43 to    2.17)","1.42 (0.70 to    2.89)","2.53 (1.53 to    4.19)","0.95 (0.33 to     2.68)","0.97 (0.43 to    2.17)","1.42 (0.70 to    2.89)","2.53 (1.53 to    4.19)","0.95 (0.33 to     2.68)","0.97 (0.43 to   2.17)",NA,NA,NA,NA,NA,NA,NA,NA,"1.22 (0.52 to    2.85)","1.22 (0.52 to  2.85)","1.22 (0.52 to   2.85)","2.66 (1.47 to    4.79)","2.65 (1.53 to  4.58)","2.65 (1.53 to   4.58)","0.98 (0.22 to    4.29)","1.02 (0.37 to  2.76)","1.02 (0.37 to   2.76)","0.99 (0.29 to    3.36)","1.01 (0.37 to  2.79)","1.02 (0.37 to   2.76)","1.42 (0.70 to    2.89)",NA,"2.53 (1.53 to    4.19)",NA,"0.95 (0.34 to     2.66)",NA,"0.97 (0.43 to    2.17)",NA,"1.70 (0.43 to   6.69)",NA,"3.35 (1.75 to    6.40)",NA,"1.56 (0.42 to    5.80)",NA,"1.56 (0.42 to     5.80)",NA,"1.08 (0.57 to    2.02)",NA,"1.11 (0.58 to     2.14)",NA,"0.53 (0.05 to     5.49)",NA,"0.65 (0.19 to    2.26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.63 (0.20 to    1.96)","0.91 ( 0.50 to   1.63)","1.42 (0.70 to    2.89)",NA,"2.53 (1.53 to    4.19)",NA,"0.95 (0.34 to     2.66)",NA,"0.97 (0.43 to    2.17)",NA
"14","Rociletinib","1.69 (0.29 to     9.75)","7.07 (2.51 to   19.97)","0.33 (0.01 to    11.45)","0.35 (0.01 to   10.25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.71 (0.29 to    9.90)","1.58 (0.28 to    8.96)","7.11 (2.51 to   20.11)","8.08 (3.02 to   21.61)","0.34 (0.01 to    11.80)","0.28 (0.01 to   10.54)","0.35 (0.01 to   10.29)","0.30 (0.01 to    9.42)","1.59 (0.13 to  19.51)","1.53 (0.13 to   18.32)","16.56 (4.05 to   67.77)","19.94 (5.96 to   66.69)",NA,NA,NA,NA,"1.03 (0.10 to   10.73)","0.84 (0.08 to    8.97)","1.05 (0.10 to    11.48)","0.88 (0.08 to    9.93)",NA,NA,NA,NA,"1.58 (0.28 to    8.96)","8.04 (3.01 to   21.49)","0.30 (0.01 to   10.77)","0.32 (0.01 to   9.49)",NA,NA,NA,NA,NA,"0.31 ( 0.01 to   8.10)","1.71 (0.29 to    9.90)","1.63 (0.29 to    9.30)","7.11 (2.51 to   20.11)","8.62 (3.22 to   23.10)","0.34 (0.01 to    11.80)","0.28 (0.01 to   10.62)","0.35 (0.01 to   10.29)","0.30 (0.01 to    9.44)"
"15","DHFR inhibitor","0.93 (0.20 to     4.25)","1.06 (0.23 to    4.85)","1.76 (0.14 to    21.52)","1.83 (0.19 to   18.00)","0.94 (0.20 to    4.31)","1.07 (0.23 to    4.88)","1.77 (0.14 to    22.61)","1.83 (0.18 to   18.15)","0.94 (0.20 to    4.31)","1.07 (0.23 to    4.88)","1.77 (0.14 to    22.61)","1.83 (0.18 to   18.15)","0.94 (0.20 to    4.31)","1.07 (0.23 to    4.88)","1.77 (0.14 to    22.61)","1.83 (0.18 to  18.15)","0.87 (0.19 to    3.89)","1.21 (0.28 to    5.34)","1.57 (0.12 to   21.45)","1.69 (0.17 to  16.84)","0.87 (0.19 to    3.89)","1.21 (0.28 to    5.34)","1.57 (0.12 to   21.45)","1.69 (0.17 to   16.84)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94 (0.20 to    4.31)","0.87 (0.19 to    3.89)","1.07 (0.23 to    4.88)","1.21 (0.28 to    5.34)","1.77 (0.14 to    22.37)","1.48 (0.11 to   20.49)","1.83 (0.18 to   18.11)","1.60 (0.15 to   16.91)","1.62 (0.21 to  12.49)","1.56 (0.21 to   11.64)","2.17 (0.29 to   16.23)","2.61 (0.40 to   17.06)",NA,NA,NA,NA,"1.05 (0.10 to   10.76)","0.85 (0.08 to    9.00)","1.07 (0.10 to    11.52)","0.90 (0.08 to    9.97)",NA,NA,NA,NA,"0.87 (0.19 to    3.89)","1.21 (0.28 to    5.31)","1.58 (0.12 to   20.62)","1.69 (0.17 to  16.67)","0.87 (0.19 to    3.89)","1.21 (0.28 to    5.34)","1.57 (0.12 to   21.45)","1.69 (0.17 to   16.84)",NA,"1.64 ( 0.20 to  13.32)","0.94 (0.20 to    4.31)","0.90 (0.20 to    4.04)","1.07 (0.23 to    4.88)","1.30 (0.29 to    5.70)","1.77 (0.14 to    22.37)","1.47 (0.10 to   20.77)","1.83 (0.18 to   18.11)","1.59 (0.15 to   17.01)"
"16","Erlotinib","1.15 (0.68 to     1.97)","1.32 (0.79 to    2.23)","1.00 (0.48 to     2.09)","1.04 (0.59 to    1.84)","1.17 (0.68 to    2.01)","1.33 (0.79 to    2.25)","1.01 (0.47 to     2.16)","1.04 (0.59 to    1.85)","1.17 (0.68 to    2.01)","1.33 (0.79 to    2.25)","1.01 (0.47 to     2.16)","1.04 (0.59 to    1.85)","1.17 (0.68 to    2.01)","1.33 (0.79 to    2.25)","1.01 (0.47 to     2.16)","1.04 (0.59 to   1.85)",NA,NA,NA,NA,NA,NA,NA,NA,"1.38 (0.65 to    2.93)","1.38 (0.65 to  2.93)","1.38 (0.65 to   2.93)","1.52 (0.72 to    3.22)","1.38 (0.65 to  2.93)","1.38 (0.65 to   2.93)","0.76 (0.26 to    2.22)","0.57 (0.29 to  1.12)","0.57 (0.29 to   1.12)","0.84 (0.39 to    1.81)","0.70 (0.42 to  1.17)","0.70 (0.44 to   1.13)","1.17 (0.68 to    2.01)",NA,"1.33 (0.79 to    2.25)",NA,"1.01 (0.47 to     2.15)",NA,"1.04 (0.59 to    1.85)",NA,"1.55 (0.57 to   4.27)",NA,"2.08 (0.81 to    5.37)",NA,"1.81 (0.47 to    6.97)",NA,"1.81 (0.47 to     6.97)",NA,"1.01 (0.62 to    1.62)",NA,"1.03 (0.62 to     1.71)",NA,"0.40 (0.04 to     4.13)",NA,"0.79 (0.36 to    1.72)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.78 (0.42 to    1.44)","0.94 ( 0.62 to   1.41)","1.17 (0.68 to    2.01)",NA,"1.33 (0.79 to    2.25)",NA,"1.01 (0.47 to     2.15)",NA,"1.04 (0.59 to    1.85)",NA
"17","Erlotinib + antiangiogenesis","1.38 (0.68 to     2.80)","1.33 (0.73 to    2.44)","2.66 (1.10 to     6.47)","4.48 (2.32 to    8.63)","1.44 (0.70 to    2.95)","1.35 (0.73 to    2.49)","2.69 (1.07 to     6.71)","4.50 (2.32 to    8.71)","1.44 (0.70 to    2.95)","1.35 (0.73 to    2.49)","2.69 (1.07 to     6.71)","4.50 (2.32 to    8.71)","1.44 (0.70 to    2.95)","1.35 (0.73 to    2.49)","2.69 (1.07 to     6.71)","4.50 (2.32 to   8.71)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.44 (0.70 to    2.95)",NA,"1.35 (0.73 to    2.49)",NA,"2.68 (1.08 to     6.66)",NA,"4.49 (2.32 to    8.69)",NA,"1.51 (0.40 to   5.73)",NA,"1.47 (0.51 to    4.22)",NA,"2.09 (0.40 to   10.94)",NA,"2.64 (0.54 to    12.93)",NA,"1.44 (0.79 to    2.60)",NA,"1.23 (0.66 to     2.29)",NA,"2.09 (0.19 to    23.25)",NA,"4.25 (1.86 to    9.74)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.75 (2.39 to    9.41)","3.90 ( 2.45 to   6.21)","1.44 (0.70 to    2.95)",NA,"1.35 (0.73 to    2.49)",NA,"2.68 (1.08 to     6.66)",NA,"4.49 (2.32 to    8.69)",NA
"18","Erlotinib + IGF-1R inhibitor","1.56 (0.54 to     4.50)","1.26 (0.58 to    2.73)","2.76 (0.52 to    14.70)","3.23 (1.07 to    9.74)","1.34 (0.43 to    4.15)","1.17 (0.53 to    2.57)","2.43 (0.37 to    16.16)","2.85 (0.90 to    9.08)","1.34 (0.43 to    4.15)","1.17 (0.53 to    2.57)","2.43 (0.37 to    16.16)","2.85 (0.90 to    9.08)","1.34 (0.43 to    4.15)","1.17 (0.53 to    2.57)","2.43 (0.37 to    16.16)","2.85 (0.90 to   9.08)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.61 (0.54 to    4.76)",NA,"1.26 (0.58 to    2.76)",NA,"2.78 (0.51 to    15.22)",NA,"3.24 (1.07 to    9.84)",NA,"1.47 (0.29 to   7.52)",NA,"1.34 (0.40 to    4.49)",NA,"3.03 (0.26 to   34.74)",NA,"4.03 (0.53 to    30.41)",NA,"2.33 (0.59 to    9.30)",NA,"2.67 (0.87 to     8.20)",NA,"1.20 (0.02 to    76.96)",NA,"2.06 (0.48 to    8.88)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.04 (0.58 to    7.21)","2.69 ( 1.30 to   5.57)","1.61 (0.54 to    4.76)",NA,"1.26 (0.58 to    2.76)",NA,"2.78 (0.51 to    15.22)",NA,"3.24 (1.07 to    9.84)",NA
"19","Erlotinib + HER3 inhibitor","2.56 (0.57 to    11.57)","2.94 (0.65 to   13.21)","0.50 (0.06 to     4.02)","0.52 (0.08 to    3.20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.60 (0.57 to   11.75)",NA,"2.95 (0.66 to   13.29)",NA,"0.50 (0.06 to     4.20)",NA,"0.52 (0.08 to    3.22)",NA,"1.41 (0.22 to   9.17)",NA,"1.90 (0.30 to   11.88)",NA,"4.63 (0.16 to  130.03)",NA,"4.63 (0.16 to   130.03)",NA,"0.64 (0.14 to    2.90)",NA,"0.66 (0.14 to     3.18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.46 ( 0.10 to   2.24)","2.60 (0.57 to   11.75)",NA,"2.95 (0.66 to   13.29)",NA,"0.50 (0.06 to     4.20)",NA,"0.52 (0.08 to    3.22)",NA
"20","Afatinib + Cetuximab","1.20 (0.11 to    12.87)","1.33 (0.45 to    3.93)","2.74 (0.35 to    21.70)","1.18 (0.32 to    4.33)","1.21 (0.11 to   12.94)","1.33 (0.45 to    3.95)","2.75 (0.33 to    23.09)","1.19 (0.32 to    4.40)","1.21 (0.11 to   12.94)","1.33 (0.45 to    3.95)","2.75 (0.33 to    23.09)","1.19 (0.32 to    4.40)","1.21 (0.11 to   12.94)","1.33 (0.45 to    3.95)","2.75 (0.33 to    23.09)","1.19 (0.32 to   4.40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.21 (0.11 to   12.94)",NA,"1.33 (0.45 to    3.95)",NA,"2.75 (0.33 to    22.80)",NA,"1.19 (0.32 to    4.38)",NA,"0.88 (0.03 to  26.66)",NA,"1.96 (0.40 to    9.54)",NA,NA,NA,NA,NA,"2.99 (0.58 to   15.49)",NA,"1.83 (0.45 to     7.40)",NA,"0.13 (0.00 to     8.84)",NA,"0.44 (0.09 to    2.14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.43 (0.11 to    1.73)","1.05 ( 0.45 to   2.46)","1.21 (0.11 to   12.94)",NA,"1.33 (0.45 to    3.95)",NA,"2.75 (0.33 to    22.80)",NA,"1.19 (0.32 to    4.38)",NA
"21","Afatinib + HMGCR inhibitor","0.34 (0.01 to     9.14)","1.74 (0.41 to    7.45)","1.23 (0.02 to    86.73)","1.11 (0.02 to   67.80)","0.34 (0.01 to    9.18)","1.75 (0.41 to    7.49)",NA,NA,"0.34 (0.01 to    9.18)","1.75 (0.41 to    7.49)",NA,NA,"0.34 (0.01 to    9.18)","1.75 (0.41 to    7.49)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34 (0.01 to    9.18)",NA,"1.75 (0.41 to    7.49)",NA,NA,NA,NA,NA,"0.75 (0.02 to  23.19)",NA,"4.15 (0.74 to   23.15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34 (0.01 to    9.18)",NA,"1.75 (0.41 to    7.49)",NA,NA,NA,NA,NA
"22","Erlotinib + MET inhibitor","1.01 (0.45 to     2.23)","1.20 (0.55 to    2.62)","1.43 (0.48 to     4.25)","1.42 (0.61 to    3.30)","1.01 (0.45 to    2.28)","1.20 (0.54 to    2.66)","1.42 (0.46 to     4.39)","1.41 (0.60 to    3.31)","1.01 (0.45 to    2.28)","1.20 (0.54 to    2.66)","1.42 (0.46 to     4.39)","1.41 (0.60 to    3.31)","1.01 (0.45 to    2.28)","1.20 (0.54 to    2.66)","1.42 (0.46 to     4.39)","1.41 (0.60 to   3.31)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01 (0.45 to    2.28)",NA,"1.20 (0.54 to    2.66)",NA,"1.42 (0.46 to     4.36)",NA,"1.41 (0.60 to    3.31)",NA,"0.96 (0.23 to   3.94)",NA,"1.47 (0.39 to    5.60)",NA,"1.79 (0.30 to   10.54)",NA,"1.79 (0.30 to    10.54)",NA,"1.52 (0.81 to    2.85)",NA,"1.48 (0.74 to     2.94)",NA,"1.19 (0.02 to    76.03)",NA,"2.35 (0.08 to   66.37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.32 (0.09 to   60.49)","1.45 ( 0.82 to   2.56)","1.01 (0.45 to    2.28)",NA,"1.20 (0.54 to    2.66)",NA,"1.42 (0.46 to     4.36)",NA,"1.41 (0.60 to    3.31)",NA
"23","Dacomitinib","0.78 (0.38 to     1.61)","0.79 (0.40 to    1.56)","1.09 (0.38 to     3.12)","1.01 (0.47 to    2.19)","0.78 (0.37 to    1.62)","0.79 (0.40 to    1.56)","1.10 (0.37 to     3.24)","1.01 (0.47 to    2.20)","0.78 (0.37 to    1.62)","0.79 (0.40 to    1.56)","1.10 (0.37 to     3.24)","1.01 (0.47 to    2.20)","0.78 (0.37 to    1.62)","0.79 (0.40 to    1.56)","1.10 (0.37 to     3.24)","1.01 (0.47 to   2.20)",NA,NA,NA,NA,NA,NA,NA,NA,"0.41 (0.12 to    1.42)","0.41 (0.12 to  1.42)","0.41 (0.12 to   1.42)","0.41 (0.11 to    1.46)","0.41 (0.12 to  1.42)","0.41 (0.12 to   1.42)","1.14 (0.18 to    7.12)","1.14 (0.41 to  3.16)","1.14 (0.41 to   3.16)","1.14 (0.28 to    4.65)","1.14 (0.40 to  3.24)","1.14 (0.41 to   3.16)","0.78 (0.37 to    1.62)",NA,"0.79 (0.40 to    1.56)",NA,"1.10 (0.37 to     3.21)",NA,"1.01 (0.47 to    2.20)",NA,"0.90 (0.24 to   3.41)",NA,"1.07 (0.34 to    3.33)",NA,"1.81 (0.13 to   25.28)",NA,"1.81 (0.13 to    25.28)",NA,"0.96 (0.49 to    1.87)",NA,"0.97 (0.47 to     2.00)",NA,NA,NA,"0.86 (0.18 to    4.10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.89 (0.23 to    3.47)","0.96 ( 0.54 to   1.71)","0.78 (0.37 to    1.62)",NA,"0.79 (0.40 to    1.56)",NA,"1.10 (0.37 to     3.21)",NA,"1.01 (0.47 to    2.20)",NA
"24","3rd-generation EGFR TKIs + antiangiogenesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.20 (1.35 to   38.32)","6.40 (2.99 to   13.69)","2.47 (0.48 to   12.79)","9.85 (3.48 to  27.86)","7.20 (1.35 to   38.32)","6.40 (2.99 to   13.69)","2.47 (0.48 to   12.79)","9.85 (3.48 to   27.86)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.20 (1.35 to   38.32)",NA,"6.40 (2.99 to   13.69)",NA,"3.04 (0.59 to   15.63)",NA,"12.97 (4.32 to   38.89)",NA,"12.56 (1.17 to  135.14)",NA,"7.32 (2.96 to   18.11)",NA,"10.88 (0.42 to 282.22)",NA,"18.73 (2.36 to  148.39)",NA,"0.93 (0.17 to    5.22)",NA,"0.86 (0.14 to    5.17)",NA,"1.30 (0.10 to   17.27)",NA,"7.02 (2.31 to  21.35)","5.89 (1.23 to   28.21)","6.20 (2.92 to   13.16)","2.39 (0.48 to   11.86)","9.78 (3.50 to  27.33)","7.20 (1.35 to   38.32)","6.40 (2.99 to   13.69)","2.47 (0.48 to   12.79)","9.85 (3.48 to   27.86)",NA,NA,NA,"6.61 (1.22 to   35.68)",NA,"5.97 (2.78 to   12.80)",NA,"3.16 (0.59 to   17.02)",NA,"13.45 (4.34 to   41.71)"
"25","3rd-generation EGFR TKIs + chemotherapy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.98 (1.24 to   12.76)","3.40 (1.90 to    6.08)","3.31 (0.50 to   22.05)","2.01 (0.60 to   6.78)","3.98 (1.24 to   12.76)","3.40 (1.90 to    6.08)","3.31 (0.50 to   22.05)","2.01 (0.60 to    6.78)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.98 (1.24 to   12.76)",NA,"3.40 (1.90 to    6.08)",NA,"4.05 (0.61 to   27.03)",NA,"2.64 (0.71 to    9.79)",NA,"3.40 (0.35 to   33.37)",NA,"3.80 (1.76 to    8.21)",NA,"19.03 (0.83 to 438.65)",NA,"4.90 (1.26 to   19.03)",NA,"4.29 (1.27 to   14.51)",NA,"3.11 (0.91 to   10.68)",NA,"1.46 (0.02 to   92.61)",NA,"1.09 (0.32 to   3.69)","3.59 (1.18 to   10.89)","3.37 (1.89 to    6.01)","2.87 (0.50 to   16.59)","1.95 (0.60 to   6.31)","3.98 (1.24 to   12.76)","3.40 (1.90 to    6.08)","3.31 (0.50 to   22.05)","2.01 (0.60 to    6.78)",NA,NA,NA,"3.65 (1.12 to   11.96)",NA,"3.17 (1.76 to    5.69)",NA,"4.20 (0.60 to   29.35)",NA,"2.74 (0.71 to   10.53)"
"26","1st-generation EGFR TKIs + chemotherapy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.70 (0.67 to    4.33)","1.92 (0.92 to    4.00)","1.08 (0.36 to    3.26)","1.19 (0.56 to   2.50)","1.70 (0.67 to    4.33)","1.92 (0.92 to    4.00)","1.08 (0.36 to    3.26)","1.19 (0.56 to    2.50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.70 (0.67 to    4.33)",NA,"1.92 (0.92 to    4.00)",NA,"1.02 (0.34 to    3.11)",NA,"1.14 (0.51 to    2.51)",NA,"2.54 (0.43 to   14.89)",NA,"3.55 (1.17 to   10.79)",NA,"1.43 (0.19 to  10.90)",NA,"0.97 (0.15 to    6.20)",NA,"1.36 (0.56 to    3.30)",NA,"1.08 (0.48 to    2.43)",NA,"0.66 (0.07 to    6.02)",NA,"0.83 (0.33 to   2.05)","1.58 (0.65 to    3.86)","1.90 (0.92 to    3.93)","1.04 (0.36 to    3.02)","1.19 (0.57 to   2.48)","1.70 (0.67 to    4.33)","1.92 (0.92 to    4.00)","1.08 (0.36 to    3.26)","1.19 (0.56 to    2.50)",NA,NA,NA,"1.76 (0.69 to    4.49)",NA,"2.05 (0.98 to    4.27)",NA,"1.01 (0.33 to    3.14)",NA,"1.13 (0.50 to    2.53)"
"27","3rd-generation EGFR TKIs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.71 (0.97 to    3.02)","2.18 (1.46 to    3.27)","1.31 (0.50 to    3.38)","1.31 (0.67 to   2.56)","1.71 (0.97 to    3.02)","2.18 (1.46 to    3.27)","1.31 (0.50 to    3.38)","1.31 (0.67 to    2.56)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.71 (0.97 to    3.02)",NA,"2.18 (1.46 to    3.27)",NA,"1.60 (0.63 to    4.05)",NA,"1.70 (0.84 to    3.42)",NA,"2.04 (0.72 to    5.80)",NA,"3.26 (1.83 to    5.81)",NA,"2.09 (0.67 to   6.48)",NA,"2.09 (0.67 to    6.48)",NA,"1.70 (0.95 to    3.04)",NA,"1.57 (0.85 to    2.91)",NA,"0.45 (0.06 to    3.55)",NA,"0.85 (0.35 to   2.04)","1.70 (0.97 to    2.99)","2.18 (1.46 to    3.25)","1.28 (0.51 to    3.20)","1.30 (0.67 to   2.53)","1.71 (0.97 to    3.02)","2.18 (1.46 to    3.27)","1.31 (0.50 to    3.38)","1.31 (0.67 to    2.56)",NA,NA,NA,"1.57 (0.85 to    2.89)",NA,"2.04 (1.35 to    3.06)",NA,"1.65 (0.61 to    4.45)",NA,"1.76 (0.84 to    3.68)"
"28","2nd-generation EGFR TKIs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94 (0.55 to    1.61)","1.15 (0.71 to    1.88)","1.18 (0.50 to    2.79)","1.07 (0.57 to   2.02)","0.94 (0.55 to    1.61)","1.15 (0.71 to    1.88)","1.18 (0.50 to    2.79)","1.07 (0.57 to    2.02)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94 (0.55 to    1.61)",NA,"1.15 (0.71 to    1.88)",NA,"1.14 (0.48 to    2.70)",NA,"1.04 (0.53 to    2.03)",NA,"1.60 (0.60 to    4.28)",NA,"1.96 (0.92 to    4.21)",NA,"1.14 (0.33 to   3.93)",NA,"1.14 (0.33 to    3.93)",NA,"1.02 (0.59 to    1.74)",NA,"1.05 (0.59 to    1.88)",NA,"0.42 (0.04 to    4.48)",NA,"0.72 (0.27 to   1.90)","0.94 (0.55 to    1.61)","1.15 (0.71 to    1.88)","1.18 (0.51 to    2.71)","1.07 (0.58 to   2.00)","0.94 (0.55 to    1.61)","1.15 (0.71 to    1.88)","1.18 (0.50 to    2.79)","1.07 (0.57 to    2.02)",NA,NA,NA,"0.96 (0.56 to    1.66)",NA,"1.21 (0.74 to    1.99)",NA,"1.13 (0.47 to    2.72)",NA,"1.03 (0.52 to    2.04)"
