"Category","Condition","Value","Dataset","OR","CI_low","CI_high","K....k","I2....I2","tau2....tau2","p_value"
"Erlotinib","Smoker_status","Non-smoker","cardiac_serious",0.577848209884641,0.267241626057253,1.2494631116911,8,0.180144114257366,0.465899651455412,0.163342534519281
"Almonertinib","Smoker_status","Non-smoker","cardiac_serious",2.54784688995215,0.488878676235724,13.2783941910136,1,NA,NA,0.266851254962214
"Gefitinib","Smoker_status","Non-smoker","cardiac_serious",0.703092864338635,0.41855676629716,1.18105742324314,9,0,0,0.183144040981255
"Osimertinib","Smoker_status","Non-smoker","cardiac_serious",1.08065067247757,0.641407820961533,1.8206916687975,5,0.584430401747151,0.702959179781119,0.770728381969559
"Afatinib","Smoker_status","Non-smoker","cardiac_serious",1.18504332012231,0.597435493379887,2.35059296966399,5,0,0,0.627064827645682
"Dacomitinib","Smoker_status","Non-smoker","cardiac_serious",0.986725663716814,0.0613391128481804,15.8728662712681,1,NA,NA,0.992477453893862
"Icotinib","Smoker_status","Non-smoker","cardiac_serious",7.07088607594937,0.362864731432578,137.785311076297,1,NA,NA,0.196731132547626
"Furmonertinib","Smoker_status","Non-smoker","cardiac_serious",1.42456140350877,0.443517496528383,4.57563728207284,1,NA,NA,0.552264097872143
"Zorifertinib","Smoker_status","Non-smoker","cardiac_serious",2.70440251572327,0.707857163219053,10.3323005644107,1,NA,NA,0.145739966373612
"Lazertinib","Smoker_status","Non-smoker","cardiac_serious",1.51554404145078,0.250460734263481,9.17059413856336,1,NA,NA,0.650788795170274
"Erlotinib","Smoker_status","Smoker","cardiac_serious",0.772054510617286,0.606862861724666,0.982212300272435,22,0.150295973840403,0.0688053849111809,0.0351976648316929
"Afatinib","Smoker_status","Smoker","cardiac_serious",1.01438123762804,0.515976873421149,1.99421591985177,2,0,0,0.966976182865898
"Dacomitinib","Smoker_status","Smoker","cardiac_serious",0.670102357301346,0.344189163915434,1.30462320240607,2,0,0,0.238920747672801
"Gefitinib","Smoker_status","Smoker","cardiac_serious",0.831785526546347,0.263972911434684,2.62097788144893,2,0,0,0.753123488354583
"Erlotinib","Smoker_status","Non-smoker","cardiac_total",0.748876966171911,0.434001565010866,1.29219974229541,9,0.21745608837607,0.268744363205549,0.298820588122249
"Almonertinib","Smoker_status","Non-smoker","cardiac_total",1.11542390194076,0.666092640058041,1.86786402701031,1,NA,NA,0.677946130262215
"Gefitinib","Smoker_status","Non-smoker","cardiac_total",0.864587712548124,0.617133266902281,1.21126497756531,11,0,0,0.397659033701356
"Osimertinib","Smoker_status","Non-smoker","cardiac_total",1.04774544246711,0.792738120387868,1.38478330230101,7,0.809512363473464,0.943843251039798,0.743091073921269
"Afatinib","Smoker_status","Non-smoker","cardiac_total",1.1082138930678,0.637297429070123,1.92710338496181,5,0,0,0.71586362919126
"Dacomitinib","Smoker_status","Non-smoker","cardiac_total",0.986725663716814,0.0613391128481804,15.8728662712681,1,NA,NA,0.992477453893862
"Icotinib","Smoker_status","Non-smoker","cardiac_total",0.982391982941252,0.604563645987749,1.5963480678208,2,0.458415626448322,0.99933959720615,0.942825301998251
"Furmonertinib","Smoker_status","Non-smoker","cardiac_total",1.15445134575569,0.557697544922174,2.38975036173616,1,NA,NA,0.698824304942343
"Befotertinib","Smoker_status","Non-smoker","cardiac_total",1.12382595361319,0.680529886161354,1.85588436260849,1,NA,NA,0.648297950545802
"Zorifertinib","Smoker_status","Non-smoker","cardiac_total",1.1362617660242,0.626590729856357,2.06050096084955,1,NA,NA,0.674010756683144
"Lazertinib","Smoker_status","Non-smoker","cardiac_total",1.51554404145078,0.250460734263481,9.17059413856336,1,NA,NA,0.650788795170274
"Gefitinib","Smoker_status","Smoker","cardiac_total",0.303206309662277,0.12122537186595,0.758373142552007,3,0.646460612263293,2.68029968463697,0.0107331340569104
"Erlotinib","Smoker_status","Smoker","cardiac_total",0.877384367137804,0.724508967933509,1.0625173210671,23,0.24200340073717,0.0814262383644424,0.180519379193419
"Afatinib","Smoker_status","Smoker","cardiac_total",0.892095570075784,0.47981632027397,1.65862325336167,2,0,0,0.718206376304077
"Dacomitinib","Smoker_status","Smoker","cardiac_total",0.608518381407139,0.343960954921066,1.0765600432623,2,0,0,0.0879108504023474
"Osimertinib","Smoker_status","Smoker","cardiac_total",0.129251700680272,0.0063953127292148,2.61222599051755,1,NA,NA,0.182224802765822
"Erlotinib","Smoker_status","Non-smoker","vascular_serious",0.230704246237023,0.150433052064082,0.353808212367587,12,0.609764444470603,1.40808153768869,1.7904905255153e-11
"Almonertinib","Smoker_status","Non-smoker","vascular_serious",22.1295843520782,1.28844347559127,380.085361036899,1,NA,NA,0.032789409816675
"Gefitinib","Smoker_status","Non-smoker","vascular_serious",0.360080131365355,0.267064333601339,0.485492387754174,13,0.737397125495308,1.44925724141859,2.09589972558725e-11
"Osimertinib","Smoker_status","Non-smoker","vascular_serious",0.816310607002173,0.481123696004835,1.38501390107703,5,0,0,0.451784081703582
"Afatinib","Smoker_status","Non-smoker","vascular_serious",1.21773473649035,0.683875908622871,2.16834351050809,5,0.346052918714517,0.285002565644977,0.503380252952092
"Dacomitinib","Smoker_status","Non-smoker","vascular_serious",4.97782705099778,0.237642600266682,104.26902466914,1,NA,NA,0.301086810691803
"Befotertinib","Smoker_status","Non-smoker","vascular_serious",16.0778443113772,2.10065037324151,123.055735972854,1,NA,NA,0.00747796990542565
"Icotinib","Smoker_status","Non-smoker","vascular_serious",0.0621973929236499,0.00812639892073455,0.476043044924654,1,NA,NA,0.00747796990542565
"Lazertinib","Smoker_status","Non-smoker","vascular_serious",1.15501519756839,0.410611490693232,3.24895950759113,1,NA,NA,0.784767844946126
"Gefitinib","Smoker_status","Smoker","vascular_serious",0.651863327313613,0.230066848015919,1.84696665843387,3,0.0468447759755702,0.0766398121626142,0.420637318903383
"Erlotinib","Smoker_status","Smoker","vascular_serious",0.728705678733095,0.588373516582253,0.902508272810112,25,0.189215520666722,0.082458827457023,0.0037334699479077
"Afatinib","Smoker_status","Smoker","vascular_serious",1.23371428571429,0.599562306496464,2.53860344835485,1,NA,NA,0.568351878550503
"Dacomitinib","Smoker_status","Smoker","vascular_serious",1.0220897563618,0.526130560969467,1.98556698195743,3,0,0,0.948581333862641
"Erlotinib","Smoker_status","Non-smoker","vascular_total",0.203759499883697,0.154457995884719,0.268797568912144,12,0.805959000393876,1.48013011540749,2.17930089058533e-29
"Almonertinib","Smoker_status","Non-smoker","vascular_total",2.23765432098765,1.09326434301913,4.5799507614117,1,NA,NA,0.0275270083710019
"Gefitinib","Smoker_status","Non-smoker","vascular_total",0.507361415491747,0.40833130835589,0.630408691820007,14,0.779995346812996,0.721445519336526,9.09825475620324e-10
"Osimertinib","Smoker_status","Non-smoker","vascular_total",0.647324855384345,0.475337845570157,0.881540302972821,6,0.741568189893174,0.510723699490555,0.00577715182991784
"Afatinib","Smoker_status","Non-smoker","vascular_total",0.947259366292087,0.647735405332714,1.38528834403792,5,0.492347617971376,0.228257400452241,0.779941686920092
"Dacomitinib","Smoker_status","Non-smoker","vascular_total",0.985436893203884,0.522135955361109,1.85983336431164,1,NA,NA,0.963892749061597
"Befotertinib","Smoker_status","Non-smoker","vascular_total",34.6488549618321,8.28581870170048,144.891312903056,1,NA,NA,1.19351029819182e-06
"Icotinib","Smoker_status","Non-smoker","vascular_total",0.0288609825952853,0.00690172502383965,0.12068813426907,1,NA,NA,1.19351029819182e-06
"Lazertinib","Smoker_status","Non-smoker","vascular_total",1.31372038531632,0.730422049457477,2.36282742570211,1,NA,NA,0.362251733864476
"Gefitinib","Smoker_status","Smoker","vascular_total",0.279693883630632,0.120298550433084,0.650287707198104,4,0.591645401944466,1.81184554832073,0.00307991787339379
"Erlotinib","Smoker_status","Smoker","vascular_total",0.485851972872714,0.418113003229352,0.56456541107578,26,0.605592108404675,0.273255740335469,4.40672142888084e-21
"Afatinib","Smoker_status","Smoker","vascular_total",1.23371428571429,0.599562306496464,2.53860344835485,1,NA,NA,0.568351878550503
"Dacomitinib","Smoker_status","Smoker","vascular_total",1.0220897563618,0.526130560969467,1.98556698195743,3,0,0,0.948581333862641
"Almonertinib","Smoker_status","Non-smoker","arrhy_serious",2.0188679245283,0.181695962388007,22.4321313645121,1,NA,NA,0.56743581257916
"Gefitinib","Smoker_status","Non-smoker","arrhy_serious",0.907074125157638,0.397135993599564,2.07179274049915,5,0,0,0.816972378441784
"Osimertinib","Smoker_status","Non-smoker","arrhy_serious",0.887586090438362,0.351280797446951,2.24267615441925,5,0,0,0.800923081018025
"Erlotinib","Smoker_status","Non-smoker","arrhy_serious",0.317514630020273,0.0496952408421234,2.02867595706381,3,0,0,0.225359858030336
"Afatinib","Smoker_status","Non-smoker","arrhy_serious",1.30331403170749,0.414372960859425,4.09927197402703,4,0.134205647367481,0.332791161493931,0.650471890189544
"Furmonertinib","Smoker_status","Non-smoker","arrhy_serious",1.42456140350877,0.443517496528383,4.57563728207284,1,NA,NA,0.552264097872143
"Zorifertinib","Smoker_status","Non-smoker","arrhy_serious",2.70440251572327,0.707857163219053,10.3323005644107,1,NA,NA,0.145739966373612
"Lazertinib","Smoker_status","Non-smoker","arrhy_serious",0.333333333333333,0.0134965350985004,8.2325656400106,1,NA,NA,0.501915016689942
"Erlotinib","Smoker_status","Smoker","arrhy_serious",0.866401969890359,0.591154021250566,1.26980845337382,17,0,0,0.462178590119426
"Afatinib","Smoker_status","Smoker","arrhy_serious",2.6541626782232,0.885261000824436,7.95763002765558,2,0,0,0.0814353760593125
