"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.61 (4.37 to  30.86)",".",".",".",".",".",".",".",".",".","."
"1.67 (0.37 to    7.50)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.49 (3.43 to  16.35)",".",".",".",".",".","."
"8.86 (2.45 to   32.13)","5.30 (1.73 to   16.27)","10.27 (0.43 to  244.17)","4.22 (1.37 to   13.05)","4.37 (1.76 to   10.85)","3.28 (1.22 to    8.82)","2.95 (0.76 to   11.43)","2.08 (0.53 to    8.20)","1.87 (0.46 to    7.57)","1.67 (0.41 to    6.77)","1.35 (0.53 to    3.45)","1.34 (0.12 to   14.85)","1.08 (0.30 to    3.88)","1.03 (0.33 to    3.18)","Lazertinib",".",".",".",".",".","1.31 (0.46 to   3.72)",".",".",".","1.42 (0.54 to   3.72)",".",".",".",".",".","."
"9.30 (2.95 to   29.31)","5.56 (1.53 to   20.14)","10.77 (0.46 to  251.18)","4.43 (1.54 to   12.77)","4.59 (1.33 to   15.89)","3.44 (1.37 to    8.66)","3.10 (0.88 to   10.90)","2.18 (0.58 to    8.22)","1.96 (0.53 to    7.24)","1.75 (0.49 to    6.25)","1.42 (0.58 to    3.50)","1.40 (0.13 to   15.18)","1.14 (0.27 to    4.72)","1.08 (0.37 to    3.15)","1.05 (0.37 to    2.95)","Gefitinib + chemotherapy",".",".",".",".","1.25 (0.68 to   2.28)",".",".",".",".",".",".",".",".",".","."
"9.73 (2.84 to   33.32)","5.81 (1.72 to   19.71)","11.26 (0.51 to  250.99)","4.63 (1.80 to   11.94)","4.80 (1.44 to   16.04)","3.60 (1.69 to    7.66)","3.24 (0.92 to   11.37)","2.28 (0.68 to    7.68)","2.05 (0.56 to    7.56)","1.84 (0.48 to    7.05)","1.49 (0.74 to    2.98)","1.47 (0.14 to   14.95)","1.19 (0.30 to    4.65)","1.13 (0.45 to    2.86)","1.10 (0.39 to    3.08)","1.05 (0.40 to    2.73)","Afatinib",".","1.05 (0.37 to   3.04)",".","1.12 (0.31 to   4.06)","1.23 (0.40 to   3.77)",".","3.19 (0.64 to  15.87)",".",".",".",".",".",".","."
"9.95 (2.24 to   44.25)","5.95 (1.37 to   25.75)","11.52 (0.48 to  276.34)","4.74 (1.46 to   15.40)","4.91 (1.14 to   21.09)","3.68 (1.33 to   10.17)","3.31 (0.76 to   14.52)","2.33 (0.58 to    9.38)","2.10 (0.46 to    9.58)","1.88 (0.38 to    9.19)","1.52 (0.53 to    4.40)","1.50 (0.13 to   16.85)","1.22 (0.25 to    5.94)","1.16 (0.37 to    3.65)","1.12 (0.30 to    4.21)","1.07 (0.30 to    3.84)","1.02 (0.32 to    3.26)","Erlotinib + chemotherapy",".",".",".","1.25 (0.45 to   3.46)",".",".",".",".",".",".",".",".","."
"10.25 (2.02 to   51.96)","6.12 (1.22 to   30.82)","11.87 (0.45 to  315.11)","4.88 (1.18 to   20.19)","5.06 (1.02 to   25.17)","3.79 (1.03 to   13.91)","3.41 (0.66 to   17.63)","2.40 (0.48 to   12.03)","2.16 (0.40 to   11.59)","1.93 (0.35 to   10.72)","1.57 (0.44 to    5.56)","1.54 (0.12 to   19.81)","1.25 (0.22 to    7.03)","1.19 (0.29 to    4.86)","1.16 (0.26 to    5.07)","1.10 (0.26 to    4.60)","1.05 (0.37 to    3.04)","1.03 (0.21 to    4.95)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".",".","."
"15.37 (0.84 to  280.25)","9.19 (0.51 to  165.76)","17.80 (0.32 to 1003.73)","7.32 (0.47 to  114.41)","7.59 (0.42 to  136.23)","5.69 (0.39 to   83.18)","5.12 (0.28 to   92.36)","3.61 (0.21 to   62.08)","3.24 (0.18 to   59.77)","2.90 (0.15 to   55.63)","2.35 (0.16 to   35.58)","2.32 (0.07 to   74.17)","1.88 (0.10 to   36.08)","1.79 (0.12 to   27.56)","1.73 (0.10 to   29.14)","1.65 (0.10 to   27.16)","1.58 (0.10 to   24.67)","1.54 (0.09 to   26.19)","1.50 (0.08 to   28.51)","Erlotinib + HGF inhibitor",".","0.76 (0.05 to  10.86)",".",".",".",".",".",".",".",".","."
"11.61 (4.37 to   30.86)","6.94 (2.23 to   21.65)","13.45 (0.61 to  295.89)","5.53 (2.31 to   13.21)","5.73 (1.93 to   16.98)","4.30 (2.14 to    8.64)","3.87 (1.28 to   11.67)","2.72 (0.84 to    8.88)","2.45 (0.77 to    7.80)","2.19 (0.72 to    6.71)","1.77 (0.91 to    3.47)","1.75 (0.17 to   17.54)","1.42 (0.39 to    5.15)","1.35 (0.56 to    3.27)","1.31 (0.57 to    3.03)","1.25 (0.68 to    2.28)","1.19 (0.56 to    2.52)","1.17 (0.38 to    3.60)","1.13 (0.31 to    4.14)","0.76 (0.05 to   11.63)","Gefitinib","1.44 (0.33 to   6.37)","1.01 (0.35 to   2.97)","1.58 (0.40 to   6.24)",".",".",".",".",".",".","."
"11.65 (3.66 to   37.06)","6.96 (2.25 to   21.57)","13.49 (0.65 to  278.64)","5.55 (2.79 to   11.01)","5.75 (1.88 to   17.60)","4.31 (3.10 to    5.99)","3.88 (1.25 to   12.02)","2.73 (1.00 to    7.47)","2.46 (0.75 to    8.03)","2.20 (0.61 to    7.90)","1.78 (1.03 to    3.08)","1.75 (0.19 to   16.16)","1.42 (0.39 to    5.14)","1.35 (0.72 to    2.54)","1.31 (0.52 to    3.34)","1.25 (0.53 to    2.97)","1.20 (0.61 to    2.36)","1.17 (0.45 to    3.06)","1.14 (0.32 to    4.00)","0.76 (0.05 to   10.86)","1.00 (0.54 to    1.87)","Erlotinib","1.13 (0.39 to   3.29)","0.71 (0.33 to   1.52)",".","1.85 (0.07 to  52.53)","1.40 (0.22 to   9.10)",".",".","3.79 (1.00 to  14.42)","4.66 (0.88 to  24.60)"
"12.01 (3.50 to   41.18)","7.18 (2.04 to   25.26)","13.90 (0.62 to  313.07)","5.72 (2.15 to   15.19)","5.93 (1.72 to   20.41)","4.44 (2.00 to    9.85)","4.00 (1.13 to   14.20)","2.82 (0.81 to    9.74)","2.53 (0.68 to    9.43)","2.26 (0.59 to    8.72)","1.83 (0.79 to    4.25)","1.81 (0.17 to   18.71)","1.47 (0.36 to    5.93)","1.40 (0.53 to    3.65)","1.35 (0.47 to    3.90)","1.29 (0.49 to    3.38)","1.23 (0.49 to    3.08)","1.21 (0.36 to    3.99)","1.17 (0.29 to    4.74)","0.78 (0.05 to   12.34)","1.03 (0.49 to    2.19)","1.03 (0.50 to    2.13)","Dacomitinib","1.14 (0.30 to   4.36)",".",".",".",".",".",".","."
"12.16 (3.69 to   40.06)","7.27 (2.37 to   22.32)","14.08 (0.65 to  307.04)","5.79 (2.41 to   13.91)","6.00 (1.96 to   18.39)","4.50 (2.32 to    8.71)","4.05 (1.21 to   13.59)","2.85 (0.90 to    9.08)","2.57 (0.73 to    9.05)","2.29 (0.62 to    8.51)","1.86 (0.92 to    3.74)","1.83 (0.18 to   18.15)","1.48 (0.41 to    5.32)","1.41 (0.60 to    3.31)","1.37 (0.53 to    3.54)","1.31 (0.53 to    3.25)","1.25 (0.58 to    2.70)","1.22 (0.40 to    3.71)","1.19 (0.32 to    4.40)","0.79 (0.05 to   12.05)","1.05 (0.53 to    2.07)","1.04 (0.59 to    1.85)","1.01 (0.47 to    2.20)","Placebo","1.00 (0.31 to   3.27)",".",".",".",".",".","."
"12.53 (3.48 to   45.10)","7.49 (3.43 to   16.35)","14.51 (0.63 to  334.28)","5.97 (2.10 to   16.98)","6.19 (2.53 to   15.09)","4.64 (1.92 to   11.19)","4.17 (1.12 to   15.58)","2.94 (0.80 to   10.75)","2.64 (0.68 to   10.33)","2.36 (0.59 to    9.51)","1.91 (0.87 to    4.21)","1.89 (0.18 to   20.12)","1.53 (0.57 to    4.12)","1.46 (0.52 to    4.09)","1.41 (0.63 to    3.17)","1.35 (0.48 to    3.75)","1.29 (0.50 to    3.29)","1.26 (0.36 to    4.35)","1.22 (0.30 to    5.03)","0.82 (0.05 to   13.21)","1.08 (0.47 to    2.47)","1.08 (0.47 to    2.44)","1.04 (0.39 to    2.80)","1.03 (0.46 to    2.31)","Osimertinib",".",".","1.85 (0.20 to  17.37)","1.59 (0.54 to   4.68)",".","."
"21.53 (0.62 to  743.16)","12.87 (0.38 to  440.39)","24.93 (0.27 to 2274.94)","10.25 (0.34 to  312.28)","10.62 (0.31 to  362.24)","7.96 (0.28 to  230.05)","7.17 (0.21 to  245.37)","5.05 (0.15 to  166.35)","4.54 (0.13 to  158.18)","4.06 (0.11 to  146.18)","3.29 (0.11 to   97.72)","3.24 (0.06 to  180.01)","2.63 (0.07 to   94.79)","2.50 (0.08 to   75.41)","2.43 (0.08 to   78.43)","2.31 (0.07 to   73.41)","2.21 (0.07 to   67.35)","2.16 (0.07 to   70.39)","2.10 (0.06 to   75.05)","1.40 (0.02 to  100.84)","1.85 (0.06 to   55.77)","1.85 (0.07 to   52.53)","1.79 (0.06 to   55.09)","1.77 (0.06 to   52.85)","1.72 (0.05 to   53.87)","Rociletinib(625mg)",".",".",".",".","."
"16.30 (1.81 to  147.20)","9.75 (1.09 to   86.77)","18.88 (0.54 to  663.77)","7.76 (1.06 to   56.96)","8.05 (0.91 to   71.21)","6.03 (0.90 to   40.34)","5.43 (0.61 to   48.35)","3.82 (0.46 to   32.00)","3.44 (0.38 to   31.50)","3.08 (0.32 to   29.68)","2.49 (0.35 to   17.50)","2.46 (0.13 to   44.81)","1.99 (0.21 to   19.26)","1.89 (0.26 to   13.65)","1.84 (0.23 to   14.89)","1.75 (0.22 to   13.77)","1.68 (0.23 to   12.27)","1.64 (0.20 to   13.43)","1.59 (0.17 to   15.17)","1.06 (0.04 to   27.47)","1.40 (0.20 to   10.08)","1.40 (0.22 to    9.10)","1.36 (0.18 to   10.11)","1.34 (0.19 to    9.50)","1.30 (0.17 to   10.03)","0.76 (0.02 to   35.05)","Erlotinib + HER3 inhibitor(18mg/kg)",".",".",".","."
"23.19 (1.76 to  305.86)","13.86 (1.29 to  148.46)","26.86 (0.57 to 1267.17)","11.04 (0.93 to  130.71)","11.45 (1.03 to  127.47)","8.58 (0.77 to   95.16)","7.72 (0.57 to  103.75)","5.44 (0.41 to   72.31)","4.89 (0.36 to   67.30)","4.38 (0.31 to   61.09)","3.54 (0.33 to   38.04)","3.49 (0.13 to   90.81)","2.83 (0.25 to   32.75)","2.70 (0.23 to   31.73)","2.62 (0.24 to   28.26)","2.49 (0.21 to   29.24)","2.38 (0.21 to   27.02)","2.33 (0.18 to   30.13)","2.26 (0.16 to   31.99)","1.51 (0.04 to   53.78)","2.00 (0.18 to   21.73)","1.99 (0.18 to   21.60)","1.93 (0.17 to   22.32)","1.91 (0.18 to   20.61)","1.85 (0.20 to   17.37)","1.08 (0.02 to   65.61)","1.42 (0.07 to   29.46)","Osimertinib + PD-L1 inhibitor",".",".","."
"19.90 (3.72 to  106.34)","11.90 (3.14 to   45.13)","23.05 (0.83 to  636.18)","9.48 (2.11 to   42.64)","9.82 (2.42 to   39.90)","7.36 (1.83 to   29.70)","6.63 (1.21 to   36.43)","4.67 (0.86 to   25.25)","4.20 (0.74 to   23.92)","3.75 (0.64 to   21.88)","3.04 (0.80 to   11.58)","3.00 (0.22 to   40.43)","2.43 (0.56 to   10.52)","2.31 (0.52 to   10.32)","2.25 (0.58 to    8.65)","2.14 (0.48 to    9.48)","2.05 (0.49 to    8.56)","2.00 (0.39 to   10.36)","1.94 (0.33 to   11.52)","1.29 (0.07 to   25.69)","1.71 (0.44 to    6.69)","1.71 (0.44 to    6.63)","1.66 (0.38 to    7.17)","1.64 (0.42 to    6.31)","1.59 (0.54 to    4.68)","0.92 (0.02 to   34.22)","1.22 (0.12 to   12.31)","0.86 (0.07 to   10.31)","Gefitinib/Erlotinib",".","."
"44.14 (7.54 to  258.54)","26.38 (4.58 to  151.88)","51.12 (1.87 to 1399.60)","21.02 (4.68 to   94.34)","21.78 (3.81 to  124.44)","16.33 (4.12 to   64.66)","14.70 (2.55 to   84.64)","10.35 (1.94 to   55.11)","9.31 (1.56 to   55.51)","8.33 (1.31 to   52.96)","6.74 (1.59 to   28.57)","6.65 (0.50 to   88.75)","5.39 (0.85 to   34.38)","5.13 (1.17 to   22.47)","4.98 (0.98 to   25.42)","4.75 (0.97 to   23.30)","4.54 (1.01 to   20.32)","4.44 (0.86 to   23.00)","4.31 (0.69 to   26.99)","2.87 (0.15 to   56.46)","3.80 (0.87 to   16.58)","3.79 (1.00 to   14.42)","3.68 (0.80 to   16.82)","3.63 (0.85 to   15.54)","3.52 (0.74 to   16.87)","2.05 (0.06 to   75.33)","2.71 (0.27 to   26.98)","1.90 (0.12 to   29.26)","2.22 (0.33 to   14.88)","Erlotinib + Autophagy inhibitor","."
"54.22 (7.14 to  411.85)","32.41 (4.33 to  242.48)","62.79 (1.98 to 1989.11)","25.82 (4.27 to  156.24)","26.76 (3.60 to  198.88)","20.06 (3.68 to  109.49)","18.05 (2.41 to  135.13)","12.72 (1.82 to   88.92)","11.44 (1.48 to   88.24)","10.23 (1.25 to   83.51)","8.28 (1.44 to   47.78)","8.17 (0.51 to  131.02)","6.62 (0.81 to   54.20)","6.30 (1.06 to   37.36)","6.12 (0.91 to   41.26)","5.83 (0.89 to   38.04)","5.57 (0.92 to   33.66)","5.45 (0.80 to   37.25)","5.29 (0.66 to   42.64)","3.53 (0.15 to   81.49)","4.67 (0.79 to   27.59)","4.66 (0.88 to   24.60)","4.52 (0.73 to   27.77)","4.46 (0.77 to   25.95)","4.33 (0.68 to   27.65)","2.52 (0.06 to  105.84)","3.33 (0.27 to   40.70)","2.34 (0.13 to   42.81)","2.72 (0.32 to   23.32)","1.23 (0.15 to   10.38)","Erlotinib + MMP inhibitor"
