"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.21 (0.05 to  0.90)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 ( 0.04 to   0.94)","0.23 ( 0.06 to   0.81)","0.53 ( 0.17 to   1.65)","0.43 ( 0.08 to   2.33)","0.29 ( 0.01 to   7.97)","0.46 ( 0.05 to   4.39)","0.85 ( 0.34 to   2.10)","0.87 ( 0.42 to   1.81)","0.66 ( 0.05 to   9.14)","0.91 ( 0.38 to   2.15)","0.90 ( 0.36 to   2.22)","0.93 ( 0.40 to   2.14)","0.98 ( 0.34 to   2.86)","Erlotinib + chemotherapy",".",".",".",".",".",".","0.61 (0.08 to  4.76)",".",".",".",".",".",".",".",".","."
"0.18 ( 0.04 to   0.82)","0.22 ( 0.07 to   0.70)","0.52 ( 0.20 to   1.30)","0.42 ( 0.08 to   2.06)","0.28 ( 0.01 to   7.37)","0.44 ( 0.05 to   3.86)","0.82 ( 0.43 to   1.55)","0.84 ( 0.52 to   1.36)","0.64 ( 0.05 to   8.34)","0.88 ( 0.51 to   1.52)","0.87 ( 0.45 to   1.67)","0.90 ( 0.51 to   1.58)","0.95 ( 0.50 to   1.79)","0.97 ( 0.41 to   2.29)","Afatinib",".",".",".",".",".","0.49 (0.25 to  0.97)",".",".",".",".",".",".",".",".","."
"0.17 ( 0.04 to   0.83)","0.21 ( 0.06 to   0.71)","0.49 ( 0.19 to   1.28)","0.40 ( 0.08 to   2.07)","0.27 ( 0.01 to   7.23)","0.42 ( 0.05 to   3.75)","0.78 ( 0.40 to   1.54)","0.81 ( 0.44 to   1.50)","0.61 ( 0.05 to   8.24)","0.84 ( 0.57 to   1.26)","0.83 ( 0.43 to   1.60)","0.86 ( 0.45 to   1.66)","0.91 ( 0.36 to   2.31)","0.93 ( 0.36 to   2.40)","0.96 ( 0.49 to   1.89)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.16 ( 0.03 to   0.74)","0.19 ( 0.06 to   0.63)","0.45 ( 0.20 to   0.99)","0.36 ( 0.07 to   1.85)","0.24 ( 0.01 to   6.50)","0.38 ( 0.05 to   3.17)","0.71 ( 0.46 to   1.08)","0.73 ( 0.40 to   1.32)","0.55 ( 0.04 to   7.40)","0.76 ( 0.46 to   1.26)","0.75 ( 0.38 to   1.48)","0.78 ( 0.42 to   1.45)","0.82 ( 0.33 to   2.05)","0.84 ( 0.33 to   2.13)","0.87 ( 0.45 to   1.68)","0.90 ( 0.47 to   1.72)","Lazertinib",".",".",".",".",".",".",".",".",".",".","0.23 (0.15 to  0.35)",".","."
"0.15 ( 0.03 to   0.79)","0.19 ( 0.05 to   0.69)","0.43 ( 0.18 to   1.05)","0.35 ( 0.06 to   1.96)","0.23 ( 0.01 to   6.56)","0.37 ( 0.04 to   3.17)","0.68 ( 0.38 to   1.22)","0.70 ( 0.31 to   1.59)","0.53 ( 0.04 to   7.56)","0.73 ( 0.33 to   1.63)","0.73 ( 0.30 to   1.77)","0.75 ( 0.33 to   1.72)","0.79 ( 0.27 to   2.31)","0.81 ( 0.27 to   2.38)","0.83 ( 0.35 to   1.98)","0.87 ( 0.36 to   2.12)","0.96 ( 0.47 to   1.98)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 ( 0.01 to   1.50)","0.15 ( 0.02 to   1.50)","0.35 ( 0.04 to   3.25)","0.28 ( 0.02 to   3.63)","0.19 ( 0.00 to   8.73)","0.30 ( 0.02 to   5.83)","0.55 ( 0.07 to   4.65)","0.57 ( 0.07 to   4.44)","0.43 ( 0.02 to  11.18)","0.59 ( 0.07 to   4.89)","0.59 ( 0.07 to   4.91)","0.61 ( 0.08 to   4.94)","0.64 ( 0.07 to   5.80)","0.65 ( 0.07 to   5.78)","0.68 ( 0.08 to   5.56)","0.70 ( 0.08 to   6.01)","0.78 ( 0.09 to   6.62)","0.81 ( 0.09 to   7.37)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.14 ( 0.03 to   0.62)","0.17 ( 0.06 to   0.52)","0.40 ( 0.15 to   1.04)","0.32 ( 0.07 to   1.54)","0.22 ( 0.01 to   5.59)","0.34 ( 0.04 to   3.02)","0.63 ( 0.31 to   1.26)","0.65 ( 0.43 to   0.97)","0.49 ( 0.04 to   6.31)","0.68 ( 0.36 to   1.25)","0.67 ( 0.34 to   1.31)","0.69 ( 0.39 to   1.22)","0.73 ( 0.30 to   1.77)","0.74 ( 0.32 to   1.71)","0.77 ( 0.41 to   1.43)","0.80 ( 0.38 to   1.67)","0.89 ( 0.43 to   1.82)","0.92 ( 0.37 to   2.28)","1.14 ( 0.14 to   9.19)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".","."
"0.12 ( 0.03 to   0.53)","0.15 ( 0.05 to   0.45)","0.34 ( 0.14 to   0.80)","0.27 ( 0.06 to   1.33)","0.18 ( 0.01 to   4.80)","0.29 ( 0.03 to   2.47)","0.54 ( 0.32 to   0.91)","0.55 ( 0.36 to   0.85)","0.42 ( 0.03 to   5.43)","0.58 ( 0.35 to   0.96)","0.57 ( 0.31 to   1.06)","0.59 ( 0.35 to   1.00)","0.62 ( 0.28 to   1.39)","0.64 ( 0.28 to   1.45)","0.66 ( 0.40 to   1.07)","0.68 ( 0.36 to   1.31)","0.76 ( 0.42 to   1.36)","0.79 ( 0.36 to   1.73)","0.97 ( 0.12 to   7.91)","0.86 ( 0.48 to   1.54)","Chemotherapy",".",".",".",".",".",".",".",".","."
"0.09 ( 0.02 to   0.50)","0.12 ( 0.03 to   0.45)","0.27 ( 0.09 to   0.83)","0.22 ( 0.04 to   1.25)","0.15 ( 0.01 to   4.14)","0.23 ( 0.02 to   2.21)","0.42 ( 0.17 to   1.06)","0.44 ( 0.18 to   1.05)","0.33 ( 0.02 to   4.79)","0.46 ( 0.22 to   0.95)","0.45 ( 0.18 to   1.10)","0.47 ( 0.19 to   1.14)","0.49 ( 0.16 to   1.50)","0.50 ( 0.16 to   1.55)","0.52 ( 0.21 to   1.29)","0.54 ( 0.23 to   1.25)","0.60 ( 0.25 to   1.46)","0.62 ( 0.21 to   1.84)","0.77 ( 0.08 to   7.14)","0.68 ( 0.26 to   1.76)","0.79 ( 0.32 to   1.93)","Almonertinib",".",".",".",".",".",".",".","."
"0.09 ( 0.02 to   0.47)","0.11 ( 0.03 to   0.42)","0.25 ( 0.07 to   0.81)","0.20 ( 0.03 to   1.17)","0.13 ( 0.00 to   3.84)","0.21 ( 0.02 to   2.10)","0.39 ( 0.14 to   1.05)","0.40 ( 0.16 to   0.99)","0.31 ( 0.02 to   4.45)","0.42 ( 0.18 to   1.01)","0.41 ( 0.16 to   1.10)","0.43 ( 0.17 to   1.11)","0.45 ( 0.14 to   1.45)","0.46 ( 0.15 to   1.47)","0.48 ( 0.18 to   1.27)","0.50 ( 0.19 to   1.30)","0.55 ( 0.21 to   1.48)","0.57 ( 0.18 to   1.81)","0.71 ( 0.08 to   6.65)","0.62 ( 0.23 to   1.67)","0.73 ( 0.28 to   1.89)","0.92 ( 0.29 to   2.87)","Erlotinib + ER inhibitor",".","0.63 (0.29 to  1.40)",".",".",".",".","."
"0.07 ( 0.02 to   0.35)","0.09 ( 0.03 to   0.30)","0.21 ( 0.07 to   0.62)","0.17 ( 0.03 to   0.89)","0.12 ( 0.00 to   3.10)","0.18 ( 0.02 to   1.70)","0.34 ( 0.15 to   0.77)","0.35 ( 0.19 to   0.64)","0.26 ( 0.02 to   3.53)","0.36 ( 0.17 to   0.78)","0.36 ( 0.16 to   0.81)","0.37 ( 0.18 to   0.77)","0.39 ( 0.14 to   1.06)","0.40 ( 0.15 to   1.03)","0.41 ( 0.19 to   0.89)","0.43 ( 0.18 to   1.02)","0.48 ( 0.20 to   1.11)","0.49 ( 0.18 to   1.36)","0.61 ( 0.07 to   5.19)","0.54 ( 0.26 to   1.11)","0.63 ( 0.30 to   1.32)","0.80 ( 0.28 to   2.29)","0.86 ( 0.29 to   2.56)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".","."
"0.05 ( 0.01 to   0.29)","0.07 ( 0.02 to   0.25)","0.16 ( 0.05 to   0.49)","0.13 ( 0.02 to   0.72)","0.09 ( 0.00 to   2.39)","0.13 ( 0.01 to   1.30)","0.25 ( 0.10 to   0.63)","0.26 ( 0.11 to   0.59)","0.19 ( 0.01 to   2.76)","0.27 ( 0.12 to   0.59)","0.26 ( 0.11 to   0.65)","0.27 ( 0.11 to   0.66)","0.29 ( 0.09 to   0.87)","0.29 ( 0.10 to   0.88)","0.30 ( 0.12 to   0.75)","0.32 ( 0.13 to   0.77)","0.35 ( 0.14 to   0.88)","0.36 ( 0.12 to   1.08)","0.45 ( 0.05 to   4.10)","0.39 ( 0.16 to   0.99)","0.46 ( 0.19 to   1.12)","0.58 ( 0.20 to   1.72)","0.63 ( 0.29 to   1.40)","0.73 ( 0.26 to   2.05)","Gefitinib + ER inhibitor",".",".",".",".","."
"0.05 ( 0.01 to   0.22)","0.06 ( 0.02 to   0.18)","0.15 ( 0.06 to   0.36)","0.12 ( 0.03 to   0.55)","0.08 ( 0.00 to   2.04)","0.13 ( 0.01 to   1.09)","0.23 ( 0.13 to   0.43)","0.24 ( 0.19 to   0.30)","0.18 ( 0.01 to   2.29)","0.25 ( 0.15 to   0.42)","0.25 ( 0.14 to   0.44)","0.26 ( 0.16 to   0.41)","0.27 ( 0.12 to   0.62)","0.28 ( 0.13 to   0.59)","0.28 ( 0.17 to   0.48)","0.30 ( 0.15 to   0.57)","0.33 ( 0.17 to   0.62)","0.34 ( 0.15 to   0.79)","0.42 ( 0.05 to   3.32)","0.37 ( 0.23 to   0.59)","0.43 ( 0.27 to   0.70)","0.55 ( 0.22 to   1.35)","0.60 ( 0.24 to   1.51)","0.69 ( 0.36 to   1.31)","0.94 ( 0.40 to   2.22)","Erlotinib + antiangiogenesis","0.58 (0.23 to  1.43)",".",".","."
"0.05 ( 0.01 to   0.22)","0.06 ( 0.02 to   0.18)","0.14 ( 0.05 to   0.36)","0.11 ( 0.02 to   0.54)","0.08 ( 0.00 to   1.97)","0.12 ( 0.01 to   1.06)","0.22 ( 0.11 to   0.43)","0.23 ( 0.16 to   0.33)","0.17 ( 0.01 to   2.22)","0.24 ( 0.13 to   0.43)","0.24 ( 0.12 to   0.45)","0.24 ( 0.14 to   0.42)","0.26 ( 0.11 to   0.62)","0.26 ( 0.11 to   0.60)","0.27 ( 0.15 to   0.50)","0.28 ( 0.14 to   0.57)","0.31 ( 0.16 to   0.63)","0.32 ( 0.13 to   0.79)","0.40 ( 0.05 to   3.23)","0.35 ( 0.20 to   0.61)","0.41 ( 0.23 to   0.72)","0.52 ( 0.20 to   1.33)","0.57 ( 0.21 to   1.50)","0.65 ( 0.32 to   1.34)","0.89 ( 0.36 to   2.21)","0.95 ( 0.62 to   1.45)","Antiangiogenesis",".",".","."
"0.04 ( 0.01 to   0.17)","0.04 ( 0.01 to   0.15)","0.10 ( 0.05 to   0.22)","0.08 ( 0.02 to   0.43)","0.06 ( 0.00 to   1.50)","0.09 ( 0.01 to   0.72)","0.16 ( 0.11 to   0.23)","0.17 ( 0.09 to   0.31)","0.13 ( 0.01 to   1.70)","0.17 ( 0.10 to   0.31)","0.17 ( 0.08 to   0.35)","0.18 ( 0.09 to   0.34)","0.19 ( 0.07 to   0.48)","0.19 ( 0.07 to   0.50)","0.20 ( 0.10 to   0.40)","0.21 ( 0.10 to   0.42)","0.23 ( 0.15 to   0.35)","0.24 ( 0.12 to   0.47)","0.29 ( 0.03 to   2.51)","0.26 ( 0.12 to   0.55)","0.30 ( 0.16 to   0.55)","0.38 ( 0.15 to   0.97)","0.41 ( 0.15 to   1.15)","0.48 ( 0.20 to   1.15)","0.65 ( 0.25 to   1.71)","0.69 ( 0.36 to   1.36)","0.73 ( 0.35 to   1.52)","Lazertinib + Amivantamab",".","."
"0.03 ( 0.01 to   0.17)","0.04 ( 0.01 to   0.15)","0.09 ( 0.04 to   0.22)","0.07 ( 0.01 to   0.41)","0.05 ( 0.00 to   1.39)","0.08 ( 0.01 to   0.67)","0.14 ( 0.08 to   0.26)","0.15 ( 0.07 to   0.34)","0.11 ( 0.01 to   1.60)","0.16 ( 0.07 to   0.34)","0.15 ( 0.06 to   0.38)","0.16 ( 0.07 to   0.36)","0.17 ( 0.06 to   0.49)","0.17 ( 0.06 to   0.50)","0.18 ( 0.07 to   0.42)","0.18 ( 0.08 to   0.45)","0.20 ( 0.10 to   0.42)","0.21 ( 0.09 to   0.48)","0.26 ( 0.03 to   2.37)","0.23 ( 0.09 to   0.57)","0.27 ( 0.12 to   0.59)","0.34 ( 0.11 to   1.00)","0.37 ( 0.12 to   1.17)","0.43 ( 0.15 to   1.18)","0.58 ( 0.19 to   1.74)","0.62 ( 0.27 to   1.44)","0.65 ( 0.27 to   1.59)","0.89 ( 0.45 to   1.78)","Osimertinib + antiangiogenesis","."
"0.02 ( 0.00 to   0.10)","0.02 ( 0.01 to   0.09)","0.06 ( 0.02 to   0.16)","0.05 ( 0.01 to   0.25)","0.03 ( 0.00 to   0.84)","0.05 ( 0.01 to   0.44)","0.09 ( 0.04 to   0.19)","0.09 ( 0.04 to   0.19)","0.07 ( 0.01 to   0.96)","0.10 ( 0.05 to   0.17)","0.09 ( 0.04 to   0.20)","0.10 ( 0.05 to   0.21)","0.10 ( 0.04 to   0.28)","0.11 ( 0.04 to   0.29)","0.11 ( 0.05 to   0.24)","0.11 ( 0.06 to   0.23)","0.13 ( 0.06 to   0.27)","0.13 ( 0.05 to   0.35)","0.16 ( 0.02 to   1.42)","0.14 ( 0.06 to   0.33)","0.17 ( 0.08 to   0.35)","0.21 ( 0.08 to   0.53)","0.23 ( 0.08 to   0.64)","0.26 ( 0.10 to   0.68)","0.36 ( 0.14 to   0.95)","0.38 ( 0.18 to   0.82)","0.40 ( 0.18 to   0.91)","0.55 ( 0.24 to   1.24)","0.62 ( 0.23 to   1.64)","Gefitinib + antiangiogenesis"
