"Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    3.70)","0.16 (0.01 to    3.25)","0.59 (0.34 to    1.03)","0.32 (0.01 to    8.06)","0.75 (0.45 to    1.27)","0.78 (0.33 to    1.87)","0.47 (0.02 to   11.56)","0.80 (0.19 to    3.34)","0.90 (0.50 to    1.64)","0.89 (0.31 to    2.54)","0.95 (0.53 to    1.70)","0.97 (0.50 to    1.86)","0.98 (0.57 to    1.67)","Erlotinib",".","0.97 (0.71 to   1.33)",".",".",".","0.83 (0.52 to   1.33)",".","0.69 (0.30 to   1.57)","0.60 (0.15 to   2.49)",".",".","0.45 (0.11 to   1.84)",".","0.36 (0.08 to   1.60)",".",".",".",".","0.19 (0.08 to   0.46)","0.22 (0.10 to   0.47)","."
"0.11 (0.00 to    4.28)","0.16 (0.01 to    3.76)","0.59 (0.19 to    1.87)","0.32 (0.01 to    9.44)","0.75 (0.25 to    2.22)","0.78 (0.21 to    2.84)","0.47 (0.02 to   13.25)","0.80 (0.14 to    4.64)","0.90 (0.27 to    2.96)","0.88 (0.21 to    3.66)","0.95 (0.29 to    3.09)","0.96 (0.31 to    2.96)","0.97 (0.40 to    2.34)","1.00 (0.36 to    2.79)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    3.70)","0.16 (0.01 to    3.25)","0.58 (0.31 to    1.10)","0.32 (0.01 to    8.06)","0.74 (0.40 to    1.36)","0.77 (0.30 to    1.95)","0.46 (0.02 to   11.55)","0.79 (0.18 to    3.40)","0.89 (0.45 to    1.74)","0.87 (0.29 to    2.62)","0.93 (0.48 to    1.81)","0.95 (0.46 to    1.96)","0.96 (0.52 to    1.78)","0.98 (0.72 to    1.35)","0.99 (0.34 to    2.89)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.17 (0.03 to   1.07)","."
"0.10 (0.00 to    3.79)","0.15 (0.01 to    3.24)","0.55 (0.21 to    1.43)","0.30 (0.01 to    8.33)","0.70 (0.30 to    1.63)","0.73 (0.24 to    2.15)","0.44 (0.02 to   11.45)","0.75 (0.14 to    3.88)","0.84 (0.30 to    2.33)","0.82 (0.24 to    2.83)","0.88 (0.32 to    2.43)","0.90 (0.54 to    1.50)","0.91 (0.38 to    2.15)","0.93 (0.40 to    2.14)","0.93 (0.27 to    3.20)","0.94 (0.39 to    2.29)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    4.14)","0.15 (0.01 to    3.60)","0.54 (0.15 to    1.98)","0.29 (0.01 to    9.16)","0.68 (0.20 to    2.33)","0.71 (0.18 to    2.89)","0.43 (0.01 to   12.63)","0.73 (0.11 to    4.75)","0.82 (0.21 to    3.18)","0.81 (0.18 to    3.69)","0.86 (0.23 to    3.32)","0.88 (0.32 to    2.45)","0.89 (0.26 to    3.06)","0.91 (0.27 to    3.07)","0.91 (0.20 to    4.16)","0.92 (0.26 to    3.24)","0.98 (0.31 to    3.08)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    3.80)","0.15 (0.01 to    3.27)","0.53 (0.18 to    1.56)","0.29 (0.01 to    8.38)","0.68 (0.25 to    1.81)","0.70 (0.21 to    2.33)","0.43 (0.02 to   11.53)","0.72 (0.13 to    4.05)","0.81 (0.26 to    2.54)","0.80 (0.21 to    3.03)","0.85 (0.28 to    2.65)","0.87 (0.42 to    1.78)","0.88 (0.32 to    2.39)","0.90 (0.34 to    2.38)","0.90 (0.24 to    3.42)","0.91 (0.33 to    2.54)","0.97 (0.40 to    2.34)","0.99 (0.28 to    3.45)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    3.20)","0.14 (0.01 to    2.77)","0.50 (0.25 to    0.98)","0.27 (0.01 to    6.98)","0.63 (0.35 to    1.16)","0.66 (0.27 to    1.63)","0.40 (0.02 to    9.83)","0.68 (0.15 to    2.98)","0.76 (0.37 to    1.57)","0.75 (0.25 to    2.20)","0.80 (0.39 to    1.63)","0.81 (0.42 to    1.59)","0.82 (0.45 to    1.52)","0.84 (0.56 to    1.27)","0.85 (0.29 to    2.47)","0.86 (0.51 to    1.43)","0.91 (0.39 to    2.10)","0.93 (0.27 to    3.14)","0.94 (0.35 to    2.49)","Chemotherapy",".","0.97 (0.16 to   5.79)",".",".","0.59 (0.14 to   2.47)",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    3.70)","0.12 (0.00 to    3.31)","0.45 (0.10 to    2.02)","0.24 (0.01 to    8.23)","0.57 (0.13 to    2.44)","0.59 (0.12 to    2.98)","0.36 (0.01 to   11.57)","0.61 (0.08 to    4.53)","0.69 (0.15 to    3.17)","0.67 (0.12 to    3.75)","0.72 (0.16 to    3.32)","0.73 (0.17 to    3.22)","0.74 (0.20 to    2.73)","0.76 (0.19 to    3.12)","0.76 (0.16 to    3.67)","0.77 (0.18 to    3.27)","0.82 (0.17 to    3.91)","0.83 (0.14 to    5.04)","0.84 (0.16 to    4.37)","0.90 (0.21 to    3.81)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.96)","0.12 (0.01 to    2.63)","0.44 (0.17 to    1.12)","0.24 (0.01 to    6.50)","0.55 (0.22 to    1.39)","0.58 (0.18 to    1.83)","0.35 (0.01 to    9.30)","0.59 (0.12 to    2.99)","0.67 (0.25 to    1.76)","0.65 (0.18 to    2.39)","0.70 (0.27 to    1.83)","0.71 (0.26 to    1.93)","0.72 (0.28 to    1.82)","0.74 (0.34 to    1.59)","0.74 (0.21 to    2.65)","0.75 (0.33 to    1.72)","0.79 (0.26 to    2.43)","0.81 (0.19 to    3.38)","0.82 (0.24 to    2.80)","0.87 (0.38 to    2.02)","0.97 (0.20 to    4.82)","Erlotinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to    2.93)","0.10 (0.00 to    2.69)","0.36 (0.08 to    1.63)","0.19 (0.01 to    6.53)","0.45 (0.10 to    2.05)","0.47 (0.09 to    2.49)","0.28 (0.01 to    9.38)","0.48 (0.06 to    3.61)","0.54 (0.12 to    2.53)","0.53 (0.09 to    3.12)","0.57 (0.12 to    2.64)","0.58 (0.12 to    2.77)","0.59 (0.13 to    2.67)","0.60 (0.15 to    2.49)","0.60 (0.10 to    3.48)","0.61 (0.14 to    2.61)","0.65 (0.12 to    3.35)","0.66 (0.10 to    4.28)","0.67 (0.12 to    3.73)","0.71 (0.16 to    3.12)","0.79 (0.11 to    5.86)","0.82 (0.16 to    4.10)","Erlotinib + Autophagy inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
