"Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.95 (2.80 to  22.58)",".",".",".",".",".",".",".",".",".",".",".",".","."
"7.05 (1.34 to   36.98)","3.74 (0.87 to   16.06)","3.20 (0.60 to   16.95)","2.24 (0.29 to   16.99)","1.66 (0.34 to    8.21)","1.77 (0.25 to   12.48)","1.42 (0.31 to    6.48)","1.46 (0.27 to    8.00)","1.50 (0.15 to   14.72)","1.31 (0.31 to    5.60)","1.13 (0.33 to    3.86)","1.15 (0.56 to    2.36)","1.11 (0.24 to    5.24)","1.04 (0.62 to    1.76)","Gefitinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7.63 (0.97 to   59.84)","4.04 (0.56 to   29.41)","3.46 (0.39 to   30.59)","2.42 (0.18 to   33.42)","1.80 (0.21 to   15.07)","1.91 (0.18 to   20.77)","1.54 (0.20 to   12.14)","1.58 (0.19 to   13.23)","1.63 (0.10 to   26.00)","1.42 (0.19 to   10.43)","1.22 (0.18 to    8.13)","1.24 (0.12 to   12.50)","1.21 (0.08 to   17.66)","1.13 (0.12 to   10.75)","1.08 (0.12 to    9.70)","DHFR inhibitor","1.04 (0.18 to   6.15)",".",".",".",".",".",".",".",".",".",".",".",".","."
"7.95 (2.80 to   22.58)","4.21 (1.74 to   10.22)","3.61 (1.02 to   12.75)","2.52 (0.36 to   17.44)","1.88 (0.58 to    6.03)","1.99 (0.40 to    9.80)","1.61 (0.56 to    4.60)","1.64 (0.51 to    5.30)","1.70 (0.20 to   14.23)","1.48 (0.59 to    3.68)","1.27 (0.65 to    2.47)","1.30 (0.30 to    5.66)","1.26 (0.17 to    9.41)","1.17 (0.29 to    4.72)","1.13 (0.31 to    4.08)","1.04 (0.18 to    6.15)","Erlotinib","1.00 (0.16 to   6.12)",".","1.10 (0.23 to   5.30)",".","1.42 (0.55 to   3.65)","1.67 (0.21 to  12.95)","1.42 (0.89 to   2.26)",".",".","1.56 (0.73 to   3.33)","1.77 (0.79 to   3.97)","2.08 (0.47 to   9.08)","."
"7.95 (0.98 to   64.35)","4.21 (0.56 to   31.66)","3.61 (0.40 to   32.85)","2.52 (0.18 to   35.70)","1.88 (0.22 to   16.19)","1.99 (0.18 to   22.25)","1.61 (0.20 to   13.06)","1.64 (0.19 to   14.22)","1.70 (0.10 to   27.73)","1.48 (0.19 to   11.23)","1.27 (0.18 to    8.77)","1.30 (0.13 to   13.40)","1.26 (0.08 to   18.86)","1.17 (0.12 to   11.53)","1.13 (0.12 to   10.41)","1.04 (0.08 to   13.17)","1.00 (0.16 to    6.12)","Erlotinib + Autophagy inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"8.43 (1.42 to   50.06)","4.47 (0.83 to   24.04)","3.83 (0.63 to   23.12)","2.67 (0.26 to   27.32)","1.99 (0.35 to   11.26)","2.11 (0.38 to   11.79)","1.70 (0.32 to    8.94)","1.74 (0.27 to   11.07)","1.80 (0.15 to   21.60)","1.57 (0.51 to    4.79)","1.35 (0.29 to    6.27)","1.38 (0.19 to    9.85)","1.33 (0.12 to   14.69)","1.25 (0.18 to    8.40)","1.20 (0.19 to    7.49)","1.11 (0.11 to   10.89)","1.06 (0.25 to    4.49)","1.06 (0.10 to   10.76)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".","."
"8.74 (1.32 to   57.70)","4.63 (0.76 to   28.15)","3.97 (0.53 to   29.80)","2.77 (0.23 to   33.52)","2.06 (0.29 to   14.62)","2.19 (0.23 to   20.54)","1.77 (0.27 to   11.71)","1.81 (0.25 to   12.84)","1.86 (0.13 to   26.26)","1.62 (0.26 to   10.00)","1.40 (0.25 to    7.71)","1.42 (0.17 to   12.30)","1.38 (0.11 to   17.77)","1.29 (0.16 to   10.53)","1.24 (0.16 to    9.46)","1.15 (0.11 to   12.27)","1.10 (0.23 to    5.30)","1.10 (0.10 to   12.11)","1.04 (0.12 to    8.76)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".",".",".","."
"10.42 (1.87 to   58.17)","5.52 (1.10 to   27.76)","4.73 (1.55 to   14.45)","3.30 (0.46 to   23.77)","2.46 (0.90 to    6.74)","2.61 (0.36 to   19.12)","2.11 (0.88 to    5.04)","2.15 (0.36 to   12.78)","2.22 (0.27 to   18.50)","1.93 (0.43 to    8.69)","1.67 (0.41 to    6.85)","1.70 (0.26 to   11.23)","1.65 (0.16 to   17.00)","1.54 (0.25 to    9.54)","1.48 (0.26 to    8.48)","1.37 (0.15 to   12.83)","1.31 (0.33 to    5.14)","1.31 (0.14 to   12.68)","1.24 (0.19 to    8.04)","1.19 (0.15 to    9.58)","Zorifertinib",".",".",".","1.13 (0.63 to   2.04)",".",".",".",".","."
"11.26 (2.75 to   46.04)","5.97 (1.63 to   21.80)","5.11 (1.06 to   24.74)","3.57 (0.41 to   30.74)","2.66 (0.59 to   11.93)","2.82 (0.44 to   17.99)","2.28 (0.55 to    9.36)","2.33 (0.52 to   10.48)","2.40 (0.23 to   24.64)","2.09 (0.56 to    7.78)","1.80 (0.57 to    5.72)","1.84 (0.32 to   10.57)","1.78 (0.19 to   16.45)","1.66 (0.31 to    8.94)","1.60 (0.32 to    7.88)","1.48 (0.20 to   11.03)","1.42 (0.55 to    3.65)","1.42 (0.18 to   10.93)","1.34 (0.24 to    7.50)","1.29 (0.21 to    8.07)","1.08 (0.21 to    5.69)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","."
"13.25 (1.33 to  132.24)","7.02 (0.75 to   65.52)","6.02 (0.54 to   66.82)","4.20 (0.25 to   70.40)","3.13 (0.30 to   33.09)","3.32 (0.25 to   44.55)","2.68 (0.27 to   26.83)","2.74 (0.26 to   29.05)","2.83 (0.15 to   54.24)","2.46 (0.26 to   23.21)","2.12 (0.25 to   18.30)","2.16 (0.17 to   26.98)","2.09 (0.12 to   37.06)","1.96 (0.16 to   23.31)","1.88 (0.17 to   21.15)","1.74 (0.12 to   26.15)","1.67 (0.21 to   12.95)","1.67 (0.11 to   25.72)","1.57 (0.13 to   19.28)","1.52 (0.11 to   20.09)","1.27 (0.11 to   14.95)","1.18 (0.12 to   11.25)","Erlotinib + MMP inhibitor",".",".",".",".",".",".","."
"11.26 (3.59 to   35.32)","5.97 (2.19 to   16.24)","5.11 (1.33 to   19.63)","3.57 (0.49 to   26.11)","2.66 (0.76 to    9.34)","2.82 (0.54 to   14.84)","2.28 (0.72 to    7.19)","2.33 (0.66 to    8.21)","2.40 (0.27 to   21.20)","2.09 (0.75 to    5.83)","1.80 (0.80 to    4.06)","1.84 (0.39 to    8.61)","1.78 (0.23 to   14.05)","1.66 (0.38 to    7.21)","1.60 (0.41 to    6.28)","1.48 (0.24 to    9.25)","1.42 (0.89 to    2.26)","1.42 (0.22 to    9.20)","1.34 (0.29 to    6.08)","1.29 (0.25 to    6.64)","1.08 (0.26 to    4.58)","1.00 (0.35 to    2.87)","0.85 (0.10 to    6.96)","Erlotinib + antiangiogenesis",".",".",".",".",".","."
"11.81 (2.35 to   59.41)","6.26 (1.39 to   28.14)","5.36 (2.08 to   13.84)","3.75 (0.57 to   24.62)","2.79 (1.23 to    6.32)","2.96 (0.44 to   19.82)","2.39 (1.25 to    4.54)","2.44 (0.46 to   13.10)","2.52 (0.33 to   19.28)","2.19 (0.55 to    8.74)","1.89 (0.52 to    6.82)","1.93 (0.32 to   11.58)","1.87 (0.20 to   17.86)","1.75 (0.31 to    9.81)","1.67 (0.32 to    8.67)","1.55 (0.18 to   13.44)","1.49 (0.43 to    5.10)","1.49 (0.17 to   13.30)","1.40 (0.24 to    8.29)","1.35 (0.18 to    9.97)","1.13 (0.63 to    2.04)","1.05 (0.22 to    4.96)","0.89 (0.08 to    9.75)","1.05 (0.28 to    3.92)","Gefitinib/Erlotinib",".",".",".",".","."
"19.95 (0.63 to  634.82)","10.57 (0.35 to  319.69)","9.06 (0.37 to  222.98)","6.33 (0.17 to  229.94)","4.71 (0.20 to  111.75)","5.00 (0.14 to  183.45)","4.03 (0.18 to   91.91)","4.13 (0.13 to  135.35)","4.26 (0.11 to  167.86)","3.70 (0.13 to  106.38)","3.19 (0.12 to   88.15)","3.25 (0.09 to  112.95)","3.15 (0.07 to  141.40)","2.95 (0.09 to   98.94)","2.83 (0.09 to   91.28)","2.62 (0.06 to  110.78)","2.51 (0.09 to   67.97)","2.51 (0.06 to  108.20)","2.37 (0.07 to   81.45)","2.28 (0.06 to   88.26)","1.92 (0.07 to   49.19)","1.77 (0.06 to   54.80)","1.51 (0.03 to   73.22)","1.77 (0.06 to   49.58)","1.69 (0.07 to   41.12)","Osimertinib + PD-L1 inhibitor",".",".",".","."
"12.40 (3.41 to   45.09)","6.57 (2.05 to   21.11)","5.63 (1.29 to   24.56)","3.94 (0.49 to   31.42)","2.93 (0.73 to   11.78)","3.11 (0.53 to   18.15)","2.51 (0.69 to    9.17)","2.57 (0.64 to   10.35)","2.65 (0.28 to   25.32)","2.30 (0.70 to    7.55)","1.99 (0.72 to    5.44)","2.02 (0.39 to   10.61)","1.96 (0.23 to   16.85)","1.83 (0.38 to    8.93)","1.76 (0.39 to    7.84)","1.63 (0.24 to   11.21)","1.56 (0.73 to    3.33)","1.56 (0.22 to   11.13)","1.47 (0.29 to    7.51)","1.42 (0.25 to    8.14)","1.19 (0.25 to    5.68)","1.10 (0.33 to    3.70)","0.94 (0.11 to    8.33)","1.10 (0.45 to    2.68)","1.05 (0.25 to    4.47)","0.62 (0.02 to   18.35)","Erlotinib + IGF-1R inhibitor",".",".","."
"15.46 (4.23 to   56.58)","8.19 (2.54 to   26.46)","7.02 (1.70 to   28.95)","4.91 (0.63 to   38.02)","3.65 (0.96 to   13.84)","3.88 (0.67 to   22.40)","3.13 (0.91 to   10.73)","3.20 (0.79 to   12.96)","3.30 (0.36 to   30.62)","2.87 (0.89 to    9.26)","2.48 (0.91 to    6.76)","2.52 (0.48 to   13.13)","2.44 (0.29 to   20.89)","2.29 (0.47 to   11.05)","2.19 (0.50 to    9.69)","2.03 (0.29 to   14.04)","1.95 (0.90 to    4.20)","1.95 (0.27 to   13.93)","1.83 (0.36 to    9.26)","1.77 (0.31 to   10.20)","1.48 (0.33 to    6.72)","1.37 (0.41 to    4.65)","1.17 (0.13 to   10.43)","1.37 (0.56 to    3.38)","1.31 (0.33 to    5.26)","0.78 (0.03 to   22.33)","1.25 (0.42 to    3.67)","Dacomitinib","0.50 (0.05 to   4.84)","."
"16.56 (4.05 to   67.77)","8.78 (2.43 to   31.65)","7.52 (2.90 to   19.48)","5.26 (0.83 to   33.23)","3.91 (1.72 to    8.90)","4.15 (0.74 to   23.15)","3.35 (1.75 to    6.40)","3.43 (0.77 to   15.16)","3.53 (0.47 to   26.48)","3.08 (1.01 to    9.40)","2.65 (0.93 to    7.57)","2.70 (0.52 to   13.97)","2.62 (0.31 to   22.26)","2.45 (0.51 to   11.75)","2.35 (0.54 to   10.30)","2.17 (0.29 to   16.23)","2.08 (0.81 to    5.37)","2.08 (0.27 to   16.09)","1.96 (0.40 to    9.54)","1.90 (0.30 to   11.88)","1.59 (0.54 to    4.72)","1.47 (0.39 to    5.60)","1.25 (0.13 to   11.96)","1.47 (0.51 to    4.22)","1.40 (0.56 to    3.50)","0.83 (0.03 to   20.23)","1.34 (0.40 to    4.49)","1.07 (0.34 to    3.33)","Placebo","."
"57.60 (2.19 to 1514.47)","30.52 (1.23 to  760.38)","26.16 (1.31 to  523.33)","18.28 (0.60 to  552.65)","13.59 (0.71 to  261.63)","14.44 (0.47 to  441.14)","11.64 (0.63 to  214.54)","11.92 (0.44 to  323.47)","12.29 (0.37 to  405.20)","10.70 (0.45 to  252.21)","9.22 (0.41 to  208.49)","9.40 (0.33 to  270.79)","9.11 (0.24 to  343.49)","8.51 (0.31 to  236.76)","8.17 (0.31 to  217.93)","7.55 (0.21 to  268.36)","7.25 (0.33 to  160.55)","7.25 (0.20 to  262.35)","6.83 (0.24 to  195.18)","6.59 (0.20 to  212.82)","5.53 (0.26 to  115.79)","5.12 (0.20 to  130.52)","4.35 (0.11 to  178.54)","5.12 (0.22 to  117.36)","4.88 (0.25 to   96.43)","2.89 (0.04 to  207.28)","4.64 (0.19 to  112.74)","3.73 (0.16 to   88.17)","3.48 (0.18 to   68.81)","Chemotherapy + antiangiogenesis"
