"1st-generation EGFR TKIs + MMP inhibitor",".","0.21 (0.04 to  1.15)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 (0.09 to   7.07)","1st-generation EGFR TKIs + Autophagy inhibitor","0.26 (0.07 to  1.03)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to   1.15)","0.26 (0.07 to   1.03)","1st-generation EGFR TKIs",".","0.86 (0.44 to  1.69)","1.32 (0.09 to 19.12)","0.97 (0.55 to  1.72)",".","0.80 (0.47 to  1.36)","0.74 (0.39 to  1.42)","0.61 (0.32 to  1.16)","0.57 (0.06 to  5.32)","0.64 (0.34 to  1.19)",".","0.37 (0.13 to  1.02)","0.35 (0.09 to  1.29)","0.20 (0.15 to  0.28)","0.18 (0.09 to  0.38)",".","."
"0.29 (0.02 to   5.11)","0.36 (0.02 to   5.26)","1.36 (0.14 to  13.78)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".",".",".",".","0.54 (0.06 to  5.14)",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to   1.21)","0.25 (0.06 to   1.10)","0.97 (0.57 to   1.65)","0.71 (0.07 to   7.42)","Placebo",".","0.57 (0.20 to  1.62)",".",".",".","1.00 (0.30 to  3.31)",".",".",".",".",".",".",".",".","."
"0.28 (0.01 to   6.67)","0.35 (0.02 to   6.98)","1.32 (0.09 to  19.12)","0.97 (0.03 to  33.17)","1.37 (0.09 to  20.88)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.03 to   1.11)","0.24 (0.06 to   1.00)","0.90 (0.56 to   1.45)","0.66 (0.06 to   6.92)","0.93 (0.50 to   1.75)","0.68 (0.05 to  10.29)","2nd-generation EGFR TKIs","1.05 (0.36 to  3.12)",".",".",".",".","0.46 (0.16 to  1.34)",".",".",".",".",".",".","."
"0.20 (0.03 to   1.59)","0.25 (0.04 to   1.51)","0.95 (0.29 to   3.10)","0.69 (0.05 to   9.25)","0.98 (0.28 to   3.44)","0.72 (0.04 to  13.35)","1.05 (0.36 to   3.12)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".","."
"0.17 (0.03 to   1.01)","0.21 (0.05 to   0.92)","0.81 (0.48 to   1.37)","0.60 (0.06 to   6.36)","0.84 (0.40 to   1.77)","0.62 (0.04 to   9.37)","0.90 (0.45 to   1.82)","0.86 (0.24 to   3.13)","1st-generation EGFR TKIs + chemotherapy",".",".",".","0.61 (0.06 to  5.70)",".",".",".",".",".",".","."
"0.16 (0.03 to   0.97)","0.20 (0.04 to   0.88)","0.74 (0.39 to   1.42)","0.55 (0.05 to   6.02)","0.77 (0.33 to   1.78)","0.56 (0.04 to   8.82)","0.83 (0.37 to   1.85)","0.79 (0.20 to   3.03)","0.92 (0.40 to   2.10)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".","."
"0.16 (0.03 to   0.92)","0.19 (0.05 to   0.83)","0.74 (0.44 to   1.25)","0.54 (0.06 to   5.14)","0.76 (0.39 to   1.49)","0.56 (0.04 to   8.51)","0.82 (0.42 to   1.62)","0.78 (0.22 to   2.80)","0.91 (0.44 to   1.89)","0.99 (0.43 to   2.27)","3rd-generation EGFR TKIs",".","0.51 (0.17 to  1.58)","0.65 (0.24 to  1.79)",".",".",".",".","0.18 (0.07 to  0.48)","0.13 (0.06 to  0.29)"
"0.12 (0.01 to   2.01)","0.15 (0.01 to   2.05)","0.57 (0.06 to   5.32)","0.42 (0.02 to  10.41)","0.59 (0.06 to   5.87)","0.43 (0.01 to  14.07)","0.63 (0.06 to   6.23)","0.60 (0.05 to   7.56)","0.70 (0.07 to   6.96)","0.77 (0.07 to   7.83)","0.77 (0.08 to   7.67)","DHFR inhibitor",".",".",".",".",".",".",".","."
"0.11 (0.02 to   0.66)","0.14 (0.03 to   0.60)","0.53 (0.32 to   0.87)","0.39 (0.04 to   4.06)","0.55 (0.27 to   1.11)","0.40 (0.03 to   6.11)","0.59 (0.32 to   1.09)","0.56 (0.16 to   1.96)","0.65 (0.32 to   1.32)","0.71 (0.32 to   1.61)","0.72 (0.38 to   1.38)","0.93 (0.09 to   9.20)","Chemotherapy",".",".",".",".",".",".","."
"0.10 (0.01 to   0.79)","0.13 (0.02 to   0.75)","0.48 (0.15 to   1.50)","0.35 (0.03 to   4.16)","0.50 (0.15 to   1.68)","0.36 (0.02 to   6.65)","0.53 (0.16 to   1.81)","0.51 (0.10 to   2.60)","0.59 (0.17 to   2.07)","0.64 (0.17 to   2.39)","0.65 (0.24 to   1.79)","0.84 (0.07 to  10.35)","0.90 (0.27 to   3.00)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".","."
"0.08 (0.01 to   0.56)","0.10 (0.02 to   0.53)","0.37 (0.13 to   1.02)","0.27 (0.02 to   3.37)","0.38 (0.12 to   1.21)","0.28 (0.02 to   4.86)","0.41 (0.13 to   1.27)","0.39 (0.08 to   1.86)","0.45 (0.14 to   1.43)","0.49 (0.15 to   1.65)","0.50 (0.16 to   1.58)","0.64 (0.05 to   7.51)","0.69 (0.22 to   2.16)","0.76 (0.16 to   3.54)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".","."
"0.07 (0.01 to   0.63)","0.09 (0.01 to   0.60)","0.35 (0.09 to   1.29)","0.25 (0.02 to   3.62)","0.36 (0.09 to   1.48)","0.26 (0.01 to   5.15)","0.38 (0.09 to   1.56)","0.37 (0.06 to   2.15)","0.43 (0.10 to   1.75)","0.46 (0.11 to   2.01)","0.47 (0.11 to   1.93)","0.61 (0.05 to   8.10)","0.65 (0.16 to   2.65)","0.72 (0.13 to   4.11)","0.94 (0.18 to   5.02)","1st-generation EGFR TKIs + ER inhibitor",".",".",".","."
"0.04 (0.01 to   0.25)","0.06 (0.01 to   0.22)","0.21 (0.15 to   0.29)","0.15 (0.01 to   1.58)","0.22 (0.12 to   0.40)","0.16 (0.01 to   2.33)","0.23 (0.13 to   0.41)","0.22 (0.06 to   0.75)","0.26 (0.14 to   0.47)","0.28 (0.14 to   0.57)","0.28 (0.15 to   0.52)","0.37 (0.04 to   3.50)","0.39 (0.22 to   0.71)","0.43 (0.13 to   1.42)","0.57 (0.19 to   1.68)","0.60 (0.16 to   2.34)","1st-generation EGFR TKIs + antiangiogenesis","0.58 (0.16 to  2.04)",".","."
"0.04 (0.01 to   0.23)","0.05 (0.01 to   0.21)","0.17 (0.09 to   0.35)","0.13 (0.01 to   1.43)","0.18 (0.08 to   0.44)","0.13 (0.01 to   2.10)","0.19 (0.08 to   0.45)","0.18 (0.05 to   0.73)","0.22 (0.09 to   0.51)","0.23 (0.09 to   0.61)","0.24 (0.10 to   0.57)","0.31 (0.03 to   3.18)","0.33 (0.14 to   0.77)","0.36 (0.10 to   1.39)","0.48 (0.14 to   1.66)","0.51 (0.11 to   2.24)","0.84 (0.40 to   1.75)","Antiangiogenesis",".","."
"0.03 (0.00 to   0.22)","0.04 (0.01 to   0.20)","0.13 (0.04 to   0.40)","0.10 (0.01 to   1.14)","0.14 (0.04 to   0.45)","0.10 (0.01 to   1.84)","0.15 (0.05 to   0.49)","0.14 (0.03 to   0.71)","0.17 (0.05 to   0.56)","0.18 (0.05 to   0.65)","0.18 (0.07 to   0.48)","0.24 (0.02 to   2.85)","0.25 (0.08 to   0.81)","0.28 (0.07 to   1.14)","0.37 (0.08 to   1.66)","0.39 (0.07 to   2.17)","0.65 (0.21 to   2.03)","0.77 (0.21 to   2.83)","3rd-generation EGFR TKIs + Amivantamab","."
"0.02 (0.00 to   0.15)","0.03 (0.00 to   0.14)","0.10 (0.04 to   0.25)","0.07 (0.01 to   0.78)","0.10 (0.04 to   0.29)","0.07 (0.00 to   1.27)","0.11 (0.04 to   0.31)","0.10 (0.02 to   0.47)","0.12 (0.04 to   0.36)","0.13 (0.04 to   0.42)","0.13 (0.06 to   0.29)","0.17 (0.02 to   1.95)","0.18 (0.07 to   0.51)","0.20 (0.06 to   0.74)","0.27 (0.07 to   1.09)","0.28 (0.06 to   1.44)","0.47 (0.17 to   1.28)","0.56 (0.17 to   1.82)","0.73 (0.21 to   2.54)","3rd-generation EGFR TKIs + antiangiogenesis"
