"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".","0.21 (0.04 to  1.13)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to    1.25)","0.26 (0.06 to    1.14)","0.49 (0.08 to    3.11)","0.33 (0.01 to    9.88)","0.58 (0.15 to    2.25)","0.50 (0.05 to    5.41)","0.93 (0.41 to    2.10)","0.58 (0.01 to   40.00)","0.96 (0.49 to    1.88)","0.75 (0.05 to   11.55)","0.97 (0.46 to    2.04)","1.00 (0.54 to    1.85)","Gefitinib",".",".",".","1.01 (0.02 to 55.81)","1.00 (0.02 to 55.84)","0.99 (0.02 to 55.25)",".",".","0.89 (0.25 to  3.22)","0.80 (0.44 to  1.46)","0.76 (0.27 to  2.15)",".",".",".","0.40 (0.11 to  1.38)","0.46 (0.15 to  1.38)","0.48 (0.13 to  1.71)",".","0.30 (0.09 to  1.03)",".",".","0.09 (0.01 to  0.63)",".","0.09 (0.03 to  0.23)"
"0.23 (0.00 to   19.08)","0.28 (0.00 to   20.94)","0.52 (0.01 to   45.26)","0.35 (0.00 to   70.16)","0.62 (0.01 to   39.99)","0.53 (0.01 to   53.20)","0.99 (0.02 to   55.23)","0.62 (0.00 to  200.49)","1.02 (0.02 to   61.67)","0.80 (0.01 to  106.96)","1.03 (0.02 to   64.86)","1.06 (0.02 to   64.39)","1.06 (0.02 to   64.74)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.02 to    1.50)","0.23 (0.04 to    1.43)","0.44 (0.05 to    3.68)","0.29 (0.01 to   10.32)","0.52 (0.09 to    3.00)","0.44 (0.03 to    6.17)","0.82 (0.20 to    3.32)","0.51 (0.01 to   41.02)","0.84 (0.23 to    3.09)","0.67 (0.04 to   12.55)","0.85 (0.21 to    3.41)","0.88 (0.25 to    3.06)","0.88 (0.24 to    3.19)","0.83 (0.01 to   58.86)","Afatinib + Cetuximab",".",".",".",".",".",".","0.95 (0.33 to  2.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.00 to   17.08)","0.27 (0.00 to   18.70)","0.50 (0.01 to   40.52)","0.34 (0.00 to   63.53)","0.60 (0.01 to   41.73)","0.51 (0.00 to   55.08)","0.95 (0.02 to   57.79)","0.59 (0.00 to  204.45)","0.98 (0.02 to   57.25)","0.77 (0.01 to   96.37)","0.99 (0.02 to   59.34)","1.02 (0.02 to   57.30)","1.02 (0.02 to   60.27)","0.96 (0.00 to  302.78)","1.16 (0.02 to   78.59)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.00 to   17.32)","0.26 (0.00 to   18.99)","0.50 (0.01 to   41.10)","0.33 (0.00 to   64.11)","0.59 (0.01 to   40.58)","0.50 (0.00 to   53.62)","0.93 (0.02 to   56.18)","0.58 (0.00 to  199.42)","0.96 (0.02 to   56.49)","0.76 (0.01 to   97.46)","0.97 (0.02 to   57.83)","1.00 (0.02 to   58.27)","1.01 (0.02 to   55.81)","0.94 (0.00 to  295.29)","1.14 (0.02 to   77.19)","0.98 (0.00 to  300.63)","Icotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.00 to   17.33)","0.26 (0.00 to   18.99)","0.49 (0.01 to   41.10)","0.33 (0.00 to   64.06)","0.58 (0.01 to   40.60)","0.50 (0.00 to   53.62)","0.93 (0.02 to   56.21)","0.58 (0.00 to  199.20)","0.96 (0.02 to   56.52)","0.75 (0.01 to   97.43)","0.97 (0.02 to   57.86)","1.00 (0.02 to   58.31)","1.00 (0.02 to   55.84)","0.94 (0.00 to  294.98)","1.13 (0.02 to   77.22)","0.98 (0.00 to  300.33)","1.00 (0.00 to  292.87)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.00 to   17.15)","0.26 (0.00 to   18.80)","0.49 (0.01 to   40.69)","0.33 (0.00 to   63.46)","0.58 (0.01 to   40.18)","0.50 (0.00 to   53.08)","0.92 (0.02 to   55.62)","0.58 (0.00 to  197.39)","0.95 (0.02 to   55.92)","0.75 (0.01 to   96.48)","0.96 (0.02 to   57.25)","0.99 (0.02 to   57.69)","0.99 (0.02 to   55.25)","0.93 (0.00 to  292.29)","1.13 (0.02 to   76.41)","0.97 (0.00 to  297.59)","0.99 (0.00 to  290.19)","0.99 (0.00 to  292.81)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.18 (0.03 to    1.24)","0.23 (0.04 to    1.16)","0.42 (0.06 to    3.06)","0.29 (0.01 to    9.16)","0.50 (0.10 to    2.56)","0.43 (0.03 to    5.51)","0.80 (0.23 to    2.72)","0.50 (0.01 to   37.88)","0.82 (0.27 to    2.47)","0.65 (0.04 to   10.91)","0.83 (0.25 to    2.73)","0.86 (0.33 to    2.22)","0.86 (0.28 to    2.63)","0.81 (0.01 to   54.26)","0.97 (0.21 to    4.60)","0.84 (0.01 to   52.79)","0.85 (0.01 to   55.27)","0.86 (0.01 to   55.85)","0.86 (0.01 to   55.89)","Erlotinib + chemotherapy",".",".",".",".",".",".",".","0.61 (0.07 to  5.59)",".",".",".",".",".",".",".",".","."
"0.20 (0.00 to   16.72)","0.25 (0.00 to   18.34)","0.46 (0.01 to   39.66)","0.31 (0.00 to   61.57)","0.55 (0.01 to   39.75)","0.47 (0.00 to   52.31)","0.87 (0.01 to   55.11)","0.54 (0.00 to  192.98)","0.90 (0.01 to   54.98)","0.71 (0.01 to   93.79)","0.91 (0.01 to   57.25)","0.94 (0.02 to   56.37)","0.94 (0.02 to   57.26)","0.88 (0.00 to  285.91)","1.07 (0.02 to   69.23)","0.92 (0.00 to  288.15)","0.94 (0.00 to  292.99)","0.94 (0.00 to  295.63)","0.95 (0.00 to  296.23)","1.10 (0.02 to   73.21)","Afatinib + HMGCR inhibitor","0.89 (0.02 to 50.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.18 (0.03 to    1.07)","0.22 (0.05 to    0.98)","0.41 (0.06 to    2.66)","0.28 (0.01 to    8.37)","0.49 (0.12 to    2.02)","0.42 (0.04 to    4.72)","0.78 (0.31 to    1.97)","0.48 (0.01 to   34.31)","0.80 (0.37 to    1.72)","0.63 (0.04 to    9.82)","0.81 (0.33 to    2.01)","0.84 (0.43 to    1.64)","0.84 (0.40 to    1.76)","0.79 (0.01 to   49.04)","0.95 (0.33 to    2.70)","0.82 (0.01 to   48.79)","0.83 (0.01 to   49.59)","0.84 (0.01 to   50.12)","0.84 (0.01 to   50.15)","0.98 (0.31 to    3.09)","0.89 (0.02 to   50.59)","Afatinib",".",".",".",".",".","0.46 (0.17 to  1.30)",".",".",".",".",".",".",".",".","."
"0.17 (0.03 to    1.11)","0.21 (0.04 to    1.02)","0.40 (0.06 to    2.74)","0.27 (0.01 to    8.34)","0.47 (0.11 to    2.04)","0.40 (0.03 to    4.67)","0.74 (0.27 to    2.05)","0.46 (0.01 to   33.44)","0.77 (0.31 to    1.89)","0.61 (0.04 to    9.88)","0.78 (0.30 to    2.01)","0.80 (0.34 to    1.88)","0.80 (0.44 to    1.46)","0.75 (0.01 to   47.82)","0.91 (0.22 to    3.74)","0.78 (0.01 to   48.27)","0.80 (0.01 to   46.29)","0.80 (0.01 to   46.79)","0.81 (0.01 to   46.81)","0.93 (0.26 to    3.32)","0.85 (0.01 to   54.05)","0.96 (0.37 to    2.48)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.02 to    1.09)","0.20 (0.04 to    1.01)","0.38 (0.05 to    2.69)","0.25 (0.01 to    8.08)","0.45 (0.12 to    1.69)","0.38 (0.04 to    4.09)","0.71 (0.32 to    1.57)","0.44 (0.01 to   30.39)","0.73 (0.29 to    1.87)","0.58 (0.03 to    9.61)","0.74 (0.26 to    2.11)","0.76 (0.30 to    1.92)","0.76 (0.33 to    1.75)","0.72 (0.01 to   43.41)","0.86 (0.20 to    3.74)","0.75 (0.01 to   46.63)","0.76 (0.01 to   45.91)","0.76 (0.01 to   46.39)","0.77 (0.01 to   46.42)","0.89 (0.24 to    3.30)","0.81 (0.01 to   52.32)","0.91 (0.33 to    2.53)","0.95 (0.34 to    2.65)","Lazertinib",".",".",".",".",".",".",".",".",".","0.23 (0.09 to  0.58)",".",".","."
"0.16 (0.03 to    0.93)","0.19 (0.04 to    0.84)","0.36 (0.06 to    2.30)","0.25 (0.01 to    7.31)","0.43 (0.10 to    1.90)","0.37 (0.03 to    4.32)","0.68 (0.25 to    1.91)","0.43 (0.01 to   30.89)","0.71 (0.30 to    1.65)","0.56 (0.04 to    8.55)","0.72 (0.28 to    1.86)","0.74 (0.39 to    1.37)","0.74 (0.31 to    1.78)","0.69 (0.01 to   44.19)","0.84 (0.21 to    3.37)","0.72 (0.01 to   42.65)","0.74 (0.01 to   44.88)","0.74 (0.01 to   45.36)","0.74 (0.01 to   45.39)","0.86 (0.28 to    2.69)","0.78 (0.01 to   49.44)","0.88 (0.35 to    2.21)","0.92 (0.32 to    2.66)","0.97 (0.32 to    2.95)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.02 to    1.23)","0.19 (0.03 to    1.18)","0.36 (0.04 to    3.02)","0.24 (0.01 to    8.46)","0.42 (0.10 to    1.76)","0.36 (0.03 to    4.10)","0.67 (0.26 to    1.73)","0.42 (0.01 to   29.70)","0.69 (0.20 to    2.40)","0.55 (0.03 to   10.29)","0.70 (0.18 to    2.74)","0.72 (0.21 to    2.51)","0.72 (0.21 to    2.54)","0.68 (0.01 to   42.47)","0.82 (0.15 to    4.45)","0.71 (0.01 to   48.05)","0.72 (0.01 to   48.37)","0.72 (0.01 to   48.88)","0.73 (0.01 to   48.91)","0.84 (0.18 to    3.99)","0.77 (0.01 to   53.98)","0.86 (0.23 to    3.26)","0.90 (0.22 to    3.62)","0.95 (0.27 to    3.27)","0.98 (0.24 to    3.96)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.01 to    1.95)","0.15 (0.01 to    1.99)","0.28 (0.02 to    4.70)","0.19 (0.00 to   10.42)","0.33 (0.03 to    4.45)","0.29 (0.01 to    7.38)","0.53 (0.05 to    5.61)","0.33 (0.00 to   39.39)","0.55 (0.06 to    5.39)","0.43 (0.01 to   13.74)","0.55 (0.05 to    5.69)","0.57 (0.06 to    5.22)","0.57 (0.06 to    5.70)","0.54 (0.01 to   57.11)","0.65 (0.05 to    8.23)","0.56 (0.01 to   55.60)","0.57 (0.01 to   58.28)","0.57 (0.01 to   58.86)","0.58 (0.01 to   58.93)","0.67 (0.06 to    7.44)","0.61 (0.01 to   63.97)","0.68 (0.07 to    6.91)","0.71 (0.07 to    7.68)","0.75 (0.07 to    8.27)","0.77 (0.08 to    7.73)","0.79 (0.06 to   10.08)","DHFR inhibitor",".",".",".",".",".",".",".",".",".","."
"0.12 (0.02 to    0.69)","0.15 (0.04 to    0.62)","0.28 (0.05 to    1.71)","0.19 (0.01 to    5.50)","0.33 (0.09 to    1.24)","0.28 (0.03 to    3.01)","0.52 (0.24 to    1.14)","0.33 (0.00 to   22.40)","0.54 (0.27 to    1.08)","0.43 (0.03 to    6.42)","0.55 (0.24 to    1.26)","0.56 (0.33 to    0.97)","0.56 (0.29 to    1.10)","0.53 (0.01 to   31.99)","0.64 (0.18 to    2.24)","0.55 (0.01 to   32.19)","0.56 (0.01 to   32.93)","0.56 (0.01 to   33.28)","0.57 (0.01 to   33.30)","0.66 (0.23 to    1.89)","0.60 (0.01 to   36.10)","0.67 (0.34 to    1.34)","0.70 (0.29 to    1.72)","0.74 (0.29 to    1.87)","0.76 (0.33 to    1.75)","0.78 (0.23 to    2.67)","0.99 (0.10 to    9.65)","Chemotherapy",".",".",".",".",".",".",".",".","."
"0.10 (0.01 to    0.79)","0.12 (0.02 to    0.75)","0.22 (0.03 to    1.93)","0.15 (0.00 to    5.38)","0.27 (0.05 to    1.53)","0.23 (0.02 to    3.15)","0.42 (0.11 to    1.68)","0.26 (0.00 to   21.06)","0.44 (0.12 to    1.60)","0.34 (0.02 to    6.55)","0.44 (0.12 to    1.68)","0.45 (0.13 to    1.62)","0.46 (0.15 to    1.38)","0.43 (0.01 to   30.21)","0.52 (0.09 to    2.82)","0.45 (0.01 to   30.51)","0.45 (0.01 to   29.30)","0.46 (0.01 to   29.61)","0.46 (0.01 to   29.63)","0.53 (0.11 to    2.57)","0.48 (0.01 to   34.14)","0.54 (0.14 to    2.07)","0.57 (0.16 to    2.00)","0.60 (0.15 to    2.39)","0.62 (0.15 to    2.54)","0.63 (0.12 to    3.37)","0.80 (0.06 to   10.24)","0.81 (0.22 to    2.95)","Almonertinib",".",".",".",".",".",".",".","."
"0.09 (0.01 to    0.67)","0.11 (0.02 to    0.63)","0.20 (0.02 to    1.64)","0.14 (0.00 to    4.66)","0.24 (0.04 to    1.34)","0.20 (0.02 to    2.78)","0.38 (0.10 to    1.46)","0.24 (0.00 to   18.69)","0.39 (0.11 to    1.37)","0.31 (0.02 to    5.64)","0.40 (0.11 to    1.46)","0.41 (0.13 to    1.32)","0.41 (0.13 to    1.29)","0.38 (0.01 to   26.80)","0.46 (0.09 to    2.44)","0.40 (0.01 to   26.58)","0.41 (0.01 to   26.52)","0.41 (0.01 to   26.80)","0.41 (0.01 to   26.81)","0.48 (0.11 to    2.15)","0.43 (0.01 to   30.16)","0.49 (0.13 to    1.78)","0.51 (0.14 to    1.86)","0.54 (0.13 to    2.14)","0.55 (0.15 to    2.09)","0.57 (0.11 to    2.95)","0.71 (0.06 to    8.76)","0.72 (0.21 to    2.51)","0.89 (0.18 to    4.42)","Erlotinib + ER inhibitor",".","0.63 (0.20 to  2.00)",".",".",".",".","."
"0.07 (0.01 to    0.47)","0.09 (0.02 to    0.43)","0.16 (0.02 to    1.15)","0.11 (0.00 to    3.44)","0.19 (0.04 to    0.97)","0.16 (0.01 to    2.09)","0.30 (0.09 to    1.04)","0.19 (0.00 to   14.33)","0.31 (0.10 to    0.93)","0.24 (0.01 to    4.10)","0.31 (0.10 to    1.03)","0.32 (0.13 to    0.83)","0.32 (0.10 to    1.00)","0.30 (0.00 to   20.54)","0.37 (0.08 to    1.75)","0.32 (0.01 to   19.85)","0.32 (0.00 to   20.87)","0.32 (0.00 to   21.09)","0.33 (0.01 to   21.11)","0.38 (0.10 to    1.44)","0.34 (0.01 to   22.98)","0.39 (0.12 to    1.23)","0.40 (0.11 to    1.45)","0.42 (0.11 to    1.59)","0.44 (0.14 to    1.36)","0.45 (0.09 to    2.14)","0.57 (0.05 to    6.28)","0.57 (0.19 to    1.70)","0.71 (0.15 to    3.44)","0.79 (0.18 to    3.58)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".","."
"0.06 (0.01 to    0.41)","0.07 (0.01 to    0.39)","0.13 (0.02 to    1.01)","0.09 (0.00 to    2.90)","0.15 (0.03 to    0.82)","0.13 (0.01 to    1.72)","0.24 (0.06 to    0.89)","0.15 (0.00 to   11.68)","0.25 (0.07 to    0.82)","0.20 (0.01 to    3.50)","0.25 (0.07 to    0.88)","0.26 (0.08 to    0.79)","0.26 (0.09 to    0.77)","0.24 (0.00 to   16.74)","0.29 (0.06 to    1.49)","0.25 (0.00 to   16.60)","0.26 (0.00 to   16.56)","0.26 (0.00 to   16.73)","0.26 (0.00 to   16.74)","0.30 (0.07 to    1.31)","0.27 (0.00 to   18.84)","0.31 (0.09 to    1.07)","0.32 (0.09 to    1.12)","0.34 (0.09 to    1.30)","0.35 (0.10 to    1.27)","0.36 (0.07 to    1.80)","0.45 (0.04 to    5.42)","0.46 (0.14 to    1.51)","0.57 (0.12 to    2.69)","0.63 (0.20 to    2.00)","0.80 (0.18 to    3.47)","Gefitinib + ER inhibitor",".",".",".",".","."
"0.05 (0.01 to    0.27)","0.06 (0.02 to    0.24)","0.12 (0.02 to    0.67)","0.08 (0.00 to    2.21)","0.14 (0.03 to    0.54)","0.12 (0.01 to    1.29)","0.22 (0.09 to    0.52)","0.14 (0.00 to    9.44)","0.22 (0.12 to    0.43)","0.18 (0.01 to    2.56)","0.23 (0.10 to    0.50)","0.23 (0.17 to    0.32)","0.23 (0.12 to    0.47)","0.22 (0.00 to   13.49)","0.26 (0.07 to    0.96)","0.23 (0.00 to   13.02)","0.23 (0.00 to   13.69)","0.23 (0.00 to   13.84)","0.23 (0.00 to   13.85)","0.27 (0.10 to    0.75)","0.25 (0.00 to   15.09)","0.28 (0.13 to    0.59)","0.29 (0.12 to    0.73)","0.31 (0.11 to    0.81)","0.32 (0.16 to    0.64)","0.32 (0.09 to    1.18)","0.41 (0.04 to    3.83)","0.41 (0.22 to    0.78)","0.51 (0.14 to    1.89)","0.57 (0.17 to    1.93)","0.72 (0.27 to    1.96)","0.90 (0.28 to    2.90)","Erlotinib + antiangiogenesis",".","0.58 (0.17 to  1.98)",".","."
"0.04 (0.01 to    0.27)","0.05 (0.01 to    0.26)","0.09 (0.01 to    0.67)","0.06 (0.00 to    1.95)","0.10 (0.03 to    0.41)","0.09 (0.01 to    0.96)","0.16 (0.07 to    0.39)","0.10 (0.00 to    7.06)","0.17 (0.06 to    0.51)","0.13 (0.01 to    2.34)","0.17 (0.05 to    0.57)","0.17 (0.06 to    0.53)","0.17 (0.06 to    0.51)","0.16 (0.00 to   10.09)","0.20 (0.04 to    0.97)","0.17 (0.00 to   11.14)","0.17 (0.00 to   11.10)","0.17 (0.00 to   11.22)","0.18 (0.00 to   11.22)","0.20 (0.05 to    0.86)","0.19 (0.00 to   12.51)","0.21 (0.06 to    0.69)","0.22 (0.06 to    0.74)","0.23 (0.09 to    0.56)","0.24 (0.07 to    0.84)","0.24 (0.07 to    0.88)","0.30 (0.03 to    3.63)","0.31 (0.10 to    0.92)","0.38 (0.08 to    1.79)","0.43 (0.09 to    1.97)","0.54 (0.13 to    2.31)","0.67 (0.15 to    2.99)","0.75 (0.24 to    2.37)","Lazertinib + Amivantamab",".",".","."
"0.04 (0.01 to    0.23)","0.05 (0.01 to    0.21)","0.09 (0.01 to    0.58)","0.06 (0.00 to    1.82)","0.11 (0.02 to    0.47)","0.09 (0.01 to    1.07)","0.17 (0.06 to    0.47)","0.11 (0.00 to    7.62)","0.17 (0.07 to    0.41)","0.14 (0.01 to    2.13)","0.18 (0.07 to    0.46)","0.18 (0.09 to    0.36)","0.18 (0.08 to    0.43)","0.17 (0.00 to   10.90)","0.21 (0.05 to    0.84)","0.18 (0.00 to   10.58)","0.18 (0.00 to   11.01)","0.18 (0.00 to   11.12)","0.18 (0.00 to   11.13)","0.21 (0.07 to    0.68)","0.19 (0.00 to   12.21)","0.22 (0.08 to    0.55)","0.23 (0.08 to    0.65)","0.24 (0.08 to    0.73)","0.25 (0.10 to    0.62)","0.25 (0.06 to    1.03)","0.32 (0.03 to    3.22)","0.32 (0.14 to    0.76)","0.40 (0.10 to    1.62)","0.44 (0.12 to    1.69)","0.56 (0.18 to    1.80)","0.70 (0.19 to    2.55)","0.78 (0.38 to    1.60)","1.04 (0.29 to    3.73)","Antiangiogenesis",".","."
"0.03 (0.00 to    0.23)","0.04 (0.01 to    0.22)","0.07 (0.01 to    0.56)","0.05 (0.00 to    1.62)","0.08 (0.02 to    0.32)","0.07 (0.01 to    0.77)","0.13 (0.06 to    0.29)","0.08 (0.00 to    5.72)","0.14 (0.05 to    0.42)","0.11 (0.01 to    1.95)","0.14 (0.04 to    0.49)","0.14 (0.05 to    0.44)","0.14 (0.05 to    0.45)","0.14 (0.00 to    8.17)","0.16 (0.03 to    0.81)","0.14 (0.00 to    9.25)","0.14 (0.00 to    9.32)","0.14 (0.00 to    9.41)","0.15 (0.00 to    9.42)","0.17 (0.04 to    0.72)","0.15 (0.00 to   10.40)","0.17 (0.05 to    0.58)","0.18 (0.05 to    0.65)","0.19 (0.06 to    0.57)","0.20 (0.05 to    0.71)","0.20 (0.06 to    0.68)","0.25 (0.02 to    3.02)","0.26 (0.09 to    0.77)","0.32 (0.07 to    1.54)","0.35 (0.07 to    1.68)","0.45 (0.10 to    1.93)","0.56 (0.12 to    2.55)","0.62 (0.19 to    1.99)","0.83 (0.26 to    2.67)","0.79 (0.22 to    2.90)","Osimertinib + antiangiogenesis","."
"0.02 (0.00 to    0.14)","0.02 (0.00 to    0.13)","0.04 (0.01 to    0.34)","0.03 (0.00 to    0.98)","0.05 (0.01 to    0.26)","0.04 (0.00 to    0.56)","0.08 (0.02 to    0.28)","0.05 (0.00 to    3.85)","0.08 (0.03 to    0.27)","0.07 (0.00 to    1.18)","0.08 (0.02 to    0.28)","0.09 (0.03 to    0.27)","0.09 (0.03 to    0.23)","0.08 (0.00 to    5.52)","0.10 (0.02 to    0.49)","0.08 (0.00 to    5.58)","0.09 (0.00 to    5.35)","0.09 (0.00 to    5.41)","0.09 (0.00 to    5.41)","0.10 (0.02 to    0.44)","0.09 (0.00 to    6.24)","0.10 (0.03 to    0.35)","0.11 (0.03 to    0.34)","0.11 (0.03 to    0.40)","0.12 (0.03 to    0.43)","0.12 (0.02 to    0.58)","0.15 (0.01 to    1.83)","0.15 (0.05 to    0.50)","0.19 (0.04 to    0.82)","0.21 (0.05 to    0.95)","0.27 (0.06 to    1.18)","0.33 (0.08 to    1.44)","0.37 (0.11 to    1.22)","0.50 (0.12 to    2.10)","0.48 (0.13 to    1.74)","0.60 (0.14 to    2.64)","Gefitinib + antiangiogenesis"
