"0.32 (0.18 to  0.56)","0.31 (0.15 to  0.62)","0.29 (0.10 to  0.86)","0.45 (0.20 to  1.00)","0.45 (0.18 to  1.14)","0.49 (0.24 to  0.99)","0.51 (0.25 to  1.03)","0.49 (0.19 to  1.32)","0.53 (0.23 to  1.23)","0.74 (0.48 to  1.13)","0.69 (0.31 to  1.53)","0.73 (0.34 to  1.55)","0.80 (0.38 to  1.67)","0.84 (0.55 to  1.30)","0.93 (0.46 to  1.86)","Erlotinib + IGF-1R inhibitor","0.95 (0.70 to  1.30)",".",".",".",".",".",".",".",".",".",".",".","."
"0.30 (0.19 to  0.49)","0.29 (0.16 to  0.55)","0.28 (0.10 to  0.78)","0.43 (0.21 to  0.90)","0.43 (0.18 to  1.03)","0.46 (0.24 to  0.88)","0.48 (0.26 to  0.91)","0.47 (0.19 to  1.20)","0.51 (0.23 to  1.11)","0.70 (0.53 to  0.94)","0.66 (0.31 to  1.38)","0.70 (0.35 to  1.38)","0.76 (0.39 to  1.48)","0.80 (0.59 to  1.09)","0.88 (0.47 to  1.65)","0.95 (0.70 to  1.30)","Erlotinib",".","0.57 (0.30 to  1.07)","0.87 (0.55 to  1.37)","0.85 (0.63 to  1.14)","0.85 (0.68 to  1.07)","0.82 (0.42 to  1.58)",".",".","0.71 (0.46 to  1.09)","0.82 (0.56 to  1.20)","0.64 (0.54 to  0.77)","."
"0.29 (0.17 to  0.47)","0.28 (0.15 to  0.53)","0.26 (0.09 to  0.75)","0.41 (0.19 to  0.86)","0.41 (0.18 to  0.95)","0.44 (0.25 to  0.79)","0.46 (0.26 to  0.82)","0.45 (0.17 to  1.15)","0.48 (0.22 to  1.06)","0.67 (0.49 to  0.91)","0.62 (0.29 to  1.32)","0.66 (0.33 to  1.33)","0.72 (0.39 to  1.34)","0.76 (0.55 to  1.07)","0.84 (0.48 to  1.48)","0.91 (0.61 to  1.36)","0.95 (0.73 to  1.23)","Gefitinib",".",".",".","0.98 (0.73 to  1.32)",".",".","0.71 (0.39 to  1.28)","0.69 (0.37 to  1.27)","0.42 (0.24 to  0.75)",".","0.61 (0.45 to  0.82)"
"0.27 (0.14 to  0.52)","0.27 (0.12 to  0.57)","0.25 (0.08 to  0.77)","0.39 (0.17 to  0.91)","0.39 (0.15 to  1.04)","0.42 (0.19 to  0.91)","0.44 (0.20 to  0.94)","0.43 (0.15 to  1.19)","0.46 (0.19 to  1.12)","0.63 (0.38 to  1.07)","0.59 (0.25 to  1.40)","0.63 (0.28 to  1.42)","0.69 (0.31 to  1.52)","0.73 (0.42 to  1.25)","0.80 (0.37 to  1.70)","0.86 (0.49 to  1.50)","0.90 (0.57 to  1.43)","0.95 (0.57 to  1.58)","Erlotinib + chemotherapy",".",".","0.58 (0.30 to  1.11)",".",".",".",".",".",".","."
"0.26 (0.14 to  0.51)","0.26 (0.12 to  0.55)","0.24 (0.08 to  0.75)","0.37 (0.16 to  0.89)","0.38 (0.14 to  1.01)","0.40 (0.18 to  0.88)","0.42 (0.19 to  0.92)","0.41 (0.15 to  1.15)","0.44 (0.18 to  1.09)","0.61 (0.36 to  1.05)","0.57 (0.24 to  1.36)","0.60 (0.27 to  1.38)","0.66 (0.30 to  1.48)","0.70 (0.40 to  1.21)","0.77 (0.36 to  1.66)","0.83 (0.48 to  1.44)","0.87 (0.55 to  1.37)","0.91 (0.54 to  1.54)","0.96 (0.50 to  1.84)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".",".","."
"0.26 (0.15 to  0.45)","0.25 (0.13 to  0.50)","0.24 (0.08 to  0.69)","0.37 (0.17 to  0.81)","0.37 (0.15 to  0.92)","0.39 (0.19 to  0.80)","0.41 (0.20 to  0.83)","0.40 (0.15 to  1.06)","0.43 (0.19 to  1.00)","0.60 (0.39 to  0.90)","0.56 (0.25 to  1.24)","0.59 (0.28 to  1.25)","0.65 (0.31 to  1.34)","0.68 (0.45 to  1.04)","0.75 (0.38 to  1.50)","0.81 (0.53 to  1.24)","0.85 (0.63 to  1.14)","0.89 (0.60 to  1.32)","0.94 (0.54 to  1.63)","0.98 (0.57 to  1.68)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","."
"0.26 (0.16 to  0.41)","0.25 (0.14 to  0.47)","0.24 (0.08 to  0.66)","0.37 (0.18 to  0.76)","0.37 (0.16 to  0.88)","0.40 (0.21 to  0.74)","0.41 (0.22 to  0.77)","0.40 (0.16 to  1.01)","0.44 (0.20 to  0.95)","0.60 (0.45 to  0.80)","0.56 (0.27 to  1.17)","0.60 (0.30 to  1.18)","0.65 (0.34 to  1.26)","0.69 (0.49 to  0.96)","0.76 (0.41 to  1.40)","0.82 (0.57 to  1.17)","0.86 (0.71 to  1.04)","0.90 (0.71 to  1.14)","0.95 (0.60 to  1.51)","0.99 (0.60 to  1.61)","1.01 (0.71 to  1.43)","Chemotherapy",".",".",".",".",".",".","."
"0.25 (0.11 to  0.56)","0.24 (0.10 to  0.60)","0.23 (0.07 to  0.77)","0.35 (0.13 to  0.95)","0.36 (0.12 to  1.06)","0.38 (0.15 to  0.95)","0.40 (0.16 to  0.99)","0.39 (0.12 to  1.21)","0.42 (0.15 to  1.16)","0.58 (0.28 to  1.18)","0.54 (0.20 to  1.45)","0.57 (0.22 to  1.48)","0.63 (0.25 to  1.59)","0.66 (0.32 to  1.36)","0.72 (0.29 to  1.79)","0.78 (0.38 to  1.62)","0.82 (0.42 to  1.58)","0.86 (0.43 to  1.75)","0.91 (0.41 to  2.03)","0.94 (0.42 to  2.10)","0.96 (0.47 to  1.98)","0.96 (0.48 to  1.90)","Erlotinib + COX2 inhibitor",".",".",".",".",".","."
"0.23 (0.11 to  0.50)","0.22 (0.09 to  0.54)","0.21 (0.06 to  0.70)","0.33 (0.13 to  0.85)","0.33 (0.10 to  1.14)","0.35 (0.12 to  1.05)","0.37 (0.12 to  1.10)","0.36 (0.12 to  1.09)","0.39 (0.12 to  1.27)","0.54 (0.21 to  1.36)","0.50 (0.19 to  1.30)","0.53 (0.17 to  1.63)","0.58 (0.19 to  1.76)","0.61 (0.24 to  1.58)","0.67 (0.23 to  1.99)","0.73 (0.28 to  1.91)","0.76 (0.31 to  1.90)","0.80 (0.32 to  2.02)","0.84 (0.31 to  2.32)","0.88 (0.32 to  2.43)","0.90 (0.34 to  2.34)","0.89 (0.36 to  2.20)","0.93 (0.30 to  2.86)","Chemotherapy + antiangiogenesis",".",".",".",".","."
"0.20 (0.09 to  0.44)","0.20 (0.08 to  0.48)","0.19 (0.06 to  0.62)","0.29 (0.11 to  0.75)","0.29 (0.11 to  0.81)","0.31 (0.14 to  0.72)","0.33 (0.14 to  0.75)","0.32 (0.10 to  0.97)","0.34 (0.13 to  0.92)","0.47 (0.24 to  0.93)","0.44 (0.17 to  1.15)","0.47 (0.19 to  1.17)","0.51 (0.22 to  1.21)","0.54 (0.27 to  1.07)","0.60 (0.26 to  1.35)","0.64 (0.31 to  1.32)","0.67 (0.35 to  1.29)","0.71 (0.39 to  1.28)","0.75 (0.34 to  1.63)","0.78 (0.35 to  1.71)","0.79 (0.39 to  1.61)","0.79 (0.42 to  1.49)","0.82 (0.33 to  2.07)","0.89 (0.30 to  2.65)","Gefitinib + antiangiogenesis",".",".",".","."
"0.21 (0.12 to  0.38)","0.20 (0.10 to  0.41)","0.19 (0.06 to  0.57)","0.30 (0.13 to  0.67)","0.30 (0.12 to  0.75)","0.32 (0.16 to  0.65)","0.33 (0.17 to  0.67)","0.33 (0.12 to  0.88)","0.35 (0.15 to  0.82)","0.49 (0.31 to  0.76)","0.45 (0.20 to  1.02)","0.48 (0.22 to  1.03)","0.53 (0.25 to  1.09)","0.56 (0.35 to  0.88)","0.61 (0.31 to  1.21)","0.66 (0.41 to  1.06)","0.69 (0.48 to  0.99)","0.73 (0.49 to  1.07)","0.76 (0.43 to  1.36)","0.79 (0.44 to  1.42)","0.81 (0.51 to  1.30)","0.81 (0.55 to  1.19)","0.84 (0.40 to  1.78)","0.91 (0.34 to  2.40)","1.02 (0.50 to  2.08)","Antiangiogenesis",".",".","."
"0.19 (0.12 to  0.31)","0.19 (0.10 to  0.35)","0.18 (0.06 to  0.50)","0.28 (0.13 to  0.58)","0.28 (0.12 to  0.68)","0.30 (0.15 to  0.58)","0.31 (0.16 to  0.60)","0.30 (0.12 to  0.77)","0.33 (0.15 to  0.73)","0.45 (0.33 to  0.63)","0.42 (0.20 to  0.88)","0.45 (0.22 to  0.91)","0.49 (0.25 to  0.98)","0.52 (0.37 to  0.73)","0.57 (0.30 to  1.08)","0.61 (0.41 to  0.92)","0.64 (0.49 to  0.84)","0.68 (0.50 to  0.92)","0.71 (0.42 to  1.20)","0.74 (0.44 to  1.26)","0.76 (0.51 to  1.13)","0.75 (0.56 to  1.00)","0.79 (0.39 to  1.60)","0.85 (0.34 to  2.10)","0.96 (0.49 to  1.86)","0.93 (0.61 to  1.44)","Placebo",".","."
"0.19 (0.12 to  0.32)","0.19 (0.10 to  0.36)","0.18 (0.06 to  0.51)","0.28 (0.13 to  0.59)","0.28 (0.11 to  0.68)","0.30 (0.15 to  0.58)","0.31 (0.16 to  0.60)","0.30 (0.12 to  0.78)","0.33 (0.15 to  0.73)","0.45 (0.32 to  0.63)","0.42 (0.20 to  0.90)","0.45 (0.22 to  0.91)","0.49 (0.25 to  0.98)","0.52 (0.37 to  0.73)","0.57 (0.30 to  1.09)","0.61 (0.43 to  0.88)","0.64 (0.54 to  0.77)","0.68 (0.50 to  0.93)","0.71 (0.44 to  1.17)","0.74 (0.46 to  1.21)","0.76 (0.54 to  1.07)","0.75 (0.58 to  0.97)","0.79 (0.40 to  1.55)","0.84 (0.33 to  2.14)","0.95 (0.49 to  1.86)","0.93 (0.63 to  1.39)","1.00 (0.73 to  1.37)","Erlotinib + antiangiogenesis","."
"0.18 (0.10 to  0.31)","0.17 (0.08 to  0.35)","0.16 (0.05 to  0.48)","0.25 (0.11 to  0.56)","0.25 (0.10 to  0.61)","0.27 (0.14 to  0.52)","0.28 (0.15 to  0.54)","0.27 (0.10 to  0.73)","0.30 (0.13 to  0.68)","0.41 (0.27 to  0.63)","0.38 (0.17 to  0.86)","0.40 (0.19 to  0.86)","0.44 (0.22 to  0.87)","0.47 (0.30 to  0.73)","0.51 (0.27 to  0.97)","0.55 (0.34 to  0.91)","0.58 (0.39 to  0.86)","0.61 (0.45 to  0.82)","0.64 (0.36 to  1.15)","0.67 (0.37 to  1.22)","0.68 (0.42 to  1.12)","0.68 (0.46 to  0.99)","0.71 (0.33 to  1.52)","0.76 (0.29 to  2.01)","0.86 (0.44 to  1.67)","0.84 (0.51 to  1.37)","0.90 (0.59 to  1.38)","0.90 (0.59 to  1.38)","Gefitinib + chemotherapy"
