"Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".",".",".","0.47 (0.19 to   1.15)",".","0.41 (0.12 to   1.43)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.41 (0.12 to    1.43)","0.47 (0.08 to    2.89)","0.21 (0.01 to    8.21)","0.23 (0.01 to    8.86)","0.60 (0.11 to    3.30)","0.61 (0.10 to    3.87)","0.57 (0.06 to    5.39)","0.71 (0.12 to    4.03)","0.71 (0.12 to    4.20)","0.73 (0.12 to    4.28)","0.73 (0.04 to   13.15)","0.81 (0.14 to    4.66)","0.86 (0.18 to    4.01)","0.87 (0.14 to    5.28)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.42 (0.09 to    1.92)","0.48 (0.15 to    1.51)","0.21 (0.01 to    6.41)","0.23 (0.01 to    6.72)","0.62 (0.21 to    1.84)","0.63 (0.21 to    1.93)","0.58 (0.11 to    3.23)","0.73 (0.28 to    1.87)","0.73 (0.25 to    2.18)","0.75 (0.23 to    2.41)","0.75 (0.06 to    9.42)","0.83 (0.28 to    2.46)","0.88 (0.26 to    3.06)","0.89 (0.31 to    2.57)","1.03 (0.14 to    7.45)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.39 (0.05 to    3.08)","0.45 (0.08 to    2.72)","0.20 (0.00 to    7.89)","0.22 (0.01 to    8.30)","0.59 (0.10 to    3.39)","0.59 (0.10 to    3.51)","0.55 (0.06 to    4.95)","0.68 (0.13 to    3.65)","0.69 (0.12 to    4.00)","0.70 (0.12 to    4.31)","0.71 (0.04 to   12.61)","0.78 (0.14 to    4.53)","0.83 (0.13 to    5.32)","0.84 (0.15 to    4.78)","0.97 (0.09 to   10.81)","0.94 (0.14 to    6.41)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.40 (0.08 to    2.15)","0.46 (0.11 to    1.92)","0.20 (0.01 to    6.70)","0.22 (0.01 to    7.32)","0.60 (0.16 to    2.24)","0.61 (0.14 to    2.59)","0.56 (0.08 to    3.92)","0.70 (0.19 to    2.62)","0.71 (0.19 to    2.66)","0.72 (0.24 to    2.21)","0.72 (0.05 to   10.14)","0.80 (0.21 to    3.00)","0.85 (0.21 to    3.52)","0.86 (0.21 to    3.49)","0.99 (0.12 to    8.05)","0.96 (0.19 to    4.86)","1.02 (0.12 to    8.60)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".","."
"0.40 (0.09 to    1.76)","0.46 (0.16 to    1.38)","0.20 (0.01 to    6.04)","0.22 (0.01 to    6.35)","0.60 (0.21 to    1.67)","0.60 (0.21 to    1.78)","0.56 (0.10 to    3.01)","0.70 (0.29 to    1.70)","0.70 (0.25 to    1.97)","0.72 (0.24 to    2.16)","0.72 (0.06 to    8.82)","0.80 (0.30 to    2.12)","0.85 (0.26 to    2.76)","0.86 (0.31 to    2.36)","0.99 (0.14 to    6.87)","0.96 (0.26 to    3.51)","1.02 (0.15 to    6.78)","1.00 (0.21 to    4.80)","Erlotinib + chemotherapy",".",".",".",".",".",".",".",".",".",".","."
"0.38 (0.11 to    1.24)","0.44 (0.14 to    1.39)","0.19 (0.01 to    5.77)","0.21 (0.01 to    6.23)","0.56 (0.21 to    1.50)","0.57 (0.17 to    1.89)","0.53 (0.09 to    3.07)","0.66 (0.23 to    1.85)","0.66 (0.22 to    1.95)","0.68 (0.24 to    1.89)","0.68 (0.05 to    8.48)","0.75 (0.26 to    2.15)","0.80 (0.36 to    1.76)","0.81 (0.26 to    2.53)","0.93 (0.16 to    5.25)","0.90 (0.22 to    3.66)","0.96 (0.13 to    6.86)","0.94 (0.20 to    4.28)","0.94 (0.24 to    3.62)","Lazertinib","0.90 (0.39 to   2.07)",".",".",".",".",".",".",".",".","."
"0.34 (0.11 to    1.04)","0.39 (0.12 to    1.24)","0.17 (0.01 to    5.16)","0.19 (0.01 to    5.56)","0.50 (0.19 to    1.32)","0.51 (0.15 to    1.68)","0.47 (0.08 to    2.74)","0.59 (0.21 to    1.65)","0.59 (0.20 to    1.75)","0.60 (0.21 to    1.74)","0.61 (0.05 to    7.59)","0.67 (0.24 to    1.92)","0.71 (0.35 to    1.44)","0.72 (0.23 to    2.25)","0.83 (0.15 to    4.51)","0.81 (0.20 to    3.26)","0.86 (0.12 to    6.12)","0.84 (0.18 to    3.92)","0.84 (0.22 to    3.22)","0.89 (0.40 to    1.99)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".","."
"0.18 (0.01 to    5.77)","0.21 (0.01 to    5.93)","0.09 (0.00 to    9.38)","0.10 (0.00 to   10.28)","0.27 (0.01 to    7.34)","0.28 (0.01 to    7.86)","0.26 (0.01 to    9.26)","0.32 (0.01 to    8.59)","0.32 (0.01 to    8.68)","0.33 (0.01 to    8.20)","0.33 (0.01 to   18.16)","0.37 (0.01 to    9.83)","0.39 (0.01 to   10.86)","0.39 (0.01 to   10.91)","0.45 (0.01 to   17.77)","0.44 (0.01 to   13.45)","0.47 (0.01 to   18.72)","0.46 (0.02 to   13.75)","0.46 (0.02 to   13.72)","0.49 (0.02 to   14.26)","0.55 (0.02 to   16.09)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".","."
"0.26 (0.04 to    1.65)","0.30 (0.06 to    1.41)","0.13 (0.00 to    4.64)","0.14 (0.00 to    4.88)","0.38 (0.09 to    1.74)","0.39 (0.08 to    1.81)","0.36 (0.05 to    2.68)","0.45 (0.11 to    1.84)","0.45 (0.10 to    2.05)","0.46 (0.10 to    2.23)","0.46 (0.03 to    7.18)","0.52 (0.11 to    2.33)","0.55 (0.11 to    2.77)","0.55 (0.12 to    2.45)","0.64 (0.07 to    5.98)","0.62 (0.11 to    3.37)","0.66 (0.07 to    5.86)","0.64 (0.09 to    4.43)","0.65 (0.12 to    3.42)","0.69 (0.12 to    3.95)","0.77 (0.13 to    4.40)","1.41 (0.04 to   50.30)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".","."
"0.25 (0.04 to    1.76)","0.29 (0.05 to    1.64)","0.13 (0.00 to    4.78)","0.14 (0.00 to    5.22)","0.37 (0.07 to    1.95)","0.38 (0.06 to    2.20)","0.35 (0.04 to    3.10)","0.43 (0.08 to    2.28)","0.44 (0.08 to    2.31)","0.45 (0.10 to    2.01)","0.45 (0.03 to    7.55)","0.50 (0.09 to    2.61)","0.53 (0.09 to    3.00)","0.53 (0.09 to    2.99)","0.61 (0.06 to    6.27)","0.60 (0.09 to    4.01)","0.63 (0.06 to    6.68)","0.62 (0.09 to    4.05)","0.62 (0.10 to    4.02)","0.66 (0.11 to    4.09)","0.74 (0.12 to    4.66)","1.35 (0.04 to   47.08)","0.96 (0.11 to    8.49)","Almonertinib",".",".",".",".",".","."
"0.23 (0.02 to    2.26)","0.26 (0.03 to    2.18)","0.11 (0.00 to    5.30)","0.13 (0.00 to    5.79)","0.34 (0.04 to    2.63)","0.34 (0.04 to    2.91)","0.32 (0.03 to    3.86)","0.40 (0.05 to    3.08)","0.40 (0.05 to    3.11)","0.41 (0.06 to    2.80)","0.41 (0.02 to    8.81)","0.45 (0.06 to    3.52)","0.48 (0.06 to    3.99)","0.49 (0.06 to    3.99)","0.56 (0.04 to    7.67)","0.54 (0.06 to    5.19)","0.58 (0.04 to    8.14)","0.56 (0.06 to    5.26)","0.57 (0.06 to    5.23)","0.60 (0.07 to    5.36)","0.67 (0.07 to    6.09)","1.23 (0.03 to   52.39)","0.88 (0.07 to   10.57)","0.91 (0.08 to   10.55)","Gefitinib + chemotherapy",".",".",".",".","."
"0.20 (0.05 to    0.79)","0.24 (0.06 to    0.96)","0.10 (0.00 to    3.42)","0.11 (0.00 to    3.68)","0.30 (0.09 to    1.05)","0.31 (0.07 to    1.29)","0.28 (0.04 to    1.96)","0.35 (0.10 to    1.30)","0.36 (0.09 to    1.37)","0.37 (0.10 to    1.40)","0.37 (0.03 to    5.18)","0.41 (0.11 to    1.51)","0.43 (0.16 to    1.19)","0.44 (0.11 to    1.74)","0.50 (0.08 to    3.18)","0.49 (0.10 to    2.42)","0.52 (0.06 to    4.31)","0.51 (0.09 to    2.91)","0.51 (0.11 to    2.41)","0.54 (0.15 to    1.97)","0.60 (0.18 to    2.08)","1.11 (0.03 to   36.02)","0.79 (0.12 to    5.36)","0.82 (0.11 to    6.15)","0.90 (0.09 to    9.41)","Osimertinib + chemotherapy",".",".",".","."
"0.08 (0.00 to    1.97)","0.09 (0.00 to    2.01)","0.04 (0.00 to    3.41)","0.04 (0.00 to    3.73)","0.12 (0.01 to    2.48)","0.12 (0.01 to    2.67)","0.11 (0.00 to    3.20)","0.14 (0.01 to    2.90)","0.14 (0.01 to    2.93)","0.14 (0.01 to    2.76)","0.14 (0.00 to    6.42)","0.16 (0.01 to    3.32)","0.17 (0.01 to    3.68)","0.17 (0.01 to    3.70)","0.19 (0.01 to    6.17)","0.19 (0.01 to    4.59)","0.20 (0.01 to    6.50)","0.20 (0.01 to    4.69)","0.20 (0.01 to    4.68)","0.21 (0.01 to    4.85)","0.23 (0.01 to    5.48)","0.43 (0.01 to   34.10)","0.31 (0.01 to    8.78)","0.32 (0.01 to    8.86)","0.35 (0.01 to   12.01)","0.39 (0.01 to   10.08)","Icotinib",".",".","."
"0.11 (0.02 to    0.69)","0.13 (0.02 to    0.82)","0.06 (0.00 to    2.31)","0.06 (0.00 to    2.49)","0.17 (0.03 to    0.94)","0.17 (0.03 to    1.10)","0.16 (0.02 to    1.53)","0.20 (0.03 to    1.15)","0.20 (0.03 to    1.20)","0.20 (0.03 to    1.22)","0.20 (0.01 to    3.71)","0.22 (0.04 to    1.33)","0.24 (0.05 to    1.15)","0.24 (0.04 to    1.50)","0.28 (0.03 to    2.51)","0.27 (0.04 to    2.00)","0.29 (0.03 to    3.27)","0.28 (0.03 to    2.33)","0.28 (0.04 to    2.01)","0.30 (0.05 to    1.74)","0.33 (0.06 to    1.87)","0.61 (0.02 to   24.36)","0.44 (0.05 to    4.18)","0.45 (0.04 to    4.73)","0.50 (0.04 to    6.95)","0.55 (0.09 to    3.60)","1.43 (0.04 to   45.98)","Osimertinib + antiangiogenesis",".","."
"0.13 (0.03 to    0.55)","0.15 (0.06 to    0.42)","0.07 (0.00 to    1.95)","0.07 (0.00 to    2.04)","0.20 (0.08 to    0.51)","0.20 (0.07 to    0.54)","0.19 (0.04 to    0.94)","0.23 (0.11 to    0.50)","0.23 (0.09 to    0.60)","0.24 (0.08 to    0.67)","0.24 (0.02 to    2.82)","0.26 (0.10 to    0.68)","0.28 (0.09 to    0.86)","0.28 (0.11 to    0.71)","0.33 (0.05 to    2.19)","0.32 (0.09 to    1.08)","0.34 (0.05 to    2.13)","0.33 (0.07 to    1.52)","0.33 (0.10 to    1.08)","0.35 (0.10 to    1.29)","0.39 (0.11 to    1.43)","0.72 (0.02 to   21.13)","0.51 (0.10 to    2.56)","0.53 (0.09 to    3.33)","0.58 (0.07 to    5.24)","0.65 (0.14 to    2.96)","1.68 (0.07 to   39.08)","1.18 (0.17 to    8.12)","Antiangiogenesis","."
"0.06 (0.00 to    1.42)","0.07 (0.00 to    1.39)","0.03 (0.00 to    2.46)","0.03 (0.00 to    2.61)","0.09 (0.00 to    1.76)","0.09 (0.00 to    1.81)","0.08 (0.00 to    2.18)","0.10 (0.01 to    1.96)","0.10 (0.01 to    2.07)","0.11 (0.01 to    2.19)","0.11 (0.00 to    4.60)","0.12 (0.01 to    2.35)","0.13 (0.01 to    2.65)","0.13 (0.01 to    2.50)","0.15 (0.00 to    4.46)","0.14 (0.01 to    3.12)","0.15 (0.01 to    4.46)","0.15 (0.01 to    3.71)","0.15 (0.01 to    3.20)","0.16 (0.01 to    3.57)","0.18 (0.01 to    3.98)","0.32 (0.00 to   26.63)","0.23 (0.01 to    6.00)","0.24 (0.01 to    6.99)","0.26 (0.01 to    9.45)","0.29 (0.01 to    7.27)","0.75 (0.01 to   52.13)","0.53 (0.02 to   16.32)","0.45 (0.02 to    9.40)","Erlotinib + MMP inhibitor"
