"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".","0.11 (0.00 to   2.60)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    22.38)","0.34 (0.00 to    80.61)","0.35 (0.00 to    82.41)","0.52 (0.00 to    54.81)","0.61 (0.01 to    58.13)","0.60 (0.00 to   280.49)","0.98 (0.01 to    70.96)","1.00 (0.02 to    61.80)","0.96 (0.01 to    77.72)","1.05 (0.02 to    71.96)","1.05 (0.02 to    71.87)","1.15 (0.02 to    84.70)","1.00 (0.00 to   338.06)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    23.15)","0.34 (0.00 to    83.32)","0.35 (0.00 to    85.18)","0.52 (0.00 to    56.96)","0.61 (0.01 to    50.56)","0.60 (0.00 to   253.18)","0.99 (0.02 to    61.12)","1.00 (0.01 to    72.33)","0.96 (0.01 to    80.90)","1.05 (0.01 to    75.07)","1.05 (0.02 to    73.56)","1.15 (0.01 to    88.53)","1.00 (0.00 to   378.40)","1.00 (0.00 to   381.76)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    22.17)","0.34 (0.00 to    79.86)","0.35 (0.00 to    81.64)","0.52 (0.00 to    54.26)","0.60 (0.01 to    57.54)","0.60 (0.00 to   278.00)","0.98 (0.01 to    70.22)","0.99 (0.02 to    61.15)","0.96 (0.01 to    76.93)","1.04 (0.02 to    71.22)","1.04 (0.02 to    71.12)","1.14 (0.02 to    83.82)","0.99 (0.00 to   335.00)","0.99 (0.00 to   338.00)","0.99 (0.00 to   377.21)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    20.11)","0.33 (0.00 to    72.61)","0.34 (0.00 to    74.22)","0.50 (0.01 to    48.73)","0.59 (0.01 to    56.10)","0.58 (0.00 to   271.05)","0.96 (0.01 to    68.46)","0.97 (0.01 to    66.91)","0.93 (0.01 to    69.71)","1.02 (0.02 to    63.40)","1.02 (0.02 to    67.61)","1.11 (0.02 to    77.73)","0.97 (0.00 to   354.58)","0.97 (0.00 to   357.74)","0.97 (0.00 to   367.79)","0.98 (0.00 to   358.49)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to     2.75)","0.26 (0.01 to    10.75)","0.27 (0.01 to    10.96)","0.39 (0.04 to     4.30)","0.46 (0.06 to     3.36)","0.46 (0.00 to    44.12)","0.75 (0.23 to     2.45)","0.76 (0.22 to     2.63)","0.73 (0.12 to     4.49)","0.80 (0.20 to     3.13)","0.80 (0.21 to     3.03)","0.87 (0.18 to     4.27)","0.76 (0.01 to    55.83)","0.76 (0.01 to    56.40)","0.76 (0.01 to    55.58)","0.76 (0.01 to    56.45)","0.78 (0.01 to    60.82)","Lazertinib",".",".",".",".",".",".",".",".",".",".",".",".","0.46 (0.12 to   1.87)",".",".",".",".","."
"0.08 (0.00 to     2.70)","0.26 (0.01 to    10.59)","0.27 (0.01 to    10.80)","0.39 (0.04 to     4.21)","0.46 (0.05 to     4.06)","0.45 (0.00 to    47.99)","0.75 (0.17 to     3.30)","0.76 (0.29 to     1.98)","0.73 (0.12 to     4.37)","0.80 (0.21 to     3.02)","0.80 (0.21 to     3.02)","0.87 (0.18 to     4.13)","0.75 (0.01 to    51.76)","0.76 (0.01 to    52.31)","0.76 (0.01 to    60.80)","0.76 (0.01 to    52.34)","0.78 (0.01 to    60.03)","1.00 (0.21 to     4.79)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    17.44)","0.26 (0.00 to    62.81)","0.27 (0.00 to    64.21)","0.40 (0.00 to    42.76)","0.47 (0.00 to    46.84)","0.46 (0.00 to   223.64)","0.76 (0.01 to    57.34)","0.77 (0.01 to    54.78)","0.74 (0.01 to    60.83)","0.81 (0.01 to    56.20)","0.81 (0.01 to    57.05)","0.89 (0.01 to    67.17)","0.77 (0.00 to   288.13)","0.77 (0.00 to   290.69)","0.77 (0.00 to   303.81)","0.78 (0.00 to   291.30)","0.80 (0.00 to   296.16)","1.02 (0.01 to    81.98)","1.02 (0.01 to    80.38)","Afatinib + HMGCR inhibitor",".","0.89 (0.01 to  55.97)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    17.44)","0.25 (0.00 to    62.68)","0.25 (0.00 to    64.08)","0.38 (0.00 to    43.13)","0.44 (0.01 to    38.39)","0.43 (0.00 to   189.83)","0.71 (0.01 to    46.56)","0.73 (0.01 to    55.00)","0.70 (0.01 to    61.42)","0.76 (0.01 to    57.09)","0.76 (0.01 to    55.96)","0.83 (0.01 to    67.27)","0.72 (0.00 to   283.89)","0.73 (0.00 to   286.40)","0.72 (0.00 to   256.99)","0.73 (0.00 to   287.02)","0.75 (0.00 to   294.21)","0.95 (0.01 to    73.34)","0.96 (0.01 to    80.58)","0.94 (0.00 to   382.36)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to     2.13)","0.23 (0.01 to     8.41)","0.24 (0.01 to     8.58)","0.36 (0.04 to     3.08)","0.42 (0.06 to     3.13)","0.41 (0.00 to    40.49)","0.68 (0.20 to     2.33)","0.69 (0.25 to     1.88)","0.66 (0.15 to     2.97)","0.72 (0.29 to     1.77)","0.72 (0.27 to     1.91)","0.79 (0.22 to     2.78)","0.68 (0.01 to    47.49)","0.69 (0.01 to    47.98)","0.69 (0.01 to    51.05)","0.69 (0.01 to    48.02)","0.71 (0.01 to    48.65)","0.91 (0.21 to     3.89)","0.91 (0.23 to     3.64)","0.89 (0.01 to    55.97)","0.95 (0.01 to    74.02)","Afatinib",".","0.58 (0.12 to   2.71)",".",".",".",".","0.51 (0.08 to   3.15)",".",".",".",".",".",".","."
"0.07 (0.00 to     2.01)","0.23 (0.01 to     7.97)","0.23 (0.01 to     8.13)","0.35 (0.04 to     2.88)","0.40 (0.05 to     3.27)","0.40 (0.00 to    40.57)","0.66 (0.17 to     2.54)","0.67 (0.20 to     2.28)","0.64 (0.15 to     2.82)","0.70 (0.31 to     1.56)","0.70 (0.24 to     2.08)","0.76 (0.21 to     2.73)","0.66 (0.01 to    48.81)","0.67 (0.01 to    49.32)","0.67 (0.01 to    51.25)","0.67 (0.01 to    49.36)","0.69 (0.01 to    46.27)","0.88 (0.18 to     4.28)","0.88 (0.19 to     4.18)","0.86 (0.01 to    64.42)","0.92 (0.01 to    74.28)","0.97 (0.29 to     3.23)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","."
