"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.46 (6.48 to 116.41)",".",".",".",".",".",".","."
"1.24 (0.04 to    38.11)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","22.13 (0.99 to 493.81)",".",".",".",".",".",".","."
"18.91 (3.26 to   109.72)","15.23 (0.58 to   398.13)","2.41 (0.63 to     9.29)","3.66 (0.12 to   111.39)","1.92 (0.69 to     5.35)","2.07 (0.38 to    11.17)","1.99 (0.35 to    11.46)","1.98 (0.32 to    12.30)","2.30 (0.06 to    89.20)","1.53 (0.23 to    10.08)","1.24 (0.21 to     7.22)","1.27 (0.10 to    16.36)","1.08 (0.43 to     2.72)","1.03 (0.31 to     3.44)","Afatinib",".","1.12 (0.02 to  70.59)",".",".",".",".",".",".",".",".","3.19 (0.51 to  20.04)","1.23 (0.29 to   5.15)",".","1.48 (0.30 to   7.43)",".",".",".",".",".",".","."
"19.92 (0.21 to  1909.94)","16.05 (0.08 to  3304.13)","2.54 (0.03 to   213.67)","3.85 (0.02 to   880.22)","2.03 (0.03 to   156.16)","2.18 (0.03 to   173.45)","2.10 (0.02 to   202.83)","2.08 (0.02 to   234.63)","2.42 (0.01 to   646.57)","1.61 (0.02 to   133.12)","1.31 (0.02 to   102.41)","1.34 (0.01 to   186.07)","1.14 (0.02 to    84.53)","1.09 (0.01 to    87.66)","1.05 (0.01 to    82.14)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","1.40 (0.02 to  91.26)",".",".",".",".",".","."
"21.23 (0.24 to  1908.84)","17.11 (0.09 to  3333.30)","2.71 (0.03 to   211.00)","4.11 (0.02 to   880.93)","2.16 (0.03 to   153.80)","2.32 (0.03 to   203.25)","2.24 (0.03 to   200.55)","2.22 (0.02 to   205.21)","2.58 (0.01 to   648.24)","1.72 (0.02 to   162.71)","1.39 (0.02 to   125.36)","1.42 (0.01 to   185.03)","1.21 (0.02 to    84.39)","1.16 (0.02 to    86.41)","1.12 (0.02 to    70.59)","1.07 (0.00 to   434.57)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20.82 (3.68 to   117.88)","16.78 (0.65 to   432.67)","2.66 (0.52 to    13.67)","4.03 (0.11 to   141.07)","2.12 (0.51 to     8.76)","2.28 (0.36 to    14.24)","2.20 (0.29 to    16.36)","2.18 (0.22 to    21.61)","2.53 (0.06 to   111.97)","1.69 (0.22 to    13.19)","1.37 (0.20 to     9.55)","1.40 (0.09 to    21.65)","1.19 (0.32 to     4.43)","1.14 (0.24 to     5.39)","1.10 (0.27 to     4.41)","1.05 (0.01 to    88.07)","0.98 (0.01 to    77.29)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".","1.32 (0.51 to   3.44)",".",".",".",".",".",".","."
"20.88 (3.11 to   140.18)","16.82 (0.59 to   476.68)","2.67 (0.50 to    14.31)","4.04 (0.11 to   143.23)","2.12 (0.50 to     9.07)","2.29 (0.61 to     8.62)","2.20 (0.29 to    16.76)","2.18 (0.21 to    22.61)","2.54 (0.06 to   113.60)","1.69 (0.27 to    10.77)","1.37 (0.24 to     7.70)","1.40 (0.09 to    22.07)","1.19 (0.31 to     4.57)","1.14 (0.23 to     5.56)","1.10 (0.26 to     4.74)","1.05 (0.01 to    80.60)","0.98 (0.01 to    79.28)","1.00 (0.21 to     4.81)","Lazertinib",".",".",".",".",".",".",".",".",".","1.15 (0.23 to   5.68)","1.49 (0.35 to   6.32)",".",".",".",".",".","."
"26.63 (0.30 to  2334.82)","21.46 (0.11 to  4092.37)","3.40 (0.05 to   240.66)","5.15 (0.03 to  1016.74)","2.71 (0.04 to   173.75)","2.92 (0.03 to   244.26)","2.81 (0.03 to   227.68)","2.79 (0.03 to   278.69)","3.24 (0.01 to   749.97)","2.16 (0.02 to   194.77)","1.75 (0.02 to   149.99)","1.79 (0.02 to   211.69)","1.52 (0.02 to   100.34)","1.45 (0.02 to    97.67)","1.41 (0.02 to    96.57)","1.34 (0.00 to   526.19)","1.25 (0.00 to   466.04)","1.28 (0.02 to    98.24)","1.28 (0.02 to    98.97)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".","0.98 (0.02 to  61.10)",".",".",".",".",".",".",".",".","."
"27.31 (0.35 to  2147.54)","22.01 (0.13 to  3826.32)","3.49 (0.05 to   264.16)","5.28 (0.02 to  1119.85)","2.78 (0.04 to   194.75)","2.99 (0.04 to   244.74)","2.88 (0.03 to   254.36)","2.86 (0.03 to   288.89)","3.32 (0.01 to   824.33)","2.21 (0.02 to   199.77)","1.79 (0.02 to   153.84)","1.83 (0.01 to   234.92)","1.56 (0.02 to   105.68)","1.49 (0.02 to   109.52)","1.44 (0.02 to   100.20)","1.37 (0.00 to   539.67)","1.29 (0.00 to   481.93)","1.31 (0.02 to    90.06)","1.31 (0.02 to    96.58)","1.03 (0.00 to   376.90)","Furmonertinib",".",".",".",".",".",".",".","1.01 (0.02 to  61.84)",".",".",".",".",".",".","."
"27.50 (0.30 to  2517.87)","22.16 (0.11 to  4385.18)","3.51 (0.04 to   281.28)","5.32 (0.02 to  1169.11)","2.80 (0.04 to   205.38)","3.01 (0.04 to   228.20)","2.90 (0.03 to   267.41)","2.88 (0.03 to   309.81)","3.35 (0.01 to   859.72)","2.23 (0.03 to   175.22)","1.80 (0.02 to   134.72)","1.84 (0.01 to   246.17)","1.57 (0.02 to   111.12)","1.50 (0.02 to   115.35)","1.45 (0.02 to   108.05)","1.38 (0.00 to   490.08)","1.30 (0.00 to   509.77)","1.32 (0.02 to   106.08)","1.32 (0.02 to    96.45)","1.03 (0.00 to   392.17)","1.01 (0.00 to   382.58)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".","1.01 (0.02 to  62.82)",".",".",".",".",".","."
"27.46 (0.35 to  2169.74)","22.13 (0.13 to  3863.09)","3.51 (0.05 to   266.90)","5.31 (0.02 to  1130.44)","2.79 (0.04 to   196.78)","3.01 (0.04 to   247.26)","2.90 (0.03 to   256.96)","2.87 (0.03 to   291.80)","3.34 (0.01 to   832.04)","2.23 (0.02 to   201.81)","1.80 (0.02 to   155.42)","1.84 (0.01 to   237.24)","1.57 (0.02 to   106.80)","1.50 (0.02 to   110.67)","1.45 (0.02 to   101.25)","1.38 (0.00 to   544.56)","1.29 (0.00 to   486.31)","1.32 (0.02 to    91.00)","1.32 (0.02 to    97.58)","1.03 (0.00 to   380.33)","1.01 (0.00 to   341.79)","1.00 (0.00 to   380.64)","Gefitinib + PARP inhibitor",".",".",".",".",".","1.00 (0.02 to  61.80)",".",".",".",".",".",".","."
"27.60 (0.35 to  2169.28)","22.24 (0.13 to  3865.36)","3.52 (0.05 to   266.84)","5.34 (0.03 to  1131.29)","2.81 (0.04 to   196.71)","3.02 (0.04 to   247.22)","2.91 (0.03 to   256.94)","2.89 (0.03 to   291.82)","3.36 (0.01 to   832.76)","2.24 (0.02 to   201.80)","1.81 (0.02 to   155.40)","1.85 (0.01 to   237.31)","1.58 (0.02 to   106.75)","1.51 (0.02 to   110.63)","1.46 (0.02 to   101.21)","1.39 (0.00 to   545.21)","1.30 (0.00 to   486.87)","1.33 (0.02 to    90.97)","1.32 (0.02 to    97.55)","1.04 (0.00 to   380.77)","1.01 (0.00 to   342.17)","1.00 (0.00 to   381.08)","1.01 (0.00 to   341.46)","Icotinib",".",".",".",".","1.00 (0.02 to  61.16)",".",".",".",".",".",".","."
"23.97 (3.60 to   159.63)","19.31 (0.68 to   544.71)","3.06 (0.74 to    12.68)","4.64 (0.15 to   144.81)","2.44 (0.81 to     7.37)","2.62 (0.44 to    15.74)","2.53 (0.42 to    15.25)","2.51 (0.27 to    23.09)","2.92 (0.07 to   115.78)","1.94 (0.27 to    13.92)","1.57 (0.25 to    10.03)","1.61 (0.12 to    21.45)","1.37 (0.43 to     4.33)","1.31 (0.37 to     4.67)","1.27 (0.36 to     4.47)","1.20 (0.01 to    97.44)","1.13 (0.01 to    85.61)","1.15 (0.24 to     5.47)","1.15 (0.23 to     5.63)","0.90 (0.01 to    62.95)","0.88 (0.01 to    64.57)","0.87 (0.01 to    67.24)","0.87 (0.01 to    64.52)","0.87 (0.01 to    63.86)","Dacomitinib","1.14 (0.23 to   5.72)","0.86 (0.25 to   2.99)",".","4.98 (0.19 to 133.35)",".",".",".",".",".",".","."
"26.18 (4.70 to   145.69)","21.10 (0.83 to   539.08)","3.34 (0.96 to    11.68)","5.06 (0.17 to   148.42)","2.66 (1.10 to     6.47)","2.87 (0.61 to    13.56)","2.76 (0.52 to    14.70)","2.74 (0.35 to    21.70)","3.19 (0.09 to   119.17)","2.12 (0.37 to    12.14)","1.72 (0.34 to     8.61)","1.76 (0.14 to    21.52)","1.50 (0.62 to     3.58)","1.43 (0.48 to     4.25)","1.38 (0.52 to     3.66)","1.31 (0.02 to    96.69)","1.23 (0.02 to    86.73)","1.26 (0.33 to     4.77)","1.25 (0.33 to     4.76)","0.98 (0.01 to    65.31)","0.96 (0.01 to    65.36)","0.95 (0.01 to    66.65)","0.95 (0.01 to    65.31)","0.95 (0.01 to    64.63)","1.09 (0.38 to     3.12)","Placebo","1.67 (0.62 to   4.51)",".","0.60 (0.13 to   2.87)","1.02 (0.26 to   3.90)",".",".",".",".",".","."
"26.15 (4.70 to   145.52)","21.07 (0.82 to   538.44)","3.34 (1.18 to     9.42)","5.06 (0.19 to   136.61)","2.66 (1.62 to     4.37)","2.86 (0.58 to    14.10)","2.76 (0.61 to    12.37)","2.73 (0.36 to    20.96)","3.18 (0.09 to   110.30)","2.12 (0.35 to    12.70)","1.71 (0.33 to     9.03)","1.75 (0.16 to    19.23)","1.49 (0.75 to     2.99)","1.43 (0.64 to     3.18)","1.38 (0.56 to     3.39)","1.31 (0.02 to    98.40)","1.23 (0.02 to    85.22)","1.26 (0.33 to     4.77)","1.25 (0.32 to     4.91)","0.98 (0.02 to    61.10)","0.96 (0.01 to    65.28)","0.95 (0.01 to    67.84)","0.95 (0.01 to    65.23)","0.95 (0.01 to    64.55)","1.09 (0.41 to     2.93)","1.00 (0.48 to     2.09)","Erlotinib","0.99 (0.26 to   3.82)",".",".",".",".","2.02 (0.29 to  14.33)","3.00 (0.09 to  95.24)","3.08 (0.10 to  98.44)","9.38 (0.38 to 228.77)"
"28.57 (3.53 to   231.49)","23.03 (0.73 to   728.54)","3.65 (0.72 to    18.39)","5.53 (0.16 to   187.45)","2.91 (0.76 to    11.11)","3.13 (0.43 to    22.93)","3.01 (0.43 to    21.19)","2.99 (0.28 to    31.85)","3.48 (0.08 to   149.09)","2.32 (0.27 to    19.92)","1.87 (0.24 to    14.50)","1.92 (0.13 to    28.50)","1.63 (0.42 to     6.28)","1.56 (0.35 to     6.86)","1.51 (0.34 to     6.79)","1.43 (0.02 to   126.45)","1.35 (0.02 to   110.18)","1.37 (0.23 to     8.23)","1.37 (0.22 to     8.41)","1.07 (0.01 to    80.24)","1.05 (0.01 to    84.23)","1.04 (0.01 to    87.34)","1.04 (0.01 to    84.15)","1.04 (0.01 to    83.30)","1.19 (0.25 to     5.79)","1.09 (0.26 to     4.55)","1.09 (0.31 to     3.80)","Erlotinib + chemotherapy",".",".",".",".",".",".",".","."
"27.46 (6.48 to   116.41)","22.13 (0.99 to   493.81)","3.51 (0.93 to    13.22)","5.31 (0.17 to   163.10)","2.79 (0.98 to     7.96)","3.01 (0.63 to    14.33)","2.90 (0.50 to    16.91)","2.87 (0.36 to    23.11)","3.34 (0.09 to   130.55)","2.23 (0.36 to    13.72)","1.80 (0.33 to     9.78)","1.84 (0.14 to    24.02)","1.57 (0.64 to     3.85)","1.50 (0.44 to     5.11)","1.45 (0.53 to     3.96)","1.38 (0.02 to   104.59)","1.29 (0.02 to    91.64)","1.32 (0.51 to     3.44)","1.32 (0.38 to     4.55)","1.03 (0.01 to    71.13)","1.01 (0.02 to    61.84)","1.00 (0.01 to    72.12)","1.00 (0.02 to    61.80)","1.00 (0.02 to    61.16)","1.15 (0.34 to     3.91)","1.05 (0.41 to     2.65)","1.05 (0.42 to     2.66)","0.96 (0.21 to     4.37)","Gefitinib",".",".",".",".",".",".","."
"27.88 (4.44 to   175.01)","22.47 (0.82 to   612.91)","3.56 (0.81 to    15.61)","5.39 (0.17 to   173.57)","2.84 (0.86 to     9.36)","3.05 (0.83 to    11.25)","2.94 (0.46 to    18.78)","2.92 (0.32 to    26.49)","3.39 (0.08 to   138.51)","2.26 (0.55 to     9.36)","1.83 (0.52 to     6.42)","1.87 (0.13 to    25.96)","1.59 (0.55 to     4.57)","1.52 (0.39 to     5.88)","1.47 (0.43 to     5.08)","1.40 (0.02 to    91.26)","1.31 (0.02 to    98.88)","1.34 (0.30 to     5.92)","1.34 (0.41 to     4.37)","1.05 (0.01 to    75.03)","1.02 (0.01 to    73.20)","1.01 (0.02 to    62.82)","1.02 (0.01 to    73.14)","1.01 (0.01 to    72.39)","1.16 (0.30 to     4.55)","1.07 (0.39 to     2.93)","1.07 (0.36 to     3.17)","0.98 (0.19 to     4.91)","1.02 (0.33 to     3.16)","Osimertinib",".","1.63 (0.33 to   8.02)",".",".",".","."
"45.79 (0.38 to  5468.60)","36.90 (0.15 to  9178.13)","5.85 (0.06 to   615.60)","8.86 (0.03 to  2436.51)","4.66 (0.05 to   451.83)","5.01 (0.05 to   501.07)","4.83 (0.04 to   580.57)","4.79 (0.03 to   667.02)","5.57 (0.02 to  1780.86)","3.71 (0.04 to   383.90)","3.00 (0.03 to   296.07)","3.07 (0.02 to   524.36)","2.62 (0.03 to   245.02)","2.50 (0.02 to   253.07)","2.42 (0.02 to   237.53)","2.30 (0.01 to  1003.46)","2.16 (0.00 to  1040.17)","2.20 (0.02 to   232.14)","2.19 (0.02 to   212.22)","1.72 (0.00 to   801.15)","1.68 (0.00 to   781.55)","1.66 (0.00 to   701.81)","1.67 (0.00 to   779.80)","1.66 (0.00 to   773.04)","1.91 (0.02 to   194.18)","1.75 (0.02 to   162.30)","1.75 (0.02 to   165.43)","1.60 (0.01 to   176.57)","1.67 (0.02 to   159.28)","1.64 (0.02 to   135.91)","Zorifertinib","0.99 (0.02 to  60.88)",".",".",".","."
"45.37 (3.99 to   516.63)","36.56 (0.93 to  1435.96)","5.79 (0.66 to    50.95)","8.78 (0.19 to   400.32)","4.62 (0.63 to    33.84)","4.97 (0.63 to    38.99)","4.79 (0.41 to    55.20)","4.74 (0.31 to    72.21)","5.52 (0.10 to   312.97)","3.68 (0.43 to    31.13)","2.98 (0.39 to    22.64)","3.04 (0.14 to    65.96)","2.59 (0.38 to    17.53)","2.48 (0.31 to    20.02)","2.40 (0.32 to    18.05)","2.28 (0.03 to   199.28)","2.14 (0.02 to   213.93)","2.18 (0.25 to    19.27)","2.17 (0.30 to    15.85)","1.70 (0.02 to   162.83)","1.66 (0.02 to   158.86)","1.65 (0.02 to   137.62)","1.65 (0.02 to   158.69)","1.64 (0.02 to   157.11)","1.89 (0.23 to    15.42)","1.73 (0.26 to    11.45)","1.74 (0.25 to    11.97)","1.59 (0.16 to    15.37)","1.65 (0.23 to    11.70)","1.63 (0.33 to     8.02)","0.99 (0.02 to    60.88)","Gefitinib/Erlotinib",".",".",".","."
"52.86 (3.91 to   714.89)","42.60 (0.97 to  1879.12)","6.75 (0.74 to    61.93)","10.23 (0.22 to   473.03)","5.38 (0.71 to    40.56)","5.79 (0.46 to    72.32)","5.58 (0.47 to    65.74)","5.53 (0.33 to    93.27)","6.43 (0.11 to   369.54)","4.28 (0.30 to    60.86)","3.47 (0.27 to    45.23)","3.55 (0.16 to    78.20)","3.02 (0.38 to    24.13)","2.88 (0.35 to    23.93)","2.80 (0.32 to    24.12)","2.65 (0.02 to   303.86)","2.49 (0.02 to   265.08)","2.54 (0.24 to    27.16)","2.53 (0.23 to    27.59)","1.98 (0.02 to   191.96)","1.94 (0.02 to   203.33)","1.92 (0.02 to   210.43)","1.92 (0.02 to   203.09)","1.92 (0.02 to   201.09)","2.21 (0.25 to    19.79)","2.02 (0.25 to    16.38)","2.02 (0.29 to    14.33)","1.85 (0.18 to    18.85)","1.92 (0.22 to    16.81)","1.90 (0.20 to    17.82)","1.15 (0.01 to   163.30)","1.17 (0.07 to    18.23)","Erlotinib + HER3 inhibitor",".",".","."
"78.44 (1.65 to  3724.72)","63.21 (0.55 to  7226.75)","10.02 (0.27 to   370.27)","15.17 (0.13 to  1802.07)","7.98 (0.24 to   262.48)","8.59 (0.19 to   386.82)","8.27 (0.19 to   358.62)","8.20 (0.15 to   453.69)","9.55 (0.07 to  1351.17)","6.36 (0.13 to   312.12)","5.14 (0.11 to   238.47)","5.26 (0.08 to   352.95)","4.48 (0.13 to   152.40)","4.28 (0.12 to   148.87)","4.15 (0.12 to   147.72)","3.94 (0.02 to   993.99)","3.69 (0.02 to   876.27)","3.77 (0.09 to   153.34)","3.76 (0.09 to   154.74)","2.94 (0.01 to   643.71)","2.87 (0.01 to   673.47)","2.85 (0.01 to   692.78)","2.86 (0.01 to   672.24)","2.84 (0.01 to   666.10)","3.27 (0.09 to   119.34)","3.00 (0.09 to   102.83)","3.00 (0.09 to    95.24)","2.74 (0.07 to   108.32)","2.86 (0.08 to   102.47)","2.81 (0.07 to   105.58)","1.71 (0.01 to   518.81)","1.73 (0.03 to    90.71)","1.48 (0.03 to    78.93)","Rociletinib",".","."
"80.53 (1.69 to  3847.38)","64.89 (0.56 to  7456.33)","10.28 (0.28 to   382.62)","15.58 (0.13 to  1859.25)","8.19 (0.25 to   271.30)","8.82 (0.19 to   399.59)","8.49 (0.19 to   370.49)","8.42 (0.15 to   468.53)","9.80 (0.07 to  1393.80)","6.53 (0.13 to   322.38)","5.28 (0.11 to   246.34)","5.40 (0.08 to   364.40)","4.60 (0.13 to   157.51)","4.39 (0.13 to   153.86)","4.26 (0.12 to   152.66)","4.04 (0.02 to  1024.84)","3.79 (0.02 to   903.51)","3.87 (0.09 to   158.43)","3.86 (0.09 to   159.88)","3.02 (0.01 to   663.77)","2.95 (0.01 to   694.41)","2.93 (0.01 to   714.30)","2.93 (0.01 to   693.14)","2.92 (0.01 to   686.81)","3.36 (0.09 to   123.33)","3.08 (0.09 to   106.27)","3.08 (0.10 to    98.44)","2.82 (0.07 to   111.92)","2.93 (0.08 to   105.89)","2.89 (0.08 to   109.10)","1.76 (0.01 to   534.84)","1.77 (0.03 to    93.68)","1.52 (0.03 to    81.51)","1.03 (0.01 to   137.16)","Erlotinib + Autophagy inhibitor","."
"245.32 (6.53 to  9214.23)","197.68 (2.09 to 18710.12)","31.33 (1.09 to   900.14)","47.46 (0.48 to  4672.89)","24.96 (0.99 to   632.32)","26.86 (0.76 to   953.59)","25.87 (0.76 to   881.81)","25.65 (0.58 to  1133.01)","29.85 (0.25 to  3527.92)","19.88 (0.51 to   773.77)","16.09 (0.44 to   589.01)","16.46 (0.30 to   891.09)","14.01 (0.53 to   368.12)","13.38 (0.50 to   360.24)","12.98 (0.47 to   358.08)","12.32 (0.06 to  2646.36)","11.55 (0.06 to  2328.57)","11.78 (0.37 to   375.41)","11.75 (0.36 to   379.15)","9.21 (0.05 to  1706.22)","8.98 (0.05 to  1789.01)","8.92 (0.04 to  1842.30)","8.93 (0.04 to  1785.95)","8.89 (0.04 to  1769.42)","10.24 (0.36 to   289.83)","9.37 (0.35 to   248.55)","9.38 (0.38 to   228.77)","8.59 (0.28 to   264.59)","8.93 (0.32 to   248.54)","8.80 (0.30 to   256.95)","5.36 (0.02 to  1388.59)","5.41 (0.13 to   225.81)","4.64 (0.11 to   196.64)","3.13 (0.03 to   346.32)","3.05 (0.03 to   339.02)","Erlotinib + MMP inhibitor"
