"","group","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Cardiac (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Cardiac","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Vascular (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Vascular","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Cardiac (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Cardiac","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Vascular (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Vascular","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity"
"20","Placebo",0.2453,0.2461,0.3286,0.3256,0.2341,0.2532,0.3478,0.3238,0.1958,0.1919,0.0732,0.1481,0.3838,0.3757,0.3571,0.3264,0.1671,0.1761,0.1366,0.1906,0.4011,0.4432,0.4023,0.3545
"21","Rociletinib",0.5029,0.509,0.0565,0.046,0.8772,0.8333,0.0075,0.0077,0.4877,0.4612,NA,NA,NA,NA,0.4058,0.4432,0.96,0.9386,NA,NA,NA,NA,0.4587,0.4843
"22","Zorifertinib",0.6593,0.5186,NA,NA,0.4804,0.3703,NA,NA,0.7297,0.5557,NA,NA,NA,NA,NA,NA,0.5565,0.3512,NA,NA,NA,NA,NA,NA
"23","Afatinib",NA,0.3619,NA,0.4545,NA,0.391,NA,0.4728,NA,0.5054,NA,0.2349,NA,0.2157,NA,0.478,NA,0.6056,NA,0.2808,NA,0.3885,NA,0.5171
"24","Afatinib_Cetuximab",NA,0.4194,NA,0.5989,NA,0.4147,NA,0.4553,NA,0.0421,NA,NA,NA,0.0097,NA,0.7148,NA,0.4548,NA,NA,NA,0.2617,NA,0.6271
"25","Afatinib_HMGCRi",NA,0.023,NA,NA,NA,0.5124,NA,NA,NA,0.0431,NA,NA,NA,NA,NA,NA,NA,0.6779,NA,NA,NA,NA,NA,NA
"26","Almonertinib",NA,0.6352,NA,0.9681,NA,0.3873,NA,0.5998,NA,0.7604,NA,0.0627,NA,NA,NA,0.9695,NA,0.4672,NA,0.0858,NA,0.4757,NA,0.999
"27","Dacomitinib",NA,0.1976,NA,0.4248,NA,0.2132,NA,0.3554,NA,0.2755,NA,0.3542,NA,NA,NA,0.3583,NA,0.2912,NA,0.4147,NA,0.3656,NA,0.391
"28","Erlotinib",NA,0.3553,NA,0.3781,NA,0.4204,NA,0.3868,NA,0.4235,NA,0.3548,NA,0.2834,NA,0.3893,NA,0.5266,NA,0.4061,NA,0.3665,NA,0.436
"29","Erlotinib_antiangio",NA,0.4729,NA,0.676,NA,0.407,NA,0.8305,NA,0.4748,NA,0.4106,NA,0.4993,NA,0.5379,NA,0.4124,NA,0.4823,NA,0.8128,NA,0.48
"30","Erlotinib_chemo",NA,0.5384,NA,0.3827,NA,0.5557,NA,0.4588,NA,0.6551,NA,0.2677,NA,NA,NA,0.5422,NA,0.7027,NA,0.3211,NA,NA,NA,0.4332
"31","Erlotinib_COX2i",NA,0.0295,NA,NA,NA,0.0392,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0293,NA,NA,NA,NA,NA,NA,NA,0.0247
"32","Erlotinib_HER3i",NA,0.6732,NA,0.2988,NA,0.7157,NA,0.2677,NA,0.4685,NA,0.7964,NA,NA,NA,0.3359,NA,0.5475,NA,0.8617,NA,NA,NA,0.3695
"33","Erlotinib_IGF_1Ri",NA,0.5725,NA,0.7445,NA,0.4737,NA,0.8003,NA,0.4934,NA,0.4417,NA,0.8247,NA,0.7923,NA,0.4294,NA,0.5253,NA,0.6509,NA,0.8618
"34","Erlotinib_METi",NA,0.2888,NA,0.448,NA,0.3767,NA,0.4563,NA,0.2711,NA,0.3525,NA,0.8215,NA,0.5486,NA,0.3894,NA,0.4076,NA,0.9779,NA,0.5474
"35","Erlotinib_MMPi",NA,0.963,NA,0.036,NA,0.7429,NA,0.1008,NA,NA,NA,0.7875,NA,NA,NA,0.2554,NA,0.3367,NA,0.8565,NA,NA,NA,0.2947
"36","Furmonertinib",NA,0.4766,NA,NA,NA,0.3997,NA,NA,NA,0.7154,NA,NA,NA,NA,NA,NA,NA,0.4995,NA,NA,NA,NA,NA,NA
"37","Gefitinib",NA,0.3432,NA,0.2865,NA,0.3303,NA,0.3405,NA,0.6639,NA,0.482,NA,0.3521,NA,0.2838,NA,0.4503,NA,0.5528,NA,0.3955,NA,0.292
"38","Gefitinib_chemo",NA,0.6782,NA,0.4133,NA,0.4497,NA,0.4452,NA,NA,NA,0.8229,NA,0.3427,NA,0.6662,NA,0.5631,NA,0.5064,NA,0.4419,NA,0.6257
"39","Gefitinib_Erlotinib",NA,0.2128,NA,0.2942,NA,0.3199,NA,0.2709,NA,0.352,NA,0.2019,NA,0.8533,NA,0.156,NA,0.3047,NA,0.2517,NA,0.271,NA,0.1735
"40","Gefitinib_PARPi",NA,0.9438,NA,NA,NA,0.9433,NA,NA,NA,NA,NA,0.818,NA,NA,NA,NA,NA,NA,NA,0.8852,NA,NA,NA,NA
"41","Icotinib",NA,0.9499,NA,NA,NA,0.9607,NA,NA,NA,NA,NA,0.8473,NA,NA,NA,NA,NA,NA,NA,0.9003,NA,NA,NA,NA
"42","Lazertinib",NA,0.5146,NA,0.3979,NA,0.6354,NA,0.4685,NA,0.617,NA,0.4358,NA,0.3172,NA,0.5454,NA,0.6292,NA,0.5034,NA,0.4003,NA,0.583
"43","Lazertinib_Amivantamab",NA,0.5696,NA,0.5913,NA,0.6998,NA,0.834,NA,0.5649,NA,0.3607,NA,NA,NA,0.7682,NA,0.5905,NA,0.4219,NA,0.3858,NA,0.8972
"44","Osimertinib",NA,0.4569,NA,0.3522,NA,0.6319,NA,0.3725,NA,0.5018,NA,0.4229,NA,0.2076,NA,0.3894,NA,0.5504,NA,0.4785,NA,0.3433,NA,0.4296
"45","Osimertinib_antiangio",NA,0.8442,NA,0.6067,NA,0.8425,NA,0.9027,NA,0.9887,NA,0.8208,NA,0.4275,NA,0.2516,NA,0.7781,NA,0.7176,NA,0.8637,NA,0.2783
"46","Osimertinib_chemo",NA,0.7028,NA,0.6281,NA,0.7563,NA,0.544,NA,0.6523,NA,0.8357,NA,0.8035,NA,0.682,NA,0.6623,NA,0.5664,NA,0.4634,NA,0.6633
"47","I_Autophagyi",NA,NA,0.0602,NA,0.6244,NA,0.1461,NA,NA,NA,NA,NA,NA,NA,0.0332,NA,0.52,NA,NA,NA,0.1721,NA,0.0255,NA
"48","I_ERi",NA,NA,0.9575,NA,NA,NA,0.6513,NA,NA,NA,NA,NA,NA,NA,0.963,NA,NA,NA,NA,NA,NA,NA,0.7343,NA
"49","I_HGFi",NA,NA,0.9547,NA,0.0557,NA,0.4004,NA,NA,NA,NA,NA,NA,NA,0.9582,NA,NA,NA,0.0108,NA,NA,NA,0.4404,NA
"50","Erlotinib_Autophagyi",NA,NA,NA,0.047,NA,0.598,NA,0.1326,NA,NA,NA,NA,NA,NA,NA,0.0237,NA,0.5164,NA,NA,NA,0.2214,NA,0.023
"51","Erlotinib_ERi",NA,NA,NA,0.9471,NA,NA,NA,0.6573,NA,NA,NA,NA,NA,NA,NA,0.9518,NA,NA,NA,NA,NA,NA,NA,0.6933
"52","Erlotinib_HGFi",NA,NA,NA,0.9417,NA,0.0456,NA,0.4228,NA,NA,NA,NA,NA,NA,NA,0.9479,NA,NA,NA,0.0287,NA,NA,NA,0.4573
"53","Gefitinib_antiangio",NA,NA,NA,0.8598,NA,NA,NA,0.9549,NA,NA,NA,NA,NA,0.6518,NA,NA,NA,NA,NA,NA,NA,0.9094,NA,NA
"54","chemo_antiangio",NA,NA,NA,NA,0.0654,0.0546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298,0.0236,NA,NA,NA,NA,NA,NA
"55","III_PD_L1i",NA,NA,NA,NA,0.073,NA,0.3442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0238,NA,NA,NA,0.0076,NA,NA,NA
"56","Befotertinib",NA,NA,NA,NA,NA,0.9689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Osimertinib_PD_L1i",NA,NA,NA,NA,NA,0.0554,NA,0.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0223,NA,NA,NA,0.0103,NA,NA
"58","Gefitinib_ERi",NA,NA,NA,NA,NA,NA,NA,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8112
"59","Antiangio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8122,NA,NA,NA
