"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"3rd-generation EGFR TKIs:3rd-generation EGFR TKIs + antiangiogenesis",3,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:3rd-generation EGFR TKIs + chemotherapy",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Chemotherapy",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Placebo",2,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + ER inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + HGF inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + IGF-1R inhibitor(16mg/kg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + Autophagy inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:1st-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:DHFR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + Autophagy inhibitor:Rociletinib(500mg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:1st-generation EGFR TKIs + HGF inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:1st-generation EGFR TKIs + IGF-1R inhibitor(16mg/kg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + ER inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + ER inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:DHFR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + ER inhibitor:Rociletinib(500mg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):1st-generation EGFR TKIs + HGF inhibitor",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):1st-generation EGFR TKIs + IGF-1R inhibitor",0,"No concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):1st-generation EGFR TKIs + IGF-1R inhibitor(16mg/kg)",0,"No concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):1st-generation EGFR TKIs + MET inhibitor",0,"No concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg)",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg)",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):2nd-generation EGFR TKIs",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):3rd-generation EGFR TKIs",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):3rd-generation EGFR TKIs + antiangiogenesis",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):Antiangiogenesis",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):DHFR inhibitor",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg):Rociletinib(500mg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:1st-generation EGFR TKIs + IGF-1R inhibitor(16mg/kg)",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + HGF inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + HGF inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
