"0.17 (0.03 to   1.00)","0.21 (0.05 to   0.91)","0.40 (0.06 to   2.49)","0.27 (0.01 to   7.98)","0.59 (0.06 to   6.28)","0.81 (0.49 to   1.36)","0.62 (0.04 to   9.31)","0.84 (0.40 to   1.76)","0.86 (0.24 to   3.07)","0.91 (0.45 to   1.81)","0.80 (0.01 to  46.66)","0.81 (0.01 to  46.49)","0.81 (0.01 to  48.86)","0.81 (0.01 to  47.20)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".","0.61 (0.07 to  5.65)",".",".",".",".",".","."
"0.16 (0.03 to   0.95)","0.20 (0.04 to   0.87)","0.37 (0.06 to   2.36)","0.25 (0.01 to   7.43)","0.54 (0.05 to   5.90)","0.74 (0.39 to   1.40)","0.56 (0.04 to   8.71)","0.77 (0.34 to   1.76)","0.78 (0.21 to   2.96)","0.82 (0.37 to   1.82)","0.73 (0.01 to  43.26)","0.73 (0.01 to  43.10)","0.73 (0.01 to  45.32)","0.74 (0.01 to  43.76)","0.91 (0.40 to   2.06)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.03 to   0.91)","0.20 (0.05 to   0.82)","0.37 (0.06 to   2.26)","0.25 (0.01 to   7.26)","0.54 (0.06 to   5.10)","0.74 (0.44 to   1.24)","0.56 (0.04 to   8.47)","0.77 (0.40 to   1.49)","0.78 (0.22 to   2.76)","0.82 (0.42 to   1.61)","0.73 (0.01 to  42.46)","0.73 (0.01 to  42.30)","0.73 (0.01 to  44.28)","0.74 (0.01 to  42.94)","0.91 (0.44 to   1.88)","1.00 (0.44 to   2.26)","3rd-generation EGFR TKIs","0.99 (0.02 to 55.56)",".","0.67 (0.25 to  1.76)","0.51 (0.17 to  1.56)",".",".",".",".","0.18 (0.07 to  0.47)","0.13 (0.06 to  0.29)"
"0.16 (0.00 to  12.69)","0.19 (0.00 to  13.92)","0.36 (0.00 to  30.11)","0.24 (0.00 to  46.93)","0.53 (0.01 to  53.76)","0.73 (0.01 to  42.47)","0.55 (0.00 to  71.38)","0.76 (0.01 to  44.98)","0.77 (0.01 to  52.67)","0.81 (0.01 to  48.34)","0.72 (0.00 to 220.03)","0.72 (0.00 to 220.04)","0.72 (0.00 to 227.31)","0.73 (0.00 to 223.00)","0.90 (0.01 to  53.92)","0.98 (0.02 to  60.20)","0.99 (0.02 to  55.56)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".","."
"0.12 (0.01 to   1.98)","0.15 (0.01 to   2.03)","0.28 (0.02 to   4.78)","0.19 (0.00 to  10.55)","0.42 (0.02 to  10.24)","0.57 (0.06 to   5.28)","0.43 (0.01 to  13.93)","0.59 (0.06 to   5.83)","0.60 (0.05 to   7.44)","0.63 (0.07 to   6.17)","0.56 (0.01 to  56.17)","0.56 (0.01 to  56.05)","0.57 (0.01 to  58.60)","0.57 (0.01 to  56.86)","0.70 (0.07 to   6.89)","0.77 (0.08 to   7.79)","0.77 (0.08 to   7.57)","0.78 (0.01 to  80.34)","DHFR inhibitor",".",".",".",".",".",".",".","."
"0.11 (0.01 to   0.78)","0.13 (0.02 to   0.74)","0.24 (0.03 to   1.93)","0.16 (0.00 to   5.56)","0.36 (0.03 to   4.16)","0.49 (0.17 to   1.48)","0.37 (0.02 to   6.70)","0.51 (0.16 to   1.66)","0.52 (0.11 to   2.57)","0.55 (0.17 to   1.79)","0.49 (0.01 to  31.82)","0.49 (0.01 to  31.71)","0.49 (0.01 to  33.15)","0.49 (0.01 to  32.19)","0.61 (0.18 to   2.04)","0.67 (0.19 to   2.37)","0.67 (0.25 to   1.76)","0.68 (0.01 to  42.83)","0.87 (0.07 to  10.38)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".","."
"0.11 (0.02 to   0.65)","0.14 (0.03 to   0.59)","0.26 (0.04 to   1.62)","0.18 (0.01 to   5.21)","0.39 (0.04 to   4.00)","0.53 (0.33 to   0.87)","0.40 (0.03 to   6.07)","0.55 (0.28 to   1.10)","0.56 (0.16 to   1.92)","0.59 (0.32 to   1.09)","0.52 (0.01 to  30.46)","0.53 (0.01 to  30.35)","0.53 (0.01 to  31.54)","0.53 (0.01 to  30.81)","0.65 (0.33 to   1.31)","0.72 (0.32 to   1.60)","0.72 (0.38 to   1.36)","0.73 (0.01 to  43.16)","0.93 (0.10 to   9.12)","1.08 (0.34 to   3.43)","Chemotherapy",".",".",".",".",".","."
"0.07 (0.01 to   0.62)","0.09 (0.01 to   0.59)","0.17 (0.02 to   1.51)","0.12 (0.00 to   4.16)","0.25 (0.02 to   3.55)","0.35 (0.09 to   1.27)","0.26 (0.01 to   5.09)","0.36 (0.09 to   1.46)","0.37 (0.06 to   2.10)","0.38 (0.10 to   1.54)","0.34 (0.00 to  23.55)","0.34 (0.00 to  23.47)","0.34 (0.00 to  24.64)","0.35 (0.01 to  23.83)","0.42 (0.10 to   1.72)","0.47 (0.11 to   1.98)","0.47 (0.12 to   1.89)","0.47 (0.01 to  33.76)","0.61 (0.05 to   7.99)","0.70 (0.13 to   3.83)","0.65 (0.16 to   2.61)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".","."
"0.07 (0.01 to   0.47)","0.08 (0.02 to   0.44)","0.16 (0.02 to   1.17)","0.11 (0.00 to   3.47)","0.23 (0.02 to   2.84)","0.32 (0.12 to   0.84)","0.24 (0.01 to   4.14)","0.33 (0.11 to   1.00)","0.34 (0.07 to   1.54)","0.36 (0.12 to   1.04)","0.31 (0.00 to  19.95)","0.32 (0.01 to  19.88)","0.32 (0.00 to  20.89)","0.32 (0.01 to  20.18)","0.39 (0.13 to   1.17)","0.43 (0.14 to   1.37)","0.43 (0.15 to   1.29)","0.44 (0.01 to  28.61)","0.56 (0.05 to   6.36)","0.65 (0.15 to   2.79)","0.60 (0.20 to   1.78)","0.93 (0.18 to   4.68)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".","."
"0.04 (0.01 to   0.25)","0.06 (0.01 to   0.22)","0.10 (0.02 to   0.61)","0.07 (0.00 to   2.00)","0.15 (0.01 to   1.56)","0.21 (0.15 to   0.29)","0.16 (0.01 to   2.32)","0.22 (0.12 to   0.40)","0.22 (0.07 to   0.74)","0.23 (0.13 to   0.41)","0.21 (0.00 to  11.77)","0.21 (0.00 to  11.72)","0.21 (0.00 to  12.33)","0.21 (0.00 to  11.90)","0.26 (0.14 to   0.47)","0.28 (0.14 to   0.57)","0.28 (0.15 to   0.52)","0.29 (0.00 to  16.89)","0.37 (0.04 to   3.48)","0.42 (0.14 to   1.32)","0.39 (0.22 to   0.71)","0.61 (0.16 to   2.31)","0.65 (0.24 to   1.79)","1st-generation EGFR TKIs + antiangiogenesis","0.58 (0.16 to  2.02)",".","."
"0.04 (0.01 to   0.23)","0.05 (0.01 to   0.21)","0.09 (0.01 to   0.57)","0.06 (0.00 to   1.78)","0.13 (0.01 to   1.42)","0.18 (0.09 to   0.35)","0.13 (0.01 to   2.09)","0.18 (0.08 to   0.43)","0.19 (0.05 to   0.72)","0.20 (0.09 to   0.45)","0.17 (0.00 to  10.35)","0.17 (0.00 to  10.31)","0.17 (0.00 to  10.84)","0.18 (0.00 to  10.47)","0.22 (0.09 to   0.51)","0.24 (0.09 to   0.60)","0.24 (0.10 to   0.56)","0.24 (0.00 to  14.84)","0.31 (0.03 to   3.17)","0.36 (0.10 to   1.30)","0.33 (0.14 to   0.77)","0.51 (0.12 to   2.22)","0.55 (0.17 to   1.79)","0.84 (0.41 to   1.74)","Antiangiogenesis",".","."
"0.03 (0.00 to   0.21)","0.04 (0.01 to   0.20)","0.07 (0.01 to   0.52)","0.05 (0.00 to   1.51)","0.10 (0.01 to   1.13)","0.14 (0.05 to   0.40)","0.10 (0.01 to   1.82)","0.14 (0.04 to   0.45)","0.14 (0.03 to   0.69)","0.15 (0.05 to   0.48)","0.13 (0.00 to   8.65)","0.13 (0.00 to   8.62)","0.13 (0.00 to   9.01)","0.14 (0.00 to   8.75)","0.17 (0.05 to   0.55)","0.18 (0.05 to   0.64)","0.18 (0.07 to   0.47)","0.19 (0.00 to  11.65)","0.24 (0.02 to   2.81)","0.27 (0.07 to   1.06)","0.25 (0.08 to   0.80)","0.39 (0.07 to   2.12)","0.42 (0.10 to   1.79)","0.65 (0.21 to   1.99)","0.77 (0.21 to   2.76)","3rd-generation EGFR TKIs + Amivantamab","."
"0.02 (0.00 to   0.14)","0.03 (0.01 to   0.13)","0.05 (0.01 to   0.35)","0.03 (0.00 to   1.06)","0.07 (0.01 to   0.78)","0.10 (0.04 to   0.25)","0.07 (0.00 to   1.26)","0.10 (0.04 to   0.29)","0.10 (0.02 to   0.46)","0.11 (0.04 to   0.31)","0.10 (0.00 to   6.10)","0.10 (0.00 to   6.08)","0.10 (0.00 to   6.36)","0.10 (0.00 to   6.17)","0.12 (0.04 to   0.35)","0.13 (0.04 to   0.41)","0.13 (0.06 to   0.29)","0.14 (0.00 to   8.21)","0.17 (0.02 to   1.94)","0.20 (0.06 to   0.69)","0.19 (0.07 to   0.51)","0.29 (0.06 to   1.42)","0.31 (0.08 to   1.18)","0.47 (0.18 to   1.27)","0.56 (0.18 to   1.80)","0.73 (0.21 to   2.50)","3rd-generation EGFR TKIs + antiangiogenesis"
