"Dacomitinib","0.41 (0.12 to   1.42)",".",".",".",".",".","."
"0.41 (0.12 to   1.42)","Placebo","1.03 (0.31 to   3.39)","0.82 (0.35 to   1.92)","0.72 (0.34 to   1.54)",".","0.44 (0.14 to   1.42)","."
"0.42 (0.07 to   2.35)","1.03 (0.31 to   3.39)","Gefitinib",".",".",".",".","."
"0.33 (0.07 to   1.51)","0.82 (0.35 to   1.92)","0.80 (0.18 to   3.47)","Osimertinib",".",".",".","."
"0.29 (0.07 to   1.27)","0.72 (0.34 to   1.54)","0.71 (0.17 to   2.90)","0.88 (0.28 to   2.74)","Erlotinib","0.88 (0.32 to   2.37)",".","0.15 (0.01 to   2.77)"
"0.26 (0.04 to   1.51)","0.63 (0.18 to   2.21)","0.62 (0.11 to   3.48)","0.77 (0.17 to   3.50)","0.88 (0.32 to   2.37)","Erlotinib + Figitumumab",".","."
"0.18 (0.03 to   0.99)","0.44 (0.14 to   1.42)","0.43 (0.08 to   2.29)","0.54 (0.13 to   2.28)","0.61 (0.15 to   2.45)","0.69 (0.13 to   3.85)","Afatinib","."
"0.04 (0.00 to   1.15)","0.11 (0.01 to   2.21)","0.11 (0.00 to   2.71)","0.14 (0.01 to   3.03)","0.15 (0.01 to   2.77)","0.17 (0.01 to   3.73)","0.25 (0.01 to   6.25)","Erlotinib + Teprotumumab"
