"0.17 (0.00 to    6.67)","0.22 (0.01 to    8.30)","0.59 (0.11 to    3.32)","0.60 (0.10 to    3.52)","0.63 (0.11 to    3.59)","0.32 (0.00 to   27.27)","0.55 (0.06 to    4.95)","0.68 (0.13 to    3.65)","0.61 (0.03 to   10.61)","0.79 (0.14 to    4.47)","0.68 (0.01 to   49.72)","0.69 (0.01 to   49.56)","0.82 (0.14 to    4.64)","0.92 (0.14 to    6.22)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.00 to   26.43)","0.20 (0.00 to   33.28)","0.54 (0.01 to   29.10)","0.55 (0.01 to   30.01)","0.58 (0.01 to   30.82)","0.29 (0.00 to   88.89)","0.50 (0.01 to   33.92)","0.63 (0.01 to   32.97)","0.56 (0.01 to   54.78)","0.72 (0.01 to   38.73)","0.63 (0.00 to  168.14)","0.63 (0.00 to  168.12)","0.75 (0.01 to   40.48)","0.85 (0.01 to   49.41)","0.92 (0.01 to   67.53)","Chemotherapy + antiangiogenesis",".","1.01 (0.02 to  51.78)",".",".",".",".",".",".",".",".","."
"0.17 (0.01 to    4.85)","0.22 (0.01 to    6.02)","0.59 (0.25 to    1.40)","0.60 (0.23 to    1.56)","0.63 (0.26 to    1.54)","0.32 (0.00 to   21.06)","0.55 (0.11 to    2.76)","0.68 (0.32 to    1.46)","0.61 (0.05 to    6.97)","0.79 (0.33 to    1.85)","0.68 (0.01 to   38.01)","0.69 (0.01 to   37.85)","0.82 (0.34 to    1.99)","0.92 (0.28 to    3.04)","1.00 (0.16 to    6.27)","1.09 (0.02 to   61.57)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".",".","."
"0.16 (0.01 to    4.27)","0.20 (0.01 to    5.31)","0.55 (0.30 to    1.00)","0.55 (0.26 to    1.18)","0.59 (0.33 to    1.03)","0.30 (0.00 to   18.78)","0.51 (0.11 to    2.29)","0.64 (0.39 to    1.03)","0.57 (0.05 to    5.99)","0.73 (0.39 to    1.37)","0.64 (0.01 to   33.82)","0.64 (0.01 to   33.67)","0.76 (0.39 to    1.48)","0.86 (0.31 to    2.41)","0.93 (0.16 to    5.28)","1.01 (0.02 to   51.78)","0.93 (0.38 to    2.27)","3rd-generation EGFR TKIs","0.71 (0.01 to  38.48)","0.81 (0.38 to   1.71)",".",".",".","0.47 (0.18 to   1.23)",".","0.29 (0.07 to   1.24)","."
"0.11 (0.00 to   19.94)","0.15 (0.00 to   25.11)","0.39 (0.01 to   22.21)","0.40 (0.01 to   22.90)","0.42 (0.01 to   23.53)","0.21 (0.00 to   66.78)","0.36 (0.01 to   25.82)","0.45 (0.01 to   25.17)","0.40 (0.00 to   41.52)","0.52 (0.01 to   29.56)","0.45 (0.00 to  126.42)","0.46 (0.00 to  126.41)","0.54 (0.01 to   30.89)","0.61 (0.01 to   37.67)","0.66 (0.01 to   51.34)","0.72 (0.00 to  195.89)","0.66 (0.01 to   39.50)","0.71 (0.01 to   38.48)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".",".",".",".",".","."
"0.13 (0.00 to    3.75)","0.16 (0.01 to    4.67)","0.45 (0.17 to    1.16)","0.45 (0.15 to    1.30)","0.47 (0.19 to    1.21)","0.24 (0.00 to   16.23)","0.41 (0.08 to    2.21)","0.51 (0.21 to    1.25)","0.46 (0.04 to    5.44)","0.59 (0.22 to    1.57)","0.51 (0.01 to   29.31)","0.52 (0.01 to   29.19)","0.61 (0.23 to    1.67)","0.69 (0.19 to    2.49)","0.75 (0.11 to    4.98)","0.82 (0.01 to   44.91)","0.75 (0.23 to    2.41)","0.81 (0.38 to    1.71)","1.13 (0.02 to   65.34)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".","."
"0.11 (0.00 to    3.93)","0.14 (0.00 to    4.88)","0.39 (0.09 to    1.69)","0.39 (0.09 to    1.81)","0.42 (0.09 to    1.84)","0.21 (0.00 to   16.36)","0.36 (0.05 to    2.68)","0.45 (0.11 to    1.84)","0.40 (0.03 to    6.04)","0.52 (0.12 to    2.29)","0.45 (0.01 to   29.73)","0.46 (0.01 to   29.62)","0.54 (0.12 to    2.37)","0.61 (0.11 to    3.27)","0.66 (0.07 to    5.86)","0.72 (0.01 to   48.17)","0.66 (0.13 to    3.27)","0.71 (0.16 to    3.14)","0.99 (0.01 to   69.92)","0.88 (0.17 to    4.65)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".",".","."
"0.08 (0.00 to    8.01)","0.11 (0.00 to   10.03)","0.29 (0.01 to    7.30)","0.29 (0.01 to    7.54)","0.30 (0.01 to    7.84)","0.15 (0.00 to   28.60)","0.26 (0.01 to    8.90)","0.33 (0.01 to    8.20)","0.29 (0.01 to   15.42)","0.38 (0.01 to    9.76)","0.33 (0.00 to   53.46)","0.33 (0.00 to   53.40)","0.39 (0.02 to   10.13)","0.45 (0.02 to   12.58)","0.48 (0.01 to   18.02)","0.53 (0.00 to   86.39)","0.48 (0.02 to   13.11)","0.52 (0.02 to   13.36)","0.73 (0.00 to  124.31)","0.64 (0.02 to   18.02)","0.73 (0.02 to   24.46)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".","."
"0.10 (0.00 to    3.34)","0.13 (0.00 to    4.15)","0.35 (0.09 to    1.32)","0.35 (0.09 to    1.42)","0.38 (0.10 to    1.44)","0.19 (0.00 to   14.08)","0.33 (0.05 to    2.18)","0.41 (0.12 to    1.43)","0.36 (0.03 to    5.05)","0.47 (0.12 to    1.79)","0.41 (0.01 to   25.53)","0.41 (0.01 to   25.44)","0.49 (0.13 to    1.86)","0.55 (0.12 to    2.60)","0.59 (0.07 to    4.81)","0.65 (0.01 to   41.38)","0.59 (0.14 to    2.59)","0.64 (0.17 to    2.46)","0.89 (0.01 to   60.10)","0.79 (0.17 to    3.69)","0.90 (0.14 to    5.97)","1.23 (0.04 to   38.86)","Zorifertinib",".",".",".","."
"0.08 (0.00 to    2.32)","0.10 (0.00 to    2.89)","0.26 (0.08 to    0.81)","0.26 (0.08 to    0.89)","0.28 (0.09 to    0.85)","0.14 (0.00 to    9.93)","0.24 (0.04 to    1.44)","0.30 (0.10 to    0.88)","0.27 (0.02 to    3.42)","0.35 (0.11 to    1.09)","0.30 (0.01 to   17.97)","0.30 (0.01 to   17.90)","0.36 (0.11 to    1.15)","0.41 (0.10 to    1.66)","0.44 (0.06 to    3.20)","0.48 (0.01 to   27.55)","0.44 (0.12 to    1.63)","0.47 (0.18 to    1.23)","0.66 (0.01 to   40.06)","0.59 (0.17 to    1.98)","0.67 (0.11 to    3.93)","0.91 (0.03 to   27.05)","0.74 (0.14 to    3.87)","3rd-generation EGFR TKIs + chemotherapy",".",".","."
"0.06 (0.00 to    1.73)","0.08 (0.00 to    2.15)","0.21 (0.09 to    0.50)","0.21 (0.08 to    0.56)","0.23 (0.09 to    0.55)","0.11 (0.00 to    7.51)","0.20 (0.04 to    0.99)","0.24 (0.11 to    0.52)","0.22 (0.02 to    2.49)","0.28 (0.11 to    0.69)","0.24 (0.00 to   13.55)","0.25 (0.00 to   13.50)","0.29 (0.12 to    0.71)","0.33 (0.10 to    1.08)","0.36 (0.06 to    2.24)","0.39 (0.01 to   21.98)","0.36 (0.12 to    1.05)","0.38 (0.16 to    0.94)","0.54 (0.01 to   31.97)","0.47 (0.15 to    1.53)","0.54 (0.11 to    2.69)","0.74 (0.03 to   20.11)","0.60 (0.14 to    2.62)","0.81 (0.22 to    3.01)","Antiangiogenesis",".","."
"0.05 (0.00 to    1.68)","0.06 (0.00 to    2.10)","0.16 (0.03 to    0.77)","0.16 (0.03 to    0.83)","0.17 (0.04 to    0.81)","0.09 (0.00 to    6.96)","0.15 (0.02 to    1.20)","0.18 (0.04 to    0.85)","0.16 (0.01 to    2.62)","0.21 (0.04 to    1.04)","0.18 (0.00 to   12.67)","0.19 (0.00 to   12.63)","0.22 (0.04 to    1.09)","0.25 (0.04 to    1.48)","0.27 (0.03 to    2.60)","0.29 (0.00 to   19.45)","0.27 (0.05 to    1.49)","0.29 (0.07 to    1.24)","0.40 (0.01 to   28.23)","0.36 (0.07 to    1.85)","0.41 (0.05 to    3.28)","0.56 (0.02 to   19.63)","0.45 (0.06 to    3.30)","0.61 (0.11 to    3.49)","0.75 (0.14 to    4.19)","3rd-generation EGFR TKIs + antiangiogenesis","."
"0.03 (0.00 to    2.09)","0.03 (0.00 to    2.61)","0.09 (0.00 to    1.75)","0.09 (0.00 to    1.81)","0.10 (0.00 to    1.88)","0.05 (0.00 to    7.63)","0.08 (0.00 to    2.18)","0.10 (0.01 to    1.96)","0.09 (0.00 to    3.90)","0.12 (0.01 to    2.34)","0.10 (0.00 to   14.20)","0.10 (0.00 to   14.18)","0.12 (0.01 to    2.43)","0.14 (0.01 to    3.04)","0.15 (0.01 to    4.46)","0.17 (0.00 to   22.96)","0.15 (0.01 to    3.16)","0.16 (0.01 to    3.21)","0.23 (0.00 to   33.09)","0.20 (0.01 to    4.36)","0.23 (0.01 to    6.00)","0.31 (0.00 to   24.50)","0.26 (0.01 to    6.25)","0.34 (0.02 to    7.85)","0.43 (0.02 to    8.87)","0.56 (0.02 to   15.57)","1st-generation EGFR TKIs + MMP inhibitor"
