"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.11 (0.00 to   2.66)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to     2.08)","0.35 (0.04 to     3.03)","0.23 (0.01 to     8.25)","0.24 (0.01 to     8.41)","0.41 (0.05 to     3.49)","0.66 (0.19 to     2.35)","0.66 (0.17 to     2.66)","0.71 (0.31 to     1.61)","0.65 (0.14 to     2.96)","0.70 (0.23 to     2.15)","0.77 (0.21 to     2.84)","0.88 (0.17 to     4.49)","0.93 (0.18 to     4.69)","0.98 (0.28 to     3.37)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to     1.89)","0.32 (0.04 to     2.71)","0.21 (0.01 to     7.48)","0.22 (0.01 to     7.63)","0.38 (0.05 to     2.70)","0.62 (0.24 to     1.57)","0.62 (0.21 to     1.82)","0.66 (0.32 to     1.35)","0.61 (0.15 to     2.39)","0.65 (0.27 to     1.60)","0.72 (0.22 to     2.33)","0.82 (0.20 to     3.27)","0.86 (0.22 to     3.43)","0.91 (0.35 to     2.35)","0.93 (0.31 to     2.77)","Chemotherapy",".",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to     3.41)","0.28 (0.01 to     6.51)","0.19 (0.00 to    12.91)","0.19 (0.00 to    13.18)","0.33 (0.01 to     7.54)","0.53 (0.04 to     7.25)","0.54 (0.04 to     7.72)","0.57 (0.05 to     6.44)","0.53 (0.03 to     8.11)","0.57 (0.04 to     7.18)","0.62 (0.04 to     8.59)","0.71 (0.04 to    11.69)","0.75 (0.05 to    12.25)","0.79 (0.06 to    10.54)","0.81 (0.06 to    10.43)","0.87 (0.07 to    10.88)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to     2.33)","0.29 (0.02 to     3.91)","0.19 (0.00 to     9.04)","0.19 (0.00 to     9.22)","0.33 (0.04 to     2.66)","0.54 (0.10 to     3.05)","0.54 (0.15 to     1.94)","0.58 (0.11 to     3.15)","0.53 (0.07 to     4.29)","0.57 (0.11 to     2.97)","0.63 (0.09 to     4.17)","0.72 (0.12 to     4.20)","0.76 (0.10 to     5.62)","0.80 (0.13 to     4.82)","0.82 (0.12 to     5.38)","0.88 (0.16 to     4.69)","1.01 (0.05 to    19.50)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".","."
"0.04 (0.00 to     1.89)","0.21 (0.01 to     3.30)","0.14 (0.00 to     7.28)","0.14 (0.00 to     7.43)","0.24 (0.03 to     2.31)","0.40 (0.06 to     2.75)","0.40 (0.08 to     1.86)","0.42 (0.06 to     2.84)","0.39 (0.04 to     3.73)","0.42 (0.07 to     2.69)","0.46 (0.06 to     3.69)","0.52 (0.07 to     3.77)","0.55 (0.06 to     4.92)","0.58 (0.08 to     4.30)","0.60 (0.07 to     4.77)","0.64 (0.10 to     4.24)","0.74 (0.03 to    16.17)","0.73 (0.10 to     5.42)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".","."
"0.03 (0.00 to     4.08)","0.16 (0.00 to     9.25)","0.10 (0.00 to    14.93)","0.10 (0.00 to    15.26)","0.18 (0.00 to    10.72)","0.29 (0.01 to    11.83)","0.30 (0.01 to    12.38)","0.31 (0.01 to    11.11)","0.29 (0.01 to    12.77)","0.31 (0.01 to    11.95)","0.34 (0.01 to    13.94)","0.39 (0.01 to    18.06)","0.41 (0.01 to    18.96)","0.43 (0.01 to    17.27)","0.44 (0.01 to    17.27)","0.48 (0.01 to    18.19)","0.55 (0.01 to    41.10)","0.54 (0.01 to    28.24)","0.74 (0.01 to    42.47)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".","."
"0.04 (0.00 to     1.80)","0.18 (0.01 to     3.24)","0.12 (0.00 to     6.89)","0.12 (0.00 to     7.03)","0.21 (0.01 to     3.43)","0.34 (0.04 to     2.90)","0.34 (0.04 to     3.28)","0.37 (0.05 to     2.94)","0.34 (0.03 to     3.78)","0.36 (0.04 to     3.02)","0.40 (0.04 to     3.86)","0.46 (0.04 to     4.99)","0.48 (0.05 to     5.09)","0.51 (0.08 to     3.27)","0.52 (0.06 to     4.86)","0.56 (0.07 to     4.53)","0.64 (0.03 to    15.68)","0.63 (0.05 to     8.47)","0.87 (0.06 to    13.36)","1.17 (0.02 to    72.39)","Afatinib + Cetuximab",".",".",".",".",".",".","."
"0.04 (0.00 to     1.35)","0.18 (0.01 to     2.20)","0.12 (0.00 to     5.26)","0.12 (0.00 to     5.37)","0.21 (0.02 to     2.54)","0.34 (0.06 to     2.05)","0.34 (0.05 to     2.24)","0.36 (0.08 to     1.65)","0.33 (0.05 to     2.42)","0.36 (0.07 to     1.96)","0.39 (0.06 to     2.45)","0.45 (0.06 to     3.57)","0.47 (0.06 to     3.73)","0.50 (0.08 to     2.96)","0.51 (0.09 to     2.88)","0.55 (0.10 to     2.96)","0.63 (0.04 to    11.09)","0.63 (0.06 to     6.11)","0.86 (0.07 to     9.82)","1.15 (0.02 to    55.52)","0.99 (0.07 to    13.01)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".","."
"0.04 (0.00 to     1.38)","0.17 (0.01 to     2.30)","0.11 (0.00 to     5.37)","0.12 (0.00 to     5.48)","0.20 (0.02 to     1.69)","0.33 (0.07 to     1.65)","0.33 (0.08 to     1.27)","0.35 (0.07 to     1.82)","0.32 (0.04 to     2.50)","0.35 (0.07 to     1.73)","0.38 (0.06 to     2.42)","0.44 (0.11 to     1.72)","0.46 (0.07 to     3.09)","0.48 (0.09 to     2.75)","0.50 (0.08 to     3.13)","0.53 (0.10 to     2.72)","0.61 (0.03 to    11.51)","0.61 (0.09 to     3.90)","0.83 (0.11 to     6.47)","1.11 (0.02 to    56.61)","0.96 (0.07 to    12.27)","0.97 (0.10 to     9.12)","Lazertinib + Amivantamab",".",".",".",".","."
"0.04 (0.00 to     1.04)","0.19 (0.02 to     1.45)","0.12 (0.00 to     4.13)","0.13 (0.00 to     4.21)","0.22 (0.03 to     1.68)","0.35 (0.12 to     1.04)","0.35 (0.10 to     1.20)","0.38 (0.23 to     0.62)","0.35 (0.09 to     1.36)","0.37 (0.15 to     0.93)","0.41 (0.13 to     1.27)","0.47 (0.10 to     2.08)","0.49 (0.11 to     2.16)","0.52 (0.18 to     1.49)","0.53 (0.20 to     1.40)","0.57 (0.24 to     1.38)","0.66 (0.06 to     7.84)","0.65 (0.11 to     3.82)","0.89 (0.12 to     6.39)","1.19 (0.03 to    43.81)","1.03 (0.12 to     8.74)","1.04 (0.21 to     5.16)","1.07 (0.19 to     6.00)","Erlotinib + antiangiogenesis",".","0.16 (0.03 to   0.97)",".","."
"0.02 (0.00 to     2.14)","0.10 (0.00 to     4.69)","0.06 (0.00 to     7.89)","0.07 (0.00 to     8.06)","0.11 (0.00 to     5.44)","0.19 (0.01 to     5.86)","0.19 (0.01 to     6.15)","0.20 (0.01 to     5.46)","0.18 (0.01 to     6.36)","0.20 (0.01 to     5.90)","0.22 (0.01 to     6.91)","0.25 (0.01 to     9.03)","0.26 (0.01 to     9.48)","0.27 (0.01 to     8.55)","0.28 (0.01 to     8.54)","0.30 (0.01 to     8.98)","0.35 (0.01 to    21.11)","0.34 (0.01 to    14.22)","0.47 (0.01 to    21.50)","0.63 (0.00 to    82.02)","0.54 (0.01 to    27.13)","0.55 (0.01 to    21.03)","0.56 (0.01 to    22.92)","0.53 (0.02 to    15.10)","Erlotinib + ER inhibitor",".",".","."
"0.03 (0.00 to     0.92)","0.14 (0.02 to     1.39)","0.10 (0.00 to     3.64)","0.10 (0.00 to     3.71)","0.17 (0.02 to     1.57)","0.27 (0.07 to     1.07)","0.27 (0.06 to     1.25)","0.29 (0.10 to     0.85)","0.27 (0.05 to     1.41)","0.29 (0.08 to     1.05)","0.32 (0.07 to     1.37)","0.36 (0.06 to     2.05)","0.38 (0.07 to     2.10)","0.40 (0.10 to     1.61)","0.41 (0.11 to     1.59)","0.45 (0.13 to     1.58)","0.51 (0.04 to     7.25)","0.51 (0.07 to     3.68)","0.69 (0.08 to     6.04)","0.93 (0.02 to    38.50)","0.80 (0.08 to     8.16)","0.81 (0.13 to     5.19)","0.84 (0.12 to     5.78)","0.78 (0.26 to     2.37)","1.48 (0.05 to    48.29)","Antiangiogenesis",".","."
"0.01 (0.00 to     0.50)","0.02 (0.00 to     1.10)","0.02 (0.00 to     1.86)","0.02 (0.00 to     1.90)","0.03 (0.00 to     1.15)","0.05 (0.00 to     1.03)","0.05 (0.00 to     1.28)","0.05 (0.00 to     1.27)","0.04 (0.00 to     1.46)","0.05 (0.00 to     1.26)","0.05 (0.00 to     1.53)","0.06 (0.00 to     1.76)","0.06 (0.00 to     1.69)","0.07 (0.00 to     1.79)","0.07 (0.00 to     1.99)","0.07 (0.00 to     1.92)","0.08 (0.00 to     4.96)","0.08 (0.00 to     2.98)","0.11 (0.00 to     4.52)","0.15 (0.00 to    19.38)","0.13 (0.00 to     5.80)","0.13 (0.00 to     4.92)","0.14 (0.00 to     4.65)","0.13 (0.00 to     3.51)","0.24 (0.00 to    25.74)","0.16 (0.01 to     4.99)","Almonertinib","."
"0.00 (0.00 to     0.16)","0.02 (0.00 to     0.28)","0.01 (0.00 to     0.63)","0.01 (0.00 to     0.64)","0.02 (0.00 to     0.27)","0.04 (0.01 to     0.16)","0.04 (0.01 to     0.24)","0.04 (0.01 to     0.23)","0.04 (0.00 to     0.31)","0.04 (0.01 to     0.22)","0.04 (0.01 to     0.30)","0.05 (0.01 to     0.34)","0.05 (0.01 to     0.31)","0.05 (0.01 to     0.33)","0.06 (0.01 to     0.39)","0.06 (0.01 to     0.34)","0.07 (0.00 to     1.37)","0.07 (0.01 to     0.66)","0.09 (0.01 to     1.05)","0.12 (0.00 to     6.61)","0.11 (0.01 to     1.42)","0.11 (0.01 to     1.10)","0.11 (0.01 to     0.99)","0.10 (0.02 to     0.65)","0.20 (0.00 to     8.43)","0.13 (0.02 to     0.99)","0.81 (0.03 to    25.69)","Gefitinib + antiangiogenesis"
